Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GID	0	0.17400958263313	0.101710720366494	0.113366054399299	0.00929835273331147	0	0	0	0.0684240069628054	0.0131150731296551	0	0.153342159188159	0	0	0.0497429680292315	0	0.182056823217935	0	0.01128641454747	0.0610594821739784	0	0.0625883626185309	9999	0.124616148369691	1.04428763910224
P20109_101_R1	0.077162173319334	0	0	0.136442822941264	0.072106919909217	0	0.0183174477351515	0.00884564011553811	0.00446569083703788	0.0254614004217048	0.0278446722326412	0	0.609102618836116	0	0	0.0163378455547164	0	0	0.00391276809727868	0	0	0	9999	0.808358640882232	0.630873670711008
P20109_102_R1	0.0813262409802114	0	0	0.209508715312361	0.0248671716867867	0.0293585531201764	0.00931491408219611	0.00654709459959686	0.0070920601931811	0	0.0755584862402795	0.00601984194763528	0.539170101561424	0	0	0.00801999851380031	0	0.00321682176235209	0	0	0	0	9999	0.753521767264975	0.686421618472172
P20109_103_R1	0.0578294217559373	0	0	0.463023894070258	0	0	0.0619698573136061	0.0189103392418799	0	0.0412422812806363	0.114290982579776	0	0.239245898715693	0	0	0.00151598779696165	0	0.000879341707321363	0	0.00109199553792989	0	0	9999	0.633165272759476	0.774919068961418
P20109_104_R1	0.099374742855373	0	0	0.237737897032039	0.0415217454771135	0	0.0166823632246175	0.00102073191982942	0.0105930913673183	0.0100410221293003	0.0862213754843923	0	0.48014193146741	0.00141179651554181	0	0.00385580437315648	0	2.47141373655111e-05	0.0113727840165435	0	0	0	9999	0.754283400028029	0.692348623465376
P20109_105_R1	0.0900730317931084	0	0	0.274326727546023	0	0	0.00804250207704879	0	0.00901733855642862	0	0.109561230830314	0	0.486542011177609	0	0	0.0081290922910845	0	0	0.0143080657283839	0	0	0	9999	0.784943668876311	0.66386009931197
P20109_106_R1	0.0308849361976693	0.0173544053837638	0	0.317544478454576	0.00270823374408967	0	0.00723071810734588	0	0.00732310259146375	0	0.111601277562126	0	0.493691138782528	0	0	0.00970067403898292	0	0.00196103513745369	0	0	0	0	9999	0.787230076466121	0.655410536720322
P20109_107_R1	0.0828449645830548	0.0400088330708047	0	0.22425556684133	0.156414183012439	0.0808127883493622	0.0229964057703404	0.000735492775007753	0.00170315703813644	0.00643660560244586	0.151061306241631	0	0.222245708341263	0	0	0.00472319174493984	0	0	0.00576179662924467	0	0	0	9999	0.702431240747034	0.733881379334115
P20109_108_R1	0.0398864387889876	0.0106820461906324	0	0.272318470433553	0.0301331237898617	0.00952433350616558	0.0150730476597147	0.00181871080533166	0	0.00276514747497837	0.0738063898256719	0	0.536287116966976	0	0	0.0030071389982965	0	9.94045352441982e-06	0.00468809510630574	0	0	0	9999	0.758136066252604	0.680228203060866
P20109_109_R1	0.0295781732919503	0.00335581728817404	0	0.246988156459917	0	0	0.00753598857795638	0.00227167963890825	0.0164493904543688	0	0.146254812640071	0	0.532678044116469	0	0	0.0122907642245577	0	0	0.00259717330762767	0	0	0	9999	0.803167066825778	0.636582897315215
