GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	0.754497712721155	0.549462439438175	0.150466827350492	0.391500760495749	0.471855704025978	0.0531518335028313	5.03664843090027	0.745195919232271	62.0697717972356	4733548.82564021
A1BG.AS1	0.147853179145781	2.75909787231101	0.066719111066867	0.215455097781261	0.379140369960979	0.0377389263366858	0.766393529322123	0.535128317293469	0.160518024782799	1412865598.5876
A1CF	0	0	5.48751320194431e-06	4.23046039538932e-07	0	5.95248701780164e-06	0.00244704888810922	0	0	468427.583474517
A2M	0.0493758177711092	0	0.0800741172231329	0	0.143143900438346	0.0590837176583299	0	0.144982584734828	2.16299894802107	143847042.44586
A2M.AS1	0.18139496084981	3.96207009219252	0.0398721362154009	0.143098815298023	0.101654664213631	0.0345897237123038	0.884437322578696	0.324377229085153	0.930595531193782	313903294.390992
A2ML1	0	0	0.00012818906120408	0.00507732525137121	0.000545577038742986	0.000418647385710038	0.018276553815079	0	0	199635.470462253
A2MP1	0.0114092756363875	0	0.00430675531801573	0.00797867573860016	0.0178645378537593	0.00420271463547546	0.0746923563225594	0.00612712127587296	0	16156640.9842812
A3GALT2	0	0.407676380101541	0.000816184848410324	0.0101131612635153	0.00765797818525273	0.00299309523424065	0	0.0520567426409609	0	1294.35988619404
A4GALT	0.0024155297055917	0	0.0194705170302457	0.00488412932196906	0.0233872189154685	0.00660567683413294	0.336104657886279	0	0.471529840081707	17652176.790273
A4GNT	0	0	0.000153952512792116	0	0.00189312282485634	0	0.00565894482234494	0	0	118219.533442991
AA06	0	0	0	0	0	0	0	0	0	63467295.8036555
AAAS	0.140325113147268	0.442937516981031	0.0466455422383728	0.101483535376776	0.0683713953733067	0.0418369285506718	5.38974659827738	2.45070239482034	18.8180097828612	19417.0655719898
AACS	0.206321596095911	4.43859567707942	0.0462584333784169	0.158971165419546	0.0906038703988643	0.033184690776747	1.76997281197183	0.401439151218496	2.84394525485774	4651.30353366233
AACSP1	0	0	0	0.00212889609208235	0.00198823110284951	0.000375519003888384	0	0.0297447456402056	0.303437277093568	333999275.193346
AADAC	0	0	0.000113586957993884	3.81904406548639e-05	0.000493145731639756	5.1739037607888e-05	0	0.00225960168600898	0.161154862456428	96451.1653564828
AADACL2	0	0	0	0	0	0	0	0	0	1942442.81588221
AADACL3	0	0	0	0	0	0	0	0	0	57863768.7862304
AADACL4	0	0	0.000222829111590725	0.000525646796192521	0.00129528621832231	0.000233957926263023	0	0.000275233459602631	0	169125365.824212
AADACP1	0.00841757983782528	0.718503494089399	0.000650837091023406	0	0.00718447740755768	0	0.180460651132638	0	0.661222725188173	13770738.3910007
AADAT	0	0	0.0148156856568565	0	0.0489214734948867	0.00597783769290475	0.0865934587721466	0.0136099357259371	0	69232.1119869622
AAGAB	0.279732308914154	0.736275530645754	0.0477297314535309	0.163759582495519	0.110001587601245	0.0284771283386799	0	0	0.376431039597402	110583.504378554
AAK1	0.203068847167292	0.65260303599474	0.0419149141637018	0.0712423442840917	0.141719168392225	0.0809972450513344	5.81242180471802	0.315176854485469	8.02769074340932	757031.696435217
AAMDC	0	0	0.085606209768769	0.141285944643666	0.180502398376598	0.0235408554516109	1.90427341362007	0	0	39861.4380449502
AAMP	1.25975984771257	20.1655570260306	0.138542597669592	0.386745894133129	0.0804701520429734	0.0280711858734146	0	0	25.9645976430224	3427168.6949447
AANAT	0.0452015571452954	0.0658243792552724	0.0245326469825671	0	0.0108755930467185	0.0121579892518946	0.111451847337681	0.107856285579343	0.192656374145607	201506.258617315
AAR2	0.57853110508033	0.600027924902766	0.0549945514484813	0.334746028838562	0.0873702712188686	0.0267764995613182	0.237000056437261	0.632943925285874	1.00260066182713	216590.156793917
AARD	0.0167308630792408	0.332911580513858	0.0216289527155839	0.0152125079562117	0.038707064005915	0.0143785267897859	0.161989886055576	0.0965204201269641	0.873292150165963	2222125.67907188
AARS1	0.230116479409796	76.4182630758022	0.0556212071073726	0.145513695720378	0.0893481529670557	0.0388564455168486	0	0	0	45525.3905599723
AARS2	0.115244643596166	0.289632912729118	0.0491033721853588	0.106633488781543	0.0735974327438366	0.0404374093830245	1.15921186312406	0.367390581900425	1.34884289333808	161113.366558007
AARSD1	0.137801334602816	5.86695807641831	0.0359969615075073	0.102555596004199	0.067358301093776	0.0326475974741922	4.7822842110751	0.178099529844276	5.68905701868446	18934294.1142781
