GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	0.994309809344089	1	0.985579061403917	0.99446477983681	0.995490045561767	0.956836329449667	0.999851169161014	1	1	0.150369734730843
A1BG.AS1	0.998865624227492	1	0.997891657706155	0.999186520092476	0.999632468178585	0.993801880578646	0.999571389673355	1	0.998865124928159	0.150516662942306
A1CF	1	1	1	1	1	0.999999973237606	0.999999811716155	1	1	0.150409251491607
A2M	1	1	0.999928775606414	1	0.999658022673428	0.999483690231671	1	1	0.999942858647275	0.150394313165622
A2M.AS1	1	1	0.999381507796642	0.999997641866099	1	0.999274115607507	0.99999757605605	0.999867050086691	0.999866743584191	0.239904571669578
A2ML1	1	1	1	0.999988309493033	1	1	1	1	1	0.150409244226159
A2MP1	1	1	1	0.999999039050818	0.999984552002046	0.999998527075765	1	1	1	0.150409375036276
A3GALT2	1	0.999984022385998	1	0.999991931133595	1	0.999995159243477	1	0.999979216702365	1	0.150411275824573
A4GALT	1	1	0.999864273592368	1	1	0.999837440354705	0.999949278541237	1	1	0.0425429627556184
A4GNT	1	1	1	1	0.999994220728071	1	1	1	1	0.23988655697351
AA06	1	1	1	1	1	1	1	1	1	0.150409206084984
AAAS	0.889931627510467	0.975085590203008	0.807384278372612	0.898530204535913	0.845046768216383	0.720770868996759	0.989591640875489	0.993558583782697	0.995360528192627	0.160694504621402
AACS	0.99447940648549	0.99409759970692	0.977015471138671	0.990529729866434	0.981832411063908	0.962683038907602	0.99898933984977	1	0.997626084425654	0.241964592730923
AACSP1	1	1	1	0.99999723068369	0.9999989693295	1	1	0.999992811181457	0.999998751068302	0.0425387704569668
AADAC	1	1	0.999999756290001	1	0.999999268759622	0.999999892497815	1	0.999999435279424	0.999997885124556	0.23988652464822
AADACL2	1	1	1	1	1	1	1	1	1	0.0425387208005248
AADACL3	1	1	1	1	1	1	1	1	1	0.0425387208005248
AADACL4	1	1	1	0.999999517987468	0.999999174737978	0.999999680670749	1	1	1	0.150409214377366
