GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	NA	NA	NA	NA	NA	10.0738367212394	NA	NA	NA	NA
A1BG.AS1	6.40377649128277	NA	3.86173983271065	NA	NA	6.93748330780325	NA	NA	241.308514187574	NA
A1CF	0	0	0	0	0	1.10149411354232e-05	0.00531532469605156	0	0	NA
A2M	0	0	0.0731528533878825	0	0.910533802499612	0.324047823926591	0	0	NA	NA
A2M.AS1	0	NA	1.23425226204035	0.00844324984081135	0	0.885183693146342	NA	NA	NA	NA
A2ML1	0	0	0	0.0184047414884028	0	0	0	0	0	NA
A2MP1	0	0	0	0.00294530303357843	0.0684110857806139	0.0015375692269135	0	0	0	NA
A3GALT2	0	1.51180425664002	0	0.0165290177839941	0	0.00337732199512253	0	0.173478115123041	0	NA
A4GALT	0	0	0.0425918228885673	0	0	0.0311724433535112	NA	0	NA	NA
A4GNT	0	0	0	0	0.00649223241888874	0	0	0	0	NA
AA06	0	0	0	0	0	0	0	0	0	NA
AAAS	50.0494360472989	303.700679964953	28.6098017932493	26.8470648015436	59.4538737854237	25.6332141490411	NA	NA	NA	NA
AACS	2.38028387863935	NA	3.21586613547488	2.37709185246298	6.58920716082627	3.19127319537179	NA	NA	NA	NA
AACSP1	0	0	0	0.00584144483879423	0.00314117606186493	0	0	0.0617875469790168	0.170450368522713	NA
AADAC	0	0	9.57200511155776e-05	0	0.000744536469588608	2.58013893119635e-05	0	0.00162155028892608	0.0964267277008595	NA
AADACL2	0	0	0	0	0	0	0	0	0	NA
AADACL3	0	0	0	0	0	0	0	0	0	NA
AADACL4	0	0	0	0.00114982228336924	0.00284438884960436	0.000259439322010335	0	0	0	NA
AADACP1	0.00172213475496341	NA	0	0	0.0111962216609005	0	0.635773136003716	0	NA	NA
AADAT	0	0	0.0370620290121781	0	0.0848023244422762	0.00496140647527343	0	0	0	NA
AAGAB	NA	NA	20.5523662515631	8.56803849233259	25.3679158736669	20.8057846301166	0	0	NA	NA
AAK1	19.282521061584	NA	25.3042741625795	35.0862560872075	29.3107568012064	9.75767753351995	NA	NA	NA	NA
AAMDC	0	0	7.62547698549827	5.78617983350889	9.99598888188058	13.1300538830064	NA	0	0	NA
AAMP	NA	NA	NA	NA	76.1297145656428	66.1365716632967	0	0	NA	NA
AANAT	0.0750817022867576	0	0.062062833185913	0	0	0.0199037407996492	0	0.272279139987369	0	NA
AAR2	NA	NA	11.189342794019	NA	17.7445457348021	17.7866228132062	NA	NA	NA	NA
