Mixture	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
GID	0.17400958263313	0.101710720366494	0.126481127528954	0.0777223596961169	0.153342159188159	0.0497429680292315	0.182056823217935	0.0723458967214484	0	0.0625883626185309
P20109_101_R1	0.077162173319334	0	0.161904223362969	0.103735698596944	0.0278446722326412	0.625440464390832	0	0.00391276809727868	0	0
P20109_102_R1	0.0813262409802114	0	0.209508715312361	0.0771797936819372	0.0815783281879148	0.547190100075224	0.00321682176235209	0	0	0
P20109_103_R1	0.0578294217559373	0	0.504266175350894	0.080880196555486	0.114290982579776	0.240761886512655	0.000879341707321363	0.00109199553792989	0	0
P20109_104_R1	0.099374742855373	0	0.247778919161339	0.0698179319888787	0.0862213754843923	0.485409532356108	2.47141373655111e-05	0.0113727840165435	0	0
P20109_105_R1	0.0900730317931084	0	0.274326727546023	0.0170598406334774	0.109561230830314	0.494671103468693	0	0.0143080657283839	0	0
P20109_106_R1	0.0482393415814331	0	0.317544478454576	0.0172620544428993	0.111601277562126	0.503391812821511	0.00196103513745369	0	0	0
P20109_107_R1	0.12285379765386	0	0.230692172443776	0.262662026945286	0.151061306241631	0.226968900086203	0	0.00576179662924467	0	0
P20109_108_R1	0.05056848497962	0	0.275083617908531	0.0565492157610736	0.0738063898256719	0.539294255965272	9.94045352441982e-06	0.00468809510630574	0	0
P20109_109_R1	0.0329339905801243	0	0.246988156459917	0.0262570586712334	0.146254812640071	0.544968808341027	0	0.00259717330762767	0	0
P20109_110_R1	0.0389914067542327	0	0.263265904890365	0.0323102746711611	0.171771162162877	0.481574398262413	0	0.0120868532589505	0	0
P20109_111_R1	0.0267912076325587	0	0.324528976041947	0.0379024999584146	0.163743169442383	0.44025541936776	0.000888729947164239	0.00588999760977332	0	0
P20109_112_R1	0.071777501616819	0	0.388442646951259	0.0504483036173958	0.120267779244522	0.366797360842808	0.000474545155793576	0.00179186257140321	0	0
