GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	6.69475737186813	0	5.50533794051769	3.7911987292683	4.46310743822268	10.0738367212394	2.38130653181812	0	0	81751.8766341257
A1BG.AS1	6.40377649128277	0	3.86173983271065	2.67337454089104	1.74514927311319	6.93748330780325	32.9048400902763	0	241.308514187574	392116.610968103
A1CF	0	0	0	0	0	1.10149411354232e-05	0.00531532469605156	0	0	144228.073051192
A2M	0	0	0.0731528533878825	0	0.910533802499612	0.324047823926591	0	0	6.81296389734559	219941.565439673
A2M.AS1	0	0	1.23425226204035	0.00844324984081135	0	0.885183693146342	0.202743987395634	1.9396570747496	30.8702998919389	348896.107399881
A2ML1	0	0	0	0.0184047414884028	0	0	0	0	0	187894.330777449
A2MP1	0	0	0	0.00294530303357843	0.0684110857806139	0.0015375692269135	0	0	0	365802.545306789
A3GALT2	0	1.51180425664002	0	0.0165290177839941	0	0.00337732199512253	0	0.173478115123041	0	244483.552381108
A4GALT	0	0	0.0425918228885673	0	0	0.0311724433535112	0.667128291706148	0	0	95029.1245976212
A4GNT	0	0	0	0	0.00649223241888874	0	0	0	0	75764.8667309302
AA06	0	0	0	0	0	0	0	0	0	384943.765773905
AAAS	50.0494360472989	303.700679964953	28.6098017932493	26.8470648015436	59.4538737854237	25.6332141490411	64.1584409433253	6.9255890656524	79.2058816080638	30713.2462486513
AACS	2.38028387863935	68.4313466323673	3.21586613547488	2.37709185246298	6.58920716082627	3.19127319537179	5.92601584075539	0	38.5523426050027	24351.1540766832
AACSP1	0	0	0	0.00584144483879423	0.00314117606186493	0	0	0.0617875469790168	0.170450368522713	356024.552902364
AADAC	0	0	9.57200511155776e-05	0	0.000744536469588608	2.58013893119635e-05	0	0.00162155028892608	0.0964267277008595	68670.9057458732
AADACL2	0	0	0	0	0	0	0	0	0	270881.027889046
AADACL3	0	0	0	0	0	0	0	0	0	260399.84620359
AADACL4	0	0	0	0.00114982228336924	0.00284438884960436	0.000259439322010335	0	0	0	284701.478773716
