GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
A1BG	1	1	1	1	1	1	1	1	1	0.214728957968736
A1BG.AS1	1	1	1	1	1	1	1	1	1	0.214728957968736
A1CF	1	1	1	1	1	1	1	1	1	0.214728957968736
A2M	1	1	1	1	1	1	1	1	1	0.214728957968736
A2M.AS1	1	1	1	1	1	1	1	1	1	0.250775057927371
A2ML1	1	1	1	1	1	1	1	1	1	0.214728957968736
A2MP1	1	1	1	1	1	1	1	1	1	0.214728957968736
A3GALT2	1	1	1	1	1	1	1	1	1	0.214728957968736
A4GALT	1	1	1	1	1	1	1	1	1	0.193750762196398
A4GNT	1	1	1	1	1	1	1	1	1	0.250775057927371
AA06	1	1	1	1	1	1	1	1	1	0.214728957968736
AAAS	1	1	1	1	1	1	1	1	1	0.218476527334664
AACS	1	1	1	1	1	1	1	1	1	0.250775057927371
AACSP1	1	1	1	1	1	1	1	1	1	0.193750762196398
AADAC	1	1	1	1	1	1	1	1	1	0.250775057927371
AADACL2	1	1	1	1	1	1	1	1	1	0.193750762196398
AADACL3	1	1	1	1	1	1	1	1	1	0.193750762196398
AADACL4	1	1	1	1	1	1	1	1	1	0.214728957968736
AADACP1	1	1	1	1	1	1	1	1	1	0.193750762196398
AADAT	1	1	1	1	1	1	1	1	1	0.214728957968736
AAGAB	1	1	1	1	1	1	1	1	1	0.214728957968736
AAK1	1	1	1	1	1	1	1	1	1	0.214728957968736
AAMDC	1	1	1	1	1	1	1	1	1	0.250775057927371
AAMP	1	1	1	1	1	1	1	1	1	0.193750762196398
AANAT	1	1	1	1	1	1	1	1	1	0.250775057927371
AAR2	1	1	1	1	1	1	1	1	1	0.250775057927371
AARD	1	1	1	1	1	1	1	1	1	0.193750762196398
AARS1	1	1	1	1	1	1	1	1	1	0.216078033660121
AARS2	1	1	1	1	1	1	1	1	1	0.193750762196398
AARSD1	1	1	1	1	1	1	1	1	1	0.193750762196398
AASDH	1	1	1	1	1	1	1	1	1	0.250775057927371
AASDHPPT	1	1	1	1	1	1	1	1	1	0.193750762196398
AASS	1	1	1	1	1	1	1	1	1	0.193750762196398
AATBC	1	1	1	1	1	1	1	1	1	0.214728957968736
AATF	1	1	1	1	1	1	1	1	1	0.250775057927371
AATK	1	1	1	1	1	1	1	1	1	0.193750762196398
ABALON	1	1	1	1	1	1	1	1	1	0.214728957968736
ABAT	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCA1	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCA10	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCA11P	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCA12	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCA13	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCA17P	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCA2	1	1	1	1	1	1	1	1	1	0.202699992399914
ABCA3	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCA4	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCA5	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCA6	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCA7	1	1	1	1	1	1	1	1	1	0.236598675697235
ABCA8	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCA9	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCA9.AS1	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCB1	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCB10	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCB11	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCB4	1	1	1	1	1	1	1	1	1	0.2382808173581
ABCB5	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCB6	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCB7	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCB8	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCB9	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCC1	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCC10	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCC11	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCC12	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCC13	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCC2	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCC3	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCC4	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCC5	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCC5.AS1	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCC6	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCC6P1	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCC6P2	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCC8	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCC9	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCD1	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCD2	1	1	1	1	1	1	1	1	1	0.250775057927371
ABCD3	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCD4	1	1	1	1	1	1	1	1	1	0.252576554603794
ABCE1	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCF1	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCF2	1	1	1	1	1	1	1	1	1	0.251445416869187
ABCF3	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCG1	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCG2	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCG4	1	1	1	1	1	1	1	1	1	0.193750762196398
ABCG5	1	1	1	1	1	1	1	1	1	0.214728957968736
ABCG8	1	1	1	1	1	1	1	1	1	0.214728957968736
ABHD1	1	1	1	1	1	1	1	1	1	0.193750762196398
ABHD10	1	1	1	1	1	1	1	1	1	0.214728957968736
ABHD11	1	1	1	1	1	1	1	1	1	0.214728957968736
ABHD12	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD12B	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD13	1	1	1	1	1	1	1	1	1	0.193750762196398
ABHD14A	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD14A.ACY1	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD14B	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD15	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD16A	1	1	1	1	1	1	1	1	1	0.214728957968736
ABHD16B	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD17A	1	1	1	1	1	1	1	1	1	0.214728957968736
ABHD17B	1	1	1	1	1	1	1	1	1	0.214728957968736
ABHD17C	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD18	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD2	1	1	1	1	1	1	1	1	1	0.250775057927371
ABHD3	1	1	1	1	1	1	1	1	1	0.214728957968736
ABHD4	1	1	1	1	1	1	1	1	1	0.250775057927371
