"","ID","EQUATION","GENE.ASSOCIATION","SUBSYSTEM"
"1","MAR03905","ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c]","ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144","Glycolysis / Gluconeogenesis"
"2","MAR03907","ethanol[c] + NADP+[c] => acetaldehyde[c] + H+[c] + NADPH[c]","ENSG00000117448","Glycolysis / Gluconeogenesis"
"3","MAR04097","acetate[c] + ATP[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + PPi[c]","ENSG00000131069","Glycolysis / Gluconeogenesis"
"4","MAR04099","acetate[m] + ATP[m] + CoA[m] => acetyl-CoA[m] + AMP[m] + PPi[m]","ENSG00000111058 or ENSG00000154930","Glycolysis / Gluconeogenesis"
"5","MAR04108","acetyl adenylate[c] + CoA[c] => acetyl-CoA[c] + AMP[c] + H+[c]","ENSG00000131069","Glycolysis / Gluconeogenesis"
"6","MAR04133","acetate[c] + ATP[c] + H+[c] => acetyl adenylate[c] + PPi[c]","ENSG00000131069","Glycolysis / Gluconeogenesis"
"7","MAR04137","CoA[m] + NAD+[m] + pyruvate[m] => acetyl-CoA[m] + CO2[m] + NADH[m]","ENSG00000091140 and ENSG00000110435 and (ENSG00000131828 or ENSG00000163114) and ENSG00000150768 and ENSG00000168291","Glycolysis / Gluconeogenesis"
"8","MAR04281","H+[x] + NADH[x] + pyruvate[x] <=> L-lactate[x] + NAD+[x]","ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989","Glycolysis / Gluconeogenesis"
"9","MAR04388","H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c]","ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989","Glycolysis / Gluconeogenesis"
"10","MAR04283","acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c]","ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254","Glycolysis / Gluconeogenesis"
"11","MAR08357","acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m]","ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904","Glycolysis / Gluconeogenesis"
"12","MAR04379","ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c] + H+[c]","ENSG00000067057 or ENSG00000141959 or ENSG00000152556","Glycolysis / Gluconeogenesis"
"13","MAR04301","fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + H+[c] + UDP[c]","ENSG00000067057 or ENSG00000141959 or ENSG00000152556 or ENSG00000160226","Glycolysis / Gluconeogenesis"
"14","MAR04355","DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]","ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043","Glycolysis / Gluconeogenesis"
"15","MAR04358","ADP[c] + H+[c] + PEP[c] => ATP[c] + pyruvate[c]","ENSG00000067225 or ENSG00000121900 or ENSG00000143627 or ENSG00000143630","Glycolysis / Gluconeogenesis"
"16","MAR04360","H2O[c] + methylglyoxal[c] + NADP+[c] => 2 H+[c] + NADPH[c] + pyruvate[c]","ENSG00000180011","Glycolysis / Gluconeogenesis"
"17","MAR04363","2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c]","ENSG00000074800 or ENSG00000108515 or ENSG00000111674","Glycolysis / Gluconeogenesis"
"18","MAR04365","2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c]","ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784","Glycolysis / Gluconeogenesis"
"19","MAR04368","1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]","ENSG00000096006 or ENSG00000102144 or ENSG00000154305 or ENSG00000170950","Glycolysis / Gluconeogenesis"
"20","MAR04370","1,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + H+[c] + Pi[c]","ENSG00000119640 or ENSG00000170634","Glycolysis / Gluconeogenesis"
"21","MAR04371","1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c] + H+[c]","ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784","Glycolysis / Gluconeogenesis"
"22","MAR04372","2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]","ENSG00000172331","Glycolysis / Gluconeogenesis"
"23","MAR04373","1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> GAP[c] + NAD+[c] + Pi[c]","ENSG00000105679 or ENSG00000111640","Glycolysis / Gluconeogenesis"
"24","MAR04375","DHAP[c] + GAP[c] <=> fructose-1,6-bisphosphate[c]","ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043","Glycolysis / Gluconeogenesis"
"25","MAR04377","fructose-1,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]","ENSG00000130957 or ENSG00000165140","Glycolysis / Gluconeogenesis"
"26","MAR04381","fructose-6-phosphate[c] <=> glucose-6-phosphate[c]","ENSG00000105220","Glycolysis / Gluconeogenesis"
"27","MAR04391","DHAP[c] <=> GAP[c]","ENSG00000111669","Glycolysis / Gluconeogenesis"
"28","MAR04394","ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c] + H+[c]","ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883","Glycolysis / Gluconeogenesis"
"29","MAR04396","glucose-1-phosphate[c] <=> glucose-6-phosphate[c]","ENSG00000079739 or ENSG00000154330 or ENSG00000169299","Glycolysis / Gluconeogenesis"
"30","MAR04521","glucose-6-phosphate[r] + H2O[r] => glucose[r] + Pi[r]","ENSG00000131482 or ENSG00000141349 or ENSG00000152254","Glycolysis / Gluconeogenesis"
"31","MAR06410","H+[m] + lipoamide[m] + pyruvate[m] => CO2[m] + S-acetyldihydrolipoamide[m]","(ENSG00000131828 and ENSG00000168291) or (ENSG00000163114 and ENSG00000168291)","Glycolysis / Gluconeogenesis"
"32","MAR06412","CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m]","(ENSG00000091140 and ENSG00000131828 and ENSG00000150768 and ENSG00000168291) or (ENSG00000091140 and ENSG00000150768 and ENSG00000163114 and ENSG00000168291)","Glycolysis / Gluconeogenesis"
"33","MAR07745","beta-D-glucose[c] <=> glucose[c]","ENSG00000143891","Glycolysis / Gluconeogenesis"
"34","MAR07747","ADP[c] + glucose[c] => AMP[c] + glucose-6-phosphate[c] + H+[c]","ENSG00000159322","Glycolysis / Gluconeogenesis"
"35","MAR08360","ethanol[x] + H2O2[x] => acetaldehyde[x] + 2 H2O[x]","ENSG00000121691","Glycolysis / Gluconeogenesis"
"36","MAR08652","carbamoyl-phosphate[r] + glucose[r] => CO2[r] + glucose-6-phosphate[r] + NH3[r]","ENSG00000131482 or ENSG00000141349 or ENSG00000152254","Glycolysis / Gluconeogenesis"
"37","MAR08757","ethanol[c] + H+[c] + NADPH[c] + O2[c] => acetaldehyde[c] + 2 H2O[c] + NADP+[c]","ENSG00000130649","Glycolysis / Gluconeogenesis"
"38","MAR03989","H2O[e] + maltose[e] => 2 glucose[e]","ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335","Starch and sucrose metabolism"
"39","MAR04122","H2O[c] + 2 NAD+[c] + UDP-glucose[c] => 3 H+[c] + 2 NADH[c] + UDP-glucuronate[c]","ENSG00000109814","Starch and sucrose metabolism"
"40","MAR04837","H2O[e] + trehalose[e] => 2 glucose[e]","ENSG00000118094 or ENSG00000142102","Starch and sucrose metabolism"
"41","MAR05395","glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 H+[c] + 8 UDP[c]","ENSG00000056998 or ENSG00000163754","Starch and sucrose metabolism"
"42","MAR05396","glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 H+[c] + 3 UDP[c]","ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754","Starch and sucrose metabolism"
"43","MAR09727","UDP-glucose[c] => H+[c] + UDP[c] + glycogen[c]","ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281","Starch and sucrose metabolism"
"44","MAR05397","glycogenin G11[c] => glycogenin G4G7[c]","ENSG00000114480","Starch and sucrose metabolism"
"45","MAR05398","glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c]","ENSG00000068976 or ENSG00000100504 or ENSG00000100994","Starch and sucrose metabolism"
"46","MAR05399","glycogenin G4G4[c] => glycogenin G7G1[c]","ENSG00000162688","Starch and sucrose metabolism"
"47","MAR05400","glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c]","ENSG00000162688","Starch and sucrose metabolism"
"48","MAR05401","glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c]","ENSG00000068976 or ENSG00000100504 or ENSG00000100994","Starch and sucrose metabolism"
"49","MAR08568","H2O[c] + maltodecaose[c] => fructose[c] + maltononaose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"50","MAR08569","H2O[e] + maltodecaose[e] => glucose[e] + maltononaose[e]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"51","MAR08570","2 H2O[c] + maltononaose[c] => 2 fructose[c] + maltoheptaose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"52","MAR08571","2 H2O[e] + maltononaose[e] => 2 glucose[e] + maltoheptaose[e]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"53","MAR08572","H2O[c] + maltoheptaose[c] => fructose[c] + maltohexaose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"54","MAR08573","H2O[e] + maltoheptaose[e] => glucose[e] + maltohexaose[e]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"55","MAR08574","H2O[c] + maltohexaose[c] => fructose[c] + maltopentaose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"56","MAR08575","H2O[e] + maltohexaose[e] => glucose[e] + maltopentaose[e]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"57","MAR08576","H2O[c] + maltopentaose[c] => fructose[c] + maltotetraose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"58","MAR08577","H2O[e] + maltopentaose[e] => glucose[e] + maltotetraose[e]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"59","MAR08578","H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"60","MAR08579","H2O[e] + maltotetraose[e] => glucose[e] + maltotriose[e]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"61","MAR08581","H2O[e] + maltotriose[e] => glucose[e] + maltose[e]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"62","MAR08591","H2O[c] + maltotriose[c] => glucose[c] + maltose[c]","ENSG00000214013 or ENSG00000257335","Starch and sucrose metabolism"
"63","MAR08592","H2O[l] + maltotriose[l] => glucose[l] + maltose[l]","ENSG00000171298","Starch and sucrose metabolism"
"64","MAR08580","H2O[c] + maltotriose[c] => fructose[c] + maltose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"65","MAR08582","H2O[c] + maltose[c] => 2 fructose[c]","ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480","Starch and sucrose metabolism"
"66","MAR08587","H2O[c] + maltose[c] => 2 glucose[c]","ENSG00000214013 or ENSG00000257335","Starch and sucrose metabolism"
"67","MAR08589","H2O[l] + maltose[l] => 2 glucose[l]","ENSG00000171298","Starch and sucrose metabolism"
"68","MAR08583","8 H2O[e] + starch structure 1[e] => 8 glucose[e] + starch structure 2[e]","ENSG00000257335","Starch and sucrose metabolism"
"69","MAR08584","H2O[e] + starch structure 2[e] => glucose[e] + maltose[e]","ENSG00000090402","Starch and sucrose metabolism"
"70","MAR08585","1,3-bisphospho-D-glycerate[c] + glucose-1-phosphate[c] => 3-phospho-D-glycerate[c] + glucose-1,6-bisphosphate[c]","ENSG00000165434","Starch and sucrose metabolism"
"71","MAR03944","glucose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-glucose[c]","ENSG00000169764","Galactose metabolism"
"72","MAR04128","UDP-galactose[c] <=> UDP-glucose[c]","ENSG00000117308","Galactose metabolism"
"73","MAR04130","ATP[c] + galactose[c] => ADP[c] + alpha-D-galactose-1-phosphate[c] + H+[c]","ENSG00000108479 or ENSG00000156958","Galactose metabolism"
"74","MAR04131","glucose-1-phosphate[c] + UDP-galactose[c] <=> alpha-D-galactose-1-phosphate[c] + UDP-glucose[c]","ENSG00000213930","Galactose metabolism"
"75","MAR04132","galactose-1-phosphate[c] + UDP-glucose[c] => glucose-1-phosphate[c] + UDP-galactose[c]","ENSG00000213930","Galactose metabolism"
"76","MAR04303","H2O[e] + sucrose[e] => fructose[e] + glucose[e]","ENSG00000090402 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335","Galactose metabolism"
"77","MAR04414","ATP[c] + galactose[c] => ADP[c] + galactose-1-phosphate[c] + H+[c]","ENSG00000108479 or ENSG00000156958 or ENSG00000166262","Galactose metabolism"
"78","MAR04415","H2O[e] + lactose[e] => galactose[e] + glucose[e]","ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167","Galactose metabolism"
"79","MAR04416","galactosylglycerol[e] + H2O[e] => galactose[e] + glycerol[e]","ENSG00000102393 or ENSG00000170266 or ENSG00000241343","Galactose metabolism"
"80","MAR04774","CDP[c] + H+[c] + tagatose-1,6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c]","ENSG00000067057 or ENSG00000141959 or ENSG00000152556","Galactose metabolism"
"81","MAR04775","D-tagatose-6-phosphate[c] + ITP[c] <=> H+[c] + IDP[c] + tagatose-1,6-bisphosphate[c]","ENSG00000067057 or ENSG00000141959 or ENSG00000152556","Galactose metabolism"
"82","MAR04831","lactose[e] + NAD+[e] <=> 3-ketolactose[e] + H+[e] + NADH[e]",NA,"Galactose metabolism"
"83","MAR04832","3-keto-beta-D-galactose[e] + glucose[e] <=> 3-ketolactose[e] + H2O[e]","ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167","Galactose metabolism"
"84","MAR07674","glucose[g] + UDP-galactose[g] => H+[g] + lactose[g] + UDP[g]","ENSG00000086062 or ENSG00000117411 or ENSG00000167531","Galactose metabolism"
"85","MAR08761","ATP[c] + D-tagatose[c] => ADP[c] + D-tagatose-6-phosphate[c] + H+[c]","ENSG00000138030","Galactose metabolism"
"86","MAR08762","D-tagatose-6-phosphate[c] <=> DHAP[c] + glyceraldehyde[c]","ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043","Galactose metabolism"
"87","MAR08764","H2O[l] + lactose[l] => galactose[l] + glucose[l]","ENSG00000115850","Galactose metabolism"
"88","MAR08766","galactose[c] + H+[c] + NADPH[c] <=> galactitol[c] + NADP+[c]","ENSG00000085662 or ENSG00000198074","Galactose metabolism"
"89","MAR08767","alpha-D-galactose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-galactose[c]","ENSG00000213930","Galactose metabolism"
"90","MAR00454","ATP[c] + glyceraldehyde[c] => ADP[c] + GAP[c] + H+[c]",NA,"Fructose and mannose metabolism"
"91","MAR04297","ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-2,6-bisphosphate[c] + H+[c]","ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525","Fructose and mannose metabolism"
"92","MAR04310","ATP[c] + fructose[c] => ADP[c] + fructose-1-phosphate[c] + H+[c]","ENSG00000138030","Fructose and mannose metabolism"
"93","MAR04315","D-glucitol[c] + NAD+[c] <=> fructose[c] + H+[c] + NADH[c]","ENSG00000140263","Fructose and mannose metabolism"
"94","MAR04316","D-glucitol[c] + NADP+[c] <=> glucose[c] + H+[c] + NADPH[c]","ENSG00000085662 or ENSG00000198074","Fructose and mannose metabolism"
"95","MAR04317","ATP[c] + D-glucitol[c] => ADP[c] + H+[c] + sorbitol-3-phosphate[c]","ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456","Fructose and mannose metabolism"
"96","MAR04318","ATP[c] + fructose[c] => ADP[c] + fructose-3-phosphate[c] + H+[c]","ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456","Fructose and mannose metabolism"
"97","MAR04319","ATP[c] + fructose[c] => ADP[c] + fructose-6-phosphate[c] + H+[c]","ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883","Fructose and mannose metabolism"
"98","MAR04320","ATP[c] + mannose-1-phosphate[c] => ADP[c] + D-mannose-1,6-bisphosphate[c] + H+[c]","ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456","Fructose and mannose metabolism"
"99","MAR04356","DHAP[c] + glyceraldehyde[c] => fructose-1-phosphate[c]","ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043","Fructose and mannose metabolism"
"100","MAR04383","fructose-6-phosphate[c] <=> mannose-6-phosphate[c]","ENSG00000178802","Fructose and mannose metabolism"
"101","MAR04385","mannose-6-phosphate[c] => mannose-1-phosphate[c]","ENSG00000100413 or ENSG00000100417 or ENSG00000140650","Fructose and mannose metabolism"
"102","MAR04386","GDP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + Pi[c]","ENSG00000144591 or ENSG00000164068 or ENSG00000173540 or ENSG00000176020","Fructose and mannose metabolism"
"103","MAR04387","GTP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + PPi[c]","ENSG00000144591 or ENSG00000173540 or ENSG00000176020","Fructose and mannose metabolism"
"104","MAR04399","GDP-mannose[c] => GDP-4-dehydro-6-deoxy-D-mannose[c] + H2O[c]","ENSG00000112699","Fructose and mannose metabolism"
"105","MAR04400","GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADH[c] => GDP-L-fucose[c] + NAD+[c]","ENSG00000104522","Fructose and mannose metabolism"
"106","MAR04401","GDP-L-fucose[c] + PPi[c] <=> GTP[c] + H+[c] + L-fucose-1-phosphate[c]","ENSG00000116783 or ENSG00000254685 or ENSG00000259030","Fructose and mannose metabolism"
"107","MAR04402","6-deoxy-L-galactose[c] + ATP[c] <=> ADP[c] + H+[c] + L-fucose-1-phosphate[c]","ENSG00000157353","Fructose and mannose metabolism"
"108","MAR04403","6-deoxy-L-galactose[c] => L-fuculose[c]",NA,"Fructose and mannose metabolism"
"109","MAR04490","ATP[c] + mannose[c] => ADP[c] + H+[c] + mannose-6-phosphate[c]","ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883","Fructose and mannose metabolism"
"110","MAR04706","fructose-2,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]","ENSG00000078237 or ENSG00000108813 or ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525","Fructose and mannose metabolism"
"111","MAR08768","GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADPH[c] => GDP-L-fucose[c] + NADP+[c]","ENSG00000104522","Fructose and mannose metabolism"
"112","MAR04590","H+[c] + L-xylulose[c] + NADPH[c] => NADP+[c] + xylitol[c]","ENSG00000169738","Pentose and glucuronate interconversions"
"113","MAR04591","NAD+[c] + xylitol[c] => H+[c] + L-xylulose[c] + NADH[c]","ENSG00000115425 or ENSG00000116353","Pentose and glucuronate interconversions"
"114","MAR04592","D-xylose[c] + H+[c] + NADPH[c] <=> NADP+[c] + xylitol[c]","ENSG00000085662 or ENSG00000198074","Pentose and glucuronate interconversions"
"115","MAR04593","NAD+[c] + xylitol[c] => D-xylulose[c] + H+[c] + NADH[c]","ENSG00000140263","Pentose and glucuronate interconversions"
"116","MAR04594","D-xylose[c] + NADP+[c] => D-xylonolactone[c] + H+[c] + NADPH[c]","ENSG00000104808","Pentose and glucuronate interconversions"
"117","MAR04595","ADP[c] + D-xylulose-5-phosphate[c] + H+[c] <=> ATP[c] + D-xylulose[c]","ENSG00000093217","Pentose and glucuronate interconversions"
"118","MAR08341","H+[c] + L-arabinose[c] + NADPH[c] => L-arabitol[c] + NADP+[c]","ENSG00000053371 or ENSG00000085662 or ENSG00000117448","Pentose and glucuronate interconversions"
"119","MAR08342","H+[c] + L-xylulose[c] + NADH[c] <=> L-arabitol[c] + NAD+[c]",NA,"Pentose and glucuronate interconversions"
"120","MAR08344","glucuronate[r] + H+[r] + NADPH[r] <=> L-gulonate[r] + NADP+[r]","ENSG00000117448","Pentose and glucuronate interconversions"
"121","MAR08352","3-dehydro-L-gulonate[c] + H+[c] + NADH[c] <=> L-gulonate[c] + NAD+[c]","ENSG00000165475","Pentose and glucuronate interconversions"
"122","MAR08353","3-dehydro-L-gulonate[c] + H+[c] <=> CO2[c] + L-xylulose[c]",NA,"Pentose and glucuronate interconversions"
"123","MAR08726","ATP[c] + D-ribulose[c] => ADP[c] + H+[c] + ribulose-5-phosphate[c]","ENSG00000171174","Pentose and glucuronate interconversions"
"124","MAR08727","H2O[c] + UDP-glucuronate[c] => D-glucuronate 1-phosphate[c] + 2 H+[c] + UMP[c]","ENSG00000120697","Pentose and glucuronate interconversions"
"125","MAR08728","D-glucuronate 1-phosphate[c] + H2O[c] => glucuronate[c] + Pi[c]",NA,"Pentose and glucuronate interconversions"
