BIOCHEMICAL,KEGG
(12 or 13)-methylmyristate (a15:0 or i15:0),
(14 or 15)-methylpalmitate (a17:0 or i17:0),
(16 or 17)-methylstearate (a19:0 or i19:0),
(2 or 3)-decenoate (10:1n7 or n8),
"(2,4 or 2,5)-dimethylphenol sulfate",
(2-butoxyethoxy)acetic acid,
(N(1) + N(8))-acetylspermidine,
(R)-3-hydroxybutyrylcarnitine,
(S)-3-hydroxybutyrylcarnitine,
(S)-a-amino-omega-caprolactam,C05328
"1,2,3-benzenetriol sulfate (2)",
"1,3,7-trimethylurate",C16361
"1,3-dimethylurate",
"1,5-anhydroglucitol (1,5-AG)",C07326
"1,7-dimethylurate",C16356
1-carboxyethylisoleucine,
1-carboxyethylleucine,
1-carboxyethylphenylalanine,
1-carboxyethyltyrosine,
1-carboxyethylvaline,
1-linoleoyl-GPA (18:2)*,
1-linoleoyl-GPG (18:2)*,
1-methyl-4-imidazoleacetate,C05828
1-methyl-5-imidazoleacetate,
1-methylhistidine,C01152
1-methylnicotinamide,C02918
1-methylurate,C16359
1-methylxanthine,C16358
1-oleoyl-GPG (18:1)*,
1-palmitoyl-GPG (16:0)*,
1-ribosyl-imidazoleacetate*,C05131
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),
1-stearoyl-2-docosahexaenoyl-GPS (18:0/22:6)*,
1-stearoyl-GPG (18:0),
10-heptadecenoate (17:1n7),
10-hydroxywarfarin,
10-nonadecenoate (19:1n9),
10-undecenoate (11:1n1),C13910
11-ketoetiocholanolone glucuronide,
11beta-hydroxyandrosterone glucuronide,
"12,13-DiHOME",C14829
13-HODE + 9-HODE,
16-hydroxypalmitate,C18218
16a-hydroxy DHEA 3-sulfate,
17alpha-hydroxypregnanolone glucuronide,
1H-indole-7-acetic acid,
2'-deoxyuridine,C00526
2'-O-methylcytidine,
2'-O-methyluridine,
"2,3-dihydroxy-2-methylbutyrate",
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",
"2,3-dihydroxyisovalerate",C04039
"2,3-dihydroxypyridine",
"2,6-dihydroxybenzoic acid",
2-acetamidophenol sulfate,
2-aminoadipate,C00956
2-aminobutyrate,C02261
2-aminoheptanoate,
2-aminooctanoate,
2-aminophenol sulfate,
2-ethylphenylsulfate,
2-hydroxy-3-methylvalerate,
2-hydroxy-4-(methylthio)butanoic acid,
2-hydroxyacetaminophen sulfate*,
2-hydroxyarachidate*,
2-hydroxybutyrate/2-hydroxyisobutyrate,
2-hydroxydecanoate,
2-hydroxyfluorene sulfate,
2-hydroxyglutarate,C02630
2-hydroxyhippurate (salicylurate),C07588
2-hydroxylaurate,
2-hydroxyoctanoate,
2-hydroxypalmitate,
2-hydroxyphenylacetate,C05852
2-hydroxysebacate,
2-hydroxystearate,C03045
2-isopropylmalate,C02504
2-ketocaprylate,
2-methoxyacetaminophen glucuronide*,
2-methoxyacetaminophen sulfate*,
2-methoxyhydroquinone sulfate (1),
2-methoxyhydroquinone sulfate (2),
2-methoxyresorcinol sulfate,
2-methylbutyrylcarnitine (C5),
2-methylcitrate/homocitrate,
2-methylmalonylcarnitine (C4-DC),
2-methylserine,C02115
2-naphthol sulfate,
2-O-methylascorbic acid,
2-oxindole-3-acetate,
2-oxoarginine*,C03771
2-piperidinone,
21-hydroxypregnenolone disulfate,
"2R,3R-dihydroxybutyrate",
"2S,3R-dihydroxybutyrate",
"3,4-dihydroxybutyrate",
"3,5-dichloro-2,6-dihydroxybenzoic acid",
"3,7-dimethylurate",C16360
3-(3-amino-3-carboxypropyl)uridine*,
3-(3-hydroxyphenyl)propionate,C11457
3-(3-hydroxyphenyl)propionate sulfate,
3-(4-hydroxyphenyl)lactate (HPLA),C03672
3-(cystein-S-yl)acetaminophen*,
3-(methylthio)acetaminophen sulfate*,
3-(N-acetyl-L-cystein-S-yl) acetaminophen,
3-acetylphenol sulfate,
3-amino-2-piperidone,
3-aminoisobutyrate,C05145
"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*",
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP),
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),
3-decenoylcarnitine,
3-ethylcatechol sulfate (1),
3-ethylcatechol sulfate (2),
3-formylindole,C08493
3-hydroxy-2-ethylpropionate,
3-hydroxy-2-methylpyridine sulfate,
3-hydroxy-3-methylglutarate,C03761
3-hydroxyadipate*,
3-hydroxybutyrate (BHBA),C01089
3-hydroxybutyroylglycine,
3-hydroxycotinine glucuronide,
3-hydroxydecanoate,
3-hydroxydecanoylcarnitine,
3-hydroxydodecanedioate*,
3-hydroxyhexanoate,
3-hydroxyhexanoylcarnitine (1),
3-hydroxyhippurate,
3-hydroxyhippurate sulfate,
3-hydroxyisobutyrate,C06001
3-hydroxylaurate,
3-hydroxymyristate,
3-hydroxyoctanoate,
3-hydroxyoleoylcarnitine,
3-hydroxypyridine glucuronide,
3-hydroxypyridine sulfate,
3-hydroxysebacate,
3-hydroxystachydrine*,
3-hydroxystearate,
3-indoleglyoxylic acid,
3-indoxyl sulfate,
3-methoxycatechol sulfate (1),
3-methoxycatechol sulfate (2),
3-methoxytyramine sulfate,
3-methoxytyrosine,
3-methyl catechol sulfate (1),
3-methyl catechol sulfate (2),
3-methyl-2-oxobutyrate,C00141
3-methyl-2-oxovalerate,C00671
3-methyladipate,
3-methylcytidine,
3-methylglutaconate,
3-methylglutarate/2-methylglutarate,
3-methylglutarylcarnitine (2),
3-methylhistidine,C01152
3-methylxanthine,C16357
3-phenylpropionate (hydrocinnamate),C05629
3-phosphoglycerate,C00597
3-ureidopropionate,C02642
"3beta,7alpha-dihydroxy-5-cholestenoate",C17335
3beta-hydroxy-5-cholestenoate,C17333
4-acetamidobutanoate,C02946
4-acetamidophenol,C06804
4-acetamidophenylglucuronide,
4-acetaminophen sulfate,C06804
4-acetylcatechol sulfate (1),
4-acetylphenyl sulfate,
4-allylcatechol sulfate,
4-allylphenol sulfate,
4-chlorobenzoic acid,
4-cholesten-3-one,C00599
4-ethylcatechol sulfate,
4-ethylphenyl sulfate,C13637
4-guanidinobutanoate,C01035
4-hydroxy-2-oxoglutaric acid,C01127
4-hydroxychlorothalonil,
4-hydroxycoumarin,C20414
4-hydroxyglutamate,C03079
4-hydroxyhippurate,
4-hydroxyphenylacetatoylcarnitine,
4-hydroxyphenylacetylglutamine,
4-hydroxyphenylpyruvate,C01179
4-imidazoleacetate,C02835
4-methoxyphenol sulfate,
4-methyl-2-oxopentanoate,C00233
4-methylcatechol sulfate,
4-methylguaiacol sulfate,
4-methylhexanoylglutamine,
4-methylnonanoylcarnitine,
4-vinylguaiacol sulfate,
4-vinylphenol sulfate,C05627
"5,6-dihydrothymine",C00906
"5,6-dihydrouracil",C00429
"5,6-dihydrouridine",
5-(galactosylhydroxy)-L-lysine,
5-acetylamino-6-amino-3-methyluracil,C16366
5-acetylamino-6-formylamino-3-methyluracil,C16365
5-dodecenoate (12:1n7),
5-dodecenoylcarnitine (C12:1),
5-hydroxy-2-methylpyridine sulfate,
5-hydroxyhexanoate,
5-hydroxylysine,C16741
5-hydroxymethyl-2-furoic acid,C20448
5-hydroxymethyl-2-furoylcarnitine*,
5-methylthioadenosine (MTA),C00170
5-methyluridine (ribothymidine),
5-oxoproline,C01879
"5alpha-androstan-3alpha,17alpha-diol monosulfate",
"5alpha-androstan-3alpha,17beta-diol 17-glucuronide",
"5alpha-androstan-3alpha,17beta-diol disulfate",
