info_transp1,info_transp2,info_transp3
MAR09581,MAM02035c  <=> MAM02035s ,MAM02035
MAR09583,MAM02467c  <=> MAM02467s ,MAM02467
MAR00004,MAM00503s  -> MAM00503c ,MAM00503
MAR00009,MAM00510s  -> MAM00510c ,MAM00510
MAR00155,MAM01410s  <=> MAM01410c ,MAM01410
MAR00164,MAM03134s  <=> MAM03134c ,MAM03134
MAR00167,MAM02120s  <=> MAM02120c ,MAM02120
MAR00170,MAM02108s  <=> MAM02108c ,MAM02108
MAR00173,MAM02642s  <=> MAM02642c ,MAM02642
MAR00176,MAM02614s  <=> MAM02614c ,MAM02614
MAR00179,MAM01648s  <=> MAM01648c ,MAM01648
MAR00183,MAM03117s  <=> MAM03117c ,MAM03117
MAR00187,MAM02344s  -> MAM02344c ,MAM02344
MAR00191,MAM03051s  -> MAM03051c ,MAM03051
MAR00195,MAM02494s  -> MAM02494c ,MAM02494
MAR00199,MAM00128s  -> MAM00128c ,MAM00128
MAR00203,MAM00117s  -> MAM00117c ,MAM00117
MAR00208,MAM02745s  -> MAM02745c ,MAM02745
MAR00212,MAM02690s  -> MAM02690c ,MAM02690
MAR00216,MAM02674s  -> MAM02674c ,MAM02674
MAR00225,MAM02675s  -> MAM02675c ,MAM02675
MAR00232,MAM01197s  -> MAM01197c ,MAM01197
MAR00236,MAM02456s  -> MAM02456c ,MAM02456
MAR00240,MAM00003s  -> MAM00003c ,MAM00003
MAR00244,MAM01238s  -> MAM01238c ,MAM01238
MAR00248,MAM02938s  -> MAM02938c ,MAM02938
MAR00254,MAM00019s  -> MAM00019c ,MAM00019
MAR00258,MAM01585s  -> MAM01585c ,MAM01585
MAR00262,MAM02646s  -> MAM02646c ,MAM02646
MAR00266,MAM01778s  -> MAM01778c ,MAM01778
MAR00270,MAM00115s  -> MAM00115c ,MAM00115
MAR00274,MAM00104s  -> MAM00104c ,MAM00104
MAR00278,MAM02613s  -> MAM02613c ,MAM02613
MAR00282,MAM01771s  -> MAM01771c ,MAM01771
MAR00288,MAM00017s  -> MAM00017c ,MAM00017
MAR00292,MAM01584s  -> MAM01584c ,MAM01584
MAR00296,MAM01235s  -> MAM01235c ,MAM01235
MAR00300,MAM01207s  -> MAM01207c ,MAM01207
MAR00304,MAM02457s  -> MAM02457c ,MAM02457
MAR00308,MAM02053s  -> MAM02053c ,MAM02053
MAR00312,MAM01373s  -> MAM01373c ,MAM01373
MAR00318,MAM01583s  -> MAM01583c ,MAM01583
MAR00322,MAM01582s  -> MAM01582c ,MAM01582
MAR00326,MAM03045s  -> MAM03045c ,MAM03045
MAR00330,MAM02385s  -> MAM02385c ,MAM02385
MAR00336,MAM02564s  -> MAM02564c ,MAM02564
MAR00340,MAM01432s  -> MAM01432c ,MAM01432
MAR00344,MAM03153s  -> MAM03153c ,MAM03153
MAR00348,MAM02389s  -> MAM02389c ,MAM02389
MAR00352,MAM02939s  -> MAM02939c ,MAM02939
MAR00356,MAM02648s  -> MAM02648c ,MAM02648
MAR00360,MAM01784s  -> MAM01784c ,MAM01784
MAR00364,MAM01741s  -> MAM01741c ,MAM01741
MAR00368,MAM00135s  -> MAM00135c ,MAM00135
MAR00372,MAM00114s  -> MAM00114c ,MAM00114
MAR00376,MAM01689s  -> MAM01689c ,MAM01689
MAR00380,MAM00010s  -> MAM00010c ,MAM00010
MAR00384,MAM00341s  -> MAM00341c ,MAM00341
MAR00388,MAM00260s  -> MAM00260c ,MAM00260
MAR00392,MAM00315s  -> MAM00315c ,MAM00315
MAR00396,MAM02387s  -> MAM02387c ,MAM02387
MAR00400,MAM01932s  -> MAM01932c ,MAM01932
MAR00404,MAM01696s  -> MAM01696c ,MAM01696
MAR00408,MAM01362s  -> MAM01362c ,MAM01362
MAR00412,MAM01291s  -> MAM01291c ,MAM01291
MAR00416,MAM00132s  -> MAM00132c ,MAM00132
MAR00420,MAM00111s  -> MAM00111c ,MAM00111
MAR00424,MAM00094s  -> MAM00094c ,MAM00094
MAR00428,MAM00008s  -> MAM00008c ,MAM00008
MAR00432,MAM00021s  -> MAM00021c ,MAM00021
MAR00436,MAM00265s  -> MAM00265c ,MAM00265
MAR00444,MAM01983c  <=> MAM01983s ,MAM01983
MAR00770,MAM01972c  <=> MAM01972s ,MAM01972
MAR01082,MAM02366c  -> MAM02366s ,MAM02366
MAR03916,MAM01115c  <=> MAM01115s ,MAM01115
MAR03959,MAM02631c  <=> MAM02631s ,MAM02631
MAR04321,MAM01840c  <=> MAM01840s ,MAM01840
MAR04847,MAM01279c  <=> MAM01279s ,MAM01279
MAR04848,MAM02159c  <=> MAM02159s ,MAM02159
MAR04858,MAM01910c  <=> MAM01910s ,MAM01910
MAR04873,MAM02578c  <=> MAM02578s ,MAM02578
MAR04882,MAM03118c  <=> MAM03118s ,MAM03118
MAR04885,MAM02040c  <=> MAM02040s ,MAM02040
MAR04896,MAM02630c  <=> MAM02630s ,MAM02630
MAR04947,MAM03130c  <=> MAM03130s ,MAM03130
MAR04949,MAM03121c  <=> MAM03121s ,MAM03121
MAR04954,MAM01513c  <=> MAM01513s ,MAM01513
MAR04973,MAM02453c  <=> MAM02453s ,MAM02453
MAR04980,MAM02997c  <=> MAM02997s ,MAM02997
MAR04985,MAM02037c  <=> MAM02037s ,MAM02037
MAR04992,MAM01619c  <=> MAM01619s ,MAM01619
MAR04994,MAM02923c  <=> MAM02923s ,MAM02923
MAR04996,MAM01962s  -> MAM01962c ,MAM01962
MAR04999,MAM02124c  <=> MAM02124s ,MAM02124
MAR05000,MAM01796c  <=> MAM01796s ,MAM01796
MAR05003,MAM01630c  <=> MAM01630s ,MAM01630
MAR05007,MAM01830s  -> MAM01830c ,MAM01830
MAR05008,MAM01673c  <=> MAM01673s ,MAM01673
MAR05010,MAM02815c  <=> MAM02815s ,MAM02815
MAR05013,MAM02926c  <=> MAM02926s ,MAM02926
MAR05023,MAM02579c  <=> MAM02579s ,MAM02579
MAR05029,MAM01965c  <=> MAM01965s ,MAM01965
MAR05032,MAM01280c  <=> MAM01280s ,MAM01280
MAR05034,MAM02996c  <=> MAM02996s ,MAM02996
MAR05035,MAM03123c  <=> MAM03123s ,MAM03123
MAR05037,MAM02038c  <=> MAM02038s ,MAM02038
MAR05042,MAM02170c  <=> MAM02170s ,MAM02170
MAR05068,MAM01365s  -> MAM01365c ,MAM01365
MAR05070,MAM02125c  <=> MAM02125s ,MAM02125
MAR05071,MAM02426s  -> MAM02426c ,MAM02426
MAR05073,MAM02471c  -> MAM02471s ,MAM02471
MAR05074,MAM03101c  <=> MAM03101s ,MAM03101
MAR05076,MAM01986s  -> MAM01986c ,MAM01986
MAR05077,MAM01307s  -> MAM01307c ,MAM01307
MAR05078,MAM01975c  <=> MAM01975s ,MAM01975
MAR05079,MAM02896s  -> MAM02896c ,MAM02896
MAR05080,MAM03089c  <=> MAM03089s ,MAM03089
MAR05082,MAM02724c  <=> MAM02724s ,MAM02724
MAR05084,MAM01628s  -> MAM01628c ,MAM01628
MAR05085,MAM02360c  <=> MAM02360s ,MAM02360
