Line	BIOCHEMICAL	SUPER.PATHWAY	SUB.PATHWAY	names_2	type	group	under_group
302	butyrate/isobutyrate (4:0)	Lipid	Short Chain Fatty Acid	butyrate/isobutyrate (4:0)	MDM	produced_by_intestinal_bacteria	Short Chain Fatty Acid
637	N-acetylputrescine	Amino Acid	Polyamine Metabolism	N-acetylputrescine	MDM	produced_by_intestinal_bacteria	Polyamines
792	spermidine	Amino Acid	Polyamine Metabolism	spermidine	MDM	produced_by_intestinal_bacteria	Polyamines
793	spermine	Amino Acid	Polyamine Metabolism	spermine	MDM	produced_by_intestinal_bacteria	Polyamines
819	taurine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	taurine	MDM	produced_by_host_modified_by_bacteria	Taurine
363	deoxycholate	Lipid	Secondary Bile Acid Metabolism	deoxycholate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
364	deoxycholic acid 12-sulfate*	Lipid	Secondary Bile Acid Metabolism	deoxycholic acid 12-sulfate*	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
365	deoxycholic acid glucuronide	Lipid	Secondary Bile Acid Metabolism	deoxycholic acid glucuronide	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
483	glycocholenate sulfate*	Lipid	Secondary Bile Acid Metabolism	glycocholenate sulfate*	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
484	glycodeoxycholate	Lipid	Secondary Bile Acid Metabolism	glycodeoxycholate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
485	glycodeoxycholate 3-sulfate	Lipid	Secondary Bile Acid Metabolism	glycodeoxycholate 3-sulfate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
486	glycohyocholate	Lipid	Secondary Bile Acid Metabolism	glycohyocholate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
487	glycolithocholate	Lipid	Secondary Bile Acid Metabolism	glycolithocholate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
488	glycolithocholate sulfate*	Lipid	Secondary Bile Acid Metabolism	glycolithocholate sulfate*	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
489	glycoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	glycoursodeoxycholate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
490	glycoursodeoxycholic acid sulfate (1)	Lipid	Secondary Bile Acid Metabolism	glycoursodeoxycholic acid sulfate (1)	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
522	hyocholate	Lipid	Secondary Bile Acid Metabolism	hyocholate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
543	isoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	isoursodeoxycholate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
567	lithocholate sulfate (1)	Lipid	Secondary Bile Acid Metabolism	lithocholate sulfate (1)	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
822	taurochenodeoxycholic acid 3-sulfate	Lipid	Secondary Bile Acid Metabolism	taurochenodeoxycholic acid 3-sulfate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
824	taurocholenate sulfate*	Lipid	Secondary Bile Acid Metabolism	taurocholenate sulfate*	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
825	taurodeoxycholate	Lipid	Secondary Bile Acid Metabolism	taurodeoxycholate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
826	taurodeoxycholic acid 3-sulfate	Lipid	Secondary Bile Acid Metabolism	taurodeoxycholic acid 3-sulfate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
827	taurohyocholate*	Lipid	Secondary Bile Acid Metabolism	taurohyocholate*	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
828	taurolithocholate 3-sulfate	Lipid	Secondary Bile Acid Metabolism	taurolithocholate 3-sulfate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
863	ursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	ursodeoxycholate	MDM	produced_by_host_modified_by_bacteria	Secondary Bile Acid Metabolism
23	1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	1-methyl-4-imidazoleacetate	MDM	produced_by_intestinal_bacteria	Acetate derivates
24	1-methyl-5-imidazoleacetate	Amino Acid	Histidine Metabolism	1-methyl-5-imidazoleacetate	MDM	produced_by_intestinal_bacteria	Acetate derivates
31	1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	1-ribosyl-imidazoleacetate*	MDM	produced_by_intestinal_bacteria	Acetate derivates
46	1H-indole-7-acetic acid	Xenobiotics	Bacterial/Fungal	1H-indole-7-acetic acid	MDM	produced_by_intestinal_bacteria	Indole derivatives
50	2,3-dihydroxy-2-methylbutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	2,3-dihydroxy-2-methylbutyrate	MDM	produced_by_intestinal_bacteria	Butyrate derivates
