"","Localisation","HumanName","BrainRegion"
"735","Postsynaptic","DLG4","Brain"
"736","Postsynaptic","CAMK2A","Brain"
"737","Postsynaptic","INA","Brain"
"738","Postsynaptic","SPTBN1","Brain"
"739","Postsynaptic","CAMK2B","Brain"
"740","Postsynaptic","DLG2","Brain"
"741","Postsynaptic","GRIN2B","Brain"
"742","Postsynaptic","NSF","Brain"
"743","Postsynaptic","GRIN1","Brain"
"744","Postsynaptic","BAIAP2","Brain"
"745","Postsynaptic","BSN","Brain"
"746","Postsynaptic","SYN2","Brain"
"747","Postsynaptic","SLC25A4","Brain"
"748","Postsynaptic","NEFM","Brain"
"749","Postsynaptic","DLG3","Brain"
"750","Postsynaptic","HOMER1","Brain"
"751","Postsynaptic","GLUL","Brain"
"752","Postsynaptic","GRIA2","Brain"
"753","Postsynaptic","SYNGAP1","Brain"
"754","Postsynaptic","05-Sep","Brain"
"755","Postsynaptic","NEFL","Brain"
"756","Postsynaptic","SHANK1","Brain"
"757","Postsynaptic","CNP","Brain"
"758","Postsynaptic","CIT","Brain"
"759","Postsynaptic","PLEC","Brain"
"760","Postsynaptic","SYN1","Brain"
"761","Postsynaptic","GRIA1","Brain"
"762","Postsynaptic","HSPA8","Brain"
"763","Postsynaptic","GNB1","Brain"
"764","Postsynaptic","DLGAP1","Brain"
"765","Postsynaptic","PRKCG","Brain"
"766","Postsynaptic","MAP1A","Brain"
"767","Postsynaptic","GLUD1","Brain"
"768","Postsynaptic","ALDOA","Brain"
"769","Postsynaptic","ACTN1","Brain"
"770","Postsynaptic","CLTC","Brain"
"771","Postsynaptic","CKMT1A","Brain"
"772","Postsynaptic","AP2A1","Brain"
"773","Postsynaptic","MYO5A","Brain"
"774","Postsynaptic","SYT1","Brain"
"775","Postsynaptic","CAMK2D","Brain"
"776","Postsynaptic","GNAO1","Brain"
"777","Postsynaptic","CTNND2","Brain"
"778","Postsynaptic","SHANK3","Brain"
"779","Postsynaptic","DLG1","Brain"
"780","Postsynaptic","GAPDH","Brain"
"781","Postsynaptic","SRCIN1","Brain"
"782","Postsynaptic","STXBP1","Brain"
"783","Postsynaptic","PLP1","Brain"
"784","Postsynaptic","GRIA3","Brain"
"785","Postsynaptic","DNM1","Brain"
"786","Postsynaptic","RPH3A","Brain"
"787","Postsynaptic","ADD1","Brain"
"788","Postsynaptic","SYNPO","Brain"
"789","Postsynaptic","KALRN","Brain"
"790","Postsynaptic","CAPZA2","Brain"
"791","Postsynaptic","SHANK2","Brain"
"792","Postsynaptic","CTNNB1","Brain"
"793","Postsynaptic","MBP","Brain"
"794","Postsynaptic","CAPZB","Brain"
"795","Postsynaptic","EEF1A2","Brain"
"796","Postsynaptic","IMMT","Brain"
"797","Postsynaptic","MAP2","Brain"
"798","Postsynaptic","ATP6V1A","Brain"
"799","Postsynaptic","ATP1A3","Brain"
"800","Postsynaptic","MOG","Brain"
"801","Postsynaptic","DPYSL2","Brain"
"802","Postsynaptic","CYFIP2","Brain"
"803","Postsynaptic","PPP1R9B","Brain"
"804","Postsynaptic","07-Sep","Brain"
"805","Postsynaptic","YWHAZ","Brain"
"806","Postsynaptic","RIMS1","Brain"
"807","Postsynaptic","PURA","Brain"
"808","Postsynaptic","DYNC1H1","Brain"
"809","Postsynaptic","ANK2","Brain"
"810","Postsynaptic","MYH10","Brain"
"811","Postsynaptic","PPP2R1A","Brain"
"812","Postsynaptic","IQSEC1","Brain"
"813","Postsynaptic","IQSEC2","Brain"
"814","Postsynaptic","MAP1B","Brain"
"815","Postsynaptic","TMOD2","Brain"
"816","Postsynaptic","ADD2","Brain"
"817","Postsynaptic","VDAC3","Brain"
"818","Postsynaptic","VDAC2","Brain"
"819","Postsynaptic","GJA1","Brain"
"820","Postsynaptic","PHB2","Brain"
"821","Postsynaptic","SLC25A22","Brain"
"822","Postsynaptic","CFL1","Brain"
"823","Postsynaptic","SFXN3","Brain"
"824","Postsynaptic","ATP6V1B2","Brain"
"825","Postsynaptic","ATP5A1","Brain"
"826","Postsynaptic","TUBA1A","Brain"
"827","Postsynaptic","VDAC1","Brain"
"828","Postsynaptic","ACTN4","Brain"
"829","Postsynaptic","CAMK2G","Brain"
"830","Postsynaptic","EPB41L3","Brain"
"831","Postsynaptic","ANKS1B","Brain"
"832","Postsynaptic","AP2B1","Brain"
"833","Postsynaptic","MYH9","Brain"
