"","Localisation","HumanName","BrainRegion"
"735","Postsynaptic","DLG4","Brain"
"744","Postsynaptic","BAIAP2","Brain"
"757","Postsynaptic","CNP","Brain"
"758","Postsynaptic","CIT","Brain"
"780","Postsynaptic","GAPDH","Brain"
"782","Postsynaptic","STXBP1","Brain"
"785","Postsynaptic","DNM1","Brain"
"787","Postsynaptic","ADD1","Brain"
"796","Postsynaptic","IMMT","Brain"
"797","Postsynaptic","MAP2","Brain"
"803","Postsynaptic","PPP1R9B","Brain"
"832","Postsynaptic","AP2B1","Brain"
"833","Postsynaptic","MYH9","Brain"
"835","Postsynaptic","PPP1CC","Brain"
"838","Postsynaptic","NFASC","Brain"
"840","Postsynaptic","DBN1","Brain"
"842","Postsynaptic","WASF1","Brain"
"847","Postsynaptic","YWHAQ","Brain"
"880","Postsynaptic","CDH2","Brain"
"898","Postsynaptic","BCAN","Brain"
"902","Postsynaptic","PRDX2","Brain"
"910","Postsynaptic","DCTN1","Brain"
"923","Postsynaptic","GIT1","Brain"
"924","Postsynaptic","MINK1","Brain"
"925","Postsynaptic","DNAJA2","Brain"
"931","Postsynaptic","MAPT","Brain"
"976","Postsynaptic","ERC2","Brain"
"979","Postsynaptic","NCAN","Brain"
"984","Postsynaptic","DNM3","Brain"
"1002","Postsynaptic","PPIB","Brain"
"1024","Postsynaptic","CHCHD6","Brain"
"1034","Postsynaptic","DNAJC6","Brain"
"1037","Postsynaptic","RAB10","Brain"
"1061","Postsynaptic","SV2A","Brain"
"1064","Postsynaptic","ENO1","Brain"
"1072","Postsynaptic","PCBP2","Brain"
"1078","Postsynaptic","CCT5","Brain"
"1103","Postsynaptic","VSNL1","Brain"
"1106","Postsynaptic","ENO2","Brain"
"1109","Postsynaptic","DECR1","Brain"
"1115","Postsynaptic","CSNK2A1","Brain"
"1116","Postsynaptic","VIM","Brain"
"1119","Postsynaptic","CLIP2","Brain"
"1142","Postsynaptic","DNAJB6","Brain"
"1144","Postsynaptic","RPL14","Brain"
"1157","Postsynaptic","IGSF8","Brain"
"1163","Postsynaptic","PRDX5","Brain"
"1168","Postsynaptic","GPI","Brain"
"1172","Postsynaptic","DCTN2","Brain"
"1195","Postsynaptic","MAP2K1","Brain"
"1203","Postsynaptic","CORO1A","Brain"
"1211","Postsynaptic","RAP1A","Brain"
"1214","Postsynaptic","HNRNPK","Brain"
"1226","Postsynaptic","PRKAR1A","Brain"
"1280","Postsynaptic","COX5B","Brain"
"1281","Postsynaptic","CDC42BPB","Brain"
"1298","Postsynaptic","LRRC59","Brain"
"1300","Postsynaptic","SRC","Brain"
"1301","Postsynaptic","EEF1D","Brain"
"1316","Postsynaptic","RAPGEF2","Brain"
"1321","Postsynaptic","LETM1","Brain"
"1331","Postsynaptic","FARSA","Brain"
"1337","Postsynaptic","CACNB3","Brain"
"1343","Postsynaptic","CSNK1D","Brain"
"1344","Postsynaptic","DBNL","Brain"
"1358","Postsynaptic","OXCT1","Brain"
"1366","Postsynaptic","HSP90B1","Brain"
"1371","Postsynaptic","ENPP6","Brain"
"1372","Postsynaptic","SH3GLB2","Brain"
"1386","Postsynaptic","ATP6V1G2","Brain"
"1389","Postsynaptic","TOM1L2","Brain"
"1410","Postsynaptic","AIFM1","Brain"
"1418","Postsynaptic","NDUFS6","Brain"
"1438","Postsynaptic","BCR","Brain"
"1441","Postsynaptic","EHD3","Brain"
"1488","Postsynaptic","NDUFB7","Brain"
"1493","Postsynaptic","AK1","Brain"
"1517","Postsynaptic","HIP1R","Brain"
"1526","Postsynaptic","SNCA","Brain"
"1529","Postsynaptic","CRYM","Brain"
"1543","Postsynaptic","PRDX3","Brain"
"1563","Postsynaptic","SLC27A4","Brain"
"1567","Postsynaptic","EIF4G1","Brain"
"1582","Postsynaptic","PLXNA4","Brain"
"1583","Postsynaptic","NEDD4L","Brain"
"1584","Postsynaptic","CEP170","Brain"
"1585","Postsynaptic","MYCBP2","Brain"
"1603","Postsynaptic","C1QBP","Brain"
"1605","Postsynaptic","HPCAL1","Brain"
"1606","Postsynaptic","SCRN1","Brain"
"1614","Postsynaptic","STX7","Brain"
"1618","Postsynaptic","DNAJB1","Brain"
"1636","Postsynaptic","QDPR","Brain"
"1646","Postsynaptic","BRSK2","Brain"
"1657","Postsynaptic","EZR","Brain"
"1660","Postsynaptic","WASF3","Brain"
"1667","Postsynaptic","AHSA1","Brain"
"1670","Postsynaptic","DNAJB2","Brain"
"1685","Postsynaptic","SLC4A1","Brain"
"1692","Postsynaptic","ARHGAP1","Brain"
"1696","Postsynaptic","NSFL1C","Brain"
"1708","Postsynaptic","SDHB","Brain"
"1716","Postsynaptic","LARP1","Brain"
"1721","Postsynaptic","COX6B1","Brain"
"1732","Postsynaptic","MPRIP","Brain"
"1737","Postsynaptic","NPM1","Brain"
"1739","Postsynaptic","ARHGEF12","Brain"
"1742","Postsynaptic","BAG6","Brain"
"1770","Postsynaptic","NAP1L4","Brain"
"1776","Postsynaptic","DUSP3","Brain"
"1795","Postsynaptic","CLTA","Brain"
"1808","Postsynaptic","SSBP1","Brain"
"1817","Postsynaptic","USO1","Brain"
"1840","Postsynaptic","NDUFA5","Brain"
"1844","Postsynaptic","LONP1","Brain"
"1860","Postsynaptic","IST1","Brain"
"1869","Postsynaptic","PARP1","Brain"
"1877","Postsynaptic","FMR1","Brain"
"1881","Postsynaptic","FUS","Brain"
"1890","Postsynaptic","ANXA1","Brain"
"1896","Postsynaptic","ANXA11","Brain"
"1897","Postsynaptic","ESYT2","Brain"
"1898","Postsynaptic","HSPA1A","Brain"
