"","HumanName","Localisation","BrainRegion","avg_log2FC","p_val_adj","cluster"
"1","ADGRG1","Synaptosome","Hippocampus",1.75979337142191,0,"NK"
"2","ADGRG1","Synaptosome","Motor cortex",1.75979337142191,0,"NK"
"3","ANXA2","Postsynaptic","Brain",1.3818720013088,0,"CD14+ Mono"
"4","ANXA2","Postsynaptic","Brain",1.33782619342028,3.4381892494255e-81,"CD16+ Mono"
"5","ANXA2","Postsynaptic","Brain",1.64348892793291,5.65968052693181e-61,"DC"
"6","ANXA2","Postsynaptic","Cerebral cortex",1.3818720013088,0,"CD14+ Mono"
"7","ANXA2","Postsynaptic","Cerebral cortex",1.33782619342028,3.4381892494255e-81,"CD16+ Mono"
"8","ANXA2","Postsynaptic","Cerebral cortex",1.64348892793291,5.65968052693181e-61,"DC"
"9","ANXA2","Postsynaptic","Frontal lobe",1.3818720013088,0,"CD14+ Mono"
"10","ANXA2","Postsynaptic","Frontal lobe",1.33782619342028,3.4381892494255e-81,"CD16+ Mono"
"11","ANXA2","Postsynaptic","Frontal lobe",1.64348892793291,5.65968052693181e-61,"DC"
"12","ASAH1","Synaptosome","Hippocampus",1.47389090164987,0,"CD14+ Mono"
"13","ASAH1","Synaptosome","Hippocampus",1.80985045454305,1.39640011097044e-133,"CD16+ Mono"
"14","ASAH1","Synaptosome","Motor cortex",1.47389090164987,0,"CD14+ Mono"
"15","ASAH1","Synaptosome","Motor cortex",1.80985045454305,1.39640011097044e-133,"CD16+ Mono"
"16","BLVRB","Synaptosome","Hippocampus",2.04493885584751,0,"CD14+ Mono"
"17","BLVRB","Postsynaptic","Brain",2.04493885584751,0,"CD14+ Mono"
"18","BLVRB","Synaptosome","Motor cortex",2.04493885584751,0,"CD14+ Mono"
"19","BLVRB","Postsynaptic","Frontal lobe",2.04493885584751,0,"CD14+ Mono"
"20","BLVRB","Postsynaptic","Cerebral cortex",2.04493885584751,0,"CD14+ Mono"
"21","CAT","Postsynaptic","Frontal lobe",1.00997333139988,4.49582925326607e-56,"DC"
"22","CAT","Synaptosome","Motor cortex",1.00997333139988,4.49582925326607e-56,"DC"
"23","CAT","Synaptosome","Hippocampus",1.00997333139988,4.49582925326607e-56,"DC"
"24","CMC1","Postsynaptic","Cerebral cortex",1.9515393611945,7.23298197835771e-170,"NK"
"25","COMT","Postsynaptic","Frontal lobe",1.04163231115289,0,"CD14+ Mono"
"26","COMT","Synaptosome","Motor cortex",1.04163231115289,0,"CD14+ Mono"
"27","COMT","Synaptosome","Hippocampus",1.04163231115289,0,"CD14+ Mono"
"28","COMT","Postsynaptic","Brain",1.04163231115289,0,"CD14+ Mono"
"29","CST3","Synaptosome","Motor cortex",2.43483654552014,1.69550410788873e-181,"CD16+ Mono"
"30","CST3","Synaptosome","Motor cortex",3.50220939901853,6.51497781391419e-146,"DC"
"31","CST3","Synaptosome","Motor cortex",3.4300868650452,0,"CD14+ Mono"
"32","CST3","Synaptosome","Hippocampus",2.43483654552014,1.69550410788873e-181,"CD16+ Mono"
"33","CST3","Synaptosome","Hippocampus",3.50220939901853,6.51497781391419e-146,"DC"
"34","CST3","Synaptosome","Hippocampus",3.4300868650452,0,"CD14+ Mono"
"35","CST3","Postsynaptic","Cerebral cortex",2.43483654552014,1.69550410788873e-181,"CD16+ Mono"
"36","CST3","Postsynaptic","Cerebral cortex",3.50220939901853,6.51497781391419e-146,"DC"
"37","CST3","Postsynaptic","Cerebral cortex",3.4300868650452,0,"CD14+ Mono"
"38","CSTB","Synaptosome","Hippocampus",1.20790411763754,3.14212931482692e-71,"CD16+ Mono"
"39","CSTB","Synaptosome","Motor cortex",1.20790411763754,3.14212931482692e-71,"CD16+ Mono"
"40","CTSD","Synaptosome","Hippocampus",2.05711477015629,0,"CD14+ Mono"
"41","CTSD","Postsynaptic","Frontal lobe",2.05711477015629,0,"CD14+ Mono"
"42","CTSD","Synaptosome","Motor cortex",2.05711477015629,0,"CD14+ Mono"
"43","EZR","Synaptosome","Motor cortex",1.19461992993186,1.97422008451471e-197,"B"
"44","EZR","Synaptosome","Hippocampus",1.19461992993186,1.97422008451471e-197,"B"
"45","EZR","Postsynaptic","Brain",1.19461992993186,1.97422008451471e-197,"B"
"46","EZR","Postsynaptic","Cerebral cortex",1.19461992993186,1.97422008451471e-197,"B"
"47","GAPDH","Postsynaptic","Brain",1.38018654069909,0,"CD14+ Mono"
"48","GAPDH","Postsynaptic","Brain",1.13369460681634,1.61167572856252e-48,"DC"
"49","GAPDH","Synaptosome","Hippocampus",1.38018654069909,0,"CD14+ Mono"
"50","GAPDH","Synaptosome","Hippocampus",1.13369460681634,1.61167572856252e-48,"DC"
"51","GAPDH","Postsynaptic","Cerebral cortex",1.38018654069909,0,"CD14+ Mono"
"52","GAPDH","Postsynaptic","Cerebral cortex",1.13369460681634,1.61167572856252e-48,"DC"
"53","GAPDH","Postsynaptic","Frontal lobe",1.38018654069909,0,"CD14+ Mono"
"54","GAPDH","Postsynaptic","Frontal lobe",1.13369460681634,1.61167572856252e-48,"DC"
"55","GAPDH","Synaptosome","Motor cortex",1.38018654069909,0,"CD14+ Mono"
"56","GAPDH","Synaptosome","Motor cortex",1.13369460681634,1.61167572856252e-48,"DC"
"57","GAPDH","Postsynaptic","Brain",1.38018654069909,0,"CD14+ Mono"
"58","GAPDH","Postsynaptic","Brain",1.13369460681634,1.61167572856252e-48,"DC"
"59","GAPDH","Postsynaptic","Frontal lobe",1.38018654069909,0,"CD14+ Mono"
"60","GAPDH","Postsynaptic","Frontal lobe",1.13369460681634,1.61167572856252e-48,"DC"
"61","GSTP1","Synaptosome","Motor cortex",1.12909678575632,5.23405247814279e-61,"CD16+ Mono"
"62","GSTP1","Synaptosome","Motor cortex",2.40237619460163,0,"CD14+ Mono"
"63","GSTP1","Synaptosome","Motor cortex",1.67510427441085,6.53219462406359e-59,"DC"
"64","GSTP1","Postsynaptic","Frontal lobe",1.12909678575632,5.23405247814279e-61,"CD16+ Mono"
