Name,Description,Format,Definition
ob1,Blood sample taken,Dic,"0: No
1: Yes"
ob2,Grandparents origin,Cat,"1: Danish
2: Other Scandinavian
3: Other European
4: Turkish
5: Pakistani, Indian, Sri Lankan
6: Arab/Iran
7: Other (African, Asian, Greenland)"
ob3,Duration since last meal,Cat,"Unit: hours
1: 0-1
2: 1-2
3: 2-3
4: 3-4
5: 4-5
6: 5-6
7: 6-7
8: 7-8
9: > 8"
ob4,Height of participant,Num,Unit: cm
ob5,Weight of participant,Num,Unit: kg
bmi,*Body mass index,Num,Unit: kg/m2
bmikat,*WHO BMI category,Cat,"1: underweight
2: normal
3: overweight
4: obese"
ob6,Waist circumference,Num,Unit: cm
central_obesity,*IDF definition,Cat,"0: No
1:Yes"
ob7,Hip circumference,Num,Unit: cm
WHR,*Waist hip ratio,Num,Unit: ratio
ob8,"Systolic blood pressure, left arm",Num,Unit: mm mercury
ob9,"Diastolic blood pressure, left arm",Num,Unit: mm mercury
ob10,"Systolic blood pressure, right arm",Num,Unit: mm mercury
ob11,"Diastolic blood pressure, right arm",Num,Unit: mm mercury
hypertension,*JNC7 definition,Dic,"0: No
1: Yes"
diabetes,"*Min one of the following:  tx with antidiabetic drug for T2DM
or non-fasting venous plasma glucose ≥ 11.1 mmol/L
or  HbA1c ≥ 6.5%
",Dic,"0: No
1: Yes"
ob12,"Bloodpressure, right leg",Num,Unit: mm mercury
ob13,"Bloodpressure, left leg",Num,Unit: mm mercury
ob14,Ankle brachial index,Cat,"1: > 0.9
2: < 0.9"
ob15,Liver stiffness measurement,Num,Unit: kpa
ob16,Interquartile range,Num,One decimal
ob17,Fibroscan not possible,Cat,1: Yes
ob18,Saturation,Num,Unit: %
ob19,Pulse,Num,Unit: beats per minute
ob20,Forced vital capacity,Num,Unit: L
ob21,Forced expiratory volume in 1 sec,Num,Unit: L
ob22,FEV1/FVC,Num,Unit: %
ob23,FVC after bronchodilation,Num,Unit: L
ob24,FEV1 after bronchodilation,Num,Unit: L
ob25 ,FEV1/FVC after bronchodilation,Num,Unit: %
ob26,Expiratory nitrogen oxid,Num,Unit: parts per billion 
ob27,Instruction for spirometry,Cat,"1: Easy
2: Difficult
3: Impossible"
H2_01,Chest pain – hurry/stair walk,Dic,"0: No
1: Yes"
H2_02,Shortness of breath – hurry/uphill ,Dic,"0: No
1: Yes"
H2_03,Shortness of breath – peers straight road,Dic,"0: No
1: Yes"
H2_04,Stop for breath after walking – own pace,Dic,"0: No
1: Yes"
H2_05,Shortness of breath - awake at night,Dic,"0: No
1: Yes"
H2_06,Shortness of breath – shower/dressing,Dic,"0: No
1: Yes"
H2_07,Short of breath – morning,Dic,"0: No
1: Yes"
H2_08,Short of breath – rest,Dic,"0: No
1: Yes"
H2_09a,Reflux,Dic,"0: No
1: Yes"
H2_09b,Reflux when coughing,Dic,"0: No
1: Yes"
H2_09c,Reflux when dyspnoea,Dic,"0: No
1: Yes"
H2_10,Cough – cont. for past 8 weeks,Dic,"0: No
1: Yes"
H2_11a,Sputum – cont. for 3 month/yr,Dic,"0: No
1: Yes"
H2_11b,"If yes, sputum white/clear",Dic,"0: No
1: Yes"
H2_11c,"Sputum yellow, green, purulent",Dic,"0: No
1: Yes"
H2_12a,Self-reported COPD (told by MD/nurse),Dic,"0: No
1: Yes"
H2_12b,"If yes, age at diagnosis",Num,Unit: years
H2_13a,Long exposure to dust,Dic,"0: No
1: Yes"
H2_13b,"If yes, number of years",Num,Unit: years
H2_14a,"Wheezing, intermittently",Dic,"0: No
1: Yes"
H2_14b,"If yes, when having a cold",Dic,"0: No
1: Yes"
H2_14c,"If yes, exertional",Dic,"0: No
1: Yes"
H2_14d,"If yes, unknown reason",Dic,"0: No
1: Yes"
,Food/medication/grass/flower/animal hair induced:,,
H2_15a,Asthma,Dic,"0: No
1: Yes"
H2_15b,Hay fever,Dic,"0: No
1: Yes"
H2_15c,Eczema,Dic,"0: No
1: Yes"
H2_16,Asthma/hay fever/eczema as child,Dic,"0: No
1: Yes"
H2_17a,Self-reported asthma,Dic,"0: No
1: Yes"
H2_17b,"If yes, number of years",Num,Years
