NGI ID	User ID	Mreads	>=Q30
P20109_101	UN001	173.40	90.45
P20109_102	UN002	32.50	92.81
P20109_103	UN003	33.94	92.96
P20109_104	UN004	38.52	92.95
P20109_105	UN005	37.83	92.75
P20109_106	UN006	35.36	93.15
P20109_107	UN007	147.26	90.91
P20109_108	UN008	132.07	92.01
P20109_109	UN009	38.24	92.33
P20109_110	UN010	26.92	92.97
P20109_111	UN011	34.02	93.03
P20109_112	UN012	23.63	92.44
P20109_113	UN013	30.97	93.40
P20109_114	UN014	37.88	93.43
P20109_115	UN015	39.55	93.75
P20109_116	UN016	38.04	93.32
P20109_117	UN017	42.22	93.02
P20109_118	UN018	46.57	93.88
P20109_119	UN019	28.96	93.71
P20109_120	UN020	39.01	93.07
P20109_121	UN021	37.88	93.61
P20109_122	UN022	40.02	93.28
P20109_123	UN023	156.10	92.20
P20109_124	UN024	27.50	93.60
P20109_125	UN025	34.50	91.77
P20109_126	UN026	42.51	92.16
P20109_127	UN027	37.80	93.48
P20109_128	UN028	40.49	93.67
P20109_129	UN029	33.58	93.98
P20109_130	UN030	140.51	91.61
P20109_131	UN031	31.61	93.66
P20109_132	UN032	32.00	93.38
P20109_133	UN033	26.23	91.70
P20109_134	UN035	37.20	93.36
P20109_135	UN036	49.83	93.48
P20109_136	UN037	40.35	93.21
P20109_137	UN038	24.31	93.52
P20109_138	UN039	23.17	93.47
P20109_139	UN040	26.95	93.13
P20109_141	UN043	42.33	91.38
P20109_142	UN044	42.14	93.30
P20109_143	UN045	50.01	93.82
P20109_145	UN047	37.38	92.99
P20109_146	UN049	176.23	90.55
P20109_147	UN051	34.71	93.38
P20109_148	UN052	32.52	93.77
P20109_149	UN053	43.61	93.13
P20109_150	UN054	48.29	92.66
P20109_152	UN056	41.50	93.44
P20109_153	UN057	36.34	93.22
P20109_156	UN060	31.56	93.87
P20109_157	UN061	34.56	93.76
P20109_158	UN062	40.75	91.65
P20109_159	UN063	51.62	93.70
P20109_160	UN064	48.65	93.29
P20109_161	UN065	35.27	93.34
P20109_162	UN066	40.89	93.05
P20109_163	UN067	38.88	93.92
P20109_164	UN068	37.36	93.58
P20109_165	UN070	32.29	92.60
P20109_166	UN071	45.29	93.35
P20109_167	UN072	123.96	92.18
P20109_168	UN073	34.84	93.41
P20109_169	UN075	141.89	92.79
P20109_170	UN076	25.67	93.74
P20109_172	UN078	24.92	93.40
P20109_173	UN079	30.47	92.15
P20109_174	UN080	29.80	92.99
P20109_175	UN081	44.67	93.93
P20109_176	UN082	41.47	93.32
P20109_178	UN084	163.23	92.35
P20109_179	UN085	140.51	91.87
P20109_180	UN086	21.45	93.10
P20109_181	UN087	41.38	93.34
P20109_182	UN088	37.86	93.76
P20109_183	UN089	42.76	93.37
P20109_184	UN090	32.65	93.81
P20109_185	UN091	38.99	93.57
P20109_186	UN092	45.00	93.02
P20109_187	UN093	23.08	92.90
P20109_188	UN094	24.89	92.79
P20109_189	UN095	40.20	93.46
P20109_190	UN096	35.43	93.04
P20109_191	UN097	16.32	92.79
P20109_192	UN098	32.46	93.50
P20109_193	UN099	33.95	93.63
P20109_194	UN100	39.09	93.68
P20109_195	UN101	25.28	93.37
P20109_196	UN102	30.80	93.37
P20109_201	UN103	37.41	93.94
P20109_202	UN104	19.00	93.20
P20109_203	UN105	157.16	92.10
P20109_204	UN106	119.49	92.33
P20109_205	UN107	18.90	93.33
P20109_206	UN108	129.74	92.11
P20109_207	UN109	33.43	93.74
P20109_208	UN110	34.53	93.40
P20109_209	UN111	20.54	93.79
P20109_210	UN112	131.81	92.09
P20109_211	UN113	108.66	92.45
P20109_212	UN114	140.12	92.78
P20109_213	UN115	153.30	92.09
P20109_214	UN116	91.77	92.68
P20109_215	UN117	112.38	92.56
P20109_216	UN120	133.09	92.64
P20109_217	UN121	27.17	93.14
P20109_218	UN122	116.16	92.56
P20109_219	UN123	115.40	92.68
P20109_220	UN124	114.65	92.45
P20109_221	UN125	20.24	93.42
P20109_222	UN126	23.85	93.76
P20109_223	UN127	19.11	93.33
P20109_224	UN128	120.26	91.92
P20109_225	UN129	164.96	92.13
P20109_226	UN130	131.98	92.40
P20109_227	UN131	24.83	93.15
P20109_228	UN132	19.98	93.30
P20109_229	UN133	114.88	91.73
P20109_230	UN134	140.96	92.90
P20109_231	UN135	21.91	93.66
P20109_232	UN136	19.72	93.92
P20109_233	UN137	40.78	93.66
P20109_234	UN138	26.14	93.63
P20109_235	UN139	21.52	93.38
P20109_236	UN140	143.83	92.50
P20109_237	UN141	27.28	92.52
P20109_238	UN143	21.40	93.52
P20109_239	UN144	26.21	92.86
P20109_240	UN145	19.26	93.46
P20109_241	UN146	117.37	92.53
P20109_242	UN147	23.64	93.15
P20109_243	UN149	20.31	93.36
P20109_244	UN150	24.82	93.60
P20109_245	UN151	18.16	93.73
P20109_246	UN152	15.40	93.21
P20109_247	UN153	20.80	93.87
P20109_248	UN154	17.84	93.50
P20109_249	UN155	21.97	92.96
P20109_250	UN156	27.17	93.71
P20109_251	UN157	24.88	93.98
P20109_252	UN158	129.61	91.46
P20109_253	UN159	23.58	93.20
P20109_254	UN160	32.24	93.80
P20109_255	UN161	28.99	93.73
P20109_256	UN162	23.25	93.75
P20109_257	UN163	41.28	94.11
P20109_258	UN164	23.16	93.42
P20109_259	UN165	19.02	93.99
P20109_260	UN166	19.65	92.87
P20109_261	UN167	20.46	93.62
P20109_262	UN168	26.90	93.48
P20109_263	UN169	24.05	94.09
P20109_264	UN170	30.05	92.96
P20109_265	UN172	28.82	92.78
P20109_266	UN173	33.37	93.56
P20109_267	UN174	30.80	93.17
P20109_268	UN175	21.24	93.14
P20109_269	UN176	26.12	93.31
P20109_270	UN177	20.86	93.66
P20109_271	UN178	21.19	93.73
P20109_272	UN179	26.90	92.81
P20109_273	UN180	31.93	93.42
P20109_274	UN181	27.60	93.43
P20109_275	UN182	21.86	93.46
P20109_276	UN183	144.29	92.19
P20109_277	UN184	110.77	92.49
P20109_278	UN185	21.79	93.42
P20109_279	UN186	19.74	93.92
P20109_280	UN187	28.13	92.21
P20109_281	UN188	24.09	92.49
P20109_282	UN189	28.30	93.75
P20109_283	UN190	126.12	92.17
P20109_284	UN191	32.45	93.65
P20109_285	UN193	115.08	92.08
P20109_286	UN195	23.86	93.48
P20109_287	UN196	24.84	93.36
P20109_288	UN197	31.48	93.00
P20109_289	UN198	25.92	92.86
P20109_290	UN199	23.97	93.11
P20109_291	UN200	25.65	93.53
P20109_292	UN201	34.79	93.61
P20109_293	UN202	29.23	92.70
P20109_294	UN203	25.08	93.80
P20109_295	UN204	23.45	93.33
P20109_296	UN205	91.29	93.00
P20109_301	UN034	127.39	91.51
P20109_302	UN041	131.12	91.78
P20109_303	UN048	117.49	92.23
P20109_304	UN050	118.05	91.46
P20109_305	UN069	151.60	92.14
P20109_306	UN074	165.21	91.70
P20109_307	UN118	109.13	91.75
P20109_308	UN119	116.90	91.89
P20109_309	UN142	28.65	93.26
P20109_310	UN148	125.39	91.43
P20109_311	UN192	137.28	91.19
P20109_402	20109_144	133.63	92.08
