STANDARD_NAME	REACTOME_CELLULAR_SENESCENCE
SYSTEMATIC_NAME	M27188
CATEGORY_CODE	C2
SUB_CATEGORY_CODE	CP:REACTOME
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/cards/REACTOME_CELLULAR_SENESCENCE
CHIP	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Cellular Senescence
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Reactome
CONTRIBUTOR_ORG	Reactome
EXACT_SOURCE	R-HSA-2559583
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	https://reactome.org/PathwayBrowser/#/R-HSA-2559583|https://www.reactome.org/content/detail/R-HSA-2559583
GENESET_LISTING_URL	
