MoleculeType	Identifier	MoleculeName	
Proteins	P42772	UniProt:P42772 CDKN2B	
Proteins	P17676	UniProt:P17676 CEBPB	
Proteins	P20248	UniProt:P20248 CCNA2	
Proteins	P78396	UniProt:P78396 CCNA1	
Proteins	P24941	UniProt:P24941 CDK2	
Proteins	Q9UM11	UniProt:Q9UM11 FZR1	
Proteins	Q9UJX5	UniProt:Q9UJX5 ANAPC4	
Proteins	Q13042	UniProt:Q13042 CDC16	
Proteins	Q8NHZ8	UniProt:Q8NHZ8 CDC26	
Proteins	Q9H1A4	UniProt:Q9H1A4 ANAPC1	
Proteins	Q9UJX4	UniProt:Q9UJX4 ANAPC5	
Proteins	P51965	UniProt:P51965 UBE2E1	
Proteins	O00762	UniProt:O00762 UBE2C	
Proteins	Q9NYG5	UniProt:Q9NYG5 ANAPC11	
Proteins	Q16763	UniProt:Q16763 UBE2S	
Proteins	Q9UJX2	UniProt:Q9UJX2 CDC23	
Proteins	Q96DE5	UniProt:Q96DE5 ANAPC16	
Proteins	P51668	UniProt:P51668 UBE2D1	
Proteins	P60006	UniProt:P60006 ANAPC15	
Proteins	P30260	UniProt:P30260 CDC27	
Proteins	Q9UM13	UniProt:Q9UM13 ANAPC10	
Proteins	Q9UJX3	UniProt:Q9UJX3 ANAPC7	
Proteins	Q9UJX6	UniProt:Q9UJX6 ANAPC2	
Proteins	P46527	UniProt:P46527 CDKN1B	
Proteins	P38936	UniProt:P38936 CDKN1A	
Proteins	P28482	UniProt:P28482 MAPK1	
Proteins	Q13164	UniProt:Q13164 MAPK7	
Proteins	P27361	UniProt:P27361 MAPK3	
Proteins	Q15349	UniProt:Q15349 RPS6KA2	
Proteins	Q15418	UniProt:Q15418 RPS6KA1	
Proteins	P51812	UniProt:P51812 RPS6KA3	
Proteins	P05412	UniProt:P05412 JUN	
Proteins	P01100	UniProt:P01100 FOS	
Proteins	Q96KQ7	UniProt:Q96KQ7 EHMT2	
Proteins	Q9H9B1	UniProt:Q9H9B1 EHMT1	
Proteins	Q99879	UniProt:Q99879 H2BC14	
Proteins	Q96A08	UniProt:Q96A08 H2BC1	
Proteins	P58876	UniProt:P58876 H2BC5	
Proteins	Q93079	UniProt:Q93079 H2BC9	
Proteins	Q16778	UniProt:Q16778 H2BC21	
Proteins	P23527	UniProt:P23527 H2BC17	
Proteins	P57053	UniProt:P57053 H2BC12L	
Proteins	Q99877	UniProt:Q99877 H2BC15	
Proteins	P62807	UniProt:P62807 H2BC4	
Proteins	P06899	UniProt:P06899 H2BC11	
Proteins	P33778	UniProt:P33778 H2BC3	
Proteins	O60814	UniProt:O60814 H2BC12	
Proteins	Q99880	UniProt:Q99880 H2BC13	
Proteins	Q8N257	UniProt:Q8N257 H2BU1	
Proteins	P84243	UniProt:P84243 H3-3A	
Proteins	P68431	UniProt:P68431 H3C1	
Proteins	Q71DI3	UniProt:Q71DI3 H3C15	
Proteins	P0C5Y9	UniProt:P0C5Y9 H2AB1	
Proteins	Q71UI9	UniProt:Q71UI9 H2AZ2	
Proteins	P0C0S5	UniProt:P0C0S5 H2AZ1	
Proteins	P20671	UniProt:P20671 H2AC7	
Proteins	P16104	UniProt:P16104 H2AX	
Proteins	Q9BTM1	UniProt:Q9BTM1 H2AJ	
Proteins	Q16777	UniProt:Q16777 H2AC20	
Proteins	Q93077	UniProt:Q93077 H2AC6	
Proteins	P04908	UniProt:P04908 H2AC4	
Proteins	Q6FI13	UniProt:Q6FI13 H2AC18	
Proteins	Q99878	UniProt:Q99878 H2AC14	
Proteins	P62805	UniProt:P62805 H4C1	
Proteins	P0CG48	UniProt:P0CG48 UBC	
Proteins	P0CG47	UniProt:P0CG47 UBB	
Proteins	P62987	UniProt:P62987 UBA52	
Proteins	P62979	UniProt:P62979 RPS27A	
Proteins	Q16270	UniProt:Q16270 IGFBP7	
Proteins	P05231	UniProt:P05231 IL6	
Proteins	P19838	UniProt:P19838 NFKB1	
Proteins	Q04206	UniProt:Q04206 RELA	
Proteins	O95231	UniProt:O95231 VENTX	
Proteins	P40763	UniProt:P40763 STAT3	
Proteins	P01583	UniProt:P01583 IL1A	
Proteins	Q00534	UniProt:Q00534 CDK6	
Proteins	P11802	UniProt:P11802 CDK4	
Proteins	P42771	UniProt:P42771 CDKN2A	
Proteins	P55273	UniProt:P55273 CDKN2D	
Proteins	P42773	UniProt:P42773 CDKN2C	
Proteins	P10145	UniProt:P10145 CXCL8	
