Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Platelets	46/214	2.0914141113644038E-13	3.6390605537740626E-11	0	0	4.134323298074315	120.70473460088459	FCN1;CD40;CD84;SPARC;SELPLG;CLEC12A;NCF2;GMFG;SERPINE1;ITGB2;F11R;AIF1;CTSS;NRGN;CA2;GRAP2;CCL5;CASP1;CD36;LGALS8;CD300LF;CLEC1B;CDKN2D;MPIG6B;TNFSF14;ANGPT1;ITGA2;F2R;RNASE6;GP1BA;PPBP;GP5;VEGFA;TREML1;SELP;DOK2;DAB2;CD40LG;BIN2;PECAM1;HCLS1;CD226;ESAM;CD69;SIGLEC7;PF4
Monocytes	38/176	2.234730083589936E-11	1.9442151727232443E-9	0	0	4.137558140897215	101.47078153712668	FCN1;IL1RN;CD40;CLEC12A;NCF2;ITGB2;IFI30;ITGAL;AIF1;CTSS;ICAM1;TYMP;PSAP;CASP1;CCL3;ACP5;TNFRSF14;LGALS9;CD36;CD300LF;GBP1;LYN;CD163;MGMT;RNASE6;FN1;ADA2;PILRA;RHOC;SELE;CXCL10;DOK2;PTPRC;BIN2;IL1B;PECAM1;S100A4;SIGLEC7
Fibroblasts	42/232	7.189386980870992E-10	4.1698444489051753E-8	0	0	3.3229606863875016	69.95910552834023	ITIH5;SPON2;CD40;SPARC;CCL11;CXCL8;CXCL3;ITGAL;PKD2;FGF2;NID2;NT5E;C1QTNF1;MDK;SERPINH1;CCN4;TIMP3;IGFBP7;CCN2;CCL19;PDGFRB;VCAM1;SCARA5;HGF;RARRES2;FN1;NFATC1;SSC5D;KLF4;DKK1;FLI1;NFKB1;VEGFA;DAB2;FABP4;COL5A1;ITGBL1;ANGPTL2;FKBP7;COL6A3;S100A4;VIM
Endothelial Cells	43/246	1.3963650982652611E-9	6.074188177453886E-8	0	0	3.1845611285266457	64.93126944917121	FCN2;NRP2;SEMA7A;SPARC;CFH;ADH1B;PDGFB;STAB2;CXCL1;PCDH12;ICAM1;SLC9A3R2;CRHBP;C1QTNF1;TSPAN8;S100A13;TIMP3;IGFBP7;CCN2;CD36;CCL19;PTGDS;CLEC1B;CD34;SCARF1;HEXIM1;PDGFRB;VCAM1;TIE1;VEGFC;HSPG2;SELE;FLI1;RBP7;EHD3;FABP4;RGCC;ADGRF5;PECAM1;ANGPTL2;VWA1;MGLL;BIRC2
Megakaryocytes	29/143	2.2907190901239683E-8	7.971702433631409E-7	0	0	3.7996606685252456	66.8429274010743	FCN1;SPON2;ACHE;SELPLG;CLEC12A;GMFG;ITGB2;WAS;AIF1;TNFAIP8L2;CD300LF;TGFB1;RNASE6;MCEMP1;NFATC1;GP1BA;PILRA;PPBP;GP5;FLI1;VEGFA;SELP;TREML1;DOK2;BIN2;PECAM1;SIGLEC7;LAT;PF4
Dendritic Cells	34/199	1.277857818486689E-7	3.705787673611398E-6	0	0	3.0817766708177667	48.916765444318614	CD84;CXCL8;CLEC12A;NCF2;ITGB2;LY75;TREM2;ITGAL;PPL;AIF1;CTSS;SLAMF8;LGALS9;CD300LF;CCL17;HAVCR2;CD74;PPP1R14A;CD163;ANXA1;CCL22;ARG1;RNASE6;SERPINB9;PDCD1LG2;ASS1;DOK2;DAB2;FABP4;PTPRC;BIN2;HCLS1;S100A4;SIGLEC7
NK Cells	29/157	1.934238331444576E-7	4.807963852447947E-6	0	0	3.381527136837881	52.27293832310508	SPON2;SELPLG;GMFG;ITGAL;KLRK1;GRAP2;CCL5;CCL3;SLAMF6;TIGIT;TGFB1;ZBTB16;ITGA2;GZMA;SH2D1A;GZMB;IL16;SERPINB9;GZMH;DOK2;PTPRC;CD40LG;BIN2;CD6;S100A4;CD69;SIGLEC7;LAT;IL18R1
Macrophages	34/204	2.3554231211999066E-7	5.123045288609797E-6	0	0	2.990330378726833	45.63655409201588	CPM;NRP2;CD84;CLEC12A;NCF2;CD80;ITGB2;CXCL1;TREM2;ITGAL;AIF1;CTSS;CCL7;CCL5;CCL3;LGALS9;CD36;CD300LF;PLTP;HAVCR2;CD74;CD163;CCL22;GDF15;RNASE6;DOK2;DAB2;FABP4;PTPRC;BIN2;IL1B;CLEC6A;S100A4;SIGLEC7
Alveolar Macrophages	24/123	7.667184972841965E-7	1.4823224280827798E-5	0	0	3.6094276094276094	50.82487758090505	FCN1;IL1RN;CLEC12A;NCF2;ITGB2;RNASE6;TNFAIP2;MCEMP1;PILRA;IFI30;AIF1;CTSS;TYMP;MARCO;IL1B;SLAMF8;CASP1;CCL3;TRIM25;S100A4;LGALS9;CD36;CD300LF;SIGLEC7
T Memory Cells	25/133	9.44091533918007E-7	1.642719269017332E-5	0	0	3.4475925925925925	47.82859928925147	SELPLG;DGKA;GMFG;ITGAL;SIT1;GRAP2;ACP5;SLAMF6;TIGIT;GZMA;SH2D1A;GZMB;IL16;ARHGAP45;GZMH;APBB1IP;DOK2;PTPRC;CD40LG;BIN2;CD6;ARHGEF1;CD69;SKAP1;LAT
