Subcellular location ID	Name	Category	Gene Ontologies	Is a	Content	Keyword	Links
SL-0002	Acidocalcisome	Cellular component	GO:0020022:acidocalcisome		Acidocalcisome		
SL-0003	Acidocalcisome membrane	Cellular component	GO:0033102:acidocalcisome membrane	SL-0162; Membrane; LOCATION	Acidocalcisome membrane		
SL-0004	Acrosome inner membrane	Cellular component	GO:0002079:inner acrosomal membrane		Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane		
SL-0005	Acrosome lumen	Cellular component	GO:0043160:acrosomal lumen	SL-0347; Secretory vesicle lumen; LOCATION	Cytoplasmic vesicle, secretory vesicle, acrosome lumen		
SL-0006	Acrosome membrane	Cellular component	GO:0002080:acrosomal membrane	SL-0245; Secretory vesicle membrane; LOCATION	Cytoplasmic vesicle, secretory vesicle, acrosome membrane		
SL-0007	Acrosome	Cellular component	GO:0001669:acrosomal vesicle	SL-0244; Secretory vesicle; LOCATION	Cytoplasmic vesicle, secretory vesicle, acrosome		
SL-0008	Actin patch	Cellular component	GO:0030479:actin cortical patch		Cytoplasm, cytoskeleton, actin patch		
SL-0009	Adherens junction	Cellular component	GO:0005912:adherens junction	SL-0038; Cell junction; LOCATION	Cell junction, adherens junction		
SL-0010	Aleurone grain	Cellular component	GO:0033095:aleurone grain	SL-0272; Vacuole; LOCATION	Vacuole, aleurone grain		
SL-0011	Aleurone grain membrane	Cellular component	GO:0032578:aleurone grain membrane	SL-0271; Vacuole membrane; LOCATION	Vacuole, aleurone grain membrane		
SL-0012	Amyloplast	Cellular component	GO:0009501:amyloplast	SL-0209; Plastid; LOCATION	Plastid, amyloplast	KW-0035	
SL-0013	Amyloplast inner membrane	Cellular component	GO:0033098:amyloplast inner membrane	SL-0014; Amyloplast membrane; LOCATION, SL-0211; Plastid inner membrane; LOCATION	Plastid, amyloplast inner membrane		
SL-0014	Amyloplast membrane	Cellular component	GO:0033097:amyloplast membrane	SL-0213; Plastid membrane; LOCATION	Plastid, amyloplast membrane		
SL-0015	Apical cell membrane	Cellular component	GO:0016324:apical plasma membrane		Apical cell membrane		
SL-0016	Apical lamina	Cellular component	GO:0032579:apical lamina of hyaline layer	SL-0111; Extracellular matrix; LOCATION	Secreted, extracellular space, extracellular matrix, apical lamina		
SL-0017	Apicolateral cell membrane	Cellular component	GO:0016327:apicolateral plasma membrane		Apicolateral cell membrane		
SL-0018	Apicoplast	Cellular component	GO:0020011:apicoplast	SL-0209; Plastid; LOCATION	Plastid, apicoplast	KW-0933	
SL-0019	Apoplast	Cellular component	GO:0048046:apoplast	SL-0112; Extracellular space; LOCATION	Secreted, extracellular space, apoplast	KW-0052	
SL-0020	Attachment organelle	Cellular component	GO:0033099:attachment organelle	SL-0280; Cell projection; LOCATION	Cell projection, attachment organelle		
SL-0021	Attachment organelle membrane	Cellular component	GO:0033111:attachment organelle membrane		Cell projection, attachment organelle membrane		
SL-0022	Autophagosome membrane	Cellular component	GO:0000421:autophagosome membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	Cytoplasmic vesicle, autophagosome membrane		
SL-0023	Autophagosome	Cellular component	GO:0005776:autophagosome	SL-0088; Cytoplasmic vesicle; LOCATION	Cytoplasmic vesicle, autophagosome		
SL-0024	Basal cell membrane	Cellular component	GO:0009925:basal plasma membrane		Basal cell membrane		
SL-0025	Basement membrane	Cellular component	GO:0005604:basement membrane	SL-0111; Extracellular matrix; LOCATION	Secreted, extracellular space, extracellular matrix, basement membrane	KW-0084	
SL-0026	Basolateral cell membrane	Cellular component	GO:0016323:basolateral plasma membrane		Basolateral cell membrane		
SL-0027	Bud	Cellular component	GO:0005933:cellular bud		Bud		
SL-0028	Bud membrane	Cellular component	GO:0033101:cellular bud membrane		Bud membrane		
SL-0029	Bud neck	Cellular component	GO:0005935:cellular bud neck		Bud neck		
SL-0030	Bud tip	Cellular component	GO:0005934:cellular bud tip		Bud tip		
SL-0031	Cajal body	Cellular component	GO:0015030:Cajal body	SL-0494; Nuclear body; LOCATION	Nucleus, Cajal body		
SL-0032	Calyx	Cellular component	GO:0033150:cytoskeletal calyx		Cytoplasm, cytoskeleton, perinuclear theca, calyx		
