Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
KEGG_GLYCEROLIPID_METABOLISM	10	0.43506	0.6953	0.92997	0.56494	0.30569	1	0.33048	0.057942	0.74825	6	0.33383	0.18781	0.999	4	0.32546	0.062937	0.69892
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	12	0.34497	0.28072	0.63908	0.65503	0.72028	1	0.50173	0.63337	1	8	0.39375	0.34665	0.999	4	0.71768	0.88611	0.999
KEGG_ARACHIDONIC_ACID_METABOLISM	10	0.43366	0.69131	0.92997	0.56634	0.30969	1	0.43094	0.33367	1	7	0.49876	0.70929	0.999	3	0.2727	0.065934	0.69892
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	22	0.35062	0.22877	0.59704	0.64938	0.77223	1	0.4593	0.40859	1	16	0.42288	0.40559	0.999	6	0.55643	0.53247	0.999
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	13	0.32411	0.1998	0.55365	0.67589	0.8012	1	0.38111	0.13886	0.90545	10	0.36906	0.22677	0.999	3	0.42127	0.25774	0.999
KEGG_LYSOSOME	55	0.64904	1	1	0.35096	0.000999	0.035631	0.46086	0.38561	1	17	0.61004	0.99001	0.999	38	0.39412	0.003996	0.21379
KEGG_CARDIAC_MUSCLE_CONTRACTION	22	0.24017	0.003996	0.10689	0.75983	0.997	1	0.38033	0.070929	0.74825	17	0.26279	0.005994	0.64136	5	0.77996	0.96004	0.999
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	34	0.30474	0.026973	0.24051	0.69526	0.97403	1	0.45932	0.38961	1	29	0.45412	0.58442	0.999	5	0.48944	0.37662	0.999
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	28	0.4914	0.96803	1	0.5086	0.032967	0.37898	0.48411	0.58242	1	15	0.50245	0.82517	0.999	13	0.46294	0.18981	0.999
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	19	0.23086	0.001998	0.10689	0.76914	0.999	1	0.36302	0.040959	0.73044	16	0.30219	0.022977	0.71771	3	0.68743	0.8012	0.999
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	14	0.23877	0.016983	0.18172	0.76123	0.98402	1	0.39381	0.16184	0.94516	12	0.34162	0.11988	0.999	2	0.70691	0.75325	0.999
KEGG_DILATED_CARDIOMYOPATHY	21	0.24162	0.004995	0.10689	0.75838	0.996	1	0.39394	0.10989	0.83377	18	0.34503	0.081918	0.999	3	0.68743	0.8012	0.999
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	30	0.45834	0.89411	1	0.54166	0.10689	0.7625	0.43477	0.23876	1	16	0.39199	0.24176	0.999	14	0.48366	0.23676	0.999
KEGG_CITRATE_CYCLE_TCA_CYCLE	22	0.45882	0.84216	0.99375	0.54118	0.15884	0.94422	0.55966	0.92008	1	12	0.52086	0.83616	0.999	10	0.60621	0.75125	0.999
KEGG_PENTOSE_PHOSPHATE_PATHWAY	16	0.34829	0.26374	0.63908	0.65171	0.73726	1	0.36744	0.072927	0.74825	12	0.37601	0.20779	0.999	4	0.34174	0.084915	0.69892
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	12	0.34992	0.3017	0.65881	0.65008	0.6993	1	0.39027	0.16783	0.94516	9	0.39341	0.30769	0.999	3	0.38087	0.18082	0.999
KEGG_GALACTOSE_METABOLISM	13	0.60093	0.997	1	0.39907	0.003996	0.085514	0.39199	0.18681	0.99945	6	0.56001	0.83816	0.999	7	0.24798	0.006993	0.24942
KEGG_FATTY_ACID_METABOLISM	25	0.51018	0.97802	1	0.48982	0.022977	0.30732	0.48385	0.58741	1	10	0.38026	0.27173	0.999	15	0.55291	0.57443	0.999
KEGG_OXIDATIVE_PHOSPHORYLATION	69	0.35661	0.14286	0.50952	0.64339	0.85814	1	0.51307	0.87912	1	48	0.4439	0.54046	0.999	21	0.67117	0.98002	0.999
KEGG_PURINE_METABOLISM	27	0.39483	0.55245	0.88344	0.60517	0.44855	1	0.54645	0.90609	1	20	0.55188	0.95704	0.999	7	0.53094	0.47153	0.999
KEGG_PYRIMIDINE_METABOLISM	19	0.32327	0.13487	0.50952	0.67673	0.86613	1	0.42904	0.25275	1	15	0.41453	0.37862	0.999	4	0.48345	0.33167	0.999
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	10	0.39837	0.54645	0.88344	0.60163	0.45455	1	0.58933	0.9001	1	6	0.4884	0.65734	0.999	4	0.74073	0.9031	0.999
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	11	0.43022	0.68931	0.92997	0.56978	0.31169	1	0.4418	0.37962	1	6	0.36039	0.25075	0.999	5	0.53949	0.50949	0.999
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	25	0.44466	0.81818	0.98366	0.55534	0.18282	1	0.43071	0.25574	1	13	0.34618	0.11688	0.999	12	0.52228	0.43157	0.999
KEGG_LYSINE_DEGRADATION	14	0.42223	0.66533	0.92997	0.57777	0.33566	1	0.31416	0.020979	0.73044	8	0.26379	0.042957	0.71771	6	0.38132	0.081918	0.69892
KEGG_ARGININE_AND_PROLINE_METABOLISM	17	0.44879	0.8002	0.97297	0.55121	0.2008	1	0.4763	0.49151	1	9	0.40867	0.37263	0.999	8	0.55239	0.54146	0.999
KEGG_TRYPTOPHAN_METABOLISM	12	0.45964	0.78022	0.97074	0.54036	0.22078	1	0.35652	0.086913	0.77498	7	0.37926	0.29171	0.999	5	0.32467	0.057942	0.69892
KEGG_GLUTATHIONE_METABOLISM	21	0.50348	0.96503	1	0.49652	0.035964	0.37898	0.49583	0.61838	1	10	0.47792	0.67932	0.999	11	0.51211	0.37862	0.999
KEGG_STARCH_AND_SUCROSE_METABOLISM	13	0.43703	0.71329	0.93022	0.56297	0.28771	1	0.40914	0.24276	1	9	0.48231	0.65634	0.999	4	0.24451	0.016983	0.36344
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	17	0.53019	0.98701	1	0.46981	0.013986	0.24942	0.4898	0.57243	1	9	0.57518	0.92907	0.999	8	0.39376	0.097902	0.74825
