Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
HALLMARK_TNFA_SIGNALING_VIA_NFKB	20	0.29443	0.046953	0.31888	0.70557	0.95405	0.997	0.34518	0.020979	0.12587	15	0.28937	0.022977	0.20979	5	0.51262	0.41958	0.83163
HALLMARK_HYPOXIA	47	0.42154	0.77423	0.93267	0.57846	0.22677	0.91339	0.4729	0.49151	0.82573	31	0.48147	0.79021	1	16	0.4563	0.13387	0.83163
HALLMARK_CHOLESTEROL_HOMEOSTASIS	19	0.41037	0.63736	0.93267	0.58963	0.36364	0.96503	0.40134	0.14386	0.43157	13	0.43152	0.45355	0.7821	6	0.33595	0.042957	0.45105
HALLMARK_MITOTIC_SPINDLE	53	0.29744	0.003996	0.094406	0.70256	0.997	0.997	0.44243	0.22977	0.57507	45	0.43308	0.42857	0.7821	8	0.49504	0.33067	0.83163
HALLMARK_TGF_BETA_SIGNALING	11	0.27531	0.075924	0.31888	0.72469	0.92507	0.997	0.50831	0.65135	0.97852	10	0.48241	0.67532	0.95804	1	0.76723	0.7003	0.83163
HALLMARK_IL6_JAK_STAT3_SIGNALING	18	0.39057	0.49251	0.91178	0.60943	0.50849	0.97076	0.34689	0.030969	0.16259	11	0.28657	0.024975	0.20979	7	0.44168	0.20879	0.83163
HALLMARK_DNA_REPAIR	28	0.31365	0.06993	0.31888	0.68635	0.93107	0.997	0.41847	0.16284	0.45594	23	0.41916	0.37463	0.7821	5	0.41526	0.18382	0.83163
HALLMARK_G2M_CHECKPOINT	40	0.47075	0.95804	0.98141	0.52925	0.042957	0.56643	0.53166	0.90609	0.997	21	0.49825	0.83117	1	19	0.56858	0.67732	0.83163
HALLMARK_APOPTOSIS	44	0.39707	0.54146	0.91178	0.60293	0.45954	0.96503	0.36802	0.007992	0.083916	29	0.3644	0.072927	0.41958	15	0.37504	0.022977	0.32168
HALLMARK_ADIPOGENESIS	78	0.36845	0.22478	0.71329	0.63155	0.77622	0.997	0.5093	0.86114	0.997	57	0.48425	0.85514	1	21	0.5773	0.73626	0.83163
HALLMARK_ESTROGEN_RESPONSE_EARLY	14	0.28096	0.074925	0.31888	0.71904	0.92607	0.997	0.3418	0.045954	0.21445	11	0.30237	0.043956	0.30769	3	0.48639	0.34665	0.83163
HALLMARK_ESTROGEN_RESPONSE_LATE	23	0.43934	0.76923	0.93267	0.56066	0.23177	0.91339	0.53093	0.82018	0.997	13	0.47773	0.68432	0.95804	10	0.6001	0.73926	0.83163
HALLMARK_ANDROGEN_RESPONSE	26	0.37698	0.40559	0.91178	0.62302	0.5954	0.997	0.45473	0.35864	0.70417	17	0.39488	0.25275	0.62443	9	0.5678	0.5974	0.83163
HALLMARK_MYOGENESIS	38	0.2977	0.020979	0.17622	0.7023	0.98002	0.997	0.3789	0.018981	0.12587	29	0.32799	0.016983	0.20979	9	0.54293	0.50949	0.83163
HALLMARK_PROTEIN_SECRETION	56	0.40516	0.61738	0.93267	0.59484	0.38362	0.96503	0.52212	0.8951	0.997	38	0.50811	0.93407	1	18	0.55168	0.58841	0.83163
HALLMARK_INTERFERON_ALPHA_RESPONSE	18	0.43239	0.72927	0.93267	0.56761	0.27173	0.91339	0.56311	0.8951	0.997	11	0.53191	0.83816	1	7	0.61213	0.75325	0.83163
HALLMARK_INTERFERON_GAMMA_RESPONSE	44	0.4002	0.56444	0.91178	0.5998	0.43656	0.96503	0.46191	0.38561	0.70417	27	0.39892	0.22478	0.59003	17	0.56197	0.59141	0.83163
HALLMARK_APICAL_JUNCTION	48	0.3036	0.008991	0.094406	0.6964	0.99201	0.997	0.44426	0.23277	0.57507	40	0.43088	0.41658	0.7821	8	0.5112	0.37862	0.83163
HALLMARK_COMPLEMENT	81	0.38154	0.35564	0.90086	0.61846	0.64535	0.997	0.46449	0.35864	0.70417	53	0.40975	0.18881	0.59003	28	0.56811	0.69431	0.83163
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	33	0.46708	0.93506	0.98141	0.53292	0.065934	0.56643	0.56612	0.96404	0.997	19	0.56603	0.97802	1	14	0.56625	0.61938	0.83163
HALLMARK_PI3K_AKT_MTOR_SIGNALING	40	0.3326	0.075924	0.31888	0.6674	0.92507	0.997	0.5299	0.8951	0.997	34	0.52652	0.97203	1	6	0.549	0.52847	0.83163
HALLMARK_MTORC1_SIGNALING	96	0.396	0.55245	0.91178	0.604	0.44855	0.96503	0.5219	0.94406	0.997	65	0.49335	0.94106	1	31	0.58177	0.77223	0.83163
HALLMARK_E2F_TARGETS	45	0.45784	0.93307	0.98141	0.54216	0.067932	0.56643	0.59012	0.997	0.997	28	0.60288	1	1	17	0.56911	0.63736	0.83163
HALLMARK_MYC_TARGETS_V1	130	0.48382	0.999	0.999	0.51618	0.001998	0.083916	0.53113	0.98601	0.997	69	0.52783	0.99401	1	61	0.53486	0.44356	0.83163
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	45	0.29568	0.007992	0.094406	0.70432	0.99301	0.997	0.3249	0.000999	0.013986	33	0.26108	0.000999	0.020979	12	0.5004	0.31568	0.83163
HALLMARK_INFLAMMATORY_RESPONSE	27	0.26365	0.005994	0.094406	0.73635	0.995	0.997	0.29719	0.000999	0.013986	20	0.20653	0.000999	0.020979	7	0.55622	0.58541	0.83163
HALLMARK_XENOBIOTIC_METABOLISM	59	0.40796	0.68332	0.93267	0.59204	0.31768	0.95305	0.5198	0.87512	0.997	40	0.5101	0.93806	1	19	0.54022	0.51648	0.83163
HALLMARK_FATTY_ACID_METABOLISM	76	0.43904	0.92008	0.98141	0.56096	0.080919	0.56643	0.4717	0.47153	0.82517	44	0.43844	0.45754	0.7821	32	0.51743	0.33866	0.83163
HALLMARK_OXIDATIVE_PHOSPHORYLATION	124	0.38498	0.36464	0.90086	0.61502	0.63636	0.997	0.52681	0.98501	0.997	79	0.44811	0.60639	0.94256	45	0.66499	0.997	0.997
HALLMARK_GLYCOLYSIS	62	0.38877	0.43257	0.91178	0.61123	0.56843	0.99476	0.4864	0.62537	0.97852	42	0.45671	0.62837	0.94256	20	0.54874	0.59441	0.83163
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	29	0.33665	0.13586	0.5035	0.66335	0.86513	0.997	0.4053	0.1049	0.40051	21	0.36379	0.1039	0.48485	8	0.51425	0.38761	0.83163
HALLMARK_P53_PATHWAY	35	0.42747	0.77722	0.93267	0.57253	0.22378	0.91339	0.30318	0.000999	0.013986	23	0.35945	0.07992	0.41958	12	0.19535	0.000999	0.041958
HALLMARK_UV_RESPONSE_UP	49	0.41574	0.71828	0.93267	0.58426	0.28272	0.91339	0.4598	0.36963	0.70417	30	0.42122	0.36064	0.7821	19	0.52072	0.39361	0.83163
HALLMARK_UV_RESPONSE_DN	20	0.35424	0.23776	0.71329	0.64576	0.76324	0.997	0.40558	0.13287	0.42926	14	0.36718	0.16983	0.59003	6	0.49518	0.37263	0.83163
HALLMARK_HEME_METABOLISM	45	0.39126	0.46254	0.91178	0.60874	0.53846	0.98328	0.42509	0.12088	0.42308	29	0.38522	0.14486	0.59003	16	0.49736	0.28571	0.83163
HALLMARK_COAGULATION	51	0.39981	0.54446	0.91178	0.60019	0.45654	0.96503	0.54257	0.95704	0.997	32	0.4758	0.75025	1	19	0.65501	0.95205	0.97527
HALLMARK_IL2_STAT5_SIGNALING	34	0.39295	0.51049	0.91178	0.60705	0.49051	0.97076	0.44126	0.25574	0.59674	23	0.42877	0.43556	0.7821	11	0.46737	0.19381	0.83163
HALLMARK_BILE_ACID_METABOLISM	22	0.43214	0.75924	0.93267	0.56786	0.24176	0.91339	0.52214	0.77423	0.997	12	0.43755	0.46553	0.7821	10	0.62365	0.81119	0.85175
HALLMARK_PEROXISOME	33	0.47014	0.94206	0.98141	0.52986	0.058941	0.56643	0.49639	0.65235	0.97852	17	0.45325	0.58142	0.93921	16	0.54224	0.51049	0.83163
HALLMARK_ALLOGRAFT_REJECTION	54	0.42757	0.80519	0.93939	0.57243	0.1958	0.91339	0.38344	0.010989	0.092308	34	0.39533	0.1988	0.59003	20	0.36321	0.001998	0.041958
HALLMARK_SPERMATOGENESIS	11	0.3072	0.14386	0.5035	0.6928	0.85714	0.997	0.43737	0.34965	0.70417	8	0.34809	0.17682	0.59003	3	0.67545	0.74925	0.83163
HALLMARK_KRAS_SIGNALING_UP	29	0.36127	0.27173	0.76084	0.63873	0.72927	0.997	0.39557	0.073926	0.31049	21	0.39108	0.21179	0.59003	8	0.40737	0.0999	0.83163
