Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
KEGG_N_GLYCAN_BIOSYNTHESIS	30	0.41239	0.62138	0.78236	0.58761	0.37962	1	0.52463	0.94705	1	18	0.45784	0.76623	0.9569	12	0.62483	0.93506	0.9897
KEGG_OTHER_GLYCAN_DEGRADATION	13	0.13983	0.000999	0.018606	0.86017	1	1	0.2481	0.012987	0.26462	12	0.20254	0.003996	0.093032	1	0.79485	0.78422	0.9897
KEGG_GLYCEROLIPID_METABOLISM	22	0.32646	0.12488	0.34456	0.67354	0.87612	1	0.40951	0.33966	0.88027	16	0.35542	0.23776	0.68371	6	0.55375	0.67133	0.9897
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	35	0.36286	0.26174	0.50857	0.63714	0.73926	1	0.3952	0.17083	0.84158	24	0.359	0.18781	0.68371	11	0.47418	0.45055	0.9897
KEGG_ARACHIDONIC_ACID_METABOLISM	13	0.32629	0.18681	0.41545	0.67371	0.81419	1	0.47655	0.63936	1	11	0.4854	0.80719	0.9569	2	0.4279	0.38861	0.9897
KEGG_SPHINGOLIPID_METABOLISM	17	0.23716	0.006993	0.052098	0.76284	0.99401	1	0.30867	0.032967	0.37785	13	0.20426	0.001998	0.074426	4	0.64798	0.83716	0.9897
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	10	0.32837	0.26274	0.50857	0.67163	0.73826	1	0.44041	0.4975	0.93404	8	0.43572	0.60939	0.90445	2	0.45919	0.45155	0.9897
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	37	0.27888	0.012987	0.074426	0.72112	0.98801	1	0.45416	0.62737	1	30	0.39069	0.37762	0.78395	7	0.72618	0.97802	0.9897
KEGG_BASAL_TRANSCRIPTION_FACTORS	16	0.5274	0.95804	1	0.4726	0.042957	0.80007	0.4153	0.4046	0.90587	8	0.4701	0.72428	0.9569	8	0.3605	0.11588	0.9897
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	28	0.48687	0.94505	1	0.51313	0.055944	0.83357	0.36343	0.095904	0.6563	15	0.38136	0.35265	0.78395	13	0.34273	0.037962	0.9897
