Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
HALLMARK_TNFA_SIGNALING_VIA_NFKB	44	0.38665	0.41059	0.75228	0.61335	0.59041	0.997	0.38317	0.1029	0.57165	30	0.38141	0.32567	0.70799	14	0.38694	0.1049	0.91694
HALLMARK_HYPOXIA	94	0.38793	0.36064	0.72128	0.61207	0.64036	0.997	0.43437	0.44855	0.91908	60	0.38135	0.23876	0.65461	34	0.52792	0.78122	0.98271
HALLMARK_CHOLESTEROL_HOMEOSTASIS	50	0.42126	0.73926	0.82806	0.57874	0.26174	0.997	0.45285	0.63536	0.91908	31	0.43175	0.68032	0.86663	19	0.48729	0.49051	0.9657
HALLMARK_MITOTIC_SPINDLE	137	0.40939	0.68931	0.82806	0.59061	0.31169	0.997	0.44935	0.70529	0.9622	87	0.42375	0.69331	0.86663	50	0.49389	0.52547	0.9657
HALLMARK_WNT_BETA_CATENIN_SIGNALING	10	0.46082	0.74525	0.82806	0.53918	0.25574	0.997	0.28984	0.057942	0.4995	5	0.21148	0.078921	0.65461	5	0.36819	0.2048	0.91694
HALLMARK_TGF_BETA_SIGNALING	24	0.38959	0.45754	0.75228	0.61041	0.54346	0.997	0.43421	0.50549	0.91908	17	0.44474	0.69031	0.86663	7	0.40865	0.25674	0.91694
HALLMARK_IL6_JAK_STAT3_SIGNALING	22	0.31433	0.096903	0.40376	0.68567	0.9041	0.997	0.34481	0.071928	0.4995	17	0.33577	0.16284	0.65461	5	0.37554	0.20879	0.91694
HALLMARK_DNA_REPAIR	103	0.37814	0.25674	0.65185	0.62186	0.74426	0.997	0.45474	0.72727	0.9622	70	0.41954	0.61439	0.86663	33	0.52943	0.74126	0.98271
HALLMARK_G2M_CHECKPOINT	105	0.52865	1	1	0.47135	0.000999	0.024975	0.43345	0.44456	0.91908	48	0.443	0.78122	0.90839	57	0.4254	0.052947	0.91694
HALLMARK_APOPTOSIS	77	0.4029	0.58941	0.76462	0.5971	0.41159	0.997	0.44267	0.56743	0.91908	49	0.40952	0.5005	0.86293	28	0.50068	0.56244	0.9657
