Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
KEGG_GLYCEROLIPID_METABOLISM	10	0.57484	0.46054	1	0.42516	0.54046	0.94802	0.36974	0.32867	1	5	0.51943	0.62937	0.97671	5	0.22006	0.13387	1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	12	0.42002	0.037962	0.50774	0.57998	0.96304	1	0.47755	0.71229	1	9	0.54507	0.76224	0.97671	3	0.27501	0.2997	1
KEGG_ARACHIDONIC_ACID_METABOLISM	10	0.57936	0.47453	1	0.42064	0.52647	0.94802	0.47664	0.73327	1	3	0.39227	0.36064	0.97671	7	0.51279	0.88212	1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	22	0.50575	0.12288	0.69199	0.49425	0.87812	1	0.46496	0.77223	1	11	0.47646	0.52148	0.97671	11	0.45346	0.81618	1
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	13	0.54229	0.30869	0.95288	0.45771	0.69231	1	0.35475	0.20979	1	6	0.39261	0.25774	0.97671	7	0.3223	0.32068	1
KEGG_LYSOSOME	55	0.45796	0.002997	0.10689	0.54204	0.998	1	0.48669	0.94705	1	35	0.53062	0.88112	0.97671	20	0.40981	0.65634	1
KEGG_CARDIAC_MUSCLE_CONTRACTION	22	0.66745	0.88312	1	0.33255	0.11788	0.62609	0.33514	0.1039	1	6	0.39508	0.26374	0.97671	16	0.31266	0.1998	1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	34	0.63197	0.7972	1	0.36803	0.2038	0.68144	0.50157	0.93407	1	9	0.5571	0.79021	0.97671	25	0.48158	0.94505	1
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	28	0.64665	0.82917	1	0.35335	0.17183	0.63767	0.24557	0.002997	0.16034	10	0.35443	0.094905	0.97671	18	0.18509	0.000999	0.053447
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	19	0.49577	0.12987	0.69481	0.50423	0.87113	1	0.39007	0.33866	1	9	0.34726	0.11688	0.97671	10	0.42861	0.67732	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	14	0.48264	0.11988	0.69199	0.51736	0.88112	1	0.49548	0.83017	1	7	0.46075	0.45854	0.97671	7	0.53021	0.9041	1
KEGG_DILATED_CARDIOMYOPATHY	21	0.48995	0.085914	0.61285	0.51005	0.91508	1	0.4241	0.53347	1	9	0.30467	0.054945	0.97671	12	0.51367	0.93806	1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	30	0.5609	0.33966	0.95641	0.4391	0.66134	1	0.57247	0.998	1	13	0.64723	0.98202	0.98202	17	0.5153	0.95405	1
KEGG_CITRATE_CYCLE_TCA_CYCLE	22	0.65462	0.82817	1	0.34538	0.17283	0.63767	0.40854	0.43457	1	7	0.55652	0.76424	0.97671	15	0.33949	0.2977	1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	16	0.56206	0.37762	0.9824	0.43794	0.62338	0.98682	0.4682	0.75025	1	7	0.53407	0.6963	0.97671	9	0.41696	0.63337	1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	12	0.45318	0.082917	0.61285	0.54682	0.91808	1	0.67323	0.998	1	8	0.68469	0.96903	0.98019	4	0.65032	0.95904	1
