Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
HALLMARK_TNFA_SIGNALING_VIA_NFKB	20	0.60193	0.19481	0.51136	0.39807	0.80619	1	0.24261	0.37962	0.66434	7	0.20923	0.1049	0.28059	13	0.26059	0.69431	0.9855
HALLMARK_HYPOXIA	47	0.58131	0.03996	0.18648	0.41869	0.96104	1	0.26359	0.49051	0.71039	19	0.2903	0.16983	0.37541	28	0.24546	0.69331	0.9855
HALLMARK_CHOLESTEROL_HOMEOSTASIS	19	0.58818	0.15385	0.46154	0.41182	0.84715	1	0.25495	0.47153	0.70729	6	0.099581	0.016983	0.1019	13	0.32665	0.9041	0.9855
HALLMARK_MITOTIC_SPINDLE	53	0.54988	0.005994	0.05035	0.45012	0.995	1	0.21969	0.14286	0.54545	23	0.21589	0.007992	0.055944	30	0.2226	0.51349	0.93767
HALLMARK_TGF_BETA_SIGNALING	11	0.53801	0.1009	0.34857	0.46199	0.9001	1	0.11774	0.041958	0.25175	5	0.11313	0.035964	0.13732	6	0.12157	0.20979	0.73007
HALLMARK_IL6_JAK_STAT3_SIGNALING	18	0.64802	0.36464	0.76573	0.35198	0.63636	1	0.16514	0.090909	0.42424	6	0.19177	0.095904	0.28059	12	0.15182	0.1968	0.73007
HALLMARK_DNA_REPAIR	28	0.68589	0.54845	0.9214	0.31411	0.45255	1	0.22964	0.28671	0.63667	8	0.30251	0.32967	0.60201	20	0.2005	0.38162	0.88711
HALLMARK_G2M_CHECKPOINT	40	0.80728	0.996	1	0.19272	0.004995	0.06993	0.18989	0.055944	0.29371	7	0.4413	0.76424	0.93986	33	0.13657	0.042957	0.3007
HALLMARK_APOPTOSIS	44	0.57595	0.046953	0.1972	0.42405	0.95405	1	0.2232	0.2028	0.63667	18	0.23624	0.048951	0.15815	26	0.21418	0.44256	0.88711
HALLMARK_ADIPOGENESIS	78	0.71084	0.81718	1	0.28916	0.18382	0.69231	0.27541	0.63836	0.81159	19	0.37824	0.5954	0.82427	59	0.24229	0.70929	0.9855
