Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
KEGG_GLYCEROLIPID_METABOLISM	10	0.76078	0.78521	1	0.23922	0.21578	0.74825	0.28104	0.58941	0.93846	2	0.50651	0.72827	0.91651	8	0.22467	0.52348	1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	12	0.51534	0.057942	0.25833	0.48466	0.94306	1	0.56516	0.999	1	6	0.59584	0.96204	1	6	0.53449	0.98801	1
KEGG_ARACHIDONIC_ACID_METABOLISM	10	0.66679	0.47552	0.92218	0.33321	0.52547	1	0.15742	0.13686	0.58577	3	0.15167	0.14386	0.45336	7	0.15989	0.31668	1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	22	0.7777	0.90709	1	0.2223	0.093906	0.45673	0.23697	0.37063	0.80933	5	0.5432	0.8961	1	17	0.14691	0.14086	1
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	13	0.50771	0.044955	0.20914	0.49229	0.95604	1	0.28319	0.61039	0.94655	7	0.34871	0.4975	0.8263	6	0.20674	0.48951	1
KEGG_LYSOSOME	55	0.77191	0.97902	1	0.22809	0.021978	0.29396	0.29175	0.75824	1	11	0.58894	0.99001	1	44	0.21745	0.47952	1
KEGG_CARDIAC_MUSCLE_CONTRACTION	22	0.71366	0.68731	1	0.28634	0.31369	0.90715	0.14664	0.027972	0.24942	7	0.33051	0.43257	0.79029	15	0.060836	0.006993	0.18706
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	34	0.46237	0.001998	0.019435	0.53763	0.999	1	0.30476	0.78022	1	19	0.31061	0.27173	0.61434	15	0.29736	0.83616	1
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	28	0.79403	0.94206	1	0.20597	0.058941	0.39194	0.1767	0.066933	0.37413	4	0.17665	0.13187	0.4424	24	0.17671	0.21878	1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	19	0.26683	0.000999	0.011877	0.73317	1	1	0.14725	0.042957	0.30643	14	0.10491	0.000999	0.034632	5	0.26583	0.66234	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	14	0.24312	0.000999	0.011877	0.75688	1	1	0.095179	0.012987	0.1544	11	0.097265	0.002997	0.062338	3	0.08753	0.28172	1
KEGG_DILATED_CARDIOMYOPATHY	21	0.25945	0.000999	0.011877	0.74055	1	1	0.14565	0.035964	0.27487	16	0.12361	0.002997	0.062338	5	0.21619	0.50749	1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	30	0.62293	0.21878	0.70109	0.37707	0.78222	1	0.29548	0.72927	1	9	0.23558	0.11688	0.43414	21	0.32115	0.93207	1
KEGG_CITRATE_CYCLE_TCA_CYCLE	22	0.81706	0.96803	1	0.18294	0.032967	0.38482	0.29219	0.67532	0.99572	3	0.72977	0.95904	1	19	0.2231	0.4995	1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	16	0.64651	0.38062	0.88535	0.35349	0.62038	1	0.34181	0.84016	1	5	0.41573	0.65035	0.91651	11	0.30821	0.84316	1
