"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign"
"23","HALLMARK_E2F_TARGETS",0.70291,1,13,0.29709,0.083916,32,"proteomics_norm_spermin_frac_CBoth-CControl","down"
"24","HALLMARK_MYC_TARGETS_V1",0.68278,1,34,0.31722,0.041958,96,"proteomics_norm_spermin_frac_CBoth-CControl","down"
"29","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.66254,1,31,0.33746,0.062937,93,"proteomics_norm_spermin_frac_CBoth-CControl","down"
"14","HALLMARK_MYOGENESIS",0.45528,0.097902,20,0.54472,1,18,"proteomics_norm_spermin_frac_CBoth-CControl","up"
"35","HALLMARK_HEME_METABOLISM",0.42516,0.020979,25,0.57484,1,20,"proteomics_norm_spermin_frac_CBoth-CControl","up"
"36","HALLMARK_COAGULATION",0.38725,0.020979,36,0.61275,1,15,"proteomics_norm_spermin_frac_CBoth-CControl","up"
"231","HALLMARK_E2F_TARGETS",0.84306,1,7,0.15694,0.041958,38,"proteomics_norm_spermin_frac_CSpermine-CControl","down"
"241","HALLMARK_MYC_TARGETS_V1",0.82695,1,21,0.17305,0.041958,109,"proteomics_norm_spermin_frac_CSpermine-CControl","down"
"141","HALLMARK_MYOGENESIS",0.34152,0.01049,24,0.65848,1,14,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"18","HALLMARK_APICAL_JUNCTION",0.31055,0.01049,34,0.68945,1,14,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"25","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.41868,0.01049,26,0.58132,1,19,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"361","HALLMARK_COAGULATION",0.41481,0.01049,30,0.58519,1,21,"proteomics_norm_spermin_frac_CSpermine-CControl","up"
"8","HALLMARK_G2M_CHECKPOINT",0.69455,1,12,0.30545,0.094406,28,"proteomics_spermin_frac_CBoth-CControl","down"
"232","HALLMARK_E2F_TARGETS",0.70602,1,13,0.29398,0.083916,32,"proteomics_spermin_frac_CBoth-CControl","down"
"242","HALLMARK_MYC_TARGETS_V1",0.68814,1,35,0.31186,0.041958,95,"proteomics_spermin_frac_CBoth-CControl","down"
"291","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.66136,1,35,0.33864,0.041958,89,"proteomics_spermin_frac_CBoth-CControl","down"
"142","HALLMARK_MYOGENESIS",0.43972,0.027972,22,0.56028,1,16,"proteomics_spermin_frac_CBoth-CControl","up"
"351","HALLMARK_HEME_METABOLISM",0.42992,0.020979,25,0.57008,1,20,"proteomics_spermin_frac_CBoth-CControl","up"
"362","HALLMARK_COAGULATION",0.36487,0.020979,37,0.63513,1,14,"proteomics_spermin_frac_CBoth-CControl","up"
"9","HALLMARK_APOPTOSIS",7.3052e-08,0.055944,44,1,1,0,"proteomics_spermin_frac_CSpermidine-CControl","up"
"21","HALLMARK_PI3K_AKT_MTOR_SIGNALING",7.3229e-08,0.055944,40,1,1,0,"proteomics_spermin_frac_CSpermidine-CControl","up"
"22","HALLMARK_MTORC1_SIGNALING",1.6519e-07,0.041958,96,1,1,0,"proteomics_spermin_frac_CSpermidine-CControl","up"
"33","HALLMARK_UV_RESPONSE_UP",1.4288e-07,0.062937,49,1,1,0,"proteomics_spermin_frac_CSpermidine-CControl","up"
"81","HALLMARK_G2M_CHECKPOINT",0.80728,1,7,0.19272,0.06993,33,"proteomics_spermin_frac_CSpermine-CControl","down"
"233","HALLMARK_E2F_TARGETS",0.84327,1,7,0.15673,0.041958,38,"proteomics_spermin_frac_CSpermine-CControl","down"
"243","HALLMARK_MYC_TARGETS_V1",0.83242,1,20,0.16758,0.041958,110,"proteomics_spermin_frac_CSpermine-CControl","down"
"4","HALLMARK_MITOTIC_SPINDLE",0.54988,0.05035,23,0.45012,1,30,"proteomics_spermin_frac_CSpermine-CControl","up"
"143","HALLMARK_MYOGENESIS",0.33439,0.01049,24,0.66561,1,14,"proteomics_spermin_frac_CSpermine-CControl","up"
"181","HALLMARK_APICAL_JUNCTION",0.30295,0.01049,34,0.69705,1,14,"proteomics_spermin_frac_CSpermine-CControl","up"
"251","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.41362,0.01049,26,0.58638,1,19,"proteomics_spermin_frac_CSpermine-CControl","up"
"363","HALLMARK_COAGULATION",0.40107,0.01049,30,0.59893,1,21,"proteomics_spermin_frac_CSpermine-CControl","up"
