Gene_name,logFC,P.Value
HSPA9,20.4776513259382,1.73635920491259e-17
RPN1,19.9681769200468,2.2952789908922e-17
NNT,19.4796189992671,2.34716205230494e-17
SLC25A5,19.7250662751829,2.49750244099958e-17
CORO1A,20.3977162606596,3.19799636711481e-17
TLN1,25.4864629697779,3.43053305147095e-17
GANAB,20.0420750348298,3.45750839614833e-17
SYTL4,19.3951777588786,3.54416451240101e-17
PDIA6,20.1569328610102,3.63202294921597e-17
WDR1,21.0113076033249,3.79266619388662e-17
MTHFD1,18.8525135724448,3.83032053924449e-17
FERMT3,21.7159942788968,3.89992723955821e-17
PLEC,20.8239842321664,4.00207591162794e-17
CCT3,19.8139085354531,4.19354818099709e-17
CAVIN2,22.0498094936569,4.33393052735355e-17
IMMT,18.0401209153585,4.3502630714444e-17
HSPD1,21.1382270411178,4.4276327576035e-17
ACADVL,17.9984260928991,4.63715532761774e-17
ARPC3,18.4816154240034,4.77989302134956e-17
DECR1,17.3930745882919,4.94589556236091e-17
UQCRH,18.3932369968971,4.98954614601605e-17
ATP5PO,18.7731911960404,5.04329608395035e-17
HSP90AA1,19.0408622662153,5.08058682740851e-17
PDIA3,22.5954480055809,5.09780596339332e-17
ACTR3,19.2117622940529,5.17445642038669e-17
COX4I1,18.0580973982836,5.22183256373844e-17
VWF,20.1911541638415,5.41365020975627e-17
SPARC,18.050571162443,5.67176748325947e-17
ILK,21.7632637045441,5.74889470646182e-17
PPP2R1A,18.9681301869816,5.77448696934332e-17
STXBP2,19.7764637798229,5.93532373082389e-17
ARPC4,18.8088456439561,6.01373242433004e-17
ENO1,22.6502256230326,6.1724575206462e-17
ITGA6,19.6069532295461,6.48137566480983e-17
ZYX,21.2292923525258,6.64961221988366e-17
PDIA4,20.3137243026063,6.72230445838822e-17
NPEPPS,17.2768899365887,6.86405900256079e-17
EEF2,18.3377652290572,6.99796464731892e-17
UNC13D,19.2267532918522,7.01992335247038e-17
HSPA1A,19.944269174813,7.10471328342666e-17
ACLY,18.1187549704999,7.19079418214561e-17
LMNB1,19.2726139915062,7.23607082722293e-17
FLNA,24.9999464823181,7.30669514190104e-17
RAB7A,18.7127065960652,7.31074843813214e-17
GDI2,17.9351961878166,7.35409113071783e-17
EMILIN1,18.9346277329056,7.3635086686439e-17
GSN,22.4534113269485,7.38314706277107e-17
HSP90AB1,18.87040225819,7.43758614996113e-17
CDC42,20.0445239171655,7.51055394293707e-17
AKR7A2,18.616361383315,7.6098372722809e-17
F13A1,21.3568168849815,7.91057969034501e-17
MDH2,19.7434534072304,7.91390316516729e-17
WARS1,17.2918144019099,7.94285278241212e-17
ALDOA,21.9500320268868,7.96142507903033e-17
ATP1A1,16.9660995064128,8.01772498174292e-17
CHCHD3,17.6993754716118,8.18123013174602e-17
SLC25A3,18.6353236268768,8.18642259813956e-17
ENDOD1,18.2432996633358,8.23734571595206e-17
FASN,18.0738140073643,8.23930183741868e-17
PPP1R12A,17.7945120569455,8.26593283543875e-17
NA,18.0990667135533,8.3720719209725e-17
ESD,18.6640190939521,8.46652371008901e-17
CORO1C,19.5933902980351,8.50577205440831e-17
ATP6V1A,18.7412896647546,8.50797067188012e-17
ALOX12,18.5864398161181,8.50944857470554e-17
CLTA,18.3323668028861,8.70057068974863e-17
HADH,18.2590226559213,8.84517595530665e-17
IQGAP2,19.1999641467135,8.97442927008279e-17
ATP5F1B,22.0420924196594,9.0272426652114e-17
CYFIP1,17.5259791414136,9.08886222658102e-17
BIN2,20.2175645400918,9.23220165784395e-17
VCP,20.1177330144698,9.24867778203951e-17
ANXA6,18.2640957563004,9.2642540075502e-17
DBNL,19.5109178295712,9.35038195624202e-17
CLTC,20.990273659731,9.37646628550615e-17
RAB8A,17.9810609125971,9.52501615941115e-17
COPA,17.9143639655412,9.94881039981092e-17
P4HB,21.1583773081231,1.00454319804123e-16
IVD,17.3697470744067,1.00646582773833e-16
NAP1L1,17.827111039756,1.0114298073399e-16
GAPDH,22.6783182822574,1.02206683590968e-16
LAP3,18.3859699176221,1.04359581955112e-16
PLG,19.0926822121716,1.05367965674473e-16
FHOD1,18.258544069498,1.06402855075858e-16
AHCY,17.1737922703391,1.08411754358916e-16
VASP,19.9640668553535,1.08548555875547e-16
MYL6,22.3009089828838,1.096498427092e-16
F5,19.917923843853,1.10090803606133e-16
ACTR2,19.7717935074396,1.11285330576239e-16
UBE2O,16.5517006406677,1.11841228461579e-16
ARHGAP45,18.5448078717925,1.12009795578779e-16
RAC2,19.8583013226864,1.12049114559847e-16
AK1,17.4740596091716,1.12435561933115e-16
ELOC,16.6442232972763,1.13048533180041e-16
PYGB,18.0594645311483,1.14993024459589e-16
ATP5F1A,21.7733653752166,1.18192338006921e-16
IDH2,20.3048598776002,1.20943854424787e-16
ATP2A2,18.8546742880028,1.21482068466691e-16
ERLIN1,16.5308173626607,1.21764788858595e-16
ARPC1B,18.2320676676776,1.22039778392443e-16
HMGCL,16.8449669715377,1.23385787068947e-16
RPS2,16.9696414381351,1.27730489719367e-16
MPO,21.7332858077968,1.29250147211437e-16
FLOT1,18.0372093486802,1.29647983124668e-16
MYH9,25.4332484921848,1.30027884624008e-16
PRKCD,18.2299031756624,1.30741639482677e-16
NBEAL2,17.3204412092237,1.30863822591406e-16
HADHB,18.2634591837116,1.33797370576543e-16
RPL10,15.4037916149548,1.33941274630885e-16
CAPN1,19.4163405607503,1.35113973966253e-16
TUFM,18.9668146286846,1.35188277757147e-16
PGK1,21.2821215222535,1.35499331338344e-16
CASP1,16.6813170281467,1.3622745665677e-16
BTK,16.9622421354059,1.36440586549421e-16
ETFA,17.5390287485437,1.39364510773414e-16
RHOA,18.8291058140984,1.42349821575646e-16
PFKP,18.7886846025245,1.43935185097989e-16
HNRNPU,18.9871821708406,1.43948896077264e-16
STOM,21.1262703223035,1.48126597718528e-16
