Gene_name,logFC,P.Value
NOP58,-2.36466824292141,1.206505148822e-06
CYBA,-0.959422758307262,2.05244032137831e-06
PLEC,-0.879854484568962,4.72299199291363e-06
RNH1,-0.906414802908856,1.34727725183186e-05
TAF1,1.66073649419141,1.65525162319283e-05
PPBP,0.999894994435842,2.0526100260153e-05
SIRPB1,-0.862921305087554,2.55572333901308e-05
GSTT2B,-1.29843186756411,3.13090225210123e-05
DYNC1I2,1.26357893510185,3.22866280749468e-05
ITGB5,0.619694239770436,4.5667864509539e-05
ENDOD1,0.595359784421239,5.61912309018559e-05
PPM1G,-0.801698326936308,6.76623961248949e-05
MYH2,1.12264379654585,9.07578024629014e-05
HMGB1,-0.639590299508753,0.000111996879934749
ITGA2,1.01334903137274,0.000115901000984404
HR,-1.50714747569085,0.000120877670466816
ANXA6,-0.517034354324655,0.000161710800611223
RNASET2,0.901375557734798,0.000198415754401078
HLA-A,1.13805096217244,0.000214321685143853
VWF,0.506574780674982,0.000222653315804124
ALDH4A1,0.765513706794296,0.00024268725781838
CCL5,0.679913667221802,0.00026200121794057
LDHB,0.567873443075734,0.000309735933798029
CDA,-0.700690664680302,0.000310838192259797
CYB5R3,0.573918850765687,0.000329340687997049
RUVBL2,-0.534117475464259,0.00033049928837999
FN3K,-0.496345261643013,0.000353434818258021
MDH2,-0.47917039565451,0.000381998150286856
DYNC1H1,0.559849795067787,0.000386491294182856
TES,-0.931545872157104,0.000389066183597114
CALM1,1.21085013512615,0.000413109037847092
RPS3,-0.437000355818202,0.00042889899360264
ESYT2,0.526236872060043,0.000449197872295331
LRRFIP2,0.770370279817689,0.000466299524779701
GP9,0.49297974618914,0.000513946900496148
SULT1A3,0.620013222212836,0.000514908624424769
HLA-C,-0.496276856520259,0.000531043264685133
SRSF3,-0.764591991102002,0.000567114354215592
PRKDC,-0.544876154444304,0.000644649191191953
TPM4,0.665060754626986,0.000646199007347197
RPS23,-0.416651773474561,0.000649579177552904
H2AW,-0.595952351680612,0.000677634066553948
ABHD11,1.23601706182344,0.000698581343376899
EEF2,-0.392219661348309,0.000758790451700251
RPL6,-0.463065365784757,0.000772319931324234
MYL6,0.502343387519699,0.000798171391711879
TYMP,0.440808568774894,0.000889718539227232
CLNS1A,-0.663860554767951,0.000950007993996106
ZYX,0.432726115664499,0.000975598699674162
CD44,-0.843896948955454,0.00102267840383022
NRP2,-0.963440995117805,0.0010501614218848
CRYZ,-0.786367859142105,0.00109706076952501
RPL11,-0.582173938880406,0.00110304071992246
HNRNPU,-0.419339109086202,0.00112094443970673
ZMPSTE24,0.48864445931069,0.00112319984967734
KHDRBS1,-0.633583868913159,0.00113183730077675
APOBR,-0.467904321022756,0.00115642869052147
MPO,-0.463601450977603,0.00126535955295831
TREML1,0.469716965763489,0.00126786551519042
PGRMC1,0.423164883758739,0.00129325395314061
TIMM8A,0.673531182937743,0.00131448821360314
TBCA,0.742245649169494,0.00131734214942095
TAP2,0.564134393893239,0.00137245795197671
RPL28,-0.530833752428152,0.00144645477822956
MYH9,0.529677336528089,0.00146474813100692
LRPPRC,-0.50447300635036,0.00150964691125282
C1QA,0.472363904432793,0.00152173175679993
GRHPR,0.406730660755196,0.00158736629392156
DEK,-0.853656778147708,0.00159412091962786
EEF1E1,1.09663314148504,0.00159458101376116
PSMA1,0.456224687266641,0.0016184125834493
BET1L,0.565780158651891,0.00163623710314099
SARS2,1.10103936863344,0.00165675747141357
GSTO1,0.458711469052196,0.00165766702733253
SESTD1,0.726489917474796,0.00166521925281877
HSD17B4,0.437289002356538,0.00176376147344025
KLHL18,0.60004592611785,0.0018897308067279
RAP1B,0.537071577688699,0.00189996960653921
SH3BGRL3,0.617715970630588,0.00191279430306109
SLC16A3,0.712686973638994,0.00194272964900796
DAPP1,0.502461526711894,0.00202414456283343
TEC,-0.685844472503007,0.00206488170186539
SACM1L,0.409541660438793,0.00225144118356834
LMNB1,-0.343606100145711,0.00228599612812065
PTPRJ,0.387230454794942,0.00229894053303359
PPIF,0.529675712523531,0.00230066159853324
CST7,-1.21546600220135,0.00231018145546716
HUWE1,0.421720571658443,0.00231118496817891
MYO1G,-0.346922790290055,0.00232081482451188
SNCA,0.477611247167601,0.00234142231857478
ICAM5,-0.371781543298252,0.0024529996747696
PSMD6,0.410652574457294,0.00249717461339599
PF4,0.610320581762737,0.00251374287884071
MYL12A,0.563320373247296,0.00254376223231324
TUBA4A,0.460869313979089,0.00256654177304097
LGALS1,-0.445722267674213,0.00257927642722093
BIN2,0.363749600599737,0.00261021741529814
YWHAZ,0.446998417347592,0.00263980560364475
THBS1,0.461776936239489,0.0027852880200542
ARPC4,0.314573797346087,0.00284978470087031
RPL35,-0.855447705658407,0.00288464304777234
CD53,-0.827040998351005,0.00289039553045989
HABP2,-0.560090807936706,0.00295771371096919
RPL14,-0.373347748153758,0.00300070353919929
HNRNPA3,-0.491693770772101,0.00304580865548488
VPS4B,-0.381452793124953,0.00314655766931048
NA,-0.674276224133509,0.00328253938491886
PDLIM1,0.44241900758894,0.00329562725549246
ITGA2B,0.532358838568296,0.00335458246564256
MLEC,0.547548926664746,0.00339109281356599
GP1BB,0.442268128074845,0.0034403781833295
PRKG1,0.449014180797394,0.00346260670111736
METAP2,0.690925426108144,0.00353350844879741
ACTN1,0.47870410664769,0.00353537382092182
IMPA1,0.331524866233195,0.00355640683606669
RPS11,-0.446235575043798,0.00370830681939314
PIP4K2A,0.41042973514879,0.00373531980895275
ACADM,0.822573948316694,0.00376177064039699
RPS13,-0.395195231413364,0.00379598645799347
UPF1,-0.412821803746358,0.00387592093089134
ARPC3,0.281508370931497,0.00402187701020134
ATP2C1,0.386902522021045,0.00407206054226803
AHNAK,-0.394886705121203,0.00410497917258592
FAF1,-0.838363694483009,0.00416535653423967
TPM1,0.616485054622787,0.00423649017307863
TPM3,0.5587427875556,0.00433082887558618
RBM14,-0.542121371006357,0.00434488001378961
ARHGEF2,-0.312679146859514,0.00441174299646261
DIAPH1,0.380619847687545,0.00446985032992309
PHGDH,-0.56017333664656,0.00452825023797768
FLOT1,0.306952370001699,0.00453979792001681
PPP1CA,-0.511948126397001,0.00463095187069401
HNRNPA1,-0.528080171071016,0.00465869141849552
RPS8,-0.385244695587209,0.00466918481140094
EPDR1,0.467119238315992,0.00471015449450309
F5,0.328432455659899,0.00477940272410565
PPIA,0.440184967920681,0.00478028418458836
HNRNPA2B1,-0.455576369130956,0.00483863629760818
TUBB3,0.822293156224846,0.00484844875730197
PTTG1IP,0.438318291311091,0.00491632005127372
SERPINA3,-0.514299122260353,0.00494243396961853
ABRACL,0.659232445028095,0.00499815258065407
ATP1A1,-0.264796676344304,0.005107301268969
CRACD,-0.993115343190552,0.00512190648357057
NEXN,0.399516812429303,0.00518476572919787
STING1,-0.519810136108499,0.00522793466557209
SIPA1L3,-1.33371866285101,0.0052806974628449
SRC,0.30690353910849,0.00532099220686207
SRSF6,-0.417487051603461,0.00550826243918456
PDIA6,0.278929056378846,0.00550860833295719
RPL10,-0.253712427423808,0.00551904630947539
ARRB1,0.349315708327541,0.00557440779696283
HPX,-0.578660260626414,0.00564899921636668
LSM5,0.778158157180537,0.0057159359918354
RHEB,0.427076028868044,0.00577493701284722
SFPQ,-0.675819558166007,0.00595009598214559
PPP6C,-0.322440028556701,0.00597624159824891
LTBP1,0.46366666825254,0.00602904793620133
YWHAE,0.614567041271691,0.00603223938331403
CORO1B,0.335928992460334,0.00612375415453039
CERS2,0.63173127438494,0.00612478184374906
HSDL2,-0.283470390957354,0.0061565741357758
ATP2A3,0.339211514724585,0.00615691159929527
ALDOA,0.330144198489294,0.00616223999164302
ADCY6,0.311388715019795,0.00653492455351454
HLA-E,0.626838542404694,0.00655971516436307
ESYT1,0.315182699013293,0.00659292672897574
ITGB2,-0.312372024149657,0.0067881494070283
RPL3,-0.444493929213159,0.00686311288358439
A2M,-0.48202916587111,0.00686394062935772
LSP1,-0.308443142371552,0.00694512949271861
GNAZ,0.610956820411694,0.00696862561254782
ANXA7,0.364376047568045,0.00698025260150028
TUBA8,0.520524907638935,0.0070539526075053
DDX19B,-0.486182332834651,0.00714985468733415
PCYOX1L,0.407128575698995,0.00715176496628881
ACAA2,-0.329240444337,0.00719367604128876
PKM,0.360677171945247,0.00729667219555432
GNAQ,0.451963987763042,0.00735929990000863
TMSB4X,0.553607993194742,0.00736644845136845
CAPG,-0.569863386466914,0.00743199105603698
HP,-0.536411217833264,0.00755114851523902
H2BC18,-0.780795969130004,0.00759080375029883
HNRNPH1,-0.326181748071455,0.0076896481701414
APPL1,0.36384754810405,0.00771774723082841
RPL35A,-0.596414572395206,0.00772474761550852
F2,0.332360020093137,0.00772520102346234
HIBCH,0.420824950709847,0.00788091334461694
NA,0.632755684973539,0.00789051805810834
CAVIN2,0.290734001422291,0.00795575657716451
RAB5B,0.500730268729091,0.00795605613564905
RPS2,-0.258426016819958,0.00797493057339357
FCGR3A,-0.421479182960909,0.00818329111980259
NA,-0.590714009544007,0.00822922971077667
NA,1.75295371056105,0.0083163992841108
LDHA,0.301465640884199,0.00847840369481269
PFN1,0.330461391110742,0.00885978604565671
H1-3,-0.480660278540107,0.00899247535591705
ACTR2,0.287113489675435,0.00921166821867959
RPL21,-0.448362404750102,0.00938247060205345
CAT,0.810689018058848,0.00951045881423481
GPD2,0.462912426932986,0.00978165179998785
GDI2,0.242622041882086,0.00993395253353312
TPI1,0.422208897239944,0.0100844901870177
CRB1,0.482334769433548,0.0101294112913502
PLBD1,0.515036433064042,0.0101352468892413
CPNE1,0.247684487839988,0.0102244465224223
RPLP1,-0.264847507454562,0.0102904870023878
EHD3,0.305457978110996,0.0104945572042461
GCLM,0.419857207752891,0.010522638286012
MCU,0.335188057147295,0.0105443935666961
ABHD16A,0.283238324386593,0.0105465702835906
DNAAF1,-0.49176707011516,0.0106139876948234
RPS25,-0.427798619918404,0.0106910967557759
UBA7,0.348138159655939,0.0108941685192955
NAPA,0.368614296362145,0.0114155822943886
TAPBP,0.328107172571195,0.0114644726605934
COPS8,0.339935233249794,0.0115243976335273
TPT1,-0.300392480276855,0.0115511218911752
GLO1,0.559757753700892,0.0120936007543013
GMPPB,0.40343088941759,0.0125542365671822
PRPF19,-0.481443021252004,0.0128118282248592
HK1,0.347073080336488,0.013183276203225
CTSA,-0.470671880195353,0.013207674202564
PFDN6,0.507470534246339,0.0132796655684112
FHOD1,0.2440988649662,0.0132872064794569
HBB,-0.310338319429909,0.013650677904856
PLEK,0.303033695449848,0.0137626819765177
IQGAP1,-0.373541818228952,0.013885158646379
LRCH4,0.298681527630943,0.0139422936611621
ROCK2,0.260633048780545,0.01418213303631
ATL1,0.384170037262192,0.0142144220666462
H2BC5,-0.869963836502061,0.0143195840136685
S100A11,-0.504961807299804,0.0143432205831695
MMRN1,0.376986799921445,0.0144388858551934
FAH,0.283891495899798,0.0149575812538992
RTRAF,-0.290560232417257,0.0150739212431188
CASP1,-0.224265958713802,0.0150770997127081
CHUK,-0.449630441567951,0.0155331914973797
H2BC3,-0.710213545327055,0.0156478436217507
CORO1C,0.245145343437657,0.0156985950578504
SF3B2,-0.350537783689052,0.0157712967417619
GTPBP2,0.231335521959244,0.0159269324754181
RPS18,-0.306977142079907,0.0160236942007974
RPS10,-0.451199407557507,0.0162157775014475
NBAS,-0.38363874519955,0.0162183265444912
DARS1,0.275597640356492,0.016372140260313
TXNL1,0.325498287884147,0.0163780706962529
RPS6,-0.305501221613412,0.0165093878441154
HPR,-0.658295639989003,0.0166967868541052
NA,-0.380548195635156,0.017211471675782
UNC45A,0.360926332188195,0.0173183647045141
TUBB1,0.302470963240585,0.0174275990300217
PRKACA,0.307852764467098,0.0174490991159476
PSMA6,0.485777451317449,0.0176285347288631
IDH2,0.25943687655589,0.0176465702185168
RAB11A,0.348365450742295,0.0176633778849117
CLTA,0.223424188192997,0.017898735078335
NA,-0.449507009715511,0.0179922632890894
VCL,0.386656619695682,0.01803342368463
SH3BGRL,0.331027142399088,0.018058804197141
TOM1L2,0.446065437496445,0.0180754366584172
HSP90B1,0.360503863106394,0.0183391687351174
CAPZA2,0.344823906512536,0.0185494689585187
ANXA3,0.323038979110442,0.018562659428158
MFN2,-0.433541848171506,0.0187180572451128
RPS5,-0.315143858320656,0.0189868694616646
CAD,0.446399581248893,0.0193029324800673
FAF2,0.458315789448245,0.0195203022911488
UBA6,0.301131291493338,0.0198082787711055
ITGB1,0.296431072830289,0.0200986357267211
FKBP1A,0.266901909239642,0.0201836525244182
SYNE2,2.0062919731265,0.0202261627469046
S100A8,-0.334416611169772,0.0203849302845895
SRSF1,-0.412278523307802,0.0203940458807583
NA,-0.510644252542258,0.0204363445283409
TMEM205,-0.445901286031652,0.0205322872085954
SEPTIN2,0.270186699132196,0.0205636998455253
PTGS1,0.28026378333925,0.0206675494523999
EIF3D,-0.345036920614257,0.0209634169743479
TRRAP,0.722157785611448,0.0210392023359828
FEN1,-0.217153728504909,0.0210680932788136
CMIP,0.477652449100493,0.0212892993648112
TBC1D30,0.820478550637831,0.0214865487767913
NA,-0.613177527557062,0.0215244521574037
TMED9,0.449767024035594,0.0216052322486047
HSPH1,-0.537110331835006,0.0217246071872756
NENF,0.395620105364141,0.0217249514352796
PARK7,0.321044676567151,0.0219290720931875
TMEM40,0.361708953103744,0.0219460252861244
NCKAP1L,-0.258816318651851,0.0221374550080618
ANXA2,-0.322635122317909,0.0222030400031048
TLN1,0.260721895463932,0.0222995854153983
HNRNPK,-0.353869800571162,0.0223128910033416
TGFB1I1,0.293709906064593,0.0224384475176619
RALB,0.272446510671695,0.0227237335201814
FERMT3,0.224403558199637,0.0229779063988844
CKAP4,-0.235955590137555,0.0229972613157579
ENG,0.230453995144343,0.0230226681645782
NA,0.203890354195997,0.0230837063133018
CALU,0.264473938568246,0.0231659597716891
WARS1,-0.19602150115571,0.0232259833288991
SUB1,-0.260545435124364,0.0232299456296943
SPPL2A,-0.302940785503408,0.023239755139688
GSR,0.656832191160646,0.0232459655706037
CFL1,0.324650226756988,0.0234022128215426
ARPC2,0.341870165443342,0.0236946079641132
GP6,0.411927865091691,0.023811838371997
BRK1,0.345985932089145,0.0238503713088964
PPP1R3E,0.289386143928445,0.0238892674599394
SEPTIN6,0.234721998353499,0.0239899364886699
SAMHD1,-0.279237715002111,0.0241236559474661
AGPAT1,0.418856107517044,0.0241902092624139
UNC13D,0.212031289910792,0.0243291808168545
AP1S2,0.36331215580934,0.0243555692667746
