Gene_name,logFC,P.Value
CLTC,21.448720870757,1.68722304073815e-17
MYH9,25.8916952224125,1.87190747391474e-17
HSPD1,21.5966742013961,2.22366788411138e-17
PDIA3,23.0538948784237,2.2679459932875e-17
P4HB,21.6168244626608,2.29300994249266e-17
ATP5F1B,22.5005393701104,2.41319343344749e-17
TLN1,25.9449096992408,2.49350050101166e-17
ATP5F1A,22.2318123753945,2.89753517350203e-17
EIF4A1,20.0197332009584,2.92339194294247e-17
ILK,22.2217107070277,3.21019547799409e-17
PGK1,21.7405686404757,3.29255474905724e-17
ACTR2,20.2302413878539,3.34709332418946e-17
WDR1,21.4697548076299,3.37674879396382e-17
ENO1,23.1086724893134,3.38319166469663e-17
IDH2,20.763307395936,3.74112432476036e-17
PLEC,21.2824315015975,3.78427383456473e-17
ALDOA,22.4084789938296,3.93440892063394e-17
GAPDH,23.1367651458955,4.09151968080774e-17
F5,20.3763716090048,4.10406707698791e-17
BIN2,20.6760121087275,4.26145307342283e-17
FLNA,25.4583932207675,4.46098236165079e-17
MPO,22.1917328159479,4.46274212320703e-17
PDIA6,20.6153804662871,4.46277731194731e-17
IQGAP2,19.6584125979193,4.56049377735817e-17
DBNL,19.9693659408851,4.62959602600236e-17
VWF,20.6496017486032,4.7944699619055e-17
CAPZB,20.8146782817283,4.84561241071937e-17
PDIA4,20.7721718145592,4.85183088582893e-17
HADHA,18.5738169205604,4.93906773835041e-17
G6PD,19.8748937114508,5.01768554597079e-17
ERP29,19.2840856907212,5.26553926674847e-17
HSPA5,22.553627285864,5.3630580941199e-17
HSPA8,22.5044156943968,5.39257038917213e-17
RAB7A,19.1711557450722,5.43071714980048e-17
RHOA,19.2875547744392,5.45005243513273e-17
UQCRFS1,18.6857391756763,5.61780980898173e-17
TST,19.7479174786334,6.00484292221445e-17
UBA1,20.0716135729835,6.29208860051393e-17
THBS1,23.4601481614853,6.54455408990218e-17
ZYX,21.6877394870322,6.70618566485271e-17
TUBB1,22.2871564953997,6.85717614293029e-17
EMILIN1,19.3930765350997,7.20842377274991e-17
CCT6A,19.9817880869841,7.22656215980499e-17
STXBP2,20.234911657321,7.34484546308637e-17
PKM,23.0628596406237,7.39766024439333e-17
CNDP2,18.3832209515042,7.39819962964632e-17
FH,18.0305881336632,7.59887488347316e-17
CLU,21.3554902316809,7.77160584925355e-17
HLA-B,19.0223926995915,7.85171923553673e-17
GSTP1,18.0120014061083,7.8824133776633e-17
PTPN6,19.9471360790749,8.06973543330571e-17
HSPA1A,20.4027169193125,8.10037221010351e-17
STK24,18.5078101697243,8.18210077830059e-17
HSPB1,20.3936038150938,8.25505140985961e-17
CCT7,19.5248483878236,8.43469331269281e-17
ACTN1,23.3568581823155,8.48806810680343e-17
PRKCSH,19.4054244465314,8.63440740113808e-17
PPP2R1A,19.4265789412106,8.86302789787942e-17
HSP90B1,21.3841473496867,9.35692968731906e-17
RAB27B,19.1949624802244,9.52177743470736e-17
MSN,21.1800744627171,9.55718150398708e-17
MTHFD1,19.3109624890184,9.6908018561561e-17
ITGB1,20.7652866477237,9.75898439609537e-17
UQCRC1,19.6865593307482,9.84751604244848e-17
ETFB,18.1388888256811,9.96961517761122e-17
VCP,20.5761806458344,1.04471982195857e-16
LASP1,19.4896825128175,1.0672402609095e-16
CKAP4,18.1588250483387,1.06866319009562e-16
SAMHD1,19.4269132689431,1.11158060190637e-16
CANX,20.28911258553,1.11999410721232e-16
DYNC1H1,17.0848093743039,1.13608948020041e-16
DIAPH1,17.6214160530548,1.15971210358238e-16
EHD3,19.4284070179812,1.17472956733464e-16
PIP4K2A,18.286152501809,1.180275482848e-16
RPLP0,17.3686803713686,1.18891095913176e-16
AKR7A2,19.0748107037269,1.19390866985016e-16
GP1BB,20.976555852924,1.20776562972291e-16
CALR,20.3284095523127,1.22982429937842e-16
PTPRC,17.6488922053905,1.23933503273981e-16
GANAB,20.5005227148759,1.24489189494513e-16
ETFA,17.9974809379485,1.25194877470734e-16
DNM1L,19.2116273439666,1.26269687044799e-16
PPIA,22.1718257768933,1.27065313482373e-16
CFL1,20.1874315875686,1.27371061201561e-16
HADHB,18.7219092218879,1.27795720842399e-16
ATP6V1B2,18.4338547759767,1.28336374382819e-16
RALB,18.719776895679,1.29674501536709e-16
LMNB1,19.7310623476172,1.31731007369497e-16
CLIC1,20.9359918695544,1.31941878535115e-16
PHB,19.3975075101402,1.32276278936958e-16
FERMT3,22.1744412917129,1.33372219060148e-16
LDHA,19.7593647485141,1.35657216253072e-16
CA2,17.9179635450083,1.37220324716657e-16
GP9,18.2754381652551,1.40233939232997e-16
ARHGAP1,18.3581074547645,1.4086440343674e-16
HSD17B4,18.5183091682465,1.42440953066388e-16
HSPA9,20.93609875227,1.43137392089961e-16
HNRNPF,18.1229131143591,1.43624441112665e-16
TAPBP,18.4230153235692,1.44386644061134e-16
ARHGAP45,19.0032573174892,1.48256582947997e-16
TPM4,21.8329477048677,1.4920470302906e-16
PTGS1,19.5420799849407,1.49492474702453e-16
TAGLN2,22.0290154079721,1.5143436941622e-16
ATP6V1A,19.1997387675085,1.5525304948834e-16
ACTR1A,17.8964860133131,1.57439492026512e-16
RAB8A,18.439511660249,1.58138984177258e-16
LYN,17.5219499446638,1.58715590496982e-16
YWHAH,19.7637574551472,1.62004021675212e-16
SEPTIN6,17.7618262810393,1.65274620543769e-16
ETHE1,17.2170373282174,1.6595268731018e-16
VCL,24.5709906570964,1.66981640727397e-16
PFN1,20.7573609394811,1.67090914311559e-16
HINT2,16.3348327883763,1.67335527134009e-16
NNT,19.9380671413393,1.68438676662075e-16
UQCRC2,17.825567369485,1.68666821187682e-16
RAB8B,17.3963093250824,1.68758513063098e-16
GPI,19.4984846010374,1.68843733071359e-16
FGA,23.6488836607761,1.69769716697455e-16
MDH2,20.2019012981547,1.70850246419267e-16
CCT5,18.2409050621378,1.72659394966979e-16
ARPC1B,18.6905177772473,1.7356234065661e-16
SACM1L,19.5366659717485,1.740737667745e-16
CALD1,21.3558302928429,1.78837679314717e-16
MMRN1,21.0704023428338,1.79944623136334e-16
HK1,19.725296765592,1.81798663974955e-16
APOE,22.8421752361253,1.82045033246838e-16
RPN1,20.4266246496571,1.85859978570203e-16
CAVIN2,22.5082564436043,1.88769931633678e-16
ITGA2B,22.8998368243054,1.89856386980954e-16
UQCRH,18.8516867439181,1.90707369303449e-16
ARRB1,16.8370454273461,1.91421995191391e-16
LDHB,21.0801677882845,1.92250023685793e-16
GLUD1,17.8359369335701,1.93167043617147e-16
COX6C,19.5677007800476,1.9539975016075e-16
SYTL4,19.8536259904756,1.96569936143133e-16
PECAM1,18.6407290625025,1.9830858886966e-16
SLC25A5,20.1835141902322,1.98471765367448e-16
NAP1L1,18.2855622657699,2.01112915159644e-16
RAC2,20.3167491271905,2.01822977032595e-16
PRPSAP1,16.7153484672303,2.01868952500456e-16
PGD,19.3624760569869,2.04433609881767e-16
TXNL1,17.308524135043,2.05789220543724e-16
PRDX5,18.163043398149,2.06280830672551e-16
EEF1B2,18.2095488554415,2.07452472825499e-16
GSTO1,18.7733657358513,2.07880752692081e-16
CAPN1,19.8747887744503,2.08938926894919e-16
SRC,17.5534893570675,2.09670459551381e-16
TALDO1,20.2502239497175,2.14557878871224e-16
MYL12A,20.7812441425276,2.14739461057687e-16
ALOX12,19.0448891941912,2.17916874807685e-16
ITGAM,17.1501219488116,2.25760802051439e-16
ALDH6A1,16.5269042319994,2.27052895121036e-16
HK3,15.0972530839594,2.27559945433812e-16
VASP,20.422514592256,2.30451024829683e-16
PGM1,17.4860605292848,2.3092236722039e-16
PPIB,18.9700233804018,2.31154164410794e-16
C1R,17.2229956540883,2.31367833236195e-16
SFXN3,16.7604100214797,2.33913471415626e-16
MAPK14,17.894778493356,2.36604788797304e-16
BLVRB,17.6170857765739,2.3756124893399e-16
ITGB2,19.7500125694268,2.41454067760553e-16
PDLIM7,19.1261351018139,2.43020386994066e-16
MAPRE2,19.1069356493981,2.45379063332656e-16
F13A1,21.8152639835845,2.46920500226468e-16
PAICS,17.8369374173339,2.47931830544047e-16
CNN2,18.9414304415942,2.49006599649243e-16
MYO1F,17.123853448605,2.49951589819385e-16
MDH1,18.169381671574,2.52532475839892e-16
SUMF2,15.3791065917867,2.53542200334204e-16
NA,20.3045615766428,2.53899385308895e-16
ATP2A2,19.3131232091204,2.56618940559527e-16
KCTD12,17.1398008230713,2.58252988531366e-16
ARPC4,19.2672946363074,2.62279262364797e-16
VIM,21.2258087715476,2.62594883419366e-16
MYL6,22.7593558938365,2.64576879337679e-16
S100A4,20.8309478747091,2.65004914125221e-16
LCP2,19.346421512056,2.66137371134168e-16
CNST,17.420371416483,2.67049513959184e-16
YWHAZ,21.7652784940211,2.73874419364415e-16
SND1,18.8775586931448,2.78328358939809e-16
ARCN1,15.9933866825018,2.80521796399349e-16
EEF2,18.7962150455078,2.8255774953378e-16
SLC25A3,19.093772914818,2.88221266892274e-16
PYGL,17.5070128247426,2.90206219970022e-16
COX5A,20.2388541584546,2.91909371513273e-16
RPL14,16.9099402143959,2.99623743907831e-16
PGRMC1,19.4933838975697,3.03255329792634e-16
UBA7,18.5640706651667,3.03467310962506e-16
CDC42,20.5029715949006,3.03522562083851e-16
NCKAP1,16.7889295868969,3.04174699294863e-16
PDLIM1,21.8145411359807,3.05238354023698e-16
TGFB1,18.4236105350436,3.1541585426496e-16
ACADVL,18.456876804648,3.15885943959474e-16
BST1,17.045662721099,3.24253092856015e-16
LRRC59,16.4198724335972,3.2739865047485e-16
HNRNPU,19.4456308569298,3.30266970715226e-16
DLST,17.6565901168324,3.31229807051691e-16
TMEM109,18.6718846008334,3.35920184404207e-16
RUFY1,15.7133777627853,3.38937918027329e-16
PSTPIP2,19.4377604074552,3.40690627400769e-16
EIF2S1,16.1426500610748,3.42696392882138e-16
RSU1,19.8978214338089,3.45622668960002e-16
ARPC3,18.9400650064015,3.46236673937082e-16
KPNB1,18.7219732991623,3.48618529762824e-16
CTTN,18.3492644324619,3.48967149322587e-16
HSD17B10,17.4654228069729,3.51509769510171e-16
CYB5R3,19.2630018970258,3.51973185027543e-16
CORO1A,20.8561637287023,3.55155946966867e-16
