Gene_name,logFC,P.Value
DOK2,-0.818611724127524,3.79601576248506e-08
H1-2,-0.840217785141693,1.18970641892153e-07
HLA-C,-0.516462574623976,2.47772750921487e-06
H1-0,-0.825785589004642,3.77526174558921e-06
REXO2,0.620392363956741,2.6310044030493e-05
HLA-DQB1,-0.519839271888925,2.63971887237074e-05
FN3KRP,-0.515524051833233,4.47067713359057e-05
B2M,-0.435562427596267,5.33813962030256e-05
HLA-B,-0.378364084221417,6.14325247393753e-05
TOMM5,-0.502632532805964,6.45360515696413e-05
C19orf33,-0.565002182747098,6.71696692289378e-05
H1-3,-0.916821706535056,8.21730120157831e-05
HVCN1,-0.442803048469377,0.000101272593369413
ATP5IF1,-0.575823328498093,0.000169351585065805
THBS2,0.474163101526069,0.000209663155840526
HMGA1,-0.519588564131742,0.000226176920379693
RDH13,-0.555027394084974,0.000233626338388167
VSIR,-0.400723194466085,0.000346491868518741
PLEC,-0.289835529062203,0.000367618724940855
YARS1,-0.341064939771524,0.000390561558912313
GNG5,-0.358207383637015,0.000404294387054648
CHMP2B,-0.476162296747771,0.000477892716249656
H1-5,-0.439837222338423,0.000500600975143079
SPTA1,-0.364572709992511,0.000762683155457011
RPS10,-0.362689645686949,0.000871699579529382
CD53,-0.356625255614539,0.0010144602802927
NAIP,0.491773049985129,0.00105907598936334
HNRNPUL2,-0.367845737522216,0.00110157668914372
G3BP1,0.382552408721934,0.00133620921917911
RPL35A,-0.463601877169472,0.00146408448030047
H2BC13,-0.389832556535614,0.00156018416835278
TOR1AIP1,-0.247067278304832,0.00163146817744499
EMD,-0.305279820052274,0.00180313658368978
PPP1R12C,-0.362147718093952,0.00181233782084083
SPTBN4,-0.521624317626004,0.00185152213014307
HDAC1,-0.470401483525897,0.00190204624128882
STT3A,0.424142622700762,0.00193271805494299
CLASP1,-0.342522439648101,0.00197501962596362
DOK3,-0.315973734422509,0.00203772342253234
RAB13,-0.347780656981048,0.00203810428843119
PPP3R1,0.295810811657104,0.00204167225905263
PARPBP,-0.356949991623932,0.00204292791980187
NDE1,-0.6357431077916,0.0021102233059696
MGST3,-0.39850713269902,0.0021486126171872
FN3K,-0.338079121082626,0.00216726761504165
TMEM205,-0.327232162850698,0.0023914202325735
ATP13A1,-0.327901769086455,0.00264297976022259
TRAP1,-0.318883189846195,0.00278261833555731
BET1,0.34772067447182,0.00285288512650757
RPS6KA1,-0.432743219807362,0.00288932827426648
SAMHD1,-0.300660227662626,0.00310946968104879
PGM1,-0.266554791394624,0.0032380909569961
DYNLRB1,0.280760215543218,0.00326266405168256
RPL28,-0.364798060624949,0.00335845938989997
RGS19,0.30224336408383,0.00345796665892461
PPT1,-0.38519446142055,0.00353480416684989
PTGES3,-0.461416591078174,0.00353761052164615
MAN2C1,0.274314909971709,0.00378274618246561
H4C9,-0.343005040839573,0.0040643110479084
MAML2,-0.330058786049374,0.00428368540263675
COX7A2L,-0.294037386685446,0.00428492177170838
KHDRBS1,-0.494263898563302,0.00431999624574699
RPL3,-0.375228733361956,0.00457660529622214
RPS3A,-0.303388444699361,0.00478427974954944
SERPINB10,-0.342469742116488,0.0048457682140659
NCF2,-0.288581896476381,0.00487857379072602
ALDH3A2,-0.310898057447853,0.00495586993409272
PLOD3,0.276821222606566,0.00515172614659723
SLC35B2,0.320732184780342,0.00515980164866015
DENR,-0.235659072079864,0.00522022298919459
F5,0.285739405902005,0.00539765039380987
SUCLG2,-0.232072906161838,0.00540891552257189
ALDH2,-0.309550165049297,0.00556593204866958
PSMC1,-0.216654414928134,0.0057162062721375
PHF5A,-0.351286378663089,0.00600217376803339
FBL,-0.365963829786131,0.00614272779846353
H2BC12,-0.385131183126048,0.00635020840336152
TCIRG1,0.28811219467537,0.00636857178714268
ACSL5,0.233129918551709,0.00653700912581446
PTGES2,-0.289301169692238,0.00667920831166876
BST1,0.229648645254543,0.00670916326511892
STX12,-0.397706538427188,0.00674715948706342
H1-4,-0.366433092588859,0.00688724793519034
SHTN1,-0.374057312900007,0.00700879455283779
STX17,-0.358390892950424,0.00728946896139535
MYH3,0.299251179000017,0.00729276556214813
PPP1R18,-0.433906783365776,0.0073197010499286
UQCRC2,-0.206471524624847,0.0075151144295939
MYO1F,-0.27539698673423,0.00753265386625856
FUCA1,-0.563789029831121,0.0075640900381751
REEP5,-0.478951238372701,0.00764212022842487
STAT1,-0.280014274724604,0.00784035918820179
RHOG,-0.293894126165691,0.00786442667831579
F8A1,-0.22735726023529,0.00793394300740588
MSRA,-0.313378347908147,0.00795412922088486
ITGAV,0.214552850875076,0.00796717718704222
SEC61A1,-0.312054175096773,0.00821111940499909
FAM136A,-0.322608920585989,0.00821872658359157
ALOX5,-0.42181024457815,0.00825655185869969
SUCLG1,-0.457056114335373,0.00827435554434276
SKAP2,-0.223456013839747,0.00834201692047913
GMIP,-0.283755873165109,0.00835441323956467
C5AR1,-0.461853877251179,0.00837000762281728
MYH8,0.492013017730206,0.008445057158408
SET,-0.37361359604508,0.00882129674235695
AKR7A2,-0.27517835616599,0.00907395260146353
UPF1,-0.256309170317049,0.00930277196879188
NAGK,-0.302742169237202,0.00932248577218983
CWC25,-0.332744051376586,0.00943189803345049
LGI2,-5.8569978042083,0.00968956723978644
HEATR5B,0.315019580581228,0.00990090341627148
MNDA,-0.222041246394137,0.0100833918688318
FKBP5,-0.22140654414783,0.0101751979592036
LAMP1,-0.341645314763758,0.0102394378498985
RANGAP1,-0.322837602380135,0.0102933547299157
HNRNPL,-0.242468157322639,0.0104257050367426
VPS13C,-0.331862916052833,0.0104268819989438
EIF3H,-0.837321165185849,0.0105093012335616
PCYOX1L,-0.425204272077021,0.0105105983121203
NSDHL,0.31778732219052,0.0105202625975605
H2AX,-0.273658768873559,0.0105865317818801
CUTA,0.205398271521979,0.0106720402515213
CHCHD3,-0.229726169655309,0.0108363132066501
TSPO,-0.190843218207067,0.0108367594369839
RABGAP1,0.290824278945428,0.0108432163317833
CHMP1A,-0.290476484323511,0.0109612975124584
ARCN1,-0.244993892012105,0.0112025365477771
MTX1,-0.28630913928138,0.0112301399269968
DHX9,-0.269644900140431,0.0113771183471375
ATP4A,-0.33013793100272,0.0114905228816303
ENTR1,-0.269495603682499,0.0115215843809366
SF3B3,-0.28436913199901,0.0115584429800389
RETREG3,0.295215860290443,0.0115649213615328
LBR,-0.185633591776662,0.0116343221854979
HBB,0.275222817017538,0.0117829093504415
CYB561D2,-0.29275957332818,0.0120994287706442
RRBP1,-0.242338341174212,0.0121052974855567
EIF1AX,-0.302181698637091,0.012116330209225
DCAF7,-0.21933148206226,0.0122508010546944
NRGN,-0.291329868419424,0.0125988111849822
DPP7,0.275708805757859,0.0126050214723707
SLC9A3R1,-0.199535959422445,0.012809384996405
ATL1,0.206237507309547,0.012962272195122
ARF5,-0.318952286409307,0.0131553787537524
ACAA2,-0.179136313327418,0.0133255325687119
LYZ,-0.321348091957289,0.0133586521558277
FAM3C,-0.308070246346661,0.0133651914658798
NUDC,-0.352604068196893,0.0135876276856113
INPP5D,-0.228473100398843,0.0136344056402393
RAB3GAP1,-0.248985497088001,0.0138363357696578
H1-10,-0.239148248537638,0.0139968113229526
CLTB,-0.262474912278096,0.0140912440851634
SDHD,0.279738832069273,0.0142415828721024
ATP6V1C1,-0.248055446652217,0.0142690454243672
RPS18,-0.318904371686291,0.0145803663685091
HDHD2,0.239723369222042,0.0148220806228726
NDUFB11,-0.238415798224473,0.0148808245032097
DOCK10,-0.218730371728972,0.0150061122078487
CYB5B,0.225133726652375,0.0150186652922156
PRAM1,-0.243493599303164,0.0152474552320085
CPVL,-0.374231671879379,0.0154662842575368
HNRNPU,-0.182951122253272,0.015659953929713
GRPEL1,-0.277827735568522,0.0158708624856551
STK39,0.553347430309549,0.0158823009978938
PLEKHO2,-0.229653721301909,0.0162114618430142
TMSB4X,-0.355157836064912,0.0165970053126959
RPA1,-0.272690950220129,0.0166648834340624
ECI1,-0.216705999322163,0.0167497117335191
RAB5B,0.170257201423935,0.0167692473846688
PHGDH,-0.300955564713958,0.0167886874331344
LMNB1,-0.220487313144422,0.0168805337555121
DUT,-0.188233786507247,0.0168928516753089
S100A4,-0.25342714668532,0.0172580890925188
COPG1,0.236739661767999,0.0173085012350056
H2BC21,-0.37770898872085,0.0174967959907763
RPL15,-0.259487239698498,0.0176623587167555
RPL37A,-0.344317688214662,0.017865835111333
HNRNPH3,-0.266986391059152,0.0180340591209788
COX4I1,-0.184271225741078,0.0182355568171723
TAP2,-0.214157867420615,0.0182393603693817
SIRPB1,-0.418901936172908,0.0182398268786413
SARS2,0.28794142713784,0.0182524697845803
SCAMP1,-0.256558270499659,0.0183662018257389
NPM1,-0.241689965259777,0.0186583147618728
EPB41,0.252854301469015,0.0188961720465598
PIK3CG,-0.190088664373412,0.0194554349358954
YWHAG,-0.202070706866642,0.0194593400784266
SFPQ,-0.236685906954195,0.0194745888033866
ITGA2,0.218321227946886,0.0194944263735384
RPL13A,-0.224246793715818,0.0196095141610885
PTPN18,-0.289458251685746,0.0198625758094801
CCNY,0.240890329525329,0.0200269026541332
ELANE,-0.188753645345449,0.020368739709674
RPS7,-0.225158884683515,0.0209135473924659
SYNE1,-0.246470870204332,0.0209724583803665
UAP1L1,-0.340820837339083,0.0211723828133467
OSTC,0.170727331547825,0.0212972021998999
GCLM,0.224291514116033,0.0213395564382253
ITGAL,-0.230369606685101,0.0214250881224143
NA,-0.230141267772797,0.021482243922079
TES,-0.339466607778092,0.021667006140053
HNRNPA1,-0.254264793118353,0.0216858695435493
CALCOCO1,0.245634661577782,0.0217011982044423
IFT172,-0.381605397067759,0.0220466204832991
GET3,0.224169016314287,0.02349971683931
RPS5,-0.23110366114168,0.02359549834583
TOM1L2,0.159716580685403,0.0241070265970097
MAP1S,0.224720451160306,0.0242262290637236
VAPA,-0.172661463520758,0.0243373746511588
MPL,0.266394780643366,0.0245418216334914
ACADM,0.192645519322222,0.0245567670452776
SAT2,-0.273825048484043,0.0249512290654541
PDXDC1,-0.195281175848854,0.0250115526327529
ACP1,-0.213187624140534,0.0254764741974462
VAMP8,-0.208498134394691,0.0255410034938882
COX2,-0.186463518947778,0.0259523503595432
ASMTL,-0.295606413654355,0.0259907728622802
CCT4,-0.168128472884692,0.026018224727961
HLA-E,0.192584222087669,0.026044751808364
MYO9B,-0.304021219206587,0.0261936078145944
UBXN4,-0.196429321738308,0.0264805410089984
HBA1,0.213698117364859,0.0266394281449234
ARHGAP25,-0.220456312066994,0.026774297988293
PDS5B,-0.226819885419847,0.0268732569144666
PSMD2,-0.230980441502842,0.0270464638927023
RPL8,-0.263426111636854,0.0272381643124126
HMGB1,-0.35665189111068,0.0273016386073625
EDC3,-0.30423924443125,0.0283180072439726
ARG1,-0.268730046784882,0.029647567197197
CACYBP,-0.219496137546248,0.0297197808117966
ITGB2,-0.184142861132628,0.029762489645055
RPLP2,-0.227500324913866,0.0299830580490968
HNRNPA3,-0.224255843059542,0.0300064990604926
RPL7A,-0.226656267271923,0.0301727634973572
MRPS36,-0.209933372226611,0.0310026293986136
ATP6V0A2,0.26732192006691,0.0314294706390935
CCDC58,-0.324491582567519,0.0314669516788664
COPS2,0.200351232224771,0.0318039627561059
ARHGAP45,-0.176291607708179,0.0318081388295443
LRPAP1,-0.298161098988611,0.0320030504278492
PRTN3,0.188876372390922,0.0321499340756939
TM9SF4,-0.332416511822328,0.0321905259362016
HEBP2,-0.301425608428499,0.0323342974195341
ATP6V1D,0.258775360327353,0.0327207517813583
SULT1A3,0.219372777167486,0.0327354684688979
FIS1,-0.339961773163368,0.0329037965374505
ALOX12,-0.205286904571754,0.0329399493610138
PTPRC,-0.188007809353831,0.0336172143795236
SRP14,-0.198720525130117,0.0339274339582652
CLIP1,-0.335017006754734,0.0341968743510637
PRPSAP1,0.194922849219022,0.0346306249729323
NME1,0.211676090976378,0.0347073027976114
RPL27A,-0.26272284593545,0.0350283836142345
CBX3,-0.17930358755661,0.035209597428464
C9,0.342519508852655,0.0356868390210295
PAPSS1,0.227802355695923,0.0358544656383663
SF3B1,-0.234663674577756,0.0361815561226446
ELMOD2,-0.232807969524093,0.0362109687162377
CTPS2,-0.182575803766285,0.0368369501412884
NDUFA7,-0.162666447330298,0.0369667644307456
DDX19B,-0.205327326800921,0.0369994439056581
SRSF9,-0.237577093944539,0.0371204093433182
PCK2,-0.209334662184866,0.0374167499774741
RPL21,-0.273830331783777,0.0375338968533157
ATP5PO,-0.154634755143558,0.0375523729162969
FUS,-0.289090849681523,0.0377766084182001
RPA3,0.153956980279316,0.0379043325216414
CPOX,0.143950215697923,0.037944093475007
SGTB,0.313512580134088,0.0382107258709324
H2AC20,-0.24787607696081,0.0385251735149309
RUVBL2,-0.206721614388919,0.0385339858558977
YOD1,0.205367744047019,0.0389298354189073
HNRNPD,-0.180185992382822,0.0391597780370848
RBM39,-0.296533360758668,0.0392260180775952
AK1,-0.164495465844459,0.0397960472322765
XRCC6,-0.171713584907925,0.0399366793722353
UQCRQ,-0.168422198247643,0.0399882504732828
SCAMP2,-0.159590173543301,0.0401708108720017
DNM1,-0.15715648573201,0.0404098657322373
OCIAD1,-0.15883375180616,0.0407198518662293
NA,-0.366766335047371,0.0411426802740639
GMPPB,0.224606539255579,0.0413629028357675
HPX,0.353296131493538,0.0417041124053843
RPL9,-0.204604547957728,0.0422688181716459
WASF2,0.228143973582917,0.0425211956589842
SCIN,0.196562244568399,0.0426654568238672
NA,0.496827401350697,0.0427857060151748
LDHB,0.212751918060618,0.0430179187146951
NUCB2,0.136361627946248,0.0433283443218136
CLIP2,-0.317019054330382,0.0437346589092447
PPP4R3A,-0.383496484154979,0.0443185641932911
ARF4,-0.191910252612412,0.044433422308314
ALDH9A1,-0.188206052163409,0.0446800536275558
HMGB2,-0.352804777018022,0.0448177834165219
ADPGK,-0.193473873718079,0.0451192795104768
CCT8,-0.138711567883529,0.0454519373900946
SNX27,-0.166081758597391,0.0462437346707029
EEF1A1,-0.203831558134049,0.0470856918816122
SH3BGRL3,-0.196319614541205,0.047948816198137
UBE2J1,-0.169634567030122,0.0479884341970381
PRDX3,0.154102861088168,0.0480218305719523
NCL,-0.238837154043866,0.0482711900553163
PLD3,-0.301003067762525,0.0483346049687994
LASP1,-0.165775359436039,0.0483760626470772
ANXA11,-0.140206220527123,0.0483936979193872
ECH1,-0.144304677301861,0.0491046615910319
RPL19,-0.320038544833126,0.0492548352040453
GNB4,-0.276096087301246,0.0492641407796834
PDE1A,0.230734822164527,0.0493163223744408
CNN2,-0.166893857099984,0.0497607191274347
CD9,-0.21796378114275,0.049907287187573
ERO1A,-0.169559341267284,0.0499496908352107
OSBPL11,0.23769932035142,0.0507769547555945
MVP,-0.161766983705491,0.0513266185598861
MDH1,-0.162167843800662,0.0513661412570206
TARDBP,0.176277671012963,0.0517663022405678
OSTF1,-0.146828650625362,0.0520774915800604
CMIP,-0.203436511668504,0.052164997579306
S100A10,-0.308639542410832,0.0527497558778728
PAFAH1B1,-0.220982266603743,0.0531302002543103
DHX15,-0.186091896221214,0.0537223555976135
LMF1,-0.184598273578896,0.0541070222644424
EZR,-0.257629609215401,0.0542715038120571
GSS,0.153218623101688,0.0549900386276958
CAPN1,-0.151963061734296,0.0552041891766522
TTN,-0.224499094836698,0.0552738558046243
GLB1,0.142724536257552,0.0558679046824798
PSMD13,0.189440126691724,0.0561157877418753
CAPNS1,-0.135725537546715,0.0561353622831659
SH3PXD2A,-0.183655625033119,0.0562528337626375
EIF5,0.154078454290037,0.0563471552584398
PAK2,-0.163443347909039,0.056558460229995
HDAC6,-0.248774258684381,0.0569198869788239
RNH1,-0.159345730099992,0.0569641759857663
CORO1A,-0.158454798098554,0.0572142297082392
NANS,-0.166864910262035,0.0572769317282202
PSMD3,-0.200164933138882,0.058157311332416
CTTN,-0.172314409404638,0.0582324370653739
VCPIP1,-0.219318260858271,0.0588717424397621
PRNP,0.156903077759117,0.0591350491074878
COPE,0.153267097944904,0.059146000160948
SMARCC2,-0.240889264712617,0.0593355633506294
SCRN1,-0.161833442499517,0.0595216643828808
LSP1,-0.284073787005409,0.0601022989346196
EIF3I,-0.157689118283122,0.0601637194826153
NADSYN1,-0.136753955665677,0.0605301475309288
NPC1,0.205496767044618,0.0611554319000669
VAMP7,0.138965588606572,0.0611606428320587
ABHD12,0.189200515550386,0.0612667495775231
ABCF1,-0.152315508318063,0.0613290397206908
NOP56,-0.175438366131356,0.0615736621805841
HLA-A,-0.128005333516877,0.0618809693113044
EIF2S3,-0.195447452964115,0.0628044116408971
TMEM245,-0.273661485576967,0.0630404134696817
ATP8,-0.225482154348767,0.06313142182295
UBE2K,0.160918623465197,0.0645003493410224
RPS3,-0.166650744438982,0.0645024231366433
IMPDH2,-0.124659077035048,0.0647837624755417
TBCB,-0.185057683600246,0.0649059121442299
EIF5A,-0.166288909243903,0.0649928620756499
ATG7,0.192679974775094,0.0656362776882822
RTN4,-0.145243443617554,0.0657131794302911
CREG1,0.196200305728109,0.0658881078675826
RPS20,-0.157108198440734,0.0666171600987455
RTN1,-0.179597342575767,0.0668111765822769
RPS25,-0.178003970555311,0.0676479409657336
PRKDC,-0.139024510466925,0.068012704690504
TTR,0.244549188696882,0.068037833967041
RAB8A,-0.157947800965966,0.0687570412058688
NA,-0.19183234349293,0.0688826588269618
PSMC3,0.117820390102296,0.0689450239083357
RPS6,-0.27352630203728,0.069719558027045
HS1BP3,0.232901640894081,0.0703234913851391
