Gene_name,logFC,P.Value
CFL1,24.5497323034304,1.3491238675668e-29
PHB,22.3896082857936,1.35892083067772e-29
PLEC,24.7663248706397,1.59775710370537e-29
PPIA,25.030886854742,1.95604683616865e-29
PFN1,24.1080706895074,2.60606276344863e-29
HSP90AA1,24.7276280700716,2.6300832154791e-29
HSPA5,25.5981540253938,2.71269345827428e-29
RAB7A,22.3364909675033,2.89235622336655e-29
CCT6A,22.8950956770464,3.48643730635219e-29
RAB11B,22.3342235033797,3.7101945785058e-29
CCT5,22.5360048258068,3.7293436757759e-29
BIN2,22.7190575895249,3.83281350197696e-29
GAPDH,25.7251262228476,4.05415294938033e-29
HSPA8,25.6309721084345,4.22072255155665e-29
CAP1,24.317696919272,4.46922578675274e-29
CCT8,23.1927413963516,5.21352746903169e-29
RAB5C,20.7620884221321,5.22534526567958e-29
P4HB,24.5689834473022,5.80495774882224e-29
CANX,23.2778779009981,6.01188717679544e-29
PRKAR1A,21.7554704270551,6.21825305821797e-29
EIF4A1,22.4573652866524,6.22458286950692e-29
ERP44,21.9039635631004,6.22549510909416e-29
PDIA6,22.528567233115,6.47506578108792e-29
GLUD1,22.0370624154226,6.47841122036427e-29
ATP5F1A,24.6866018067683,7.01415510829392e-29
RPN1,22.2567713685977,7.58607746881766e-29
HLA-A,22.5014464775922,7.74773399862858e-29
MPO,23.8911626593566,8.15295631886453e-29
HSP90B1,24.892082305372,8.15329958352396e-29
ESYT1,21.8483483193137,8.15644811876981e-29
ARPC4,21.8460056547961,8.57498487003493e-29
RAB6B,21.2463056511167,9.15467292885994e-29
CBR1,20.714915185562,9.18214952820982e-29
ATP6V1A,22.5615801526468,9.19724107500877e-29
HSPD1,24.8695089128339,9.31468676441342e-29
PCBP1,22.7841086065526,1.01576178062278e-28
LMAN1,20.428222135818,1.04769360634969e-28
PGK1,25.0738728550665,1.05685599286492e-28
CCT2,23.0695702751537,1.10533914787208e-28
PDIA4,23.2557274977222,1.12683255014886e-28
GANAB,22.9337438395677,1.16530234829516e-28
NME2,22.8234310996163,1.22719551242561e-28
RAC2,21.6718257308944,1.23144032953092e-28
ACTN4,23.8857827261426,1.23449275387379e-28
CLU,22.6873383318894,1.28762508749615e-28
AP1M1,20.3085537065492,1.33493016343913e-28
CAT,22.2431382663129,1.35683923975419e-28
ME2,21.8782943166911,1.41523602421921e-28
TPP2,21.6973122957434,1.43220759899377e-28
LRRC59,20.6459789903452,1.54014177777451e-28
VCP,23.9352989979435,1.62142408737653e-28
HSP90AB1,23.5159948156198,1.62903450926662e-28
PSMC3,20.1555027429379,1.68219102837975e-28
STIP1,22.0395325095592,1.7119741713558e-28
UQCRB,20.9766847128625,1.89258349898512e-28
CCT4,22.5210536323489,1.92301940896037e-28
SMS,20.4774793834322,1.93210298870488e-28
TWF2,21.0887711301326,2.01597415281354e-28
HLA-B,22.083517714522,2.08749307540744e-28
ATIC,21.3460076026664,2.13452046413951e-28
PHB2,22.2750594845496,2.14290987772544e-28
CAPZA1,21.8840022012358,2.16976525142595e-28
LDHA,22.8891091107284,2.18090611447479e-28
CYFIP1,21.0678595335028,2.20429671965939e-28
ACAA2,20.8512134481982,2.22629675968637e-28
CCT7,22.7491640644382,2.27305747278004e-28
ATP5PO,22.1701417404662,2.28248296723414e-28
UQCRC2,21.7342997667759,2.3076963296375e-28
PARK7,22.6299646669621,2.44487887614708e-28
SARS1,20.2941299782315,2.4590473651619e-28
ACTR1A,21.509808675912,2.51866536257844e-28
DYNC1H1,21.5996125785538,2.52279259642752e-28
RAP1GAP2,18.8508438857297,2.55743097208761e-28
HNRNPU,21.7041009545321,2.57060534608585e-28
PDIA3,25.2821387168181,2.6011090082842e-28
PKM,25.555119748541,2.6235312015138e-28
CYC1,21.5174119148343,2.67777172427326e-28
PAICS,20.1998358355525,2.71252884898929e-28
MDH2,23.5970307104688,2.75311144627469e-28
ARHGDIB,23.2529113055147,2.77616221378074e-28
ANXA7,20.7599180115706,2.79297012590901e-28
CISD2,20.0185089590045,2.81354589271164e-28
ACTR2,23.4232205035267,2.82633984552614e-28
ECH1,21.7190596999691,2.83026212237443e-28
CCT3,22.173717544039,2.86114090779815e-28
UBA1,23.1255420957434,2.86705567656793e-28
CLTC,24.2489777774968,2.86928036222444e-28
PRDX6,23.075373655806,3.03758394648129e-28
AP3B1,19.8189591822056,3.05241674936817e-28
GSN,25.8333382438457,3.12729807824577e-28
PDLIM1,23.3529249973071,3.13772163098258e-28
PACSIN2,21.3018635639005,3.16419177404756e-28
PPP2R1A,22.1034909310556,3.19657362894253e-28
MTHFD1,21.3784217367599,3.26727702065288e-28
NAPA,20.8693354154129,3.27437439067845e-28
CAPNS1,20.9132050768937,3.27444395629905e-28
COX4I1,22.0887494571623,3.30479771492754e-28
TAPBP,20.1461577719387,3.33686656444779e-28
ANXA11,20.7628036724135,3.35873405406002e-28
GBE1,21.0137550536087,3.44656322767593e-28
SPTBN1,19.7354055438714,3.47950965934933e-28
GNAI2,21.9156583814238,3.54010961899714e-28
GPI,22.8682683942209,3.56089396149298e-28
NAP1L4,19.4139708092975,3.57961206475565e-28
HADHB,22.4036382947378,3.61040971996313e-28
DPYSL2,21.9119912729031,3.61300545805724e-28
GDI2,22.9648050491362,3.83155053519534e-28
HLA-C,21.2596008517702,3.8830257268056e-28
EEF1G,22.9680057780357,3.88479950351227e-28
F11R,21.0976122315127,4.0679062484343e-28
NPEPPS,21.8756485038968,4.32796652074548e-28
NA,18.3187494173304,4.44403374564447e-28
ARPC3,21.7282805355598,4.57413321480751e-28
UGGT1,21.983371473159,4.61833049877957e-28
TMX1,20.3592904784006,4.64556334305774e-28
TARS1,19.070525868605,4.67256169263959e-28
SLC25A24,21.4100152348671,4.6796049988251e-28
ST13,22.0183841180609,4.68399020816853e-28
CAPN1,22.7028620040449,4.69906049146541e-28
PSMC6,19.9126011397707,4.72649958083061e-28
PDCD6IP,21.7312230559965,4.76731506340247e-28
APMAP,20.9892037801488,4.76818974173413e-28
