Gene_name,logFC,P.Value
FCN1,1.48521093692249,2.23114140638476e-11
NA,-2.40331690529144,9.02513003629182e-10
HVCN1,-0.992038398339681,1.12012442146101e-08
H1-0,-1.23160230780701,3.41027065390737e-08
MNDA,-0.786173717609292,6.10288604925549e-08
CES1,-0.755629046653487,8.71613719244874e-08
CD53,-0.877589401674159,8.96464433885562e-08
HLA-DQB1,-0.820992614249062,1.5574349932888e-07
CYBA,-0.80716261436979,1.89225681037889e-07
SAMHD1,-0.777182227595119,2.9846883289823e-07
H1-5,-0.897708209209334,3.03129784268336e-07
H1-2,-0.772397952859323,3.25777159481443e-07
SFPQ,-0.802490937832715,4.34348596489494e-07
LMNB1,-0.705427328105598,6.21280873027896e-07
HNRNPU,-0.572866386384105,6.77544687240105e-07
NCF2,-0.735575414652655,7.65498417451018e-07
HNRNPD,-0.672075897064899,8.10739018265094e-07
ACAA2,-0.522352776200799,1.09740529184469e-06
RPS7,-0.708797960170795,1.21181648695129e-06
MPO,-0.533003873216114,1.77583867652793e-06
RPL15,-0.763608550851495,1.79653038749864e-06
RPS9,-0.58755256044532,1.86004147869782e-06
PLEC,-0.484631492545654,2.02050972234501e-06
RPL21,-0.931764416473034,2.07254775756052e-06
LGALS1,-0.72261341204327,2.10694481455267e-06
SRSF7,-0.734324112356278,2.20956370347322e-06
LBR,-0.494007969337371,2.36001832134088e-06
HNRNPL,-0.632728268668351,2.37456706796971e-06
SRSF3,-0.646185201806981,2.39449957087371e-06
RALYL,-0.726526997455486,2.59946768131322e-06
H4C9,-0.764278738154784,2.60276960991969e-06
DDX39B,-0.510268128941367,2.78142803852715e-06
HMGA1,-0.798986291241857,2.80621312878337e-06
TOR1AIP1,-0.481263158657453,2.82413949576325e-06
TSPO,-0.491018491929677,2.99887912237471e-06
PF4,0.71390077165233,3.05838334165132e-06
RPS25,-0.67889423648837,3.06833879123892e-06
H2BC13,-0.74913612566804,3.07724310753403e-06
SLC9B2,-1.5976046626436,3.20549395231091e-06
