Gene_name,logFC,P.Value
TMEM40,0.88454033402838,4.54214025854219e-08
F5,0.683251809326045,5.83972887121843e-08
CTSZ,-1.25986390256625,7.21722868633353e-08
RPS15,-1.71164660797307,1.2011387805345e-07
S100A11,-1.58185622878426,1.63788443076473e-07
CTSD,-1.68562213143538,2.30931489992446e-07
GRN,-1.27347870884509,2.4414216857081e-07
IFI30,-1.49136254653793,2.89723174125365e-07
GPNMB,-2.10964408159989,3.22648719493376e-07
FABP5,-1.13125968564161,3.39055981545804e-07
CAPG,-1.18590960659692,3.44068784459695e-07
VIM,-1.24519073546805,3.82741390145418e-07
CTSL,-1.66823337417581,3.90458956433752e-07
MYH7,1.39499870609407,3.96746393162909e-07
RTN2,0.584178449596237,4.25860671305743e-07
SLC2A3,0.854710907680317,4.88835518490638e-07
LGALS3,-1.63526711841312,6.06475464733212e-07
MPIG6B,0.670058024848366,6.2360784070389e-07
STK38,0.712979945480797,6.60386159453509e-07
VAT1,-1.16900008838957,7.35160467306603e-07
CNST,0.553902504891241,7.39927384563303e-07
STRN,0.711873256282647,7.87838433006622e-07
RPL8,-0.767263694526548,8.07533498869782e-07
RPL29,-0.856751722799665,9.49422827547293e-07
ANXA1,-0.93316994778138,9.98205936578808e-07
LMNA,-1.13667183867867,1.01608432781919e-06
ADGRB3,1.61472175111071,1.31432994158251e-06
FUCA1,-1.5387203110976,1.44487088262686e-06
RPL10A,-0.748415316651698,1.45265463195685e-06
ANXA2,-1.06263160348897,1.53628443957772e-06
RPLP2,-0.592671988582925,1.55290605107189e-06
PYCARD,-1.00158420808818,1.5737226571661e-06
LSP1,-1.03547050402333,1.6493583354773e-06
RPS3A,-0.586982726805502,1.75530145119205e-06
RPS20,-0.518847241317861,1.80910479999513e-06
LGALS1,-0.804574194200235,1.83089889150996e-06
PRAF2,0.636499378186539,1.85797375363311e-06
TOM1,-0.930620633426578,2.15915800438909e-06
NCEH1,-0.772263280353116,2.20966147005723e-06
ACTBL2,0.795348832052984,2.35319589208585e-06
ANO6,0.539352283473633,2.42177214116193e-06
MYL9,0.491862956962063,2.63065035327535e-06
NPM1,-0.722000944846453,2.71496586203225e-06
PGAM5,0.637428584130374,2.74810523172388e-06
RRBP1,-0.512332336640984,2.79439984680915e-06
PPBP,0.685225470841527,2.8848660351655e-06
SQSTM1,-0.846080871685846,2.95030999163007e-06
PGRMC1,0.600155340207664,3.13243496568567e-06
TMEM109,0.564848619283257,3.23813269066069e-06
SARS2,0.662731301788828,3.31903520990733e-06
NCF2,-0.656584068432302,3.33300360115837e-06
VSIR,0.613998256835927,3.40977287706209e-06
HEXA,-0.908924443439375,3.56254729492134e-06
CTSB,-1.16871762450208,3.66987810421074e-06
ITGA2B,0.764765926926991,3.82297681772615e-06
TREML1,0.562193017763185,3.99194499965613e-06
CSTB,-0.62316182476199,4.03882195483693e-06
RPL23A,-0.751883022661289,4.07502082670566e-06
CAVIN2,0.634028989820376,4.49415596335116e-06
ABHD12,-0.595618504845199,4.59347806371598e-06
TAF15,-1.72773552583382,4.73720444989266e-06
RPS19,-0.631351299528976,4.89294087398572e-06
LCP1,-0.921717873024054,5.22245248578453e-06
ENDOD1,0.462076440194991,5.27842178821033e-06
FGA,0.67661919299783,5.53437597697379e-06
PTGS1,0.574997499398556,5.67853554130873e-06
SERPINE1,0.633132265796405,5.72268165329639e-06
FCGR3A,-1.06618637807443,5.74027823369521e-06
RPS17,-0.391834683789348,5.77965062873909e-06
HMGB2,-1.0295802175581,5.8623603330978e-06
CXCL8,0.611516319570285,6.20332880260203e-06
S100A10,-0.985900992208705,6.24177437223879e-06
CDS2,0.366310959225576,6.28390110276873e-06
ANXA5,-0.961962113912652,6.31030076581361e-06
YBX1,-1.20379187082885,6.52927516111469e-06
CMTM5,0.457775513504014,6.72128919784945e-06
GCDH,0.366721853057683,7.07400166073697e-06
THBS1,0.628053307937087,7.20925540012346e-06
STOM,0.490257689969635,7.25986674084101e-06
ATP5F1B,0.506823479747322,7.29510013995844e-06
SLMAP,0.391108712257342,7.59671666695475e-06
CYRIB,-0.547591914027464,7.62707583774658e-06
PLD3,-0.837835650317245,8.23368258619659e-06
SET,-0.708903508122916,8.31723058127799e-06
STIM1,0.382479686928928,8.52882507955282e-06
CMTM6,0.505817396071574,8.57943454813004e-06
LTA4H,-0.626054995285084,8.61301293596156e-06
ATP5F1C,0.424201920210749,9.26721465083068e-06
PECAM1,0.498253622613376,9.72306349752947e-06
RPL3,-0.61975280950865,9.8257913214376e-06
RPLP0,-0.598184890659059,9.89082868115322e-06
KHDRBS1,-0.934290718240955,1.00573696380687e-05
ATP5PD,0.441502561797986,1.02128870772078e-05
RPL32,-0.564816599307008,1.03074031554268e-05
KCTD12,-0.588103353879422,1.03245266146443e-05
NCL,-0.725272875907113,1.03642540129043e-05
RPL35,-0.854454652423513,1.08504153172013e-05
SELP,0.504294423084833,1.1091875728327e-05
MYL12A,0.542127769507115,1.11262606055896e-05
RPL19,-0.785164474496884,1.12416458244371e-05
HNRNPD,-0.467929237266866,1.13165850242257e-05
ANP32A,-0.561883548134372,1.16341421447339e-05
DNAH9,0.614626390697957,1.19727555331966e-05
ATP5F1A,0.383152631240335,1.21573390314109e-05
A2M,-0.861357310286131,1.23196597518058e-05
ILF3,-0.882966034399058,1.2625147708053e-05
PSAP,-1.2419702977395,1.28387997936332e-05
RPL13A,-0.450733900612725,1.29178691243788e-05
ATP5MJ,0.373315853544224,1.30013765559125e-05
PHB2,0.358293632624108,1.30217495619145e-05
PF4,0.590839772084419,1.31892834416961e-05
ANPEP,-0.807878923704532,1.35142233762201e-05
AIF1,-0.581365061024837,1.36638083725152e-05
S100A6,-0.9765614156487,1.36926185658757e-05
HMGB1,-0.920128221317622,1.39544391763062e-05
FLOT2,0.445097563599301,1.41314545675245e-05
RPS25,-0.63979734525347,1.44403560065948e-05
AK3,0.536800515141593,1.46971609025437e-05
FGB,0.61838219458507,1.48999003450638e-05
UBA52,0.728829652909795,1.5615976107598e-05
HK3,-0.560627623300977,1.5902530784473e-05
RPS29,-0.801123145052269,1.5926026613298e-05
RPL27A,-0.586898204323635,1.67124423871568e-05
PABPC1,-0.359415076095999,1.6952216283558e-05
ITGB1,0.457238623789209,1.70852714038584e-05
TMED10,0.334573015704027,1.75382345867125e-05
ANXA4,-0.617903026298638,1.76434809141932e-05
PEBP1,-0.458325749890879,1.76981803799208e-05
HSPB1,0.393366339521801,1.78882357766835e-05
VASP,0.500220057656225,1.78982750998222e-05
TAS1R1,-1.01528716366678,1.7911594582993e-05
ATP6V1H,-0.420448660708729,1.82285499946991e-05
RPS10,-0.534920904449592,1.82648446042175e-05
RPL21,-0.837827139954904,1.86623077626687e-05
EEF2,-0.41997400000211,1.89352353489695e-05
CLU,0.53219002667322,1.91570885453042e-05
BLVRB,-0.761157350377559,1.92933170195385e-05
PPIF,0.502432013929795,1.96153674824804e-05
C5AR1,-0.918412818892142,1.99242842128496e-05
RPL7,-0.405561247327583,2.04157424272064e-05
LGMN,-1.26508794078197,2.07155390348487e-05
PF4V1,0.576251739407596,2.08884458193586e-05
