Gene_name,logFC,P.Value
TMEM40,0.754177009159196,2.20147882098733e-07
CTSZ,-1.10747222709959,2.52639161414174e-07
GRN,-1.19545854312158,4.26719285501282e-07
CTSD,-1.56927065177879,4.39814575948219e-07
RPS15,-1.4893708727939,4.62595609429201e-07
GPNMB,-2.00502101787236,4.95614834373466e-07
F5,0.551267324135761,4.97258326791538e-07
S100A11,-1.35421288385999,7.39842105268585e-07
CNST,0.545267069124709,7.90958352601716e-07
STK38,0.688593792890689,8.57294404700138e-07
LGALS3,-1.5261231804425,1.1146706137217e-06
RTN2,0.522798039988391,1.20156175063491e-06
CAPG,-1.03931970740824,1.20429015036547e-06
CTSL,-1.45326192500147,1.44750266121016e-06
IFI30,-1.2584965170223,1.4903606522913e-06
VIM,-1.05880220132168,1.80903677288399e-06
FABP5,-0.940349378361514,2.01752774044051e-06
VAT1,-1.02262684962654,2.57205315665476e-06
FUCA1,-1.43092791100812,2.72065093957928e-06
HEXA,-0.914611871854611,3.06133416330907e-06
ACTBL2,0.752566085107127,3.71143903932966e-06
NCEH1,-0.723070017928347,3.86744893033079e-06
RPL29,-0.737206231603441,3.87979516492349e-06
RPL8,-0.647567160874043,4.01026669898762e-06
SLC2A3,0.680901600829987,4.36134126610294e-06
VSIR,0.592728634142695,4.40452372959055e-06
CXCL8,0.627298729527869,4.42871822417764e-06
RPS20,-0.467038228640988,4.67207518385717e-06
RPLP2,-0.525156724904697,4.69446795862804e-06
MYH7,1.07324721783314,5.02648328738646e-06
ANXA1,-0.771393702122324,6.02002930732678e-06
RPS3A,-0.507653029406832,6.69053349701812e-06
LSP1,-0.882599752179516,7.24987705206885e-06
RPL10A,-0.627552157298616,7.51487780079521e-06
ANXA2,-0.895932787101742,7.52103503430495e-06
CMTM5,0.446504842542041,7.82473592010601e-06
SQSTM1,-0.758299606115958,7.85023802741941e-06
ADGRB3,1.32704485634733,8.2828967453108e-06
FCGR3A,-1.01550922998845,8.40713439569001e-06
LMNA,-0.903120821927285,8.96782835803887e-06
THBS1,0.594093151516983,1.1244950031102e-05
