Gene_name,logFC,P.Value
GPNMB,-1.184872041842,0.000505072247436044
RTN1,0.341801787086286,0.00095720629600287
NAMPT,0.531357189738074,0.00164472026309785
ATP8A1,0.314774525325173,0.00215954277192431
VAT1,-0.58046113427033,0.00225639453250691
EIF4H,0.514034490586024,0.00353832833030197
HEXA,-0.493502463133382,0.0035573329347097
SERPINB2,0.858407808753803,0.00367919160023318
MAGED2,0.389183237860991,0.00387725141956978
C11orf68,0.400065096004312,0.00433237706945469
LGALS3,-0.707075821529681,0.00492509779559794
GRN,-0.503120872214826,0.0049832158895935
RPS20,-0.247609656226061,0.00522226803877146
NDUFA8,0.301504488261212,0.00532153399015483
PITPNC1,0.246765194560219,0.00537961370054393
C5AR1,0.556008890019394,0.00555474963411409
VSIR,0.308711683474201,0.0056122106011121
GLYR1,0.316419124214843,0.0070607168611282
CWC25,0.415844902865949,0.00725111139127095
RTN3,0.27040047433924,0.00795622594550351
ERI2,0.291472830225143,0.00818525467047813
VTI1B,0.246892990676479,0.00833013278690996
RPS15,-0.576183389310547,0.00863009362744104
CPT2,0.187193679767805,0.00882193816971081
ACTBL2,0.356404908236087,0.00887157304864354
SRP54,-0.343980990414202,0.00893429093809185
CTSD,-0.600142844605607,0.00896093987546973
DCTN4,0.244078194082096,0.00984325655637969
RPL8,-0.302820093011771,0.00996180409793193
FUCA1,-0.643252593615461,0.00996531661153279
CYB561D2,0.316567582262923,0.0100792447856654
CDA,0.446107318959751,0.0102698245579119
GPS1,0.266462490738149,0.0112216759236004
PGM2,-0.262457393238581,0.0120727600525539
FN1,0.207959548820043,0.0121874594770352
RHEB,0.286712168558669,0.0122138634470551
ZYX,0.227278471553468,0.0125538316243696
TOMM20,0.191923096209511,0.0125865581410106
ABCB6,-0.403738513356577,0.0129049784224415
LGMN,-0.660920705381791,0.0132037366525083
TIMP1,0.290332909411443,0.0138618831664567
RPL10A,-0.292897639235662,0.0142782072594035
RTN2,0.202615186717736,0.0142817370131975
CAPG,-0.399415622085986,0.0149406366015628
C1orf116,0.443598879143877,0.015487748298712
IRGQ,0.219322346158936,0.01705988815974
PIK3CG,0.187274338410429,0.0178633930348517
PSMB2,-0.343580323314958,0.0183131602960331
ESAM,0.176587776292937,0.0186083813296464
AGPS,-0.296704351309192,0.0187888207453521
HNRNPA2B1,0.331112189253268,0.0190382362042178
CDS2,0.156218035331825,0.0196049759122853
FAM177A1,0.169387615688009,0.0202456913327579
DPYD,0.162075709869221,0.0208320862904026
CALD1,0.203298212326054,0.0208963003638773
