"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign"
"13","HALLMARK_ANDROGEN_RESPONSE",0.42418,0.40959,8,0.57582,1,5,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"14","HALLMARK_MYOGENESIS",0.43957,0.40959,16,0.56043,1,10,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"19","HALLMARK_COMPLEMENT",0.38732,0.02048,42,0.61268,1,22,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"26","HALLMARK_INFLAMMATORY_RESPONSE",0.4308,0.40959,10,0.5692,1,8,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"27","HALLMARK_XENOBIOTIC_METABOLISM",0.43821,0.19114,24,0.56179,1,17,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"35","HALLMARK_HEME_METABOLISM",0.44877,0.40959,17,0.55123,1,14,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"36","HALLMARK_COAGULATION",0.37595,0.02048,30,0.62405,1,16,"proteomics_monocytes_frac_HC_like_vs_At_risk","up"
"8","HALLMARK_G2M_CHECKPOINT",0.59079,1,17,0.40921,0.11189,23,"proteomics_spermin_frac_CBoth-CControl","down"
"20","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.56423,1,13,0.43577,0.23497,20,"proteomics_spermin_frac_CBoth-CControl","down"
"23","HALLMARK_E2F_TARGETS",0.59112,1,17,0.40888,0.11189,28,"proteomics_spermin_frac_CBoth-CControl","down"
"24","HALLMARK_MYC_TARGETS_V1",0.62638,1,47,0.37362,0.041958,83,"proteomics_spermin_frac_CBoth-CControl","down"
"271","HALLMARK_XENOBIOTIC_METABOLISM",0.50625,1,28,0.49375,0.46154,31,"proteomics_spermin_frac_CBoth-CControl","down"
"32","HALLMARK_P53_PATHWAY",0.58906,1,14,0.41094,0.14685,21,"proteomics_spermin_frac_CBoth-CControl","down"
"4","HALLMARK_MITOTIC_SPINDLE",0.30357,0.16084,38,0.69643,1,15,"proteomics_spermin_frac_CBoth-CControl","up"
"7","HALLMARK_DNA_REPAIR",0.30063,0.38961,20,0.69937,1,8,"proteomics_spermin_frac_CBoth-CControl","up"
"10","HALLMARK_ADIPOGENESIS",0.31041,0.073427,53,0.68959,1,25,"proteomics_spermin_frac_CBoth-CControl","up"
"141","HALLMARK_MYOGENESIS",0.17606,0.013986,32,0.82394,1,6,"proteomics_spermin_frac_CBoth-CControl","up"
"18","HALLMARK_APICAL_JUNCTION",0.15016,0.013986,41,0.84984,1,7,"proteomics_spermin_frac_CBoth-CControl","up"
"29","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.22255,0.013986,97,0.77745,1,27,"proteomics_spermin_frac_CBoth-CControl","up"
"34","HALLMARK_UV_RESPONSE_DN",0.19753,0.083916,17,0.80247,1,3,"proteomics_spermin_frac_CBoth-CControl","up"
"81","HALLMARK_G2M_CHECKPOINT",0.53855,1,19,0.46145,0.36364,21,"proteomics_spermin_frac_CSpermidine-CControl","down"
"201","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.53313,1,14,0.46687,0.46993,19,"proteomics_spermin_frac_CSpermidine-CControl","down"
"231","HALLMARK_E2F_TARGETS",0.58425,1,18,0.41575,0.12587,27,"proteomics_spermin_frac_CSpermidine-CControl","down"
"241","HALLMARK_MYC_TARGETS_V1",0.59961,1,49,0.40039,0.041958,81,"proteomics_spermin_frac_CSpermidine-CControl","down"
