"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign"
"3","KEGG_GLYCEROLIPID_METABOLISM",0.8453,1,2,0.1547,0.099234,20,"proteomics_organoids_at-risk_controls_frac_log2","down"
"34","KEGG_LYSINE_DEGRADATION",0.78399,1,5,0.21601,0.10632,25,"proteomics_organoids_at-risk_controls_frac_log2","down"
"58","KEGG_RIBOSOME",0.92509,1,5,0.07491,0.074426,76,"proteomics_organoids_at-risk_controls_frac_log2","down"
"62","KEGG_SPLICEOSOME",0.75667,1,25,0.24333,0.074426,95,"proteomics_organoids_at-risk_controls_frac_log2","down"
"126","KEGG_ALZHEIMERS_DISEASE",0.70969,1,25,0.29031,0.10632,79,"proteomics_organoids_at-risk_controls_frac_log2","down"
"127","KEGG_PARKINSONS_DISEASE",0.70578,1,21,0.29422,0.10632,63,"proteomics_organoids_at-risk_controls_frac_log2","down"
"129","KEGG_HUNTINGTONS_DISEASE",0.69904,1,30,0.30096,0.10632,92,"proteomics_organoids_at-risk_controls_frac_log2","down"
"134","KEGG_PATHWAYS_IN_CANCER",0.6924,1,33,0.3076,0.13024,97,"proteomics_organoids_at-risk_controls_frac_log2","down"
"11","KEGG_LYSOSOME",0.50409,0.12759,33,0.49591,1,34,"proteomics_organoids_at-risk_controls_frac_log2","up"
"40","KEGG_SELENOAMINO_ACID_METABOLISM",0.40282,0.11908,11,0.59718,1,7,"proteomics_organoids_at-risk_controls_frac_log2","up"
"80","KEGG_REGULATION_OF_AUTOPHAGY",0.33604,0.11908,9,0.66396,1,5,"proteomics_organoids_at-risk_controls_frac_log2","up"
"84","KEGG_APOPTOSIS",0.45886,0.11908,22,0.54114,1,18,"proteomics_organoids_at-risk_controls_frac_log2","up"
"99","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.04217,0.11908,36,0.95783,1,2,"proteomics_organoids_at-risk_controls_frac_log2","up"
"130","KEGG_PRION_DISEASES",0.3957,0.12404,14,0.6043,1,9,"proteomics_organoids_at-risk_controls_frac_log2","up"
"132","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.46895,0.11908,23,0.53105,1,19,"proteomics_organoids_at-risk_controls_frac_log2","up"
"111","KEGG_LYSOSOME",0.64993,1,21,0.35007,0.074426,46,"proteomics_organoids_hc-like_at-risk_corrected_frac_log2","down"
"16","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.61615,1,11,0.38385,0.11164,23,"proteomics_organoids_hc-like_at-risk_corrected_frac_log2","down"
