"","Name","Stat..dist.dir.up.","p.adj..dist.dir.up.","Genes..up.","Stat..dist.dir.dn.","p.adj..dist.dir.dn.","Genes..down.","comp","sign"
"9","HALLMARK_G2M_CHECKPOINT",0.73742,1,22,0.26258,0.024975,83,"proteomics_organoids_at-risk_controls_frac_log2","down"
"27","HALLMARK_E2F_TARGETS",0.68376,1,34,0.31624,0.1665,84,"proteomics_organoids_at-risk_controls_frac_log2","down"
"28","HALLMARK_MYC_TARGETS_V1",0.71219,1,54,0.28781,0.024975,138,"proteomics_organoids_at-risk_controls_frac_log2","down"
"12","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.33205,0.01665,32,0.66795,1,12,"proteomics_organoids_at-risk_controls_frac_log2","up"
"2","HALLMARK_HYPOXIA",0.52527,0.0555,45,0.47473,1,49,"proteomics_organoids_at-risk_controls_frac_log2","up"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.36069,0.01998,12,0.63931,1,10,"proteomics_organoids_at-risk_controls_frac_log2","up"
"8","HALLMARK_DNA_REPAIR",0.52373,0.05994,51,0.47627,1,52,"proteomics_organoids_at-risk_controls_frac_log2","up"
"10","HALLMARK_APOPTOSIS",0.51718,0.043706,36,0.48282,1,41,"proteomics_organoids_at-risk_controls_frac_log2","up"
"17","HALLMARK_PROTEIN_SECRETION",0.503,0.024975,42,0.497,1,44,"proteomics_organoids_at-risk_controls_frac_log2","up"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.4867,0.16317,12,0.5133,1,15,"proteomics_organoids_at-risk_controls_frac_log2","up"
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.47292,0.01998,27,0.52708,1,27,"proteomics_organoids_at-risk_controls_frac_log2","up"
"23","HALLMARK_COMPLEMENT",0.46107,0.01665,53,0.53893,1,43,"proteomics_organoids_at-risk_controls_frac_log2","up"
"32","HALLMARK_XENOBIOTIC_METABOLISM",0.54963,0.16317,38,0.45037,1,55,"proteomics_organoids_at-risk_controls_frac_log2","up"
"37","HALLMARK_P53_PATHWAY",0.53303,0.096058,28,0.46697,1,43,"proteomics_organoids_at-risk_controls_frac_log2","up"
"38","HALLMARK_UV_RESPONSE_UP",0.51203,0.028543,45,0.48797,1,50,"proteomics_organoids_at-risk_controls_frac_log2","up"
"41","HALLMARK_HEME_METABOLISM",0.5295,0.068114,45,0.4705,1,52,"proteomics_organoids_at-risk_controls_frac_log2","up"
"42","HALLMARK_COAGULATION",0.34335,0.01665,44,0.65665,1,24,"proteomics_organoids_at-risk_controls_frac_log2","up"
"43","HALLMARK_IL2_STAT5_SIGNALING",0.54566,0.19392,32,0.45434,1,40,"proteomics_organoids_at-risk_controls_frac_log2","up"
"46","HALLMARK_ALLOGRAFT_REJECTION",0.52185,0.096058,28,0.47815,1,32,"proteomics_organoids_at-risk_controls_frac_log2","up"
"47","HALLMARK_SPERMATOGENESIS",0.52939,0.18107,18,0.47061,1,30,"proteomics_organoids_at-risk_controls_frac_log2","up"
"91","HALLMARK_G2M_CHECKPOINT",0.41263,0.12488,61,0.58737,0.997,44,"proteomics_organoids_hc-like_at-risk_corrected_frac_log2","up"
"421","HALLMARK_COAGULATION",0.39179,0.12488,44,0.60821,0.997,24,"proteomics_organoids_hc-like_at-risk_corrected_frac_log2","up"
"92","HALLMARK_G2M_CHECKPOINT",0.41263,0.0999,61,0.58737,0.999,44,"proteomics_organoids_hc-like_at-risk_frac_log2","up"
"422","HALLMARK_COAGULATION",0.39179,0.1998,44,0.60821,0.999,24,"proteomics_organoids_hc-like_at-risk_frac_log2","up"
"4","HALLMARK_MITOTIC_SPINDLE",0.67157,1,38,0.32843,0.12488,99,"proteomics_organoids_hc-like_controls_frac_log2","down"
"93","HALLMARK_G2M_CHECKPOINT",0.7549,1,23,0.2451,0.04995,82,"proteomics_organoids_hc-like_controls_frac_log2","down"
"271","HALLMARK_E2F_TARGETS",0.67913,1,39,0.32087,0.12488,79,"proteomics_organoids_hc-like_controls_frac_log2","down"
"281","HALLMARK_MYC_TARGETS_V1",0.67756,1,57,0.32244,0.04995,135,"proteomics_organoids_hc-like_controls_frac_log2","down"
"15","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.37698,0.01665,29,0.62302,1,15,"proteomics_organoids_hc-like_controls_frac_log2","up"
"21","HALLMARK_HYPOXIA",0.51062,0.11489,46,0.48938,1,48,"proteomics_organoids_hc-like_controls_frac_log2","up"
"71","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.34585,0.024975,15,0.65415,1,7,"proteomics_organoids_hc-like_controls_frac_log2","up"
"171","HALLMARK_PROTEIN_SECRETION",0.47105,0.024975,46,0.52895,1,40,"proteomics_organoids_hc-like_controls_frac_log2","up"
"191","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.46963,0.064221,28,0.53037,1,26,"proteomics_organoids_hc-like_controls_frac_log2","up"
"231","HALLMARK_COMPLEMENT",0.42768,0.01665,53,0.57232,1,43,"proteomics_organoids_hc-like_controls_frac_log2","up"
"321","HALLMARK_XENOBIOTIC_METABOLISM",0.52486,0.16234,43,0.47514,1,50,"proteomics_organoids_hc-like_controls_frac_log2","up"
"371","HALLMARK_P53_PATHWAY",0.51248,0.14077,38,0.48752,1,33,"proteomics_organoids_hc-like_controls_frac_log2","up"
"381","HALLMARK_UV_RESPONSE_UP",0.48056,0.024975,52,0.51944,1,43,"proteomics_organoids_hc-like_controls_frac_log2","up"
"411","HALLMARK_HEME_METABOLISM",0.50941,0.0777,50,0.49059,1,47,"proteomics_organoids_hc-like_controls_frac_log2","up"
"423","HALLMARK_COAGULATION",0.32545,0.01665,45,0.67455,1,23,"proteomics_organoids_hc-like_controls_frac_log2","up"
"461","HALLMARK_ALLOGRAFT_REJECTION",0.4931,0.068681,30,0.5069,1,30,"proteomics_organoids_hc-like_controls_frac_log2","up"
"94","HALLMARK_G2M_CHECKPOINT",0.52865,1,48,0.47135,0.024975,57,"proteomics_organoids_SPD_controls_frac_log2","down"
"26","HALLMARK_MTORC1_SIGNALING",0.46164,1,84,0.53836,0.11655,67,"proteomics_organoids_SPD_controls_frac_log2","down"
"282","HALLMARK_MYC_TARGETS_V1",0.49374,1,100,0.50626,0.024975,92,"proteomics_organoids_SPD_controls_frac_log2","down"
"121","HALLMARK_ADIPOGENESIS",0.33548,0.0999,95,0.66452,0.997,38,"proteomics_organoids_SPD_controls_frac_log2","up"
"192","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.31643,0.1665,41,0.68357,0.997,13,"proteomics_organoids_SPD_controls_frac_log2","up"
"232","HALLMARK_COMPLEMENT",0.33414,0.12488,72,0.66586,0.997,24,"proteomics_organoids_SPD_controls_frac_log2","up"
"33","HALLMARK_FATTY_ACID_METABOLISM",0.31719,0.0999,82,0.68281,0.997,26,"proteomics_organoids_SPD_controls_frac_log2","up"
"39","HALLMARK_UV_RESPONSE_DN",0.32303,0.1665,50,0.67697,0.997,16,"proteomics_organoids_SPD_controls_frac_log2","up"
"424","HALLMARK_COAGULATION",0.2957,0.0999,56,0.7043,0.997,12,"proteomics_organoids_SPD_controls_frac_log2","up"
