Gene_name,logFC,P.Value
DEFA1,1.17935926185298,6.18216135445867e-06
NA,0.689719928792406,7.65803234592105e-06
SLC4A1,1.26573861196811,1.51390448062543e-05
CRP,0.912340132332344,2.45224451528489e-05
RMC1,-0.767598844189197,3.9970853590585e-05
HBA1,0.904575354578869,5.34962861122076e-05
TAF1,0.777490341562965,9.14232787182125e-05
HBB,0.478741871174536,0.000184565464377709
NRP2,-0.862746223795445,0.000237511177872777
TOMM22,-0.403084053403936,0.000314409604904908
ACTA1,-0.317520258952321,0.000623240339811479
JCHAIN,0.480588584515229,0.000814678337686166
PPP1CA,-0.474008902081968,0.000888959472937834
SPTB,0.439438310411993,0.000913089462569748
SPTA1,0.36556179650137,0.00111581862462011
CFB,0.461007186952263,0.00120675731815703
GBE1,-0.271214009621049,0.00133968858005759
GC,0.45942504652649,0.00163571529863842
ITGB5,0.242770439023038,0.00165710337490609
SERPINA3,-0.286614246487181,0.00196821687219519
NDUFV2,-0.248292438007551,0.0021828508135684
PSAP,-0.303694632209106,0.00229969267237705
PRKG1,0.319823438743627,0.00252537611599434
TPT1,-0.251265287039196,0.00277239479723481
CD5L,0.579724003608956,0.00281688876188766
A2M,0.339198010231174,0.003290221475766
NA,0.382685410238729,0.00351401221392851
RBM23,-0.418298800068948,0.00384964753388225
SPARC,-0.186597495843947,0.00386245649161296
VPS4B,-0.25001315127806,0.00392976127099834
EIF3D,-0.332140134451399,0.00405880804270126
EPB41,0.307335836684147,0.00431771035011026
C1QB,0.411754736579652,0.00432671619908563
APOB,0.263358664197099,0.00466915685829905
GRN,-0.616738940939326,0.00470108057316678
RANBP6,-0.345778824044483,0.00505837042781882
CASKIN1,-0.222948033803837,0.00539087717531614
AHSA1,-0.247154730287359,0.00575197170708218
LACTB,0.229281034033216,0.00577590059724714
ASAP2,-0.315952740155176,0.00611892930206203
RAB3GAP2,-0.451213574425552,0.00620506862120605
CAPZA1,-0.184937667999577,0.00623447562583119
BLVRB,0.258211034328771,0.006643313491002
SERPING1,0.70845158129257,0.00712530400052694
TMED10,-0.188877954681159,0.00713465383299169
YWHAQ,-0.185956284240392,0.00782169161656638
TOLLIP,-0.195752988666483,0.00784021377707048
CYB5R3,0.20553409308566,0.00809264455884074
FYB1,-0.18692285211288,0.00817568827795101
RUFY1,-0.190730404322097,0.00837545353990039
SHBG,-0.298162332607045,0.00850633790979165
PRKAR1B,-0.206056248375305,0.00851922165888046
C11orf54,0.237882075759894,0.00853479561472307
ANKRD35,-0.744614912390568,0.00865383368223461
MASP2,0.367320227537842,0.00891108370137853
CAMP,-0.264849788775735,0.00906829243667478
STIM1,-0.201063093181362,0.00938401047789515
NA,0.271862347306934,0.00960544047756877
PPP6C,-0.160857117603837,0.00974177588132403
LRPPRC,-0.240817708304446,0.00980645378825343
HP,0.336568775287914,0.00988270197958614
CRB1,0.314876085634318,0.0106934760577115
FN1,0.277970333977635,0.0109318945056024
FCN2,0.743298193115813,0.0114314457513958
COPE,-0.394325337822383,0.0116613709264714
SARS1,-0.187597613305364,0.0120170105439902
SSR4,0.22821527500001,0.0121996651558857
CLEC2L,-0.205878482551931,0.0125376573046078
COPS9,-0.247713221039894,0.0136255168046701
AP3S1,0.205489321657511,0.0137554190610009
EHD4,0.192379039026256,0.0137617084425388
NA,-0.575771071597532,0.0140882972021017
ARL6IP5,-0.149665518538149,0.0141450980206324
APOH,0.362576593105852,0.014209930401704
SESTD1,0.324110290678685,0.0147182674832384
CTPS2,2.74087122761711,0.0147463311920959
TF,0.245909845692714,0.0149043497854343
HYOU1,-0.178667163862852,0.0151038519776411
BORCS6,-0.240017576183698,0.0151854686037067
EMC7,-0.183249675296644,0.0153158047577961
CTSG,0.287008695684557,0.0153184510215615
ARHGEF2,-0.15462529473628,0.0164196086037616
KHSRP,0.224198883840508,0.0166072410839049
ADD3,-0.161388387435189,0.0167945631973422
IMPA1,0.162257120238234,0.0169989612361323
VDAC3,0.347440705125749,0.0172160899918294
CALR,-0.177648086386675,0.0172171801394836
DAZAP1,-0.38598084562213,0.0173890418678112
H2BC12,0.260918297255097,0.0182322987873762
GP9,0.163893853228976,0.0189201895303754
DEK,-0.356458755878756,0.0189561548781913
CHUK,-0.287741853798619,0.0193224559221636
SRPRA,-0.356432722042992,0.0196442277604199
PSME2,-0.180869237182153,0.0197682001392896
ICAM2,-0.207235114473968,0.02003419163828
RAB1B,-0.154742170852733,0.0201040810675595
EIF1AX,-0.190498378853181,0.0202814383551981
PRSS3,0.261102507784901,0.0209385643985193
TIMM8A,0.211272224455374,0.020999735145871
GP1BB,0.188781228415674,0.0210740689134123
HNRNPC,0.244104740834913,0.0213327411887641
WARS1,-0.131844106288321,0.0213360625856492
NME2,-0.192114516425609,0.0214567619691525
SEC61B,-0.49532709493982,0.0218513198327522
TES,-0.291325956217821,0.0223393062277054
PGAM5,-0.164892962230429,0.0223508986952779
ESYT2,0.169225854855206,0.0234114866284204
RAB21,-0.166513230017808,0.023718574645371
RPS23,-0.140876615167923,0.0239096163010869
TOM1L2,0.270498999698687,0.0244485513978729
BNIP2,-0.262985155562954,0.024475583722948
KHDRBS1,-0.233116208790707,0.0249339110643377
KPNA3,-0.15047508277126,0.024982904235382
HMGB1,-0.153564327434807,0.0251166721845211
CHMP2A,-0.403217036404376,0.0252213830206286
COPZ1,-0.130754603863795,0.025321769519718
SNCA,-0.182453608058508,0.0253337053682382
CRELD1,-0.157877010747081,0.0254860763918151
ZMPSTE24,0.176985269893013,0.0258119522888723
UBA3,-0.214893691071462,0.0259472707887123
DPP3,-0.313795285675567,0.0268203403733286
FCN3,0.352782317216065,0.0274977586668916
RPN2,-0.195761902105973,0.027633772591421
CHCHD3,-0.126624487030211,0.0277783835690395
CRYZ,-0.280031803545559,0.0278449339664921
PAWR,-2.97897536121691,0.0281260214173366
RAB11B,-0.439129526976228,0.0281960658715924
ANXA6,-0.134876936855704,0.0283800517189656
RANBP1,-0.332039014012435,0.0288620532153778
PACSIN2,-0.130889231127561,0.0292407902446741
PNKD,-0.201355913876097,0.0293989878109957
GAS7,-0.352133064584784,0.0301189484559241
HADH,-0.125326855947695,0.0302006269983765
CYBA,-0.130880504059283,0.0302592116943591
ANPEP,-0.350827399155679,0.030296449040156
TAP2,0.171787344403892,0.03051694256256
NDUFAB1,0.338709160181549,0.0305755166265983
ANXA5,-0.167543564959367,0.0306117761501985
C1QBP,-0.136012596680046,0.0306742130326759
NDUFC2-KCTD14,0.174150874910646,0.0307188567726023
LCP1,-0.170080154585087,0.0313686741944528
CLNS1A,0.171041118372242,0.0318037568684707
H2AW,-0.187518596139752,0.0319615295545377
DIABLO,0.219341508556294,0.0325470079955436
EIF4H,-0.501483949977415,0.0330900521895555
ACTBL2,-0.264480239896982,0.0331701269311818
SEMG1,-0.190567475486136,0.0333651866709017
SUB1,-0.155988682501061,0.0337470658351655
PHKA2,0.246624929700229,0.0343906661040701
RAP1B,0.195481338733717,0.0345452274237931
GIMAP1,0.466776267624053,0.0348576088229625
HNRNPL,-0.213748158913946,0.0363005018311822
RPL11,-0.185351546307839,0.0364132605744131
ARF3,0.214911404652909,0.0367312293373982
WDR44,-0.338028678944076,0.0369424889970404
YWHAB,-0.159301315356188,0.0377773755767994
CERS2,0.277695716298147,0.0379648092821779
CALU,-0.144500613554827,0.038136006155589
VSIR,-5.03825464813264,0.0382807744588072
C1QC,0.359530511372321,0.0402651397009465
NARS1,0.156440991440332,0.0402740259513577
MAGT1,0.127129642363397,0.0404903260274575
LSP1,-0.137112880528791,0.0406650609748352
MYH10,0.294694830054558,0.0412615318919667
CPOX,-0.281911309815339,0.0415708692400904
RPS25,-0.206705582950406,0.0424507939106422
RAB1A,-0.118161588345302,0.0425058996486588
ABRACL,0.272348990176243,0.0426569825496643
MYO9B,-0.190772866158115,0.0428714803646337
RAB5B,0.216509992678635,0.0428974206946169
RPS3,-0.118323413327458,0.0432559623440492
LMAN2,-0.233430681232168,0.0433577744996212
TUBB4A,-0.307822643953824,0.0441111045439677
MYCT1,0.219144442385458,0.0445673598199596
TOR1AIP1,0.245425827157822,0.0459423555122366
SEC11A,0.178213527452434,0.0460737682396577
ANXA3,-0.147689257193996,0.0462937901833
USP47,-0.147809137088705,0.046462525605469
DDOST,0.171421218698578,0.0464679007906066
CASP1,-0.112708349698876,0.047181639701156
SRC,0.124027532703215,0.0481273864297021
SQOR,-0.126291863274351,0.0481429684261239
ATP5MC1,0.279014888017403,0.0484475407786074
ARHGAP6,-0.244977099777079,0.048477727707944
NA,-0.302428569555904,0.0485134073585746
PRDX4,0.398882254158097,0.0485249569816071
FLNB,-0.458504145135341,0.0485417920237348
ODF2L,-0.241091691482815,0.0493161813908789
NA,0.370367916891601,0.0494835876182374
NDUFA13,0.205499069737281,0.0495234958167064
ARRB1,0.140481250617768,0.0499046127095592
TAP1,-0.281353865128324,0.0503470362528653
GSAP,0.127402677912467,0.050853501296268
ELANE,0.220248631902547,0.0508971595506595
NID1,-0.219323225255343,0.0513114507632659
SFPQ,-0.267224827578036,0.0514785163674313
HNRNPA3,-0.156478226622977,0.0518178227959929
TMSB4X,-0.187440209767307,0.0519968806759864
MACROH2A1,0.16561205540955,0.0521718697163837
SUSD3,-0.283015265515924,0.0525681446619373
GMPPB,0.18824311198602,0.0527593502455535
ANK1,0.136246397826051,0.0529202684244322
ARHGDIB,0.265775551871978,0.0533134806551662
PRKDC,-0.139480538160534,0.0548211929094286
NAA50,-0.229565211036326,0.0548862108823747
ATP6V1H,-0.116648081562371,0.0552112312908029
EIF3K,0.145980247325227,0.0554328312617172
CALCOCO1,-0.24470084094433,0.0555426881469882
PHGDH,-0.160268598733525,0.0556254239159941
MYH2,0.198345045831733,0.0556498885057874
RAP1GDS1,-0.143813365722017,0.055820147397294
HSPA1A,-0.106369025447323,0.0565109144260635
ALDH16A1,-0.114390483540339,0.0570841162513495
AADAT,0.574507060407845,0.0572325405372316
