Gene_name,logFC,P.Value
HMGN1,-0.5442229900999,0.00013626410285633
WDR97,0.325280547778897,0.000137851218761897
PTGIS,0.401909148959531,0.000419466949922348
RBM27,-0.35009742638557,0.000433046572487833
MAP9,-0.372413833715335,0.000515626102339408
JPT1,-0.309106248053403,0.000626350821328162
PMP2,0.284938105066169,0.000632270151582848
MARCKSL1,-0.327507697325735,0.000724996388266806
SLC25A16,0.261610365054466,0.000787378948305998
DAZAP1,-0.273609571180233,0.000871749503348658
CCDC185,-0.471881858230069,0.000879918963352226
HOPX,-0.383424200185503,0.000886422673939227
CARHSP1,-0.253830010929503,0.00104522925046963
ZMAT2,-0.274684856556103,0.00113324989243269
NLRX1,0.299297098639664,0.00131397751716977
CCDC43,-0.232860937596768,0.00145744511909597
PHF10,-0.349042421890771,0.00148678270947314
CPNE5,0.301045539388731,0.00173104021302351
ARFGEF1,-0.257564579513502,0.00176284984884363
NT5DC3,0.268065779125096,0.00189032824705778
SNRPA,-0.227626656704669,0.0019299300254487
RNF114,-0.297375886201467,0.00192998660057362
KPNA1,-0.231264125250568,0.00201587815556566
NSG2,-0.652818657963905,0.00210245836226201
VAMP3,0.268208001877796,0.00232333710023947
KHK,-0.345580713834836,0.00235715941408338
BCL2,-0.270699409564736,0.00239693731430879
SLC41A3,-0.301598034084304,0.00239733072667731
NA,-0.381523130466402,0.00241179913150295
UBA52,-0.34353621794647,0.00259723820533786
DSC2,-0.681380114558835,0.00269342093988817
CAPRIN1,-0.200648511488136,0.00275187346411233
GABPB1,-0.253154370290934,0.00280771991793775
PAFAH1B2,-0.254148673058968,0.00296427945825428
DRAP1,-0.203326060661166,0.00301739406429441
DHODH,0.211637057621665,0.00311571329360311
RSRC2,-0.229911074920237,0.00323101854766995
HMGB1,-0.223073212510538,0.00325125095518901
DBN1,-0.204947950384433,0.00328824157827932
ARF5,-0.261696650242869,0.00332160237115899
SH3BGRL3,-0.284573265977672,0.00333333077583516
CRACD,-0.190921948855269,0.00342044761122331
BBS9,0.37144360970363,0.00362399038621717
TCEAL4,-0.254844869681138,0.00364455770523514
RPL36AL,-0.391905438468234,0.00374013481463023
TRIR,-0.22427304133717,0.00391212914790459
SEMA6D,0.25213255234703,0.00395022743668457
TMEM222,-0.310225077463068,0.00398624673435931
CHMP1B,-0.219910222364634,0.00401299327254946
TSKS,-0.349065787090302,0.00434425136690955
TSC22D2,-0.371188066141837,0.00440585649141006
GDPD2,0.223519833714997,0.00446786575680764
VAMP7,0.264429556719599,0.00459939394761449
SF1,-0.180951399081801,0.00468070662689694
HDGFL2,-0.231837939742667,0.00473818123085176
RPL31,-0.20029305601867,0.00481706155047893
