Gene_name,logFC,P.Value
WDR97,0.363840775155629,6.89130684437784e-05
HMGN1,-0.505652976271452,0.000108373618802956
PMP2,0.323505167380172,0.000263522496172919
PTGIS,0.440453555505089,0.000293082905444122
SLC25A16,0.300174563889831,0.000467607467781981
NLRX1,0.33786409824412,0.000486725783729381
CPNE5,0.339605865361262,0.000678450417768494
NT5DC3,0.306633658753537,0.000692484333500004
MAP9,-0.333837564773165,0.000808388459445576
DHODH,0.250204487985941,0.000836349370158454
MARCKSL1,-0.288938366509355,0.00110120433005955
CCDC185,-0.433219575917191,0.00136771613961062
VAMP3,0.306772269924824,0.00136892962030325
RBM27,-0.311515987071383,0.00150108397234627
PDGFRB,0.22461163587365,0.00158151641689158
SEMA6D,0.290697154114697,0.00172924861980554
DAZAP1,-0.23504008726091,0.00177287984965915
VAMP7,0.302994704615611,0.00177896049481057
LRRN1,0.327767612453655,0.00201127336364371
GDPD2,0.262088300413163,0.00208791063086007
ZMAT2,-0.236113533674895,0.00219007366880318
SCRN3,0.262710080476215,0.00220453223055422
PBLD,0.235396199722214,0.00229852638951367
HOPX,-0.344851504231436,0.00231375447981783
MCAT,0.246050967821971,0.00240723051144674
NT5C3A,0.206988029387871,0.00244557979450837
JPT1,-0.270536696095384,0.00247602863615193
NSG2,-0.614242509865816,0.0024937666709416
ADAP1,0.206852707355083,0.00277392904632792
LTN1,0.215118727247528,0.00286625022628617
BBS9,0.410005450054954,0.00289249645436471
NUBPL,0.229327101173304,0.00314771603779958
GTF2H1,0.206429844469174,0.00320525207738364
RNF114,-0.25880603504639,0.00331752480014014
MAN1C1,0.348852576269868,0.00354912551215926
SOAT1,0.354756914835542,0.00375953092218412
DSC2,-0.64280998058482,0.00376574778291958
S100B,0.230656076320348,0.00388889442358337
SLC41A3,-0.263022772443377,0.00414656310054897
SNRPA,-0.18905731162577,0.004152834652569
CERS1,0.226166506863241,0.0043255951594747
ERI1,0.189076237461535,0.00433577918532484
CARHSP1,-0.215260609589176,0.00446274614120719
MED21,0.239935159748625,0.00453745723978893
SERPINF1,0.21350041663623,0.00457341463107332
AK5,0.241713737598689,0.00464315714495509
LONP2,0.205417754274383,0.00468117488470618
