Gene_name,logFC,P.Value
PC,0.459747231441863,5.83354507857263e-05
SNRPF,-0.397581663929069,0.000292630676400241
RMDN3,0.458531309141866,0.00045915295545528
ELMO1,0.397045939663765,0.00089482310349983
SMARCD3,0.346360496410832,0.00131411949970111
JPT1,-0.437966084131038,0.00167806484829654
PSME1,0.24946136533493,0.00225771257049126
ZPR1,-0.275288373556068,0.0031503276211756
CHTOP,-0.233696774121866,0.0031976637056316
HMGA1,-0.371739615867971,0.00330849014534569
FKBP10,0.33022639516453,0.0034980911945576
SMS,-0.260717710158937,0.00411191781795414
UFD1,0.298170157536866,0.00428780981069489
PPP2R5E,0.24525031073253,0.00435070923915401
RPL37,-0.360436879232,0.0049020560540028
RPN2,0.194724487181497,0.00637785167456101
ARVCF,0.284342332354863,0.00667210082893196
MARCKSL1,-0.320796142405899,0.00744833154249788
RHOA,-0.246500898529704,0.00749852092406405
ADGRL3,0.178475197477062,0.00981552388515421
PTMA,-0.327653265523704,0.00991319248256248
VAT1L,0.160857108487832,0.0109496124337458
RPL36AL,-0.271919033865771,0.0110956694785883
SCARB2,0.183889504606664,0.0111761328314829
RBP1,-0.164968248335036,0.0131324359089373
SLC25A6,0.31243676563953,0.0140499490334248
ANP32E,0.171709819866101,0.0140541753492934
LAP3,0.186907250539997,0.0144212601058271
HSPB1,0.151857062144634,0.0155850305447665
GNPAT,0.238618264607432,0.0156552812414026
SF3B6,0.176289753775029,0.0166928096575147
SPCS3,-0.226061603047102,0.0170721141813305
RNMT,0.202914524968797,0.0171625863103372
AGPAT5,0.243237718279599,0.0178188909537329
NA,0.18502617110993,0.0183258290848003
SEC24C,0.16838538776793,0.0184102343708595
H2AX,-0.309996041663174,0.0184441804618828
GAMT,0.1402357118609,0.0184580656870699
HMGA2,-0.184589878212801,0.0184874887705537
NA,0.156449972360033,0.0191605637765315
NPM1,-0.180838696718404,0.0209804923889043
PPP5C,0.187259879494498,0.0212936468893524
VPS28,0.250933422840931,0.0215339855358429
NA,-0.219097571488504,0.0219473388902049
BANF1,0.307253419144768,0.0228482520994813
RPS19,-0.145583769521672,0.0234152067849574
SNRPE,0.175180669301993,0.0240418573470523
CRK,0.171246529117032,0.0244631316123773
HMGB1,-0.238863667720834,0.0248013916826714
CAMK2B,0.188328366555463,0.0250558553915563
PLXNB2,0.187845833616564,0.0259407701716285
CASK,0.156279509238065,0.0269806936058918
AIFM1,0.276619354286099,0.0273642800460744
PTGES3,-0.248789386149937,0.0277052652828968
AFG3L2,0.167755112015132,0.0282405489546462
NDUFS3,0.1293914687186,0.0283971189752514
TRAP1,0.127522534762631,0.0287900922847465
NANS,0.143324306232999,0.0289988717771872
ASMTL,0.252774359399067,0.0290523349168337
HADH,0.165834966105133,0.0299921708338868
IVD,0.122130556784796,0.0303191764475013
CYB5A,0.139333535422998,0.030982301207802
RAE1,0.131594044367326,0.0312670711957217
GAP43,-0.252613543337805,0.0313189858713283
SLC25A11,0.138702933447127,0.0315473603566636
SERPINI2,0.205075536761434,0.0317503788583933
RPS27,0.137699638214298,0.0320538692264599
CLIC4,-0.212895541242969,0.0323371436785001
WDR47,0.169461300925466,0.0324973225603044
PRPF19,0.224804341723867,0.0329086782697361
LONP1,0.138861953722198,0.0331076997920342
TIMM9,0.171211249201897,0.0332535654754431
SSBP1,-0.323844219682371,0.0334997370655308
NAE1,-0.208939631907534,0.0337942917905717
ALDH18A1,0.179396865428498,0.0355974014122476
RPS14,-0.14610155058747,0.0362463913132633
GATM,0.14078251972713,0.0368304785368427
AKR7A2,-0.165160512575337,0.0379915735877215
EXOC1,-0.135894187193669,0.0384332205838949
BCLAF1,-0.231500558826338,0.0387665888759442
MAP1LC3A,0.24244551329903,0.0393187855992456
PDCD6IP,0.134286762071464,0.0399847384377189
DDX18,0.162379137620763,0.0401701380802611
ISOC1,0.141077651772497,0.0404112467042435
SCCPDH,0.176737210115632,0.040569932671966
SLC39A7,-0.285924634673205,0.0411190988277889
TOMM20,0.179288078393232,0.0412387172142073
TAGLN3,-0.150021882944638,0.0417930930335427
SUCLA2,0.160970930567729,0.0427326523791249
PTMS,-0.242398745295866,0.0429476987033084
MEIS2,0.193038478900634,0.0433321916774132
PMVK,0.193882096678527,0.0437520863378081
HNRNPM,-0.131016501060402,0.0441107085473958
QKI,0.122728080489629,0.0444040656887137
TECR,-0.153879378933436,0.0454690120458226
AP2A2,0.158084970880932,0.0456620471044354
U2AF2,-0.231228128002139,0.0457378927779055
TJAP1,0.154243716554296,0.0464085552077544
NUP155,0.400615756398396,0.0471557954425941
MYO18A,-0.143573927305639,0.0472603278849566
ZC3H15,-0.197779141435069,0.0472897573769783
OCIAD1,0.127583863148432,0.0474060721703359
SV2A,-0.1750721592646,0.0476597921748688
TMEM33,0.171418133902332,0.0476864445305086
SARM1,0.155312415502164,0.0479989570191328
CYFIP2,0.107792782666333,0.0487424224270296
SEPTIN7,-0.157494266768072,0.0501260129023496
RBM8A,-0.193591679819901,0.0508459424691206
ALDH3A2,0.149822231552097,0.051664609289266
CD99,-0.520440807926637,0.051749997625446
CPNE2,0.177831388948802,0.0518844823390803
HRAS,0.146122549050032,0.0524384418321844
ENDOD1,0.122612744710532,0.0525379069294181
H2AC21,-0.222059187868904,0.052807283310876
ECI1,0.168790869238163,0.0530908914607659
CP,0.263558737038063,0.0538296307217285
NT5C2,0.147410955528329,0.053843314171115
GPRIN1,-0.319434911060834,0.054148760180267
GRPEL1,-0.186845681674736,0.0542510666210381
ARHGAP1,0.142974703895964,0.0545523388746695
PARK7,-0.124975899358371,0.0547136116219208
SAE1,0.156249524342165,0.054966356786708
H2BU1,-0.320340755672367,0.055132699828301
MPST,-0.156068560469137,0.0555772471540107
BAZ1B,-0.202190695088534,0.0556495217616183
LYPLA1,0.148024375778032,0.0562904996972902
C12orf57,0.133703535370698,0.0568403686822734
RPL28,-0.173389231701904,0.0572326740970481
SNRNP70,-0.120680221132768,0.0574756837330131
ETF1,0.201030881662796,0.0580620791815521
HMGB3,-0.108936365051168,0.0593455015652674
PPT1,0.119480086284695,0.0616925098871884
PRKAR2B,0.150475145086293,0.0620464538969016
HNRNPL,-0.119539856004338,0.0628249725635039
AGAP3,-0.127985413967103,0.0630703578399272
COPB1,0.157792350547628,0.0632664981961143
YES1,0.221413293164865,0.0634959182168841
BASP1,-0.258512807855203,0.0635708516681708
PAFAH1B3,-0.121132695485471,0.0638839130990065
EIF3CL,0.162147365585832,0.0646116414021835
EIF3A,0.115012364253432,0.0653424902844917
PSMB4,-0.156245923860271,0.0658634860590613
SH3BGRL3,0.151025138382465,0.0659270300995084
MAP6,-0.294019049478605,0.0663608420941749
TSG101,0.135901556364132,0.0663824771661725
MTDH,0.265865552437966,0.0684832760848992
RPA3,0.14709410593193,0.0691558582721258
PRKAR1A,0.121762089741561,0.0697064783636528
IGBP1,0.117359631476831,0.0699388086662807
HSD17B10,0.108589469845298,0.0700209870986668
HAGH,-0.146368797376069,0.071014059151012
HINT2,0.160631156343266,0.0711573030364282
DCX,-0.139826909852004,0.0711863226584527
LACTB2,0.194774999994797,0.0717038331715034
MCCC2,0.123615868572098,0.0718796801801951
COX2,0.12199150691263,0.072495504325015
AMBP,0.166410777377597,0.0726006036962806
IGF2BP2,0.116058442198263,0.072698852052079
PCCB,0.125098391313264,0.073249911050152
RPS6,0.182223520992867,0.0734785151521717
MPDZ,0.396823603571596,0.074414975031036
