Gene_name,logFC,P.Value
NA,2.05510629036637,2.56442514746161e-10
NA,3.28742028174256,4.97536011234183e-10
APOM,2.12909979135859,1.17253329677716e-09
NA,3.98687421805626,1.35592262370483e-09
ITIH2,2.16824849757426,1.54587184985414e-09
NA,2.96778488144477,1.61111883231358e-09
TTR,1.48184187303551,1.81800146977867e-09
C4B,1.52057834846029,1.98121442384935e-09
HP,2.32582921985626,2.01528545798534e-09
C3,2.60039463630585,2.27313414244108e-09
PON1,2.34363412289374,2.29646903982331e-09
CP,2.20607551123743,2.38890512276451e-09
GC,1.96956106790116,2.53564864962607e-09
A2M,2.4037478215826,2.83336553029469e-09
HABP2,1.65544086109894,3.27025547554498e-09
AMBP,1.70518165287064,3.42979891132601e-09
APOH,2.40040224024767,4.03325925645452e-09
KNG1,2.79629759356707,4.19506630421934e-09
APOD,1.36790556224647,4.32999201544416e-09
NA,2.75327621888243,4.56995058401635e-09
APOA1,2.84336999618037,4.63049388234069e-09
TF,1.74926953734547,4.97855335735384e-09
CFB,2.1786749606041,5.8693529331757e-09
VTN,2.16690921296996,6.3705139291834e-09
ITIH1,1.53402676966079,6.55761196985838e-09
APOA2,2.89156266129264,6.75693767473777e-09
AHSG,2.13991162076687,7.19389329977025e-09
APOC3,2.35579753347257,7.44381582334031e-09
CFI,0.910305052479801,8.03104266000897e-09
APOC1,3.54577145789274,8.5853433753444e-09
HRG,2.68219509445154,9.02095152806281e-09
F5,1.5417229103013,1.10660028294684e-08
HPX,1.53754848578673,1.16900694890458e-08
SERPINA3,2.70844407974159,1.28614710303366e-08
NA,3.2395499471555,1.3125821033237e-08
NA,2.8775028420032,1.34073196225263e-08
HTRA1,-0.977718158256167,1.3738024078623e-08
ORM2,2.47245741422823,1.377281104118e-08
CYP27C1,4.37437879028754,1.3819443548813e-08
PDLIM5,-1.1481615402962,1.38324424688083e-08
C4BPB,2.7522266025537,1.38621157706483e-08
C1QB,2.52731532427541,1.38685694030015e-08
SERPINC1,2.33804052609349,1.41468246134648e-08
NA,3.0968825700462,1.50623816269076e-08
CRYAB,2.51045711152386,1.52524131964311e-08
NA,2.6571934821347,1.56707807873874e-08
NA,2.09650401276247,1.86598578684203e-08
C1R,1.40244606465606,2.12708267242398e-08
SERPINA4,2.34122439172479,2.32444737578344e-08
SERPINF1,1.74254270859289,2.41148534077676e-08
NA,1.634188045606,2.64447846114669e-08
C1QC,2.10718737297534,2.70539166605275e-08
NA,1.7166034959749,2.76089721050105e-08
SERPINA6,1.89601524286247,2.82410155670016e-08
ITGB5,-0.854814572574131,2.84139598522543e-08
SOX2,-1.27385665902997,3.06489104496727e-08
TTN,2.72765375638054,3.15427895154828e-08
CFH,1.6401864566156,3.19196573300135e-08
C9,1.12406738111504,4.0179228302338e-08
NA,4.23094735114746,4.0922500834198e-08
NA,1.74910311851484,4.14274194036609e-08
MORC3,1.2394059162114,4.89737754342777e-08
APOB,1.63498993674301,5.21682955420702e-08
NA,1.68485852329883,5.32356687837966e-08
HPR,1.4932969135098,6.20726609554586e-08
C4BPA,1.71357234831423,6.58539476616024e-08
SERPINA1,3.02024764168087,6.70281851495513e-08
PGLYRP2,1.61223478249113,7.56662250066043e-08
A1BG,1.51140644388504,1.01502949587667e-07
SIL1,-0.657217840487725,1.02797194881387e-07
SAA4,1.68617797380703,1.06241106554116e-07
NA,1.51138948442593,1.08347061581166e-07
C5,1.22874992676704,1.11472941958217e-07
CD5L,1.2916210466403,1.13408078570568e-07
NA,1.73134955723868,1.15984213690276e-07
APOC2,2.79006504136046,1.24797925041029e-07
AGT,1.54072309291136,1.31966934880447e-07
ORM1,1.97000781586851,1.46286205101764e-07
NA,1.3300514041385,1.68200022112003e-07
PLG,1.6642638584202,1.69601808889008e-07
CPN2,2.27529598364137,1.87263866999358e-07
NA,1.47032291540367,1.92967079590742e-07
TXNL4B,0.963642217195229,1.95897999062402e-07
C8B,0.831660601107263,2.02897304771012e-07
ITIH4,1.94509266362866,2.08479935203997e-07
CRIP2,-0.665129845832205,2.11180666344174e-07
FICD,0.814079938326763,2.11290561022239e-07
LYZ,1.32856976518527,2.12608072854979e-07
BMP1,-0.982064983891103,2.15725585738296e-07
FN1,2.27251485583576,2.38304551008482e-07
CFHR1,2.0045388442666,2.43302205547356e-07
NA,1.59719486029947,2.56075620885685e-07
CPB2,1.50222202357768,2.58060488983337e-07
FGA,2.4366592781642,2.6363219218816e-07
TCEAL9,1.41558702191266,3.07927244407573e-07
RBP4,1.3621080864872,3.33206703642808e-07
SERPING1,1.57341281151837,3.70145010896111e-07
NA,2.23249354975687,3.91654447344523e-07
NA,1.7133854529121,3.9452868770473e-07
NA,1.2763077343124,4.17823328035592e-07
FGG,2.51531979590163,4.38985374753374e-07
SERPIND1,1.263623563899,4.77205961627558e-07
CHMP2B,0.683441117655001,5.00767028998491e-07
NA,1.08393937849367,5.26852123792701e-07
FGB,1.91521138448052,5.55749737956835e-07
AAMDC,-1.26176619868503,5.81754231554924e-07
SOAT1,1.16187641472727,7.21423751149356e-07
C2,0.874966917693303,7.70068835427677e-07
TRAF6,-0.84687399174776,8.37055960026204e-07
NA,2.02665330733026,9.2102227129963e-07
AFM,0.974570655119631,1.011317591888e-06
KLKB1,1.09063400160223,1.07230613469647e-06
RRM2B,0.515397140588206,1.24495618027607e-06
WNT7A,-0.525841455553614,1.25674147469988e-06
TRIM25,-0.768848947969765,1.31776713199132e-06
NA,1.34678192555173,1.36369908194947e-06
SERPINF2,0.9927226340352,1.37986970520378e-06
C8A,1.23728671864817,1.47374950577612e-06
NA,1.2690727182587,1.53834074138792e-06
NA,0.946585203024002,1.60939266486687e-06
RAF1,-0.400718793305796,1.66866902244944e-06
FJX1,-0.625550788468711,1.66887506815132e-06
CTH,0.521494990599866,1.87426219340887e-06
ITGB1,-0.608076201015468,1.9216400654555e-06
PROS1,1.27385225842427,1.93027650545264e-06
GPX3,1.43158950321416,1.93101632509527e-06
CLEC3B,1.55393935478863,2.13915974212208e-06
HBA1,2.3037131530027,2.15841545344818e-06
HBB,2.0004846154227,2.30299772995985e-06
PXN,-0.555714310162628,2.424883916445e-06
NRDC,0.537208949459558,2.52668032793733e-06
KIAA1143,0.509678652496998,2.57501934207888e-06
DNAJB1,0.496304158881262,2.59207438785399e-06
MAFF,0.709458517688294,3.33361108897718e-06
ITPRID2,0.755325788250666,3.54507853349478e-06
KDM3B,-0.696988473965543,3.69059327579088e-06
JUNB,1.1965725330558,3.87901860130227e-06
TOMM20,0.390900333968606,3.97341756166913e-06
TMF1,0.510389948535465,4.38772935564779e-06
GPC1,-0.463966146647333,4.45055945879137e-06
COL6A3,0.595681688419162,4.63530629548125e-06
C1orf52,0.825570176035832,4.83388806169191e-06
TRIM28,-0.654792695261261,5.464713069958e-06
WNK3,0.514143866804702,5.54857868380992e-06
CHKA,0.615354409362606,5.96212479614979e-06
PER2,2.188856247113,5.97316413247587e-06
WDR20,0.414826014700495,6.06479895560962e-06
SLITRK2,-0.429989669267766,6.16843401828408e-06
F12,0.819988166581137,6.85559047871071e-06
RIT1,0.620194636675231,7.13224998274406e-06
PMP2,1.02885240425484,7.39480795640672e-06
NA,1.02903834954563,7.49497012314831e-06
EDNRB,-0.935156380900402,7.70290579297843e-06
LRIG1,-0.403294444072003,7.78435794438069e-06
ALG13,0.579390263070096,8.45337574336302e-06
RBM22,-0.64527744356467,8.4940222180398e-06
SPARCL1,-0.525587074256801,8.9453607488231e-06
PJA1,-0.998886774301834,9.10866111311459e-06
LAMB2,-0.795541678912436,1.00079962635144e-05
PNPLA2,0.486736050569903,1.05903652310583e-05
NDUFA9,0.61286942876016,1.06976022308829e-05
APOE,1.65259594123076,1.08897958670186e-05
NA,-0.546621084087526,1.13038142202698e-05
AGPAT5,0.432411459750693,1.23995512347597e-05
ANGPTL4,-0.900206137816102,1.28498460057569e-05
BAIAP2,0.404249492639895,1.36950115047747e-05
ABHD4,0.47871027182666,1.3776237812732e-05
CAMP,1.15875466079827,1.44871407572019e-05
JAM2,-0.448461821469202,1.48090705298079e-05
MORF4L2,0.723927020240698,1.48097938405045e-05
NA,1.2197967342477,1.4908965729818e-05
SYNE2,1.13888867487156,1.50542614024128e-05
ADAR,-0.429389210000096,1.52642548294837e-05
AMER2,-0.422403017141299,1.60855858486562e-05
ZNF326,-0.410620466599173,1.61498767352607e-05
NA,1.5629012217929,1.64468768297234e-05
MAD2L1BP,0.725197490796802,1.71113720549528e-05
PPP1R8,0.393156912922134,1.74482827041585e-05
SULF2,-0.520100685501763,1.765060434589e-05
ZNF462,-0.457364196772101,1.82737143467641e-05
CTCF,-0.670003978292165,1.87467802574272e-05
ZNF512,-0.413388618912737,1.90717299391527e-05
SQSTM1,0.383647533737307,1.92862206645604e-05
TFRC,0.576268391139031,1.93227714353955e-05
NA,1.3489761376635,1.95747585216492e-05
CIRBP,-0.419768300949301,2.004263519956e-05
NA,1.17960649258283,2.03502620555074e-05
CBX3,-0.521446997008468,2.04420967075839e-05
CNN2,0.706709906865697,2.05743083855929e-05
SLC6A11,-0.991115032786297,2.05846290513058e-05
CWF19L1,-0.560902209563963,2.08720281534852e-05
HID1,0.837699225276896,2.08942935054483e-05
FKBP10,-0.318277960270791,2.1113156094621e-05
RNF114,-0.715241199511901,2.11656924509655e-05
RNF185,-1.0628788454719,2.17638023577984e-05
HOXB9,1.35273170895697,2.18727373276248e-05
GBE1,0.497000602298399,2.24627749086625e-05
FAHD1,0.395911128914765,2.30029537325343e-05
C1S,1.0837045575053,2.41713616619533e-05
ARVCF,-0.3067461092785,2.47676082828072e-05
CHAMP1,-0.423870838686522,2.50334957547135e-05
TNFRSF10B,0.499767634968094,2.51709993363942e-05
CCDC91,0.42692898094041,2.63348089378835e-05
GLT8D1,-0.46869186247093,2.63348119998051e-05
DDX21,0.38017672738777,2.63989601083424e-05
ADGRG1,-0.400628528522301,2.79471533581776e-05
PAF1,0.476372474152861,2.80934029990109e-05
SELENOP,0.544195449803961,2.86187805620606e-05
SCLY,0.432386652539506,2.87413091603909e-05
ILK,-0.314616647464341,3.018056021905e-05
PCF11,1.2077790633433,3.13145923172469e-05
ZNF782,-0.525750453771597,3.19637476350486e-05
PPID,0.286894296844395,3.50405210845267e-05
ZNF830,0.495951237563702,3.52311719721468e-05
HECA,-0.982686442243867,3.5412219142385e-05
RNF7,-0.453208294040799,3.55336220046421e-05
RPS19,-0.334278656710865,3.60149991960233e-05
SLC1A2,-0.490263700247159,3.6131628096975e-05
C11orf54,0.403337400839867,3.63362597105625e-05
ZNF780B,-0.386267549670734,3.6408535654409e-05
ZMYND8,-0.481224973419199,3.64351965410934e-05
SGIP1,0.351101722814157,3.68387624374067e-05
TXNIP,0.755172334986204,3.69287008087418e-05
POLR2H,0.289902793031931,3.6982330803811e-05
SELENOS,0.688414097272897,3.72545843381032e-05
UBE2K,0.356566088835102,3.74494299901623e-05
ZRANB2,-0.468631845444797,3.83307653941125e-05
RPL13,-0.366632944265536,3.9439364084914e-05
ZNF711,-0.517415296697266,4.06637432102332e-05
OPTN,-0.373959306738367,4.15704638864483e-05
GART,0.37223012049283,4.2583570899649e-05
TEP1,-0.560658069642235,4.3582625521355e-05
GNG7,-0.558633075600465,4.4021468821415e-05
TIMM8B,0.371507601091096,4.44819982000429e-05
NEK2,0.599525481215561,4.51251530925944e-05
KIFBP,-0.336829749809869,4.51825695645563e-05
SLIT1,-0.34793662815807,4.60148156332107e-05
RPL7A,-0.320652677545404,4.96693977121122e-05
YY1,-0.572102240457674,4.99380686522391e-05
CDH13,-0.945406966710408,5.02940510406107e-05
ITGA7,-0.368449195560036,5.07415030781872e-05
ADI1,-0.567649040523332,5.07709927044627e-05
CAV1,0.856722186837761,5.1725469738039e-05
CDK13,0.541107437724596,5.25231508737261e-05
ZEB1,-0.594346391899027,5.39564271022791e-05
PML,-0.331967012065004,5.52294099509863e-05
TMEM43,0.330495512674432,5.60153673632003e-05
ARFGAP2,-0.291765986133267,5.71200178147787e-05
ICAM1,0.630487744641037,5.97531772848171e-05
ALG10,0.42252265101034,6.15576432367504e-05
STX8,-0.462098266559259,6.156055879932e-05
USP48,-0.359044246975664,6.20657544771661e-05
WDR97,0.552233229370268,6.2341271525429e-05
PDLIM3,-0.639245570493678,6.334740067111e-05
ZFYVE1,-0.444429821199428,6.44218567764667e-05
EIF4G1,0.299077175643898,6.60070779578167e-05
DDR1,-0.313001711633063,6.78485478972375e-05
UTS2,0.502918444930767,7.23128186415124e-05
ITGAV,-0.397094134486434,7.35495118425724e-05
TBCEL,0.572079395262008,7.40833354764129e-05
PLPP3,-0.375410266475061,7.45641892568253e-05
ARHGEF2,-0.36433438717787,8.15321585720426e-05
PPFIA1,0.270226763379494,8.24707094734366e-05
TTYH1,-0.373530770919736,8.29257201839157e-05
TAX1BP1,0.367030527801568,8.38444051534965e-05
PCDHA4,-0.387746290090867,8.93079581939277e-05
NA,1.47072982068846,8.94628869479488e-05
ARPIN,-0.312298341536874,9.02386807034466e-05
BUD31,-0.370142912404567,9.03851152625877e-05
ZNF22,-0.526764350992799,9.40431643735481e-05
SPON1,-0.45667893051964,9.51285253165378e-05
PBK,-0.473639623779267,9.59524709337077e-05
CDC34,0.45340521926547,9.6791711073726e-05
TCEAL1,0.347974538024271,9.7039457975977e-05
PEX14,-0.348659142215265,0.000102332889261905
PTTG1IP,0.409458438854703,0.000103997449010221
PLOD3,-0.287004170806863,0.000104238393334441
PRRC2B,-0.665345477904268,0.000105091640792999
SCRN3,0.519441262616608,0.000105671424119006
ERI1,0.507004770734071,0.000106825100524787
HLA-B,0.892487402240572,0.000107900135839146
SNX17,-0.307134349979773,0.000109306961735005
PCDHGB6,-0.376585109077102,0.000110476558264042
PRKAR1A,0.5737848416763,0.000111617396246473
PEA15,-0.428709704034642,0.00011238781633605
RPL8,-0.439774848567076,0.000117488302582663
SEC61B,-0.325882745966403,0.000118642242626598
LARP4,0.515520359127169,0.000119162764617317
SPOCK1,-0.431388824368369,0.000120170171245608
NEU1,0.283336356778467,0.000122431917119896
C8G,0.42954858199624,0.000125449727387952
MRFAP1,0.465990310418199,0.000125990911056239
FAT3,-0.5937649897438,0.000126611548720206
NSRP1,0.432455069371866,0.000126641709933399
HMGN1,-0.699005687199332,0.000128530446559786
SUB1,-0.300863249960035,0.000129551783622641
THRAP3,-0.3502316349635,0.000131155408117663
PARP1,-0.524539219774898,0.000132329690154112
UNK,-0.343252321188569,0.000133496273653677
PRMT2,0.595226728879766,0.000134597722382678
CTNNB1,-0.263090974732165,0.000141198690751278
H6PD,-0.273739006732306,0.000144562632134078
SRI,-0.329674498876432,0.000145702713493977
LASP1,-0.479704590345769,0.000146047438839628
BAG3,0.357437769106827,0.000149235577670637
GATAD2B,-0.346375811370098,0.000154416788749299
TMEM245,-0.291793944039636,0.00015639505309702
SMPD1,-0.550189092396064,0.000161121044939755
MOXD1,-0.490241286410864,0.000161657494147754
BCAN,-0.552654150262494,0.00016193708602391
FKBP14,0.495007823759666,0.000162568063605538
IRF2BP1,-0.364561986351468,0.000163606224599059
SEC24D,0.388092456115963,0.000164461313809754
ELAVL3,0.275602312802299,0.000165157681393829
RPL31,-0.319299663873771,0.000166859250102001
LRP1,-0.334960818738107,0.000169792672799267
WDR36,0.330682298980335,0.000171022835139728
TTC1,0.297118223355213,0.00017203659674172
RPL23A,-0.433750582572397,0.000176015948153991
