Gene_name,logFC,P.Value
CRYAB,2.38557350457262,1.65109924380543e-09
APOD,1.33334880017684,4.09921965624968e-09
HTRA1,-0.94456224281366,4.84899114710936e-09
NA,2.01836869600455,6.64173291236394e-09
APOC1,3.58475762626909,6.89156467425155e-09
APOC3,2.37073421338302,9.39217955361629e-09
PON1,2.2244486085945,1.46729822849264e-08
C4BPB,2.74472096556168,1.63141940097648e-08
C4BPA,1.62719069118764,1.67251352861561e-08
F5,1.54908841620302,2.02650779602927e-08
PDLIM5,-1.13388774693458,2.48766692346036e-08
VTN,2.15977779564829,2.56644372839763e-08
HRG,2.64784139732275,3.50892489740821e-08
HABP2,1.61119120456099,3.68020855307685e-08
KNG1,2.75569343890951,5.10169757397418e-08
APOA2,2.83682184903318,6.25821920682354e-08
APOC2,2.83665775130049,6.30399692893934e-08
APOA1,2.75944167411384,7.17615447770741e-08
PF4,2.98275120897741,7.18533368130751e-08
APOE,1.76727492884204,7.67129972517415e-08
APOH,2.34127326783702,8.08214858633934e-08
CYP27C1,4.28065519124791,8.52829937463715e-08
SERPINA4,2.31550433620421,1.01329729863656e-07
NA,3.81608934745618,1.02499960381084e-07
PGLYRP2,1.62407077855611,1.13911223744517e-07
NA,3.06101480034391,1.17730590964613e-07
SERPINF1,1.73509985029202,1.19596123340541e-07
C1QB,2.48122463417446,1.28611269932525e-07
C1QC,2.0836949458829,1.37163056341936e-07
APOM,2.05287250650062,1.38914586102641e-07
C4B,1.46847559941442,1.93406237686768e-07
C3,2.50957587805784,2.0559858924885e-07
KLKB1,1.13039438721548,2.08810249792469e-07
SERPINA3,2.63794937046056,2.90590696537405e-07
NA,2.84179668384192,3.0468150427464e-07
CP,2.03743140780351,3.17686472993234e-07
SOX2,-1.20180074580201,3.319759151886e-07
NA,3.076237264033,3.37099359848148e-07
NA,4.10904617849113,3.37748435538664e-07
ITIH2,2.044540719679,3.4079375275949e-07
C1R,1.36371987768272,3.54182444419811e-07
PROS1,1.21337233702845,4.58468008919077e-07
MAFF,0.775409290739407,4.66235955708426e-07
FN1,2.27355798460567,5.09198359201066e-07
NA,2.6271787842849,5.15045050442756e-07
AAMDC,-1.25191583899647,5.43309209361463e-07
TRIM25,-0.779793750251418,5.45053649399641e-07
GPX3,1.33779260368353,5.72716653115631e-07
PER2,2.26875783267814,6.4539595148729e-07
AMBP,1.61385690459102,7.26846129786546e-07
A2M,2.26465223802941,7.39115333588789e-07
CFHR1,1.99609748187086,7.98457876482085e-07
HP,2.20102559708469,8.1292501288199e-07
CFB,2.08825486046634,8.1518635600606e-07
SAA4,1.66079311566286,8.48635617854225e-07
TXNL4B,0.903154739507197,8.57244284022154e-07
ORM2,2.35951001298901,8.9348880708187e-07
NRDC,0.513723005874922,9.57735329590077e-07
NA,2.44743363528573,1.04352787290853e-06
NA,2.56166796615146,1.09457949030528e-06
LYZ,1.20507907537509,1.09655858449492e-06
RRM2B,0.524180786992297,1.19452537363003e-06
CHMP2B,0.695710178389092,1.20745058798999e-06
NA,2.00911270980324,1.2092154738183e-06
NA,1.68612429199106,1.21811388253658e-06
GC,1.82326967946835,1.22695272854988e-06
PLG,1.62646588843381,1.23398484783435e-06
CRIP2,-0.596540715310777,1.29156380578277e-06
TRAF6,-0.842048289502976,1.36330142948972e-06
TCEAL9,1.38195398885023,1.4308348910228e-06
AHSG,2.02309034206435,1.45387375803905e-06
CFH,1.58680647033278,1.51451486749491e-06
HBB,2.03013207861778,1.63872371031523e-06
CPB2,1.47286913671039,1.82099611337118e-06
ITIH1,1.43213471342328,1.8708276018626e-06
HBA1,2.328454579813,1.89734882226117e-06
SOAT1,1.0959925605874,1.96453849107821e-06
NA,1.57598598333883,2.19090880165741e-06
SERPINC1,2.12409486827263,2.22247351372991e-06
TF,1.60992616789327,2.38125123092635e-06
PJA1,-0.899618980966103,2.46528040423225e-06
NA,1.60807922598717,2.53454418707395e-06
AGT,1.45231317292822,3.02005304715998e-06
NA,2.18138516767842,3.03981572305519e-06
SIL1,-0.580592766680056,3.11029024094762e-06
WNT7A,-0.504792858373904,3.34841194650926e-06
FICD,0.786977701237056,3.34872388585099e-06
KIAA1143,0.54097024657419,3.66347446574969e-06
HPX,1.42505956677838,3.7115270976711e-06
SERPINA1,2.69506464147642,3.75054184969697e-06
ALG13,0.532060515699317,3.75342453487962e-06
NA,-0.573473816548528,3.9404590427047e-06
NA,2.91272598747424,4.12965666889441e-06
TTN,2.597560823113,4.13153160039519e-06
TMF1,0.539365852186325,4.15776121152171e-06
CD5L,1.24026514946819,4.26694950560073e-06
RBP4,1.30957779620067,4.57261615568638e-06
PNPLA2,0.467295037801883,4.77449428026035e-06
KDM3B,-0.708981773558566,4.94998800193681e-06
DNAJB1,0.508792416077107,5.04623943329758e-06
PXN,-0.526541353832549,5.04674946975116e-06
RNF185,-0.942024566125731,5.39410520250894e-06
C1orf52,0.827850974698823,5.39856998410642e-06
NA,1.41996062629026,5.57250575954519e-06
C9,1.02948707442495,5.60237925106456e-06
CTH,0.512907307457343,5.80221548082936e-06
FJX1,-0.566752493054413,6.36280396953137e-06
ITPRID2,0.714540939130099,6.53259707743118e-06
FGA,2.20166554754129,6.61321822362093e-06
SERPINA6,1.70285552679845,6.76271105517707e-06
CPN2,2.12422334712017,6.98424949555484e-06
CLEC3B,1.48541835995675,7.04070016717862e-06
TFRC,0.57585593694094,7.0836860998021e-06
ITIH4,1.71403461007237,7.42475460201801e-06
MORC3,1.12993607257113,7.89465060953449e-06
NA,1.53695340301429,9.16533427879284e-06
ITGB5,-0.766487773554271,9.79617380220602e-06
EDNRB,-0.902664561683675,9.87725558535583e-06
NA,1.54751720438744,1.01909588772141e-05
ITGB1,-0.571708314924351,1.1056010775338e-05
CAMP,1.18851367125154,1.12574804210842e-05
A1BG,1.37723154489894,1.17261118899359e-05
LAMB2,-0.790361585710352,1.17758907849296e-05
SERPINF2,0.961931791905517,1.1869238911662e-05
ORM1,1.7302494252264,1.20171578087358e-05
HPR,1.37466291097973,1.22002365375877e-05
TRIM28,-0.624342122512385,1.22529769776892e-05
ABHD4,0.511831448858576,1.28690120825418e-05
RBM22,-0.570314495349081,1.36286925811719e-05
NA,1.5538406628242,1.40626377453157e-05
PMP2,0.995531891871998,1.44736696403682e-05
SERPIND1,1.17110526296268,1.45483490191433e-05
CHKA,0.581306369450598,1.52230846074418e-05
MORF4L2,0.74634199582108,1.57107591169854e-05
TTR,1.31756527439102,1.57660751780024e-05
TXNIP,0.780716423515333,1.58058676123743e-05
SQSTM1,0.416535797091257,1.59710351909288e-05
SLC6A11,-0.88281560492339,1.6029205978821e-05
NA,1.20324617949815,1.60945523252526e-05
C5,1.11240733332318,1.81036013189663e-05
GPC1,-0.41112355581382,1.858271360147e-05
SLITRK2,-0.399471527910588,1.90170226300733e-05
RNF114,-0.649320730879637,1.91709122911791e-05
TOMM20,0.3833186282064,2.00109301202545e-05
UBE2K,0.352746320901041,2.10542830363844e-05
FGG,2.28541506095091,2.30746787493935e-05
JUNB,1.14295051325185,2.32054639892057e-05
PPP1R8,0.386878840807448,2.38315295627809e-05
ITGA7,-0.393365437637769,2.41456568317393e-05
PPID,0.310630871141836,2.53819159116488e-05
C8A,1.17442476968472,2.65118441885036e-05
NA,1.90020808114313,2.65179358686802e-05
GLT8D1,-0.474260577318004,2.67470736729422e-05
CIRBP,-0.420029336824697,2.68456462443585e-05
NDUFA9,0.559774831463336,2.7182487889229e-05
APOB,1.45149068841369,2.74980820247141e-05
ANGPTL4,-0.857547787089647,2.75990350326221e-05
C11orf54,0.426685912927613,2.83422425812318e-05
AMER2,-0.387448154694539,2.85219771450587e-05
NA,0.907898424182706,2.90196158876058e-05
ADAR,-0.40616223066732,3.02137658381273e-05
FGB,1.70883787781913,3.07353842245663e-05
SMPD1,-0.591886561904342,3.16537079882704e-05
GBE1,0.54235489100823,3.22989767095695e-05
CCDC91,0.44405416047184,3.24492024364868e-05
RIT1,0.592226217542906,3.27994301669136e-05
CTCF,-0.624513453200148,3.31648298221349e-05
SERPING1,1.39810703913555,3.38520283230843e-05
ADGRG1,-0.386599361711998,3.40208168745403e-05
NA,1.49569552510734,3.42773564593478e-05
PRRC2B,-0.721517288848148,3.44738605565643e-05
TAX1BP1,0.397841756123889,3.49144138179595e-05
FKBP10,-0.305533685204534,3.54306195494014e-05
BAG3,0.401549807849136,3.61448609507286e-05
NA,1.28211001967345,3.7589739745819e-05
ADI1,-0.548753670364469,3.85029533347761e-05
KIFBP,-0.307105367157632,3.92592619171605e-05
CAV1,0.907795108328184,3.96505489989846e-05
ZNF830,0.489007351324428,3.98837951374172e-05
STARD7,0.419843891935237,4.02613076438013e-05
BAIAP2,0.395975923703539,4.1549312052987e-05
PEDS1,0.375492646138635,4.30987478568334e-05
HMGN1,-0.616486466668377,4.52668642003675e-05
POLR2H,0.294096196655573,4.53701014304716e-05
FAHD1,0.384256908232704,4.62642377243749e-05
F13A1,1.42536225947868,4.82665019623273e-05
BMP1,-0.858421485454985,4.98340307146303e-05
ZNF711,-0.495027082827129,4.98535523179211e-05
ILK,-0.296888281105392,4.99501089606707e-05
SELENOS,0.700055043369723,5.07344914507572e-05
ZEB1,-0.608607466504704,5.19663764798728e-05
ALG10,0.439484304146326,5.39991716530445e-05
EIF4G1,0.313460086025675,5.49646792161031e-05
SULF2,-0.480033967815711,5.62440001105054e-05
LRIG1,-0.348286822618778,5.84991619727332e-05
ZNF462,-0.400039442358018,5.90111964317195e-05
ANTXR2,-0.417289129754334,5.97109123634944e-05
C1S,1.07686210347939,6.20280803706941e-05
RPL7A,-0.309979393220669,6.2141746466593e-05
CBX3,-0.497010776551761,6.27928089899085e-05
ZMYND8,-0.467622039409047,6.45098717666712e-05
DDX21,0.36251967469433,6.87975432765948e-05
TTYH1,-0.342678664234104,7.27285504916519e-05
SEC24D,0.395246623103944,7.56280854984114e-05
NA,1.13432821503889,7.61969405867243e-05
RNF7,-0.434431060443632,7.62649373896719e-05
CWF19L1,-0.527609113334558,7.73296703316438e-05
ZNF326,-0.378648080272054,7.76901536278921e-05
PPFIA1,0.281334700548456,8.06811845821357e-05
ZNF512,-0.38702721277966,8.09465445363327e-05
HID1,0.718249125164144,8.14457487052065e-05
CHAMP1,-0.40284903233627,8.1893592799057e-05
CNN2,0.678531799749447,8.27619841482559e-05
ZNF780B,-0.414077367959436,8.54277188261393e-05
RSF1,-0.328541142596219,8.59135120151878e-05
COL6A3,0.535718748200168,8.65482980384866e-05
SELENOP,0.535693798792867,8.80621830224491e-05
UBR3,-0.543489935246791,9.1685982476613e-05
ZRANB2,-0.425187132779165,9.18582891185932e-05
RPS19,-0.303927558260291,9.27722133872581e-05
PELO,0.361932068657499,9.4260727456833e-05
NA,1.33566518255763,9.4999529220378e-05
MOXD1,-0.478645123646988,9.60854645353451e-05
MAD2L1BP,0.65147192169189,9.84954598476468e-05
C8B,0.734194061165475,9.8535890868261e-05
SPARCL1,-0.44542000576762,0.000100361551807158
ARFGAP2,-0.257689652495248,0.00010036941705165
LRRC8A,0.274619166946568,0.000103266905410252
OPTN,-0.30862921156832,0.000106095012233207
PTDSS2,-0.357980550117752,0.000106470204926025
CDC34,0.459756397293877,0.000106962007937233
MEA1,0.280607429911214,0.000108622894957469
MRFAP1,0.4696267837476,0.000112351421496323
ISG20,1.29016982650963,0.000112403300512104
BPNT2,0.38679059329673,0.000116057951243868
NA,1.1798066629756,0.000121225692608249
NA,1.13981365995758,0.000123094514859192
SMC2,0.296539881249281,0.000123188898121151
USP48,-0.310938948591883,0.00012578325621313
TNFRSF10B,0.445883002554655,0.000127540483255222
NA,0.870331024102494,0.000129506364739144
PML,-0.302398315440147,0.000132297343639274
SLC25A16,0.370007353687226,0.000132868167710839
RPL13,-0.31969347525342,0.000133363297533557
ICAM1,0.566592300087571,0.000134550005850821
STX8,-0.39401533952724,0.000134611552381449
BUD31,-0.348622590500156,0.000135371572005744
ATPAF1,-0.485387155003453,0.000135842265952103
AGPAT5,0.402469145882343,0.000139754822644927
SUB1,-0.280377032846278,0.000141485133651756
DDR1,-0.299358955782235,0.000146506797292807
ZNF22,-0.464976938286011,0.000147437504696038
RPL8,-0.393723902777602,0.000147679210701908
CDC42EP4,-0.28450209635082,0.000151703598955986
NA,1.16702215694869,0.000155481268408714
ARHGEF2,-0.364338570765792,0.000157996237692215
C2,0.791766791966243,0.000164761437071905
ZFYVE1,-0.392236210478075,0.000167620914670799
SLC1A2,-0.441546697028979,0.000169134725751261
WDR97,0.524429143306513,0.000169597539335181
DNAJA1,0.256830545778314,0.000170274196432215
PRMT2,0.564425623821151,0.000172636432998863
SGIP1,0.322791972765415,0.00017471454203484
ATP6V1C1,0.254249568289854,0.000174789049165498
SPON1,-0.427354528348683,0.000174848362739993
HLA-B,0.804472461898893,0.000175947585197905
TIMM8B,0.355269136365997,0.000177805360104015
PBK,-0.468941994366045,0.000179931989899207
MIOS,-0.508646711992622,0.000180753181958718
ELAVL3,0.292056865568885,0.00018305758676406
C1orf122,0.306884261358697,0.000187447268402207
HEATR5B,0.265607861285972,0.000192358343408827
YY1,-0.498647229038589,0.000203440460864526
PLOD3,-0.270010356123922,0.000207405434590676
GABARAPL1,0.417006874564734,0.000207831836164538
LASP1,-0.412653901955753,0.000208450695487972
RPL23A,-0.442102533195012,0.000215702514644783
UNK,-0.302307914149729,0.000222618391077392
DDX24,0.268763781198626,0.000223364085773352
PEA15,-0.347544564147288,0.000225835584186937
ADAM15,-0.899004012693457,0.000226378642501924
CDK13,0.450820881802372,0.000233453552340886
RPS15,-0.288745013824716,0.000243148602653244
AFM,0.881306381402659,0.000251764182933576
PARP1,-0.495568137808938,0.000256596037819736
PIK3C3,0.235089589392771,0.000257871325854374
ARPIN,-0.273276970326275,0.00026615069816607
F12,0.745181607603076,0.000274091402660802
RPL26L1,-0.360007051253223,0.000281312613045122
RAF1,-0.332476396636149,0.000285904363940028
FAM219A,0.467195981109811,0.000287394830597523
TBCEL,0.528546248854305,0.000295118608972257
CFI,0.774274506980374,0.000298275797584369
SYNJ2BP,-0.346676608407233,0.000321648728180036
CBX5,-0.319211942487158,0.00033163743947706
UTS2,0.463330135293594,0.000334238733519154
CCS,-0.423762761870321,0.000337414804283164
NA,1.09911753395333,0.000341996465592798
UBR1,-0.241056533693964,0.000349738245700263
PRKAR1A,0.569768194216675,0.000349910024796434
SLIT1,-0.297752225537003,0.000350437785213588
MYL6B,0.331243736355756,0.000352960531181229
HOXB9,1.24947341712463,0.000355048368494885
SORBS1,0.307718420032227,0.000357592275819952
NIP7,0.355625019856129,0.000360761313338299
NA,1.31154757369552,0.000366041830319974
PEX14,-0.285929118942764,0.000367822419104145
GNG7,-0.449348526009,0.000370064304682254
ZYX,-0.356731798713049,0.000370992154393427
THRAP3,-0.31672917656811,0.000373196182754216
TMEM43,0.301638811130189,0.000374796147716154
LRRN1,0.395485146377167,0.00037510629280203
SPARC,-0.311107802279839,0.000376491443163002
GATAD2B,-0.301687898878694,0.000379260418677304
NA,0.922554592103115,0.000379477711623238
PCDHA4,-0.350825321589507,0.000379517483171863
MMAA,0.281406385671538,0.000381221225750327
ACYP1,0.31060438652564,0.000389564878196671
RHPN2,0.241861396708135,0.000395391571892825
RBM23,1.03634033290542,0.000403901978332805
PAPOLA,0.272335974749986,0.000408867141139516
LARP4,0.479679196688323,0.000424787684656101
SNX17,-0.281690087213708,0.000426551158857906
TIMP2,-0.261138881066984,0.000428740725444153
SYNE2,1.00429750224346,0.000437121841360092
FAT3,-0.547269846867778,0.000437497237940932
SMAD2,-0.314947058375328,0.000438762521315989
RPL26,-0.47166844272061,0.000447988754814825
BCAN,-0.487689689339177,0.000463330123354599
IRF2BP1,-0.340518000829977,0.000470179205631355
DSC2,-0.960965101615475,0.000471813236215544
PCDHGB6,-0.320413408145853,0.000473603179819654
CPNE7,0.362368758385717,0.000484192054301889
TUBAL3,0.265382268605102,0.000491510476035073
PCGF2,-0.567548776117448,0.000492012444255693
BNIP3,0.318879380181741,0.000493156384770422
CBX1,-0.26118503919373,0.000499394310879679
SCRN3,0.498424577946931,0.000500053961523272
RPL31,-0.284333925358791,0.000506455632785409
TRIP11,0.242220743204673,0.000512476917051386
CDH13,-0.836130246340009,0.000514376253587912
BTAF1,0.221839841137161,0.000515317113409416
WDR36,0.334386602442365,0.000526936575208671
TTC1,0.261589587798376,0.000536605205201515
MRPL40,-0.327399016780703,0.000539557337285692
SPOCK1,-0.390317962753066,0.000548016418297718
HECA,-0.880565868830567,0.000549339981437089
ARVCF,-0.263888484381361,0.000551625130260125
ANXA7,-0.209127419815896,0.000557476240798635
JAM2,-0.370033323495878,0.000558611299762882
MICALL1,-0.285364364744058,0.000560494249207652
ANG,0.629962057498293,0.000564781495614808
HGH1,-0.210765860351465,0.000567814788356716
FKBP9,-0.281794102105685,0.000568132881270532
NA,0.942245560857085,0.000587762909094127
ABRAXAS2,-0.235072335068175,0.000596068985801263
C8G,0.428865373781598,0.000600207603730709
HP1BP3,-0.250000708679373,0.000603657512057287
TCEAL1,0.439698889033494,0.000617311565339929
ARGLU1,-0.587765432829276,0.000618200219515088
MACROH2A1,-0.216732911543097,0.000621751226628949
EDF1,0.292765339520216,0.000622751811096045
PLA2G4C,0.483886435122526,0.00063262896365315
XIRP2,-0.390112957220552,0.000632667944707294
POLR2K,-0.279682103909998,0.000638190935805215
