Gene_name,logFC,P.Value
APOC1,2.36610221382504,2.35043615278795e-10
CRYAB,1.22554495667843,5.2401524055491e-08
APOA1,2.196120430146,1.69103761204912e-07
NA,2.6582094186544,1.84363010925941e-07
NA,1.03777686424131,2.09434924705148e-07
SERPINA3,2.29286475125758,3.52601610822197e-07
VTN,1.68197977212723,3.55674777942983e-07
AMBP,1.73731080561553,5.84667420052152e-07
NA,1.7461213795299,9.96827893177866e-07
CP,1.5741318267093,1.02623081325407e-06
KLKB1,1.4512770729736,1.6541415141631e-06
ITIH4,1.00517338403117,1.91166617867551e-06
TTR,1.7522466790601,2.0078201764507e-06
HBA1,1.04593257973594,2.06966970414225e-06
HBB,1.64923536632613,2.21377578973657e-06
ZBTB21,1.08151157820663,3.66546405566918e-06
NA,1.93464444891363,3.85671517517911e-06
TIGD5,0.7142614303648,3.98776515095239e-06
HRG,1.16540668650083,4.23493904477747e-06
FN1,1.20937972547999,4.34032211084614e-06
APOC3,1.49512412343404,4.8415913897017e-06
CNN2,0.692312040081635,4.86222125417347e-06
C4A,0.915792258243702,4.97857746193091e-06
NA,1.39934560410036,5.56878903086926e-06
SERPINA1,2.1581792114683,5.57431167763069e-06
EIF3D,0.646589135617965,6.26410503552436e-06
NA,1.79753012661443,6.3694978478322e-06
TF,1.2177069055518,6.37793480627501e-06
COPB1,0.774948404807002,7.0115295240142e-06
TRIM28,-0.487691064540162,9.62635470098652e-06
NA,1.43533399900436,1.00979929876725e-05
NA,1.11857673086004,1.21177672319527e-05
CFB,0.954652194469862,1.2756371372028e-05
HP,1.17509973001193,1.53009946695214e-05
NA,1.06631133401166,1.77679743769019e-05
PLG,0.888431679024034,1.99547124995758e-05
A2M,1.0125801402787,2.19380220744463e-05
RPL35A,0.895652388355295,2.3910056596046e-05
DDX21,0.500982342961672,2.51871208389811e-05
NA,1.1546255099947,3.31890225156866e-05
HMGA2,-0.431544882162932,3.36241759097088e-05
APOD,0.895465136427667,3.54561811313949e-05
FGA,1.88996758418127,4.41833153659206e-05
APOA2,0.896912517349602,5.14358558867712e-05
C3,0.897925366752034,5.95893624058964e-05
M6PR,0.891535570636663,6.81641262492973e-05
C1QB,0.860696163990227,7.81045455111031e-05
ZYX,-0.362401703646807,8.43906785166643e-05
ITGAV,-0.504148947756072,9.18000013703146e-05
FGB,1.2104082854494,0.000115392466108544
NA,-0.307168356235202,0.000148637907227559
AGPAT5,0.45208552585173,0.000157119063378957
HMBOX1,0.642684810187646,0.000161798396604749
ABCB6,0.333974054352373,0.000173180378290958
RPL32,-0.357626601277428,0.000221344622549257
NAA15,0.456993265757504,0.000250111332516556
NKIRAS1,0.515454375414695,0.000255596927466356
RPL36,-0.263101947925001,0.000266350520537428
SRP19,0.884994062266097,0.000269070331978695
NACA2,0.348696529943663,0.000325322162839305
PBDC1,0.328638493015269,0.000377015975744977
RPL23A,-0.291383560666333,0.000384843765304851
CBX1,-0.255695322229368,0.000389068804671566
SRSF2,-0.417701206928434,0.000392309732978954
PARP1,-0.285635467880194,0.000397536014458639
U2AF2,-0.429632758866902,0.000487585178546081
LRP1,-0.230102912624101,0.000520746496823175
TFRC,0.343491581237931,0.000534954843616659
RPL26,-0.217382936009798,0.000571408767285298
CALM1,0.504646189141827,0.000585273561978605
PDCD6,-0.219178093370498,0.000610655094732579
CBX3,-0.315379575277301,0.000625615639805932
RPL21,-0.258535965435474,0.000654685023603242
ZNF106,-0.275067592637896,0.000683612062945367
DDX3X,-0.238305086298663,0.000705969942984545
LASP1,-0.269201421073166,0.000743002697039356
MESD,-0.409624895658798,0.000768319887593449
FGG,0.672543003899072,0.000782142116473946
SPCS2,0.307540473246991,0.000811843247837718
RPS11,-0.248434055951432,0.000819936600659853
SERPINI2,0.533251646659533,0.000837171222428719
PFKFB3,0.347486572226698,0.000899954601489124
CHID1,-0.447161687438928,0.000962314492734674
SRSF7,-0.318896943161565,0.000987996686538084
RAB3A,0.254306172788297,0.00109994228300289
GBA,0.317566756612102,0.00114588614772422
