Gene_name,logFC,P.Value
CFI,0.386394777621934,1.18768741642193e-05
TTR,0.434876111202005,5.79699424328119e-05
NA,0.686671239357302,7.30667168292442e-05
NA,0.560085023526167,0.000179586885325704
NA,0.505832712864768,0.000237011319443024
HP,0.520443409176938,0.000468252374039207
NA,0.486689122253502,0.000518644600503804
NA,0.617830191073132,0.000524710741886963
TTN,0.81945235059354,0.000533849358802843
TUSC2,-0.415728554292805,0.000562950886207375
NA,0.611970752375701,0.000691792210879148
NA,0.727584866962069,0.000717471916835789
ITGB5,-0.240556991839565,0.000770336705073754
CFB,0.506041098178663,0.000834827381915523
AHSG,0.503638108410001,0.000892729187251513
AFM,0.406036178138898,0.000898373720537808
GC,0.408567351076158,0.000940472855286314
TF,0.388756375738634,0.00099002083417242
C8B,0.278915295982227,0.00108720958638399
APOB,0.467634058548942,0.00110266224251258
WDR20,0.207077657302221,0.0011273729366795
NA,0.480615076467501,0.00113962073114367
A2M,0.490454151487558,0.00114120844510238
DENND5A,-0.211380814573499,0.00115914876074178
BMP1,-0.325729691192167,0.00122567882827422
NA,0.451230011133099,0.00133704613120289
ITIH1,0.334796811349896,0.00137082964374854
APOM,0.38211327300013,0.00137369559167536
AMBP,0.34560801774397,0.00137378558567259
HPX,0.358233827844931,0.00137531078240998
C3,0.49988719513512,0.00143063059868837
C2,0.323773816248298,0.00158418058490622
WNK3,0.240954636235568,0.00158446333491743
NA,0.557434709274894,0.00170625319585136
DIDO1,0.246004060914832,0.00173261933205877
ANO6,-0.303809176157031,0.00174296166423292
ITIH2,0.381076862105836,0.00191912402090797
HPR,0.398964563727468,0.00194852014422649
NA,0.723720500717889,0.00195831055720049
ALAD,-0.182068788144569,0.0019844032381042
NA,0.415307337834932,0.00202521897695518
SHBG,0.414845667374204,0.00203244888607777
CFH,0.401924441955771,0.00207472856783551
LRFN3,0.222611774793632,0.00221569458727978
TCN2,-0.453270895027666,0.00226883065350937
TCEAL1,-0.220100264091098,0.00233058850503481
C4B,0.264861402732329,0.00241881306588271
NA,0.466053017550571,0.00259258363276838
MCAT,-0.240987986631298,0.00260908513315519
NA,0.663787855343067,0.00278953638195003
SERPINA6,0.435131064007901,0.00285119862899069
DVL2,0.214491784696833,0.00289208424591344
ORM2,0.516242595448068,0.00307309039670821
