Gene_name,logFC,P.Value
ARPC5,-0.457663992964235,0.000606820207024843
YES1,-0.388816985444036,0.000676524246430002
GART,0.236879057439598,0.00118897896334995
OSBPL8,0.635284266587833,0.00131920400321049
ACBD5,-0.510425989102197,0.00136447109933614
FKBP1A,-0.249028828949465,0.00153265917448021
RHOB,0.232238106040594,0.00269384190911502
TKFC,0.374916829879627,0.00349968991606725
NA,0.579978793233767,0.00426909723410345
HDAC2,0.210621901603965,0.00462700408185395
MSH6,-0.148821056067202,0.00581970766548635
FAM177A1,-0.273680530693873,0.00608695472156481
IFT27,0.235856861605399,0.00618059072851791
KPNA1,-0.204432742307461,0.0077400862447601
POTEF,0.5363584099603,0.00868092217837643
FN1,0.406533302206469,0.0100435542511967
FN3KRP,0.325492900905832,0.0106016381239887
LACTB2,-0.250239924348461,0.0108154640684442
HBA1,0.315604977444966,0.011171718761863
APOA2,0.398462334651068,0.0113672503085275
RRM2B,-0.225351658956708,0.0126583526091266
BCAP31,0.162308377735563,0.012679874794982
MMUT,-0.18944219306664,0.01302597815031
PRPF6,0.239775920691269,0.01332106514897
RAB5A,-0.188593550002032,0.0134150446817701
COPG1,0.172915383196202,0.0145908239638962
HSPB1,-0.179217963600635,0.0167634324255079
NAP1L4,0.177836795828537,0.0176045962833096
LDHA,0.170691217044528,0.0177542256295452
DNPH1,0.156558828872704,0.0184888530411703
DDX3X,-0.136073713646098,0.018714920765105
HSPA1A,0.251956782687529,0.0187519776150181
ITGAV,-0.217754307936632,0.018794747995197
SF3A2,-0.170241389474967,0.0195317668859647
RHOA,0.179069281505129,0.0196042511809946
CPSF7,0.153062822702605,0.0202265048451507
SEC61A1,0.214347378901831,0.0205831840100604
GGT7,0.279749708924566,0.020905526567295
DCXR,-0.17054648177383,0.0214761017192301
HBB,0.43818571739023,0.0215230938775784
DDAH2,0.12944218647857,0.0215439970258909
PPA2,-0.222650023257536,0.021683419637938
RPS27,-0.134968714785263,0.0223873302944024
PRPSAP1,-0.169527800411636,0.0227440020690661
APOC1,0.219745627746768,0.0236246286253187
RBFOX1,-0.245601948216704,0.0248555947983178
TMEM43,-0.207723188460932,0.026865043534731
HMGB1,0.257442710707963,0.0274800195369211
CAPZA2,-0.185965935209332,0.0280619535429056
LANCL1,-0.224024190667294,0.0290638110331226
SDCBP,-0.239020746796998,0.0292655829714841
