Gene_name,logFC,P.Value
NA,1.82459547142744,7.35912163230296e-10
NA,2.66959009066943,3.13168813483798e-09
PON1,2.1517428465455,4.87419509522001e-09
APOD,1.34113331216406,5.15249794029436e-09
NA,3.36453715513157,6.05207608879766e-09
APOM,1.74698651835847,6.70435885887371e-09
HTRA1,-1.04638197794717,7.57538590188858e-09
ITIH2,1.78717163546843,8.48069397985775e-09
PDLIM5,-1.20648092301384,8.95897121723513e-09
HABP2,1.47507132027463,9.01888304826429e-09
APOC1,3.51558518741747,9.25429281782279e-09
C4B,1.25571694572796,1.06724760162176e-08
CP,1.84912365519707,1.12813569025804e-08
NA,2.35581412906907,1.22926192167735e-08
C3,2.10050744117073,1.48469193129335e-08
F5,1.48164370721917,1.56750414859833e-08
APOA1,2.47053284854953,1.58994549082129e-08
CRYAB,2.4848726410415,1.66829044147601e-08
APOH,2.03352151639644,1.72960986761316e-08
HP,1.80538581067933,1.86677032447739e-08
GC,1.560993716825,1.95398457405952e-08
A2M,1.91329367009504,2.10112463891765e-08
APOC3,2.0793682211615,2.22162043810434e-08
KNG1,2.29406401578007,2.38109098593074e-08
C4BPB,2.58112147458306,2.43000847647415e-08
AMBP,1.35957363512667,2.50167709378791e-08
HRG,2.3698968571095,2.66555737481774e-08
VTN,1.83086153029823,2.78721269921734e-08
APOA2,2.4581359437487,2.80135863709381e-08
NA,2.19584150960754,3.31655554545659e-08
TTR,1.0469657618335,3.83226802852249e-08
TF,1.36051316160684,4.49224596984895e-08
CYP27C1,3.7679810524801,5.08237779564386e-08
ITIH1,1.19922995831089,5.64199844134087e-08
NA,2.43461341105427,5.76247600584454e-08
CFB,1.67263386242544,5.91730825704164e-08
C1QB,2.10039510140954,6.96041675437938e-08
C4BPA,1.69026757960894,7.41594971361431e-08
AHSG,1.63627351235687,7.49128977229207e-08
NA,2.1978194276649,8.18735931195711e-08
C1R,1.19109339783549,8.81122958374345e-08
SERPINA3,2.1690071620209,8.90795237780565e-08
SERPINC1,1.86913713671857,9.93493617931985e-08
ORM2,1.95621481878016,1.05829591577178e-07
C1QC,1.79191888541393,1.10588783931988e-07
SOX2,-1.0955825101757,1.13491749197563e-07
HPX,1.1793146579418,1.17743142444018e-07
NA,2.51582944643761,1.18555916073945e-07
NA,2.43309471470313,1.22846241251141e-07
SERPINA4,1.92049436366733,1.29912027506174e-07
SERPINF1,1.40730604945227,1.54092537962484e-07
NA,1.6304509952119,1.65660294193498e-07
NA,3.56434429693643,1.80611542975723e-07
SERPINA6,1.46088417885457,2.69811948591185e-07
NA,1.30129615813997,3.03382613118619e-07
C9,0.873895023049407,3.5335000460134e-07
CFH,1.23826201465983,3.62342958190334e-07
APOC2,2.4351638904502,4.01637070430453e-07
PGLYRP2,1.32359653662929,4.1344300415205e-07
NA,1.33647180044844,4.22218462087667e-07
SERPINA1,2.43363043836887,4.30406476101035e-07
TXNL4B,0.873381783973166,4.54975416747903e-07
ITGB5,-0.614257580734566,4.92850981081559e-07
MORC3,0.947400723392299,4.95792369762533e-07
SIL1,-0.542469575152733,5.33989408458166e-07
NA,1.43559104051718,5.78481422507872e-07
AAMDC,-1.2505508614949,6.27644274408589e-07
CRIP2,-0.583958565566572,6.42538639052425e-07
LYZ,1.16035784038967,6.76172455613158e-07
TTN,1.908201405787,6.85535399659642e-07
SAA4,1.35387940625636,6.97505486090697e-07
TRAF6,-0.864047047202835,7.06036247739411e-07
AGT,1.2483199529657,7.99307739718557e-07
PLG,1.37854700327159,8.48116858488806e-07
HPR,1.09433234978233,8.94360550260144e-07
APOB,1.16735587819407,9.41265825003564e-07
TCEAL9,1.24064329479413,9.46659432203877e-07
NA,1.20424344683133,9.51390572479281e-07
CFI,0.523910274857867,9.52796900544095e-07
NA,1.07410302207983,9.7994174112119e-07
A1BG,1.15138783569034,1.0411882732008e-06
RRM2B,0.518865960865568,1.17651640520704e-06
ORM1,1.5363293744172,1.22099945972302e-06
TRIM25,-0.771945482579,1.27390867393505e-06
FICD,0.659005628176327,1.27764741502071e-06
ITIH4,1.5644505475267,1.33136440157201e-06
C5,0.908622403904531,1.46575518838751e-06
PROS1,1.31157095525374,1.51120468795755e-06
CD5L,0.952255086752132,1.52851320195523e-06
FGA,1.97878261362687,1.54502906246972e-06
GPX3,1.46449284308839,1.5960358484543e-06
SOAT1,1.05261925464587,1.66024300691975e-06
CPN2,1.74781961156014,1.76395256837882e-06
CPB2,1.18799104891801,1.89029655732249e-06
TCEAL1,0.568074802115369,1.9002979812146e-06
KIAA1143,0.522914780729568,2.07885177854621e-06
WNT7A,-0.491339813132662,2.22090110665736e-06
RBP4,1.08614514860517,2.26338711966103e-06
NRDC,0.543584131037999,2.28982653742019e-06
TMF1,0.5381466689484,2.82874859457061e-06
FJX1,-0.587218989604374,2.83083935856583e-06
FN1,1.69546754594883,2.84490499065236e-06
PXN,-0.5443095729246,2.88212159789219e-06
NA,1.06202362369147,3.0362301079551e-06
KDM3B,-0.705272840693144,3.3462234706187e-06
CHMP2B,0.542121685081302,3.51647253792889e-06
SERPIND1,0.988697680935029,3.75889691360838e-06
CFHR1,1.44904665807473,3.77239473644242e-06
CTH,0.474418922949368,4.11904918665404e-06
NA,1.68355968976847,4.21039038425446e-06
MAFF,0.688432161876595,4.27654182909952e-06
NA,1.28568514037429,4.41796221123651e-06
GBE1,0.605323377338227,4.538703850876e-06
NA,1.1327730615197,4.63939976246387e-06
ZNF780B,-0.498095842555465,4.69278616855432e-06
SERPING1,1.16182116323,4.74338869570056e-06
FGG,1.8817230189862,5.02179529198671e-06
PJA1,-1.0702094519717,5.18002333228996e-06
CLEC3B,1.39402809781054,5.26603369398309e-06
C1orf52,0.81413133901707,5.42228490958636e-06
SLITRK2,-0.434935116487733,5.61564848267264e-06
FGB,1.43779105035103,6.12594077731354e-06
C8B,0.552745305125036,6.33348808542407e-06
BMP1,-0.656335292698936,6.41653188516194e-06
ABHD4,0.520855749348694,6.94289289488368e-06
PNPLA2,0.511851667197334,7.02997798749362e-06
LAMB2,-0.825081446304397,7.43684995886208e-06
ITPRID2,0.689372226447265,7.5198517851352e-06
GPC1,-0.435225934780764,7.52462785544125e-06
NA,-0.572401402360761,7.77178563132921e-06
NA,0.843362281885,7.7872684856804e-06
TRIM28,-0.624590216365625,8.04513429584126e-06
EDNRB,-0.922948529929975,8.57421315824092e-06
TFRC,0.6296086270243,9.4673833006044e-06
PPID,0.337278278150361,9.61300029376025e-06
KLKB1,0.835782734101599,9.75144717600145e-06
SERPINF2,0.779699570231564,1.01815053189092e-05
ALG13,0.561589487594631,1.08929489065166e-05
MORF4L2,0.749797166690932,1.11554958199566e-05
ZNF711,-0.602187858117162,1.21664083657165e-05
RBM22,-0.612669859968765,1.29336711057568e-05
ANGPTL4,-0.89116054281137,1.3939887831031e-05
NA,0.965844060756872,1.45787154561265e-05
RNF185,-1.1170782791641,1.46169644577824e-05
C8A,0.92941151886907,1.55446816060947e-05
CHKA,0.546829926277333,1.55555576980395e-05
CIRBP,-0.432994171288438,1.56351506761481e-05
NA,0.825077723179298,1.57204532678131e-05
NA,1.4370772146272,1.57849424395375e-05
TOMM20,0.326527338185667,1.72146035420864e-05
HOPX,-0.823996690068995,1.73247306484379e-05
NA,0.824718245068629,1.7372272877736e-05
PMP2,0.923023155854175,1.77957382377528e-05
DDR1,-0.3693784829664,1.85077033428159e-05
CTCF,-0.670506481425704,1.86347596263658e-05
NES,-0.514768817594963,1.89493688167458e-05
LRIG1,-0.358391766732133,2.0187603169336e-05
GPX7,-0.728115032444038,2.03113450000353e-05
ARHGAP33,-0.587367275642565,2.05399880125935e-05
ADAR,-0.411808447238204,2.13278417092166e-05
AMER2,-0.403768646650096,2.30646460714598e-05
JUNB,0.955754956645062,2.40396496378689e-05
MRFAP1,0.576168176666499,2.44483780750804e-05
ADGRG1,-0.407155715639362,2.45895618162999e-05
SLC6A11,-0.967319588985667,2.49731160803479e-05
PPP1R8,0.374924084776932,2.54726200729243e-05
RNF114,-0.697750836822198,2.57671811864044e-05
ITGA7,-0.399590004792103,2.68648815088664e-05
DNAJB1,0.371740301944364,2.72329692240211e-05
NA,0.669232745943168,2.73968197188878e-05
KIFBP,-0.357654161876962,2.82194677414172e-05
TXNIP,0.773689274414236,3.05248175919652e-05
XIRP2,-0.569100140712074,3.0595138926224e-05
SQSTM1,0.360391095919802,3.16725688901967e-05
BAIAP2,0.363712953416105,3.17877144102935e-05
RIT1,0.514547742301799,3.19693415185327e-05
CAV1,0.908683349704493,3.26543045942868e-05
PML,-0.353873503963701,3.35506137686229e-05
ZNF462,-0.423190721088503,3.38301976831032e-05
C2,0.551193101445005,3.41684639369069e-05
FAHD1,0.375006053102705,3.53108025012563e-05
CDC34,0.516566152938704,3.53809675962753e-05
NA,0.903541884348133,3.54524776264485e-05
HBB,1.4255964416912,3.60579247552673e-05
ZMYND8,-0.480837219449135,3.66662271821114e-05
HSPB8,0.43569998165863,3.71832443263735e-05
CBX3,-0.483241766720731,3.73093607232569e-05
HBA1,1.61718779610426,3.81729831266135e-05
NDUFA9,0.521467046805391,3.87647331466301e-05
FKBP10,-0.294415538077335,3.90717708639403e-05
SLC25A16,0.445076564039299,3.92677805212364e-05
GLT8D1,-0.444341026210799,4.00748352906439e-05
UBE2K,0.353435549845496,4.01255119095442e-05
ARIH2,-0.405569100978962,4.05505284618638e-05
ZEB1,-0.613358098816796,4.22415795933969e-05
ITGB1,-0.414971162338773,4.27101132705778e-05
PBK,-0.525045545513997,4.34405180281356e-05
SPARCL1,-0.429142188992003,4.50331267102769e-05
SULF2,-0.461075926000166,4.57085739823034e-05
ARHGEF2,-0.390421775323496,4.78665997895918e-05
ZNF326,-0.354499679582503,5.15249822735366e-05
COL6A3,0.439342255750898,5.32059625751215e-05
DDX21,0.347565921399497,5.32956913317332e-05
CHAMP1,-0.384355002610199,5.39092394725942e-05
ADI1,-0.562144781604836,5.47523567497919e-05
RAF1,-0.25953313174764,5.62456381499508e-05
PRRC2B,-0.720707649216697,5.70635454620443e-05
RPL8,-0.482521350134871,5.7937092817495e-05
HEATR5B,0.307427050210666,5.87136886318057e-05
TTYH1,-0.39057920637077,5.8886258386401e-05
PNPLA4,0.471056514682868,5.9166786425484e-05
PTN,-1.88569126290043,5.91830411297819e-05
HMGN1,-0.772609713712765,6.00409453651432e-05
ARFGAP2,-0.289098376194829,6.13156260769584e-05
POLR2H,0.271493876177097,6.15848923270445e-05
BPNT2,0.447552336914839,6.35065759824658e-05
COMMD1,-0.413837183339766,6.57348170613416e-05
CNN2,0.609262932197069,6.58021327984535e-05
NA,0.781155157234835,6.69125396597063e-05
ZNF768,-0.386047584062332,6.74223857731354e-05
F13A1,2.1896497666549,6.92265766788164e-05
SMC2,0.314713885381664,6.93958400483483e-05
ZNF22,-0.546412406031269,7.11295736755238e-05
ZNF830,0.4525440646349,7.17076399005225e-05
CAMP,0.940839828865201,7.4489967126883e-05
HID1,0.711365283686462,7.49879697725844e-05
OPTN,-0.346439017665897,7.50669255629372e-05
RNF7,-0.4112388066332,7.54671832957764e-05
NA,1.28415531961464,7.6749550084727e-05
ZFYVE1,-0.433274545829935,7.82831726669419e-05
NA,1.12835904819467,7.90675010414712e-05
AFM,0.568534476980734,7.9531327234565e-05
MAD2L2,-0.28539508917477,8.07361363343699e-05
TNFRSF10B,0.427214316620859,8.52522127258149e-05
RBM23,1.199884420187,8.5537362043485e-05
NA,0.5781066656289,8.76824291332674e-05
ATPAF1,-0.621609899721131,8.93552818361644e-05
MECR,-0.343495850361606,9.21047360561686e-05
FAH,-0.313496895567333,9.25436608897272e-05
PTDSS2,-0.469895097107106,9.26902349006922e-05
POGZ,-0.435716971800062,9.33015936442455e-05
MAD2L1BP,0.583036603424336,9.40468085212439e-05
PPP1R37,-0.351445414939299,9.52428804798463e-05
P4HA2,-0.368253798616294,9.53596311311632e-05
STX8,-0.435075354040904,9.75567574328044e-05
ZRANB2,-0.414728934171698,9.826152308507e-05
ILK,-0.269121178531098,0.000100961082239972
NQO2,0.351952176684367,0.000101608073867491
UNK,-0.355687625242695,0.000102161000353768
UBR3,-0.737110239662533,0.000105460475829477
PPFIA1,0.260752111401427,0.000108103301540824
THRAP3,-0.358940200577734,0.000109063281224003
BCLAF1,-0.355670868156501,0.00011092882994962
MEA1,0.339667190314103,0.000114063393590667
AGPAT5,0.324916312314372,0.000115828088923069
SUB1,-0.305367710714968,0.000115883815830943
APOE,1.21970454670316,0.000117476199895753
PER2,1.4978776811227,0.000119216417626614
ZSCAN18,-0.340336563736759,0.000121258512694371
GATAD2B,-0.35732419123816,0.000122406401093234
ICAM1,0.573275536646996,0.000123238232464069
SLC1A2,-0.417105771206167,0.000124930283637053
SALL2,-0.464438516325469,0.000127470214282778
SPARC,-0.361230466627426,0.000128368080788649
CWF19L1,-0.443316189967996,0.000128991943962533
F2,1.88799149801063,0.000133243104853224
RPL13,-0.3124453300046,0.000134147520392624
RPS15,-0.336280321703835,0.000134236821298819
BAG3,0.362250340411059,0.000135074166003709
ARGLU1,-0.726800654345634,0.000136867126328507
ARPIN,-0.295422290657239,0.000137125983261326
EIF4G1,0.271304077994628,0.000138144654155152
YY1,-0.498484510687572,0.000142508452663972
USP48,-0.321422730309163,0.000143635306512669
SYNJ2BP,-0.405282172249866,0.000145570037368715
SEC24D,0.393796466856568,0.000147577815539407
RNF214,-0.372293634871109,0.000150728093851122
RPL23A,-0.441861298361431,0.000153449366324594
SPON1,-0.424699108722439,0.000163920576331385
DNAJA1,0.299416638306202,0.000166152814243761
F12,0.54568320425437,0.000166419197295011
ABRAXAS2,-0.375798777231502,0.000167470147162651
TUBGCP6,-0.351155635185135,0.000170994442632498
ZNF512,-0.310890919699503,0.000171615218523146
LRFN3,-0.322924557748763,0.000173840164669501
DSC2,-1.1436025693676,0.000174186172817132
PARP1,-0.505059409835003,0.000175304533607938
PEA15,-0.403627906849007,0.000176180297763955
ATP6V1C1,0.27376726333403,0.000177387929451028
SELENOP,0.428586310237367,0.00017800611004056
ARF5,-0.424842823427333,0.000179505926246398
RPL7A,-0.270147759276394,0.000181933752196119
RPS27A,-0.669981837230573,0.000184146019606567
XIAP,-0.431642139319836,0.000184928862323258
TIMM8B,0.306616069322896,0.000190714786997189
IRF2BP1,-0.356197223965832,0.000194167712592439
NUDT4,0.345675196475337,0.000195145411934105
CDC42EP4,-0.349762649154897,0.000196269750252499
MIOS,-0.499975400531493,0.000197411483821882
ELAVL3,0.268646634273363,0.00019940520682086
LIG4,0.2759741027429,0.000205854391518495
RPS19,-0.265077238826724,0.000209765522068243
COX8A,-0.470811866940565,0.000209985624088984
SMPD1,-0.529144599132998,0.000214716028013015
PEX14,-0.315344977764401,0.000215969649729554
PRMT2,0.557050256063736,0.000219667874210009
CBX5,-0.340741685869929,0.000220468026730026
TRIM9,-0.4191878313052,0.000223273835696015
PIK3C3,0.244739000234535,0.000224821569782105
SGIP1,0.276511418640794,0.000225264105973111
UBR1,-0.246054318182999,0.00022597312985253
ENSA,0.373987617587741,0.000227043333189035
SPG21,0.358045736336166,0.000228151566761789
LRRC8A,0.301067128425498,0.000236769473290364
FAM219A,0.536191179769233,0.00023856160186045
