Gene_name,logFC,P.Value
CRYAB,2.63423274656515,6.83848573917375e-10
HTRA1,-1.05505852998049,1.81931948890003e-09
APOD,1.40016539790967,2.65824929876275e-09
C4BPA,1.80112512358955,6.83259440375693e-09
APOC1,3.50107181600264,8.48961626413875e-09
PON1,2.29539970844598,1.11280271270884e-08
NA,1.88580953991589,1.20937425964054e-08
PDLIM5,-1.1962748946761,1.55372455700201e-08
C4BPB,2.61307507791301,2.51263011249218e-08
F5,1.49875194584003,2.70834987679062e-08
APOC3,2.08890512796369,2.85913846121806e-08
HABP2,1.54379247926707,5.34783222863199e-08
HRG,2.42872602199501,7.46344439845537e-08
VTN,1.86246983757241,9.36338506477533e-08
APOA1,2.5789381371909,1.29249662235871e-07
GPX3,1.58275090948997,1.34522055789045e-07
PROS1,1.3965249693169,1.36368242002002e-07
APOA2,2.53735182473812,1.65068500289976e-07
NA,3.55979568750174,1.87310408018945e-07
APOH,2.11712640937109,1.93575850180949e-07
KNG1,2.35913949516165,1.96949215218858e-07
CYP27C1,3.88615488891121,1.97329626976626e-07
APOC2,2.41304122661468,2.56515797964974e-07
NRDC,0.591546487636084,2.86409163949007e-07
CP,2.04224298073379,3.11302021511307e-07
PJA1,-1.14498625427091,3.17348926856673e-07
APOM,1.84767916322504,3.4493717410068e-07
NA,2.7094131503599,3.95440765997629e-07
C1QC,1.83988536067604,4.01475925452169e-07
C1QB,2.17096128207491,4.07455040471608e-07
SERPINA4,1.97062267659316,4.08322995962248e-07
C4B,1.33229646636271,4.47155389481093e-07
SOX2,-1.14315521469982,5.1000572694477e-07
TXNL4B,0.95834040442336,5.16728696987827e-07
LYZ,1.30831217764774,5.44421811495201e-07
ITIH2,1.93535394243001,5.45691221985065e-07
NA,2.90524600409558,5.50562095534832e-07
SERPINF1,1.43921335758771,5.99124866381324e-07
C3,2.21580307675289,5.9950267482035e-07
AAMDC,-1.23590947513927,6.06499196628617e-07
PGLYRP2,1.33623513828681,6.1208075202651e-07
RNF185,-1.21342492519708,6.41543987880127e-07
NA,2.49343833430985,6.88625730047352e-07
C1R,1.2542889629474,7.248830286005e-07
F13A1,2.36725978899331,7.49160444867869e-07
NA,3.71068233565737,8.08428825835802e-07
CRIP2,-0.628070194298878,8.34220610649326e-07
ALG13,0.633384935219141,8.65312288329146e-07
TRIM25,-0.736518332876411,8.87080623125959e-07
NA,2.50626793920068,8.93002829654605e-07
RRM2B,0.534558537104797,1.01155864455102e-06
SERPINA3,2.26397824398343,1.07408440203895e-06
NA,2.43203656246636,1.10091962972031e-06
PNPLA2,0.55576720999197,1.11570944619172e-06
TRAF6,-0.844382706011697,1.33175506036423e-06
SOAT1,1.14294830754134,1.37925338359359e-06
A2M,2.07686606798873,1.54037087694019e-06
AMBP,1.47536765436567,1.55598515634993e-06
NA,2.41192543291137,1.82097672372478e-06
GC,1.73176137552016,1.89494331780167e-06
MAFF,0.646950820417668,2.16902328962242e-06
