Gene_name,logFC,P.Value
TMEM40,0.88454033402838,4.5421402585416e-08
F5,0.683251809326041,5.8397288712156e-08
CTSZ,-1.25986390256624,7.21722868633446e-08
RPS15,-1.71164660797306,1.20113878053464e-07
S100A11,-1.58185622878426,1.6378844307651e-07
CTSD,-1.68562213143537,2.30931489992495e-07
GRN,-1.27347870884509,2.44142168570839e-07
IFI30,-1.49136254653792,2.89723174125412e-07
GPNMB,-2.10964408159989,3.22648719493423e-07
FABP5,-1.13125968564161,3.39055981545918e-07
CAPG,-1.18590960659691,3.44068784459803e-07
VIM,-1.24519073546803,3.82741390145479e-07
CTSL,-1.66823337417581,3.90458956433795e-07
MYH7,1.39499870609407,3.96746393162886e-07
RTN2,0.584178449596248,4.25860671305671e-07
SLC2A3,0.854710907680317,4.88835518490529e-07
LGALS3,-1.63526711841311,6.06475464733254e-07
MPIG6B,0.670058024848363,6.23607840703622e-07
STK38,0.7129799454808,6.60386159453555e-07
VAT1,-1.16900008838958,7.35160467306851e-07
CNST,0.553902504891244,7.39927384563047e-07
STRN,0.711873256282649,7.87838433006584e-07
RPL8,-0.767263694526537,8.07533498869952e-07
RPL29,-0.856751722799661,9.49422827547426e-07
ANXA1,-0.933169947781373,9.98205936579088e-07
LMNA,-1.13667183867867,1.01608432781936e-06
ADGRB3,1.61472175111072,1.31432994158248e-06
FUCA1,-1.53872031109761,1.444870882627e-06
RPL10A,-0.748415316651691,1.45265463195731e-06
ANXA2,-1.06263160348897,1.53628443957831e-06
RPLP2,-0.592671988582925,1.55290605107216e-06
PYCARD,-1.00158420808817,1.57372265716664e-06
LSP1,-1.03547050402333,1.6493583354777e-06
RPS3A,-0.586982726805502,1.75530145119246e-06
RPS20,-0.518847241317857,1.80910479999572e-06
LGALS1,-0.804574194200224,1.83089889151066e-06
PRAF2,0.636499378186542,1.85797375363269e-06
TOM1,-0.930620633426571,2.15915800438938e-06
NCEH1,-0.772263280353116,2.20966147005766e-06
ACTBL2,0.795348832052987,2.35319589208551e-06
ANO6,0.539352283473637,2.42177214116098e-06
MYL9,0.491862956962066,2.63065035327437e-06
NPM1,-0.722000944846442,2.71496586203304e-06
PGAM5,0.637428584130376,2.74810523172403e-06
RRBP1,-0.512332336640988,2.79439984680926e-06
PPBP,0.685225470841534,2.88486603516453e-06
SQSTM1,-0.846080871685839,2.95030999163035e-06
PGRMC1,0.600155340207664,3.13243496568466e-06
TMEM109,0.564848619283257,3.23813269066018e-06
SARS2,0.662731301788835,3.31903520990654e-06
NCF2,-0.656584068432302,3.33300360116002e-06
VSIR,0.613998256835931,3.4097728770618e-06
HEXA,-0.908924443439371,3.56254729492185e-06
CTSB,-1.16871762450207,3.66987810421182e-06
ITGA2B,0.764765926926987,3.82297681772526e-06
TREML1,0.562193017763189,3.99194499965515e-06
CSTB,-0.623161824761993,4.03882195483675e-06
RPL23A,-0.751883022661286,4.07502082670702e-06
