Gene_name,logFC,P.Value
TMEM40,0.754177009159193,2.20147882098714e-07
CTSZ,-1.1074722270996,2.52639161414175e-07
GRN,-1.19545854312159,4.26719285501306e-07
CTSD,-1.56927065177879,4.39814575948281e-07
RPS15,-1.4893708727939,4.62595609429233e-07
GPNMB,-2.00502101787236,4.95614834373525e-07
F5,0.551267324135758,4.9725832679131e-07
S100A11,-1.35421288385999,7.39842105268707e-07
CNST,0.545267069124705,7.90958352601546e-07
STK38,0.688593792890686,8.57294404700284e-07
LGALS3,-1.5261231804425,1.11467061372168e-06
RTN2,0.522798039988391,1.20156175063492e-06
CAPG,-1.03931970740824,1.20429015036569e-06
CTSL,-1.45326192500147,1.44750266121021e-06
IFI30,-1.25849651702231,1.49036065229136e-06
VIM,-1.05880220132168,1.80903677288405e-06
FABP5,-0.940349378361518,2.01752774044108e-06
VAT1,-1.02262684962654,2.57205315665568e-06
FUCA1,-1.43092791100813,2.72065093957953e-06
HEXA,-0.914611871854611,3.06133416330937e-06
ACTBL2,0.752566085107119,3.71143903932963e-06
NCEH1,-0.72307001792835,3.86744893033133e-06
RPL29,-0.737206231603444,3.87979516492366e-06
RPL8,-0.647567160874043,4.01026669898787e-06
SLC2A3,0.680901600829984,4.3613412661022e-06
VSIR,0.592728634142691,4.40452372959068e-06
CXCL8,0.627298729527862,4.42871822417636e-06
RPS20,-0.467038228640991,4.67207518385798e-06
RPLP2,-0.525156724904704,4.69446795862826e-06
MYH7,1.07324721783314,5.02648328738629e-06
ANXA1,-0.771393702122332,6.0200293073274e-06
RPS3A,-0.507653029406832,6.69053349701963e-06
LSP1,-0.882599752179516,7.24987705207022e-06
RPL10A,-0.627552157298616,7.51487780079677e-06
ANXA2,-0.895932787101753,7.52103503430728e-06
CMTM5,0.446504842542037,7.82473592010483e-06
SQSTM1,-0.758299606115962,7.85023802741911e-06
ADGRB3,1.32704485634733,8.28289674531116e-06
FCGR3A,-1.01550922998846,8.40713439568912e-06
LMNA,-0.903120821927285,8.96782835804002e-06
THBS1,0.594093151516976,1.12449500311012e-05
UBA52,0.746829435675064,1.13712701430054e-05
FGA,0.620999294446065,1.15557497243617e-05
RPL23A,-0.665945560598548,1.20275253940995e-05
RPS19,-0.564921077218855,1.30389504541873e-05
TOM1,-0.766058817619356,1.30855370421397e-05
SRP54,-0.63682974103115,1.33478414258777e-05
CTSB,-1.00049367884237,1.49996843667355e-05
RPL27A,-0.587603680813448,1.51624852635615e-05
CAVIN2,0.551604289930388,1.5653305771028e-05
LRP1,-0.512209762790107,1.57295228641205e-05
PYCARD,-0.782596307215165,1.58702397645733e-05
MPIG6B,0.476960107733788,1.61315155182624e-05
ITGA2B,0.648591410460476,1.70306810652183e-05
CPPED1,-0.618378248253791,1.80663370164059e-05
NRGN,0.610501497428814,1.91982569329051e-05
CTTN,0.491911146929571,2.00123744005154e-05
PLBD2,-0.85170729904911,2.12477018056177e-05
YBX1,-1.05230636193452,2.14422709434999e-05
PTGS1,0.49439612231081,2.18700688154393e-05
CDS2,0.317082774396024,2.26430865555734e-05
PPBP,0.547589155810538,2.27108645909793e-05
VWF,0.441712203226334,2.2891266284495e-05
IL1B,0.499050986137149,2.35855330980483e-05
LGMN,-1.2358035055289,2.36489216909681e-05
PDLIM1,0.364498690612617,2.39452562929495e-05
SARS2,0.533058822261161,2.43958358000668e-05
ABHD12,-0.493181465233345,2.53436156884333e-05
RALB,0.408712175045011,2.54475514946876e-05
VASP,0.474970201958083,2.65968709212405e-05
GAA,-0.658229641302519,2.73346427117671e-05
TREML1,0.454722655384007,2.75588987302063e-05
FAM49B,-0.472986134259401,2.78029451104078e-05
PLD3,-0.729304058432255,2.78614477671715e-05
PSAP,-1.13039059020296,2.83784591390661e-05
PGRMC1,0.470533631911668,2.92570592349018e-05
CSTB,-0.497091163365283,3.16477150014008e-05
SERPINE1,0.523013220715555,3.18731908896453e-05
FGB,0.562195490840722,3.31311691679057e-05
ENDOD1,0.375810610304203,3.40587750043376e-05
KIAA0513,0.752582239738004,3.45686481502703e-05
ANO6,0.404012620918525,3.50038008989937e-05
ANXA5,-0.793395249225039,3.54574063345773e-05
RPS17,-0.319705313191783,3.60179740854085e-05
AMPD2,0.314133028102983,3.65916488330874e-05
PRAF2,0.461729762462721,3.67894859772928e-05
NPM1,-0.542249529839744,3.79606011345029e-05
STOM,0.406612187567852,3.84594343406232e-05
LCP1,-0.737218261241285,3.92603707226571e-05
TAS1R1,-0.923254178205511,3.95240692629112e-05
SELP,0.43222341808892,4.26500464544718e-05
MMRN1,0.580909789630724,4.3589261927962e-05
PGAM5,0.47137765157869,4.41640735977731e-05
PECAM1,0.418736620554419,4.49567786028292e-05
LTBP1,0.506469264326643,4.5061388663243e-05
RRBP1,-0.377905905282184,4.58839109878889e-05
STIM1,0.315721913196413,4.67147713193835e-05
MYL12A,0.459643692877638,4.71678466948868e-05
FGFR1OP2,0.347094382932827,4.81872486309185e-05
LTA4H,-0.51547978022051,4.82319285989327e-05
CTSS,-0.880542102661476,4.85844648795024e-05
LGALS1,-0.561352003471818,5.16209502671976e-05
