Gene_name,logFC,P.Value
GPNMB,-1.18487204184199,0.000505072247436124
RTN1,0.341801787086297,0.000957206296002549
NAMPT,0.531357189738088,0.00164472026309764
ATP8A1,0.314774525325184,0.00215954277192402
VAT1,-0.580461134270319,0.00225639453250774
EIF4H,0.514034490586031,0.0035383283303018
HEXA,-0.493502463133368,0.00355733293471059
SERPINB2,0.858407808753821,0.00367919160023295
MAGED2,0.389183237861001,0.00387725141956847
C11orf68,0.400065096004319,0.00433237706945424
LGALS3,-0.707075821529671,0.0049250977955984
GRN,-0.503120872214819,0.00498321588959428
RPS20,-0.247609656226047,0.0052222680387741
NDUFA8,0.301504488261227,0.00532153399015298
PITPNC1,0.246765194560215,0.00537961370054344
C5AR1,0.556008890019404,0.00555474963411319
VSIR,0.308711683474211,0.00561221060111081
GLYR1,0.31641912421485,0.00706071686112812
CWC25,0.415844902865956,0.00725111139127001
RTN3,0.270400474339251,0.00795622594550187
ERI2,0.291472830225153,0.00818525467047498
VTI1B,0.246892990676489,0.00833013278691003
RPS15,-0.57618338931054,0.00863009362744206
CPT2,0.18719367976782,0.00882193816970776
ACTBL2,0.356404908236097,0.00887157304864148
SRP54,-0.343980990414199,0.00893429093809275
CTSD,-0.600142844605596,0.0089609398754713
DCTN4,0.244078194082107,0.00984325655637614
RPL8,-0.302820093011757,0.00996180409793487
FUCA1,-0.643252593615454,0.00996531661153416
CYB561D2,0.316567582262934,0.0100792447856632
CDA,0.446107318959761,0.0102698245579105
GPS1,0.266462490738162,0.0112216759235964
PGM2,-0.262457393238575,0.012072760052556
FN1,0.207959548820053,0.0121874594770317
RHEB,0.28671216855868,0.0122138634470527
ZYX,0.227278471553483,0.0125538316243642
TOMM20,0.191923096209518,0.0125865581410074
ABCB6,-0.40373851335657,0.0129049784224417
LGMN,-0.660920705381777,0.0132037366525096
TIMP1,0.29033290941145,0.013861883166455
RPL10A,-0.292897639235647,0.0142782072594087
RTN2,0.202615186717754,0.014281737013191
CAPG,-0.399415622085975,0.0149406366015665
C1orf116,0.443598879143885,0.0154877482987111
IRGQ,0.219322346158943,0.0170598881597361
PIK3CG,0.187274338410436,0.0178633930348428
PSMB2,-0.343580323314949,0.0183131602960361
ESAM,0.176587776292955,0.0186083813296351
AGPS,-0.296704351309184,0.0187888207453548
HNRNPA2B1,0.331112189253282,0.0190382362042139
CDS2,0.156218035331836,0.0196049759122784
FAM177A1,0.16938761568802,0.0202456913327519
DPYD,0.162075709869232,0.0208320862903912
CALD1,0.203298212326072,0.0208963003638667
PTK2,0.190657541902368,0.0208986109088091
TRIP11,0.391702715659948,0.021483907085814
CD14,0.324457625228234,0.0215669788576153
RTCA,0.42756215473309,0.0222645434671829
TSNAX,-0.318992482841699,0.0225268040502015
IFI30,-0.453076414279323,0.0229492738744433
PDLIM1,0.174718547923309,0.0230387260762306
CTTN,0.230603262766504,0.0233609253106887
KRT1,-0.635382691608335,0.0234598928901722
NPM1,-0.271939609836199,0.0235925164234566
PLAUR,0.335797315195535,0.0239627255025281
GP6,0.171760909596429,0.0244447467226815
MLC1,0.330231110318417,0.0250385554309518
SOAT1,-0.305738154966363,0.0251405308587115
ALDH2,-0.229860449863875,0.0253166921427569
RPS13,-0.279166896638927,0.0258190929619209
FGFR1OP2,0.174387328289075,0.0264453987466853
TANGO2,0.229136447862306,0.0273599708746571
CD44,0.343866336692844,0.0276307185423652
MRPS26,0.270147211916644,0.0293024869861129
USP7,0.217940485389665,0.0293295908181951
PON2,-0.226048669265843,0.0295361259170851
RNASET2,-0.179090146852371,0.0297182112907016
HIKESHI,0.297278553160501,0.0302557471184978
NSF,0.152364927037002,0.030550343802569
CTSS,-0.427842310669448,0.0308716844027191
MAGT1,0.166840522549645,0.0309382874692304
ITGAM,0.172692796458776,0.031231433046463
SEC13,0.163543295850811,0.0324148252078422
MBD5,0.660621411470567,0.0325815480652085
TMEM40,0.208049892746896,0.0328753308903595
NPLOC4,0.216034064371353,0.033379076685832
PRPSAP2,0.16438863320775,0.0334215294752042
NRGN,0.262379803254369,0.0338954023099014
MAPRE1,0.258630809673473,0.0345061191465084
SEC61A1,0.223282934388962,0.0348341272269538
RPS3A,-0.193915457367229,0.0349215818145312
FCN1,0.172279485265339,0.035296949138576
FAM162A,0.209277985413227,0.0354234041555612
RPL28,-0.232213193309939,0.0354767593394576
CNST,0.166984031441892,0.0358131503432837
SELP,0.198673862538513,0.0368555129244137
LY6G6F,0.205582826624948,0.0371156867733444
ATAD3A,0.139106843615231,0.0374284474436195
UPF1,0.1828792813562,0.0378146009203122
SYNE1,0.255933088229376,0.0380030222739088
NDUFB11,0.19149158353833,0.0382606724298901
BABAM1,0.170811454169968,0.038449571474348
AGFG1,0.218643271405497,0.0387397648680938
PLBD2,-0.357329852503085,0.0392969917205632
HDAC6,0.319211292974735,0.0399183685818113
CCL5,0.171517465707318,0.0403611030593076
ARPP19,0.25100364372102,0.0407703233873334
ECI2,-0.290693503468319,0.0413668808189166
AKR1B1,0.255544252556554,0.0415856490648334
PPP1R12C,0.216682746999336,0.041839051794048
H2AW,-0.419968463714753,0.0422567957160443
LRCH4,0.174231234015799,0.0427125124929592
GAA,-0.277497368235927,0.0430630418402612
EHD1,0.210891657644652,0.0436581250466048
CASP1,0.241129792946392,0.0440345159060649
PCNA,0.143905015462195,0.0451919528828606
PTPN18,0.275396797392535,0.0453422485289058
MORC4,0.21324892028704,0.0453654947405111
PPP1R7,0.468426234748925,0.0462729943673753
RPS2,-0.154992067812014,0.0464758114550184
RETREG3,0.224417331640835,0.0467301104664506
KATNBL1,0.348704330294236,0.0467779078893946
VAC14,-0.223171447047307,0.0475884799864427
VTA1,0.255277803436503,0.0476849091242311
ALDH9A1,0.154824104372775,0.0477143524942682
RUVBL2,0.224585609476147,0.0479085293920417
ZW10,-0.315488892921923,0.0480304233106466
HSD17B8,0.280233456315589,0.0480745235941747
RAD23B,0.268482476231112,0.0486518327298335
CD55,0.309103548172011,0.0486601120334879
DENND3,0.241881091932365,0.048913110905072
APP,0.180386865043506,0.0492193876215241
ARL6IP1,0.193367053870858,0.0497704481140259
RPL11,-0.205038028631868,0.0500959752644047
LGALS1,-0.243876068598375,0.0503981884586132
TXNRD2,0.195047410060003,0.0505512322928498
VAMP3,0.213117837896128,0.050988906483446
RPL21,-0.321297248264379,0.0512818418803713
PSMD3,0.190485843324929,0.0513181074697319
RAP1A,0.274937815918612,0.0514782544678457
RPL27A,-0.222190285068653,0.0514952565499262
YIPF3,-0.192944176015626,0.0516476701527686
C19orf33,0.214212984203503,0.0524454122722896
CCS,0.179371972547081,0.0530403721848691
NAE1,0.217817647235051,0.0531000868384047
CHCHD3,0.175917424268565,0.0532503804852753
PAFAH1B3,0.221079555677161,0.0533786871395174
ANK1,0.266797782405886,0.0541153923020238
PTPN11,0.157746559743902,0.0548473590389525
PSAP,-0.449301019797726,0.055015125357577
RAP1GDS1,0.180337194359364,0.0550639082349576
TAGLN2,0.204589761495928,0.0552499073726148
UQCRC2,0.125562360146876,0.0554511761222654
NA,0.179484538295743,0.0558279310363309
MTOR,0.269515037932411,0.0563621535635665
