""	"Abundance..F16..127C..Sample..5A."	"Abundance..F16..127N..Sample..5B."	"Abundance..F16..128C..Sample..2B."	"Abundance..F16..129C..Sample..2A."	"Abundance..F16..130C..Sample..1A."	"Abundance..F16..130N..Sample..4B."	"Abundance..F16..131N..Sample..1B."	"Abundance..F16..132C..Sample..4A."	"Abundance..F16..132N..Sample..6B."	"Abundance..F16..133C..Sample..3A."	"Abundance..F16..133N..Sample..6B."	"Abundance..F16..134N..Sample..3B."
"Q9Y490"	26.6401115381197	26.5845149304094	26.585250942322	26.6248215552274	26.4630339693197	26.5821760779592	26.3944626172878	26.5791217360212	26.5744800489464	26.3313990031047	26.5185275591351	26.3588611283373
"P35579"	26.4152448887245	26.3699716378894	26.4141993335379	26.4464990644112	26.1058197476116	26.4656557241544	26.1059477222385	26.3302693025729	26.2792866055825	26.0167694715538	26.2159206280426	26.0802645152167
"P21333"	26.0953722839836	26.0197346084052	25.9621126270115	26.0793855824143	25.9824211182978	26.1044706355614	25.863367914049	26.0977575308027	26.0385917583041	25.6862163222692	26.0072051457608	25.7542193363525
"P63261"	26.4426915985928	26.42854782508	26.5085546614286	26.4611754275642	26.2625974287753	26.4777075287499	26.18520654067	26.4235496268773	26.4306301017051	26.1526738347327	26.3612431234383	26.1815153342045
"P68133"	22.6668075991966	22.2965866884792	22.1458523079773	22.6028819603072	22.4263769248726	22.6498321580852	22.241604988722	22.5953267815919	22.7336058762682	22.4487706834232	22.3576032027933	22.2613590127525
"P68032"	22.6668075991966	22.2965866884792	22.1458523079773	22.6028819603072	22.4263769248726	22.6498321580852	22.241604988722	22.5953267815919	22.7336058762682	22.4487706834232	22.3576032027933	22.2613590127525
"P63267"	20.7954077460944	20.5116270867002	20.3645037740903	20.4171986134431	20.1433754249071	20.8404595499614	20.232108516748	20.4692690392128	20.9060592450803	20.2702613304583	20.503234100325	20.1659524457828
"P62736"	20.7954077460944	20.5116270867002	20.3645037740903	20.4171986134431	20.1433754249071	20.8404595499614	20.232108516748	20.4692690392128	20.9060592450803	20.2702613304583	20.503234100325	20.1659524457828
"P18206"	24.9284510725032	24.8988974295756	24.9377756151013	24.8694089947476	24.7028309961801	24.9153283997992	24.6395057516202	24.8419061533293	24.8359088587489	24.5319506646983	24.7098194269176	24.5716159327646
"P08514"	23.7962319359853	23.7778066905364	23.8201966127261	23.9419635780428	23.6456002427459	23.8795593096053	23.7074499148887	23.7953054634899	23.7234436417371	23.4062416590539	23.710844031694	23.4248397423024
"P12814"	24.5263047390665	24.4755683732844	24.4699860685234	24.4252076388394	24.2176963623525	24.4992048930018	24.1933701672988	24.376703966484	24.399818633984	24.0807932487912	24.2984832922645	24.103632424331
"P07996"	23.9220393042131	23.953132112875	23.9351777924896	23.9409262460929	23.6860254543505	24.0301827518158	23.6855086724554	23.9287138026078	23.8760836155741	23.7090039177111	23.8449109267866	23.7111541163809
"P02647"	23.7279480823962	23.8174145412044	23.884978914645	24.0842439195843	24.2329426499896	23.9671690067159	23.9812317357372	23.9317437655632	24.3117547453881	25.0818830828278	24.2558898282782	24.1437852985845
"Q6S8J3"	24.2427780017364	24.3317714688363	24.2550767270811	24.141403268982	23.9011433592273	24.2524437356487	23.9230273857599	24.0512068897804	24.1353446381375	23.924550787218	24.2164822000678	23.9593870834881
"P02675"	23.0596004933985	23.0264809005084	22.9328140977338	23.0677222604125	22.8820121032734	23.4987885459889	22.8418758514261	23.3027587015162	23.1529890872079	23.1457461529493	23.0066988971229	22.8421998575727
"Q9H4B7"	22.7401477620801	22.7322229530576	22.6703460090685	22.7553397329167	22.6252530444405	22.6472441462415	22.5604881066238	22.6733143542886	22.426353268377	22.4328275828327	22.4784372286782	22.4559386333632
"P68371"	23.2040533496946	23.1709186049994	23.1623531521138	23.2295298317741	23.2347129267485	23.1122098582823	23.1434000928401	23.1736778232145	23.1495305391558	23.0207421986082	23.1101973854822	23.0237590412604
"P06396"	23.7500917880537	23.7401942490324	23.8022559006831	23.8045246663639	23.5600902579548	23.8728239733869	23.4974045786442	23.8566200662483	23.7240268409963	23.3103432126417	23.6542621149589	23.3616427435674
"P04406"	23.5392781253145	23.488114748771	23.3574930283271	23.375258826243	23.2925762239256	23.5239991166399	23.2314881520315	23.4052515283469	23.4991244883752	23.2534761255546	23.3896682178332	23.2811836148176
"P02671"	23.5987178642515	23.5747542762037	23.5332353227196	23.6558187896851	23.6582688073362	24.0021269414267	23.462415364364	23.9210050654626	23.6414966804707	23.9119334593123	23.6897482408927	23.6371837903744
"P07437"	21.0978117583923	21.1284100143343	21.3414019573542	21.2918059327379	21.0968936197791	21.1334551625049	21.0761183601221	21.1343777385864	21.030075386986	20.8509598600931	21.0889743786371	20.9194766675308
"P37802"	22.6724474774437	22.507792525813	22.5801668612392	22.67186864425	22.4845668760218	22.5635695386495	22.3603084740599	22.6243963404761	22.5616815566589	22.3983111644643	22.5407491115381	22.3816140274827
"Q86UX7"	22.8120154076413	22.8035429199511	22.8222369842196	22.7197987708496	22.2315797202841	22.8674102933347	22.3763813827643	22.5708250212796	22.7236966806583	21.9751983427285	22.5566712205809	22.1850107728918
"P68366"	22.0049240670542	21.9111788146677	21.9295437243383	21.8741849611879	21.6013237815696	21.923780399908	21.7382924991035	21.6798324646546	21.7198590593085	21.4476666110387	21.625710053822	21.5497127895676
"Q562R1"	21.0241052753502	21.0006070075703	21.1000809536937	21.6144844902561	21.440501113762	21.0706141000568	21.3316898201555	21.5656998559353	20.9025856845403	21.3127777092762	21.3017660960403	21.0160307660359
"P05106"	22.0878722426073	21.9432815022792	22.0348193417162	22.3207803256922	22.1606361441625	22.1154767223991	22.0631782748089	22.3225943655848	22.0149755797107	21.9081066361262	22.0829523140417	21.9478822532035
"P08567"	22.7183628994861	22.583382726917	22.6060131719864	22.6655971377925	22.396014440018	22.5128667930957	22.3328032044751	22.5838042403194	22.4016946899437	22.1692376653259	22.4801602478449	22.2188800597194
"Q9BQE3"	21.0589086918784	21.0559933119636	21.2659368520208	21.2709710728689	20.6480032994282	21.0034008280872	20.8338400786029	20.9589803047414	20.6866071198349	20.3222195638558	20.7428073738221	20.4657790532108
"P04350"	18.4621633287287	18.2183658041844	18.3232831500345	18.5751021934693	18.5262981701628	18.3390562117567	18.4039314708164	18.6065890581691	18.3216853301317	18.1472776247701	18.4572902921587	18.1983578990756
