"","Estimate","StdError","tStat","pvalue","padjust","R2","R2_adj"
"cluster",0.479471096403621,0.0804070326447696,5.96304925866221,1.59712716291922e-08,7.02735951684458e-07,0.185625056343865,0.180404704140942
"AGE",0.00455583734130699,0.00498296913757411,0.914281669327162,0.361979830314652,0.770465221208049,0.00532984420272811,-0.0010462465395622
"GENDER",0.302191870479062,0.133909835465792,2.25668166515116,0.0254168185948826,0.325854524467859,0.0316129465544468,0.0254053372374882
"BMI",0.00482921512380643,0.0112672479524583,0.428606448014912,0.66880088501658,0.837089152647855,0.00117620137810934,-0.00522651527972329
"Duration",-0.00448657573252424,0.00696891471903075,-0.643798340690305,0.52065157454001,0.770465221208049,0.0026498589725891,-0.00374341116220189
"METS",0.117609159735413,0.0880470498954061,1.33575355307332,0.183575329331057,0.576951035040466,0.0113080849025313,0.00497031621600907
"Ethnic",0.19457047848544,0.130533837240065,1.49057503096002,0.138118486727286,0.570384678831315,0.0142221746574886,0.0078210199474722
"Origin",0.077337698484088,0.121483418937341,0.63661114545992,0.525317196278215,0.770465221208049,0.00260785069092565,-0.00382693736913287
"Transm_mode",-0.0249442312868984,0.0206954523665659,-1.20530012319018,0.229924343918939,0.660016630019143,0.00928554085460424,0.00289383466656945
"CD4",0.000138342605101073,0.000155139504863343,0.891730350840901,0.373910843605409,0.770465221208049,0.00507147607025946,-0.00130627087800805
"CD4_nadir",9.77894567714536e-06,0.000270600784784867,0.0361379058265475,0.971218598478471,0.971218598478471,8.37139298027235e-06,-0.00640183135450068
"CD4_ART",-0.000121098962110831,0.000228967070666017,-0.528892481170238,0.597683184216317,0.801992551541355,0.00191227630707601,-0.00492394097849203
"CD8",0.000226245459638639,0.000105739855429562,2.13964222590933,0.0339490650601212,0.325854524467859,0.0286885841378186,0.0224220588741917
"VL",7.37533726447075e-05,0.000104714039707529,0.704331270674918,0.482283368536692,0.770465221208049,0.00319032178014258,-0.00324070840192103
"VL_ART",-1.14420457190238e-08,1.69529883069938e-08,-0.674927954401023,0.500938851700937,0.770465221208049,0.00354619027793867,-0.00423860511051499
"ART1_dur",-0.000730434168435084,0.000886457291427238,-0.823992509846752,0.411234879890275,0.770465221208049,0.0044470019970273,-0.00210268877930808
"ART1_prev_dur",-9.41543191963694e-05,0.00118644441646382,-0.0793583904056753,0.936860884973153,0.971218598478471,4.4981934590109e-05,-0.00709755390873412
"ob6",0.00279197388021674,0.00391546765290566,0.713062685665356,0.476872261329553,0.770465221208049,0.00324875983641273,-0.00314067119027683
"ob10",0.00143838753887063,0.00338501366191897,0.42492813398431,0.671474588765677,0.837089152647855,0.00115612285242468,-0.0052467225139059
"ob11",0.00161607387080626,0.00452256305447362,0.357335840615351,0.721323356101574,0.837089152647855,0.000817849184122756,-0.00558716460315845
"H2_53a",-0.0711488770753784,0.0444624883910009,-1.60020007089344,0.111672407782711,0.545953993604366,0.0168951534011618,0.0102971342964716
"H2_53c",-0.00413172005710899,0.036390620789332,-0.113538048197304,0.909762138888417,0.971218598478471,8.95120451296524e-05,-0.00685431078789023
"H2_54",0.0332165301768637,0.0240006928886185,1.38398213464144,0.168535340490556,0.570427306275729,0.013309252948915,0.00636072656123121
"H2_55",0.0569771059640881,0.0270856590370671,2.10358942664508,0.0370289232349839,0.325854524467859,0.0277565376829765,0.0214839992164151
"H2_56",0.0628691154857561,0.0271391852496064,2.31654395323706,0.0218468252878801,0.325854524467859,0.0336732002431608,0.0273983508940904
"H2_74a",0.0141481139344559,0.0529230746307144,0.267333559759677,0.789572368248126,0.87864086151421,0.000466888006406716,-0.00606600815041425
"m2_02a",-0.0291983634998167,0.114330823217258,-0.255384879406775,0.798764419558372,0.87864086151421,0.000420606477876586,-0.00602829283516937
"curr_smoking",-0.00365559344231069,0.00446261796820503,-0.819158948481771,0.41493406428606,0.770465221208049,0.00765385611224112,-0.00375242140371013
"cum_smoking",-0.00305396787651428,0.00264053641230078,-1.15657101424072,0.25072632925039,0.660016630019143,0.0156748681141681,0.00395671178219392
"alcohol",0.000139666034913463,0.000372934847484996,0.374505187314474,0.708575631667882,0.837089152647855,0.000966335191852974,-0.00592355215165141
"central_obesity",0.00337590596439371,0.0921663115242739,0.0366284156169643,0.970828115173298,0.971218598478471,8.60018777080777e-06,-0.00640160109307675
"hypertension",0.0916680565811644,0.0882230912682739,1.03904834055763,0.300390026940139,0.734286732520339,0.00687308413416071,0.000506885955533498
"first_drug",0.776781299388261,0.557521055911551,1.39327706308458,0.165543761197939,0.570427306275729,0.0248918339158769,0.00589622029086156
"X3rd_Drug",-0.160479823269175,0.108890177971533,-1.4737768480012,0.142596169707829,0.570384678831315,0.0146446370539081,0.00176417479317503
"VAT",0.00107253705301955,0.000587681426510815,1.82503139394318,0.069972495919018,0.418668689332674,0.0215818287254435,0.0151022381872015
"SAT",-0.000291996829245249,0.000557932615926676,-0.52335500902787,0.601494413656016,0.801992551541355,0.00181062605401039,-0.00479989960126104
"diabetes",-0.356821296949399,0.199842863155008,-1.78550933126209,0.0761215798786679,0.418668689332674,0.0200269034061065,0.0137450245817866
"AGE_cat",0.0945643639627978,0.12572145568324,0.75217363216869,0.453087359281262,0.770465221208049,0.00491078119645025,-0.0079290796913376
"BMI_cat",0.141567740543611,0.398575363760527,0.35518437268157,0.722940631832238,0.837089152647855,0.0197235589679669,-0.00590458328123633
"CDA_CD8",-0.0668118451681337,0.0808831158512138,-0.826029567048771,0.410056964171551,0.770465221208049,0.00438280226297568,-0.0020405344966179
"CDA_CD8_cat",-0.102098755193296,0.0893640438465083,-1.14250374981531,0.255006425234669,0.660016630019143,0.00835105843879386,0.00195332333194753
"Duration_cat",-0.0791715711576718,0.133321676868128,-0.593838699133543,0.553491278017688,0.785600523638009,0.00924061775205704,-0.0100598896943314
"VAT_cat",-0.2112244393575,0.107205686780877,-1.97027271313723,0.0506360767350438,0.371331229390321,0.0250640823443642,0.0186075530883666
"log10VL_ART",-0.0307332891692891,0.045822436798675,-0.67070394584903,0.503617555946205,0.770465221208049,0.00350209676967372,-0.00428304309931327
