"","Estimate","StdError","tStat","pvalue","padjust","R2","R2_adj"
"cluster",0.604415885717016,0.109572688135338,5.51611807652718,1.40968559551347e-07,6.20261662025925e-06,0.163213844868801,0.157849831053857
"AGE",0.00490012026351224,0.00670532442348881,0.73078048935963,0.466009384203304,0.744240802361586,0.00341165489121039,-0.00297673193641002
"GENDER",0.467673783646895,0.179063822825478,2.61177146934201,0.00988705000073441,0.108757550008078,0.0418946913248904,0.0357529906282551
"BMI",0.0129913430415949,0.0151203378845703,0.859196609280276,0.391550395753382,0.717842392214534,0.00470988390060495,-0.00167018094618587
"Duration",-0.00280409227756027,0.00937843041048336,-0.298993771327216,0.765342736612054,0.843772324204154,0.000572731247945066,-0.00583385380815771
"METS",0.260102582163355,0.11720558433485,2.21919956834356,0.0279162510822348,0.245663009523666,0.0306033954630923,0.0243893146647788
"Ethnic",0.352364087593068,0.177151654221565,1.98905332914568,0.0484666258956184,0.355421923234535,0.0250470055070473,0.0187161419064437
"Origin",0.181684136431032,0.16294473679293,1.11500463290149,0.266574238240881,0.61732981487362,0.00795705061249465,0.00155677351967209
"Transm_mode",-0.0327681750086706,0.0276426646797743,-1.18542026929287,0.237665504964242,0.589409936200536,0.0089844904405081,0.00259084199173731
"CD4",0.000367100126776603,0.000207017057034928,1.7732844434875,0.0781328607913451,0.38563294217124,0.0197590050064828,0.0134754088847294
"CD4_nadir",0.000452027813431739,0.00036197971006077,1.24876560997259,0.213621532233213,0.589409936200536,0.00989731742289126,0.00355050535508927
"CD4_ART",0.000197469533419272,0.00030836926341428,0.640367108034307,0.522937697784694,0.766975290084218,0.00280083216243014,-0.00402929912412864
"CD8",0.000477122047269139,0.00013954559129902,3.41911229747671,0.000802957309028283,0.0176650607986222,0.0701320165345427,0.0641328682541205
"VL",0.000234722696483598,0.000139773162034671,1.67931162940547,0.0951059881581754,0.38563294217124,0.017869002561458,0.0115326735457255
"VL_ART",-7.81123900460067e-09,2.30633831251699e-08,-0.338685741038398,0.735401430184315,0.843772324204154,0.000895354116209743,-0.00691015092975733
"ART1_dur",-0.000571941639933859,0.0011913473868634,-0.480079652870751,0.631860898536331,0.817702339282311,0.00151399692387632,-0.00505498993846665
"ART1_prev_dur",0.00148383605852565,0.00160870850462334,0.922377207717366,0.357918710451698,0.715837420903397,0.00604029111552053,-0.00105942109079726
"ob6",0.00955458039629186,0.00521654931909978,1.83159015890234,0.068919942231702,0.38563294217124,0.0210519177426538,0.0147766095230555
"ob10",0.00403292085242036,0.00454182203290007,0.887952196983209,0.375933481699201,0.717842392214534,0.00502880829770558,-0.00134921216192452
"ob11",0.00430313664654772,0.00607264245549705,0.708610243083297,0.479623924929692,0.744240802361586,0.00320844503196415,-0.00318124442295908
"H2_53a",-0.0239108370115255,0.0602312415922999,-0.396983963461619,0.691947334267925,0.843772324204154,0.00105657553614186,-0.0056477427488506
"H2_53c",-0.0144274615625037,0.0486141023719957,-0.296775233081639,0.767065749276504,0.843772324204154,0.000611261817754238,-0.00632893775295584
"H2_54",0.0391858438055886,0.0325257952010579,1.20476205311389,0.230299245070018,0.589409936200536,0.0101180684363073,0.00314706891825323
"H2_55",0.0597178478590157,0.0366410318290205,1.62980802881533,0.105172620592156,0.38563294217124,0.016848515697126,0.010505602895172
"H2_56",0.0360047493482321,0.0371514787038314,0.969133682006553,0.333998096136529,0.699805534762251,0.0060618615030603,-0.000392282253413478
"H2_74a",0.017452780687491,0.071129611435154,0.245365893828929,0.806501944941776,0.86551428237654,0.000393338177496078,-0.00614003869716084
"m2_02a",0.0456601696168189,0.153793087129196,0.296893511074795,0.766945292825253,0.843772324204154,0.000568359086944511,-0.00587958698346225
"curr_smoking",-0.0021395950182426,0.00591368639899134,-0.3618039364765,0.718375818747246,0.843772324204154,0.00150236122101671,-0.00997462313276465
"cum_smoking",-0.0024613921154051,0.00349845813562168,-0.703564833417023,0.483649481553725,0.744240802361586,0.00585837569636446,-0.00597664364058348
"alcohol",0.000340388622642039,0.000492434645431869,0.691236138236202,0.490522347011045,0.744240802361586,0.00328440060616164,-0.00358950007931313
"central_obesity",0.20648836551411,0.122796680683624,1.68154680048813,0.0946576137224583,0.38563294217124,0.0178029489119095,0.0115068139690371
"hypertension",0.0886897396742608,0.118800627949479,0.746542684201779,0.456463256648947,0.744240802361586,0.0035598843800434,-0.00282755225854614
"first_drug",0.873084444484945,0.741963445378106,1.17672164299148,0.241122246627492,0.589409936200536,0.0444161866560899,0.0258009175649747
"X3rd_Drug",-0.155926215802015,0.146148206036986,-1.06690475394925,0.287695452442116,0.632929995372655,0.00953710098937455,-0.00341012644867278
"VAT",0.00212816402366912,0.000779311553429134,2.73082570674688,0.00706983197071964,0.103690868903888,0.0470625456126035,0.0407517015438127
"SAT",-0.000420203105524323,0.000749588727888915,-0.560578207609593,0.575915926687148,0.791884399194828,0.00207679006539231,-0.00453197291430718
"diabetes",-0.426617317283962,0.269232572087935,-1.58456799626987,0.115089616648632,0.389534087118446,0.0158402761953636,0.00953156001712874
"AGE_cat",0.0850026365209928,0.169165473743963,0.502482182916632,0.616041528678598,0.817702339282311,0.00312616202527786,-0.00973672620665411
"BMI_cat",-0.116087835290099,0.53740907212058,-0.216013910654736,0.829264627221254,0.868753418993695,0.0139222236831961,-0.0118575874623412
"CDA_CD8",-0.0650541393938459,0.109209682936553,-0.595681057252407,0.55225711376048,0.783848806627778,0.00228403525299702,-0.00415284193891896
"CDA_CD8_cat",-0.15548348670146,0.120394251453606,-1.29145274649077,0.198469284986974,0.589409936200536,0.0106457718946646,0.00426284139075939
"Duration_cat",-0.0129420061801961,0.179390918948161,-0.0721441545429399,0.942580798768084,0.942580798768084,0.00747583623114768,-0.0118590500760378
"VAT_cat",-0.235906477114804,0.144622532138138,-1.6311875724142,0.104934695018882,0.38563294217124,0.0173158890603296,0.010808047266027
"log10VL_ART",0.0116824424171904,0.0623562940553527,0.187349851272754,0.851682989507557,0.871489570658896,0.000274143315239588,-0.00753621494011014
