"","gene","BIC","BIC_diff"
"1","ENPP4",-3162.59114931692,0
"2","PDK4",-3162.59114931692,0
"3","KCNH2",-3162.59114931692,0
"4","TGFBR3",-3162.59114931692,0
"5","SLC4A4",-3162.59114931692,0
"6","GZMH",-3162.59114931692,0
"7","KCNN4",-3162.59114931692,0
"8","C1orf21",-3162.59114931692,0
"9","B4GALT6",-3162.59114931692,0
"10","XPNPEP2",-3162.59114931692,0
"11","KLRD1",-3162.59114931692,0
"12","ITM2C",-3162.59114931692,0
"13","SYBU",-3162.59114931692,0
"14","PTGES",-3167.75261298296,5.16146366603834
"15","PRSS23",-3162.59114931692,0
"16","CD8A",-3169.88244185238,7.29129253545489
"17","GFI1",-3162.59114931692,0
"18","STOX1",-3162.59114931692,0
"19","HID1",-3162.59114931692,0
"20","RASSF6",-3162.59114931692,0
"21","NPTX1",-3162.59114931692,0
"22","SLCO4C1",-3168.49205639786,5.90090708094067
"23","GNG7",-3162.59114931692,0
"24","KIAA1671",-3163.90761496833,1.31646565140363
"25","KLRK1",-3162.59114931692,0
"26","LTB",-3163.30694571598,0.7157963990594
"27","TNFRSF13B",-3162.59114931692,0
"28","IGLL5",-3162.59114931692,0
"29","INMT.MINDY4",-3162.59114931692,0
"30","PDGFD",-3162.59114931692,0
"31","PALLD",-3162.59114931692,0
"32","RORB",-3162.59114931692,0
"33","KLRG1",-3162.59114931692,0
"34","KLRC4",-3162.59114931692,0
"35","VCAM1",-3162.59114931692,0
