"","variable","type","levels","missing_data","missing_data_prop","Description","Format","Definition"
"1","AGE","numeric",NA,0,0,NA,NA,NA
"2","alat","numeric",NA,3,0.015,NA,NA,NA
"3","alcohol","integer",NA,14,0.07,"*Weekly alcohol consumption","Num","Unit:gram"
"4","Anti_hbcigm","factor","0_1_NA",25,0.125,NA,NA,NA
"5","Anti_hbe","factor","0_1_NA",23,0.115,NA,NA,NA
"6","Anti_hbs","factor","0_1_2",0,0,NA,NA,NA
"7","Anti.hbcigg","factor","0_1_NA",22,0.11,NA,NA,NA
"8","bmi","numeric",NA,1,0.005,"*Body mass index","Num","Unit: kg/m2"
"9","BMI","numeric",NA,1,0.005,NA,NA,NA
"10","BMI_cat","factor","underweight_normal_overweight_obese_extremely obese",1,0.005,NA,NA,NA
"11","CD4","integer",NA,0,0,NA,NA,NA
"12","CD4_ART","integer",NA,13,0.065,NA,NA,NA
"13","CD4_nadir","integer",NA,1,0.005,NA,NA,NA
"14","CD8","integer",NA,1,0.005,NA,NA,NA
"15","CDA_CD8","numeric",NA,1,0.005,NA,NA,NA
"16","CDA_CD8_cat","factor","<1_>1",1,0.005,NA,NA,NA
"17","CDCAIDS","factor","0_1",0,0,"Previous AIDS defining condition","Dic","0: no
1: yes"
"18","central_obesity","factor","0_1",0,0,"*IDF definition","Cat","0: No
1:Yes"
"19","CMV_igg","factor","0_1_2_NA",26,0.13,NA,NA,NA
"20","creatini","numeric",NA,5,0.025,NA,NA,NA
"21","ddiAZTd4t","factor","0_1",0,0,NA,NA,NA
"22","diabetes","factor","0_1",0,0,"*Min one of the following:  tx with antidiabetic drug for T2DM
or non-fasting venous plasma glucose ≥ 11.1 mmol/L
or  HbA1c ≥ 6.5%
","Dic","0: No
1: Yes"
"23","Duration_cat","factor","<5_>15_10<x<15_5<x<10",4,0.02,NA,NA,NA
"24","duration_months","numeric",NA,4,0.02,NA,NA,NA
"25","duration_years","numeric",NA,4,0.02,NA,NA,NA
"26","eGFR","numeric",NA,5,0.025,NA,NA,NA
