"","cluster","names"
"1",1,"1903"
"2",1,"1267"
"3",2,"1756"
"4",1,"1608"
"5",1,"1368"
"6",1,"1155"
"7",1,"1114"
"8",2,"1284"
"9",2,"1370"
"10",1,"1576"
"11",2,"1124"
"12",1,"1025"
"13",1,"1135"
"14",1,"1766"
"15",1,"1500"
"16",1,"1076"
"17",1,"1310"
"18",2,"1278"
"19",1,"1193"
"20",1,"1578"
"21",1,"1389"
"22",2,"1185"
"23",1,"2077"
"24",1,"1412"
"25",2,"1473"
"26",1,"1488"
"27",2,"1515"
"28",1,"1517"
"29",1,"1538"
"30",2,"1556"
"31",1,"1706"
"32",1,"1725"
"33",1,"1727"
"34",1,"1768"
"35",1,"1778"
"36",2,"1833"
"37",2,"1842"
"38",2,"1845"
"39",2,"1934"
"40",1,"1950"
"41",1,"1976"
"42",2,"1977"
"43",2,"2026"
"44",1,"2037"
"45",2,"2067"
"46",1,"2058"
"47",2,"1944"
"48",2,"1937"
"49",1,"1598"
"50",2,"1964"
"51",1,"1461"
"52",1,"1313"
"53",1,"1129"
"54",2,"1321"
"55",2,"1991"
"56",1,"1361"
"57",1,"1011"
"58",2,"1875"
"59",1,"1372"
"60",2,"1106"
"61",2,"1696"
"62",1,"1620"
"63",2,"1595"
"64",2,"1613"
"65",2,"1721"
"66",2,"1866"
"67",2,"1877"
"68",2,"2005"
"69",2,"2023"
"70",1,"2052"
"71",2,"1281"
"72",2,"1006"
"73",2,"1028"
"74",1,"1111"
"75",2,"1115"
"76",1,"1120"
"77",2,"1123"
"78",2,"1133"
"79",1,"1164"
"80",1,"1165"
"81",2,"1182"
"82",1,"1191"
"83",2,"1200"
"84",2,"1203"
"85",2,"1207"
"86",2,"1210"
"87",2,"1214"
"88",1,"1218"
"89",1,"1220"
"90",1,"1225"
"91",1,"1228"
"92",2,"1253"
"93",2,"1257"
"94",2,"1261"
"95",1,"1270"
"96",2,"1316"
"97",2,"1346"
"98",1,"1363"
"99",1,"1394"
"100",2,"1401"
"101",2,"1406"
"102",1,"1409"
"103",1,"1410"
"104",2,"1419"
"105",2,"1444"
"106",2,"1449"
"107",1,"1456"
"108",2,"1466"
"109",1,"1469"
"110",2,"1862"
"111",2,"1029"
"112",1,"1094"
"113",2,"1632"
"114",1,"1460"
"115",1,"1905"
"116",2,"1088"
"117",2,"1989"
"118",2,"1366"
"119",1,"1240"
"120",1,"1067"
"121",1,"1562"
"122",2,"1822"
"123",1,"2020"
"124",1,"1196"
"125",1,"1536"
"126",1,"1264"
"127",2,"1463"
"128",1,"2097"
"129",1,"1373"
"130",2,"2060"
"131",1,"1299"
"132",1,"2061"
"133",2,"1639"
"134",1,"2036"
"135",1,"1553"
"136",1,"1455"
"137",1,"1416"
"138",1,"1192"
"139",2,"1917"
"140",2,"1323"
"141",1,"1798"
"142",1,"1056"
"143",2,"1317"
"144",1,"1985"
"145",1,"2063"
"146",1,"1599"
"147",1,"1347"
"148",1,"1797"
"149",2,"1888"
"150",1,"1149"
"151",1,"1914"
"152",1,"1198"
"153",2,"1475"
"154",1,"1920"
"155",2,"1996"
"156",1,"1108"
"157",1,"1271"
"158",1,"1397"
