"","x"
"Bifidobacteriaceae",0.000853087215496398
"Atopobiaceae",0.000632961876071047
"Coriobacteriaceae",-0.00266973566700133
"Coriobacteriales.Incertae.Sedis",-2.05290845177565e-05
"Eggerthellaceae",0.000179618858230663
"Bacteroidaceae",0.0210034072666181
"Bacteroidales.RF16.group",-0.000755610989510255
"Barnesiellaceae",-0.00111665296545545
"Dysgonomonadaceae",0
"Marinifilaceae",0.000208299392874843
"Muribaculaceae",0.00130675750626164
"Prevotellaceae",-0.0315462641234828
"Rikenellaceae",0.00747607619380451
"Tannerellaceae",-0.00140818618542123
"Flavobacteriaceae",0
"Clostridium.sp..K4410.MGS.306",0.00069523237726076
"Elusimicrobiaceae",6.60415603122429e-05
"Campylobacteraceae",6.39696336179001e-05
"Staphylococcaceae",0
"Enterococcaceae",0
"Lactobacillaceae",-0.000162632027773723
"Streptococcaceae",0.00022737332250412
"Christensenellaceae",0.00345262168995509
"Clostridiaceae.1",0.000378099391952199
"Clostridiales.vadinBB60.group",0.00111668703056006
"Defluviitaleaceae",3.17535852352157e-05
"Family.XI",0
"Family.XIII",0.000282449511004957
"Lachnospiraceae",0.00926766278679215
"Peptococcaceae",3.92652743347432e-06
"Peptostreptococcaceae",-0.00158147650639053
"Ruminococcaceae",0.00017076351159648
"Erysipelotrichaceae",0.000252807916274842
"Acidaminococcaceae",-0.000129720207495261
"Veillonellaceae",-0.00235095363629018
"Fusobacteriaceae",0.00431509250037242
"Victivallaceae",-5.4630655441027e-05
"vadinBE97",-0.000150981411038392
"Oligosphaeraceae",0.000151869568144404
"Desulfovibrionaceae",0.00052722584680701
"Succinivibrionaceae",-0.0151041238854778
"Shewanellaceae",-2.1645864990411e-06
"Burkholderiaceae",-0.00065373477243378
"Enterobacteriaceae",0.000379233458393556
"Halomonadaceae",0
"Pasteurellaceae",-2.88209426077981e-05
"Pseudomonadaceae",0
"Spirochaetaceae",0.00220130229597617
"Synergistaceae",0.000357806502593946
"Anaeroplasmataceae",0.000520371951247272
"Puniceicoccaceae",3.25076689837383e-05
"Akkermansiaceae",0.00158121070046111
