"","x"
"Bifidobacterium",5.27905405405406
"Coriobacteriaceae.UCG.002",0
"Coriobacteriaceae.UCG.003",4.11013513513514
"Libanicoccus",-0.139527027027027
"Olsenella",0.0165540540540541
"Collinsella",-16.7141891891892
"Enorma",-0.0135135135135135
"Adlercreutzia",0.0114864864864865
"Eggerthella",0.357094594594595
"Enterorhabdus",0.291216216216216
"Senegalimassilia",-0.436486486486487
"Slackia",0.524662162162162
"Bacteroides",131.481756756757
"Barnesiella",-5.80810810810811
"Coprobacter",-0.467567567567568
"Dysgonomonas",0
"Butyricimonas",-0.611486486486486
"Odoribacter",1.91993243243243
"CAG.873",6.54493243243252
"Alloprevotella",-25.1945945945946
"Paraprevotella",1.06148648648649
"Prevotella.1",-0.0155405405405405
"Prevotella.2",-35.7733108108108
"Prevotella.7",-1.37736486486486
"Prevotella.9",-138.026351351352
"Prevotellaceae.NK3B31.group",-0.118243243243243
"Prevotellaceae.UCG.001",1.4527027027027
"Prevotellaceae.UCG.003",3.22972972972973
"Prevotellaceae.UCG.004",0.273648648648648
"Alistipes",38.2304054054054
"Rikenellaceae.RC9.gut.group",8.12972972972973
"dgA.11.gut.group",0
"Parabacteroides",-8.67871621621622
"Clostridium.sp..K4410.MGS.306",4.24831081081081
"Elusimicrobium",0.464189189189188
"Campylobacter",0.439189189189189
"Staphylococcus",0
"Enterococcus",0
"Lactobacillus",-1.01486486486487
"Lactococcus",0.225
"Streptococcus",1.18412162162162
"Christensenellaceae.R.7.group",24.9905405405406
"Clostridium.sensu.stricto.1",2.29493243243243
"Defluviitaleaceae.UCG.011",0.193243243243243
"Ezakiella",0
"Family.XIII.AD3011.group",1.59493243243243
"Family.XIII.UCG.001",0.276351351351351
"Mogibacterium",-0.12972972972973
".Eubacterium..nodatum.group",0
"Agathobacter",41.5314189189189
"Anaerostipes",8.45
"Blautia",22.9189189189189
"Butyrivibrio",-17.5263513513514
"CAG.56",1.46655405405405
"Coprococcus.1",-0.505405405405406
"Coprococcus.2",-2.59121621621622
"Coprococcus.3",-1.39594594594595
"Dorea",6.34054054054054
"Eisenbergiella",1.75067567567568
"Epulopiscium",1.1625
"Fusicatenibacter",8.63682432432433
"GCA.900066575",0.0104729729729729
"Howardella",-0.51722972972973
"Hungatella",0.236486486486487
"Lachnoclostridium",22.275
"Lachnospira",0.710810810810811
"Lachnospiraceae.FCS020.group",0.493243243243243
"Lachnospiraceae.ND3007.group",0.670270270270269
"Lachnospiraceae.NK3A20.group",-1.025
