"","BIOCHEMICAL","LFC_Both_Ctrl","FDR_Both_Ctrl","LFC_Spermine_Ctrl","FDR_Spermine_Ctrl","LFC_Spermidine_Ctrl","FDR_Spermidine_Ctrl","Gene_name","Both_D1","Both_D2","Both_D3","Both_D4","Control_D1","Control_D2","Control_D3","Control_D4","Spermidine_D1","Spermidine_D2","Spermidine_D3","Spermidine_D4","Spermine_D1","Spermine_D2","Spermine_D3","Spermine_D4","macrophage","D1_both","D1_spermine","D1_spermidine","D2_both","D2_spermine","D2_spermidine","D3_both","D3_spermine","D3_spermidine","D4_both","D4_spermine","D4_spermidine"
"IL1B","P01584",0.365007791107416,0.00223842741738826,NA,0.892586371095311,0.499050986137149,0.000792370299148511,"IL1B",16.4737020614593,16.3903016134118,16.7124246033147,16.5174167056815,16.2615699066691,16.1322346633832,16.1235110940659,16.3022478382265,16.8821689261787,16.52816553923,17.0107738429098,16.5310690619597,16.3318179644035,16.282294592899,16.2459966951644,16.3604611896816,"M1",0.212132154790201,0.0702480577343998,0.620599019509601,0.258066950028599,0.150059929515798,0.395930875846798,0.588913509248801,0.1224856010985,0.887262748843899,0.215168867455002,0.0582133514551018,0.228821223733199
"HLA-DRB1","P01911",-0.534735273474521,0.00546313100950056,NA,0.853591275739899,-0.472295502502138,0.0128123200788478,"HLA-DRB1",19.7541125704874,19.4715771863635,19.7289982827256,19.3215236483257,20.5505987505189,19.7157500214815,20.5786491250884,19.456520233541,19.9462007890487,19.5441066612048,19.7509711511953,19.0876070722191,20.0085245768989,19.4286277848295,20.3520072696173,19.3566490040417,"M1",-0.796486180031501,-0.542074173620001,-0.604397961470202,-0.244172835118,-0.287122236651999,-0.1716433602767,-0.849650842362802,-0.226641855471101,-0.827677973893099,-0.134996585215298,-0.0998712294992998,-0.368913161321899
"CTSB","P07858",-1.16871762450207,0.000148426181103678,NA,0.892586371095311,-1.00049367884237,0.00066474018663934,"CTSB",23.0430460346377,23.153157541159,23.1140489019573,23.0430560484851,24.4637241524409,24.0491141122825,24.7121393727601,23.48389290863,23.2197421188228,23.0012451083136,23.1208760736929,23.1305403662851,24.0443955535987,23.5135679132397,24.109171544914,23.2077529360211,"M2",-1.4206781178032,-0.419328598842199,-1.2439820336181,-0.895956571123499,-0.535546199042798,-1.0478690039689,-1.5980904708028,-0.602967827846101,-1.5912632990672,-0.440836860144902,-0.276139972608899,-0.353352542344901
"CXCL8","P10145",0.611516319570281,0.00018623914692624,NA,0.821961131929871,0.627298729527862,0.000353542000746349,"CXCL8",19.0007465390768,18.9596282113752,18.870173324592,18.6654637859636,18.1664264905742,18.3006081995738,18.2055032152701,18.3164305929872,18.8338386920303,18.964762734227,18.7945672155783,18.8602139940078,18.4024996792704,18.2768039812974,18.4718992422162,18.2801183198995,"M1",0.834320048502601,0.236073188696199,0.667412201456102,0.659020011801399,-0.0238042182763998,0.6641545346532,0.6646701093219,0.266396026946101,0.589064000308202,0.3490331929764,-0.0363122730876988,0.543783401020601
"CCL5","P13501",0.297533316935027,0.00223842741738826,NA,0.786398497733946,0.265652878244115,0.0057782150540052,"CCL5",20.5127387910221,21.2489017271583,20.5777796899931,20.8730882200735,20.3040596611642,20.7804989546836,20.3028921379575,20.6429787063337,20.4553115219086,21.0561720964108,20.6533776529312,20.9340945781572,20.480416694055,20.9491458500957,20.5175079689101,20.8002616756866,"M1",0.208679129857902,0.176357032890799,0.151251860744402,0.4684027724747,0.168646895412099,0.2756731417272,0.274887552035601,0.214615830952599,0.350485514973702,0.230109513739801,0.157282969352899,0.2911158718235
"MRC1","P22897",-0.828824417732505,0.00898339886165105,NA,0.853504056460798,-0.676543419952139,0.027580132441968,"MRC1",17.1012407144272,17.288838006666,17.1488272144128,17.2655514324633,18.4455974079952,17.9305337404303,17.928038975697,17.6652682346749,17.6894156511092,17.0724248778716,17.1878793417005,17.2031559963577,18.7528496572054,18.2244819565031,18.4585347464057,17.2048112317227,"M2",-1.344356693568,0.307252249210197,-0.756181756886001,-0.641695733764298,0.293948216072803,-0.858108862558698,-0.779211761284198,0.530495770708701,-0.740159633996498,-0.3997168022116,-0.4604570029522,-0.4621122383172
"STAT3","P40763",NA,0.141867804957406,NA,0.996529174558929,0.131486796354917,0.0737869756589649,"STAT3",20.2498244323311,20.1471609992996,20.2733906850442,20.3694105955318,20.0919206774744,20.148694701627,20.080949141217,20.3176216513952,20.2604405164406,20.3202618371552,20.269614911561,20.3205461949924,20.1634388142896,20.1452561930203,20.1793446010841,20.1979009350425,"M2",0.157903754856701,0.0715181368152003,0.168519838966201,-0.00153370232740002,-0.00343850860670258,0.1715671355282,0.192441543827197,0.0983954598670991,0.188665770343999,0.0517889441366002,-0.119720716352699,0.0029245435971994
"STAT1","P42224",-0.366122014120322,0.00352858351426901,NA,0.850595073439337,-0.223398105334681,0.0431928111129833,"STAT1",18.0093873294728,17.5432114993843,17.8109522533581,17.8940049686967,18.3458238520448,18.0830875711947,18.0700283529414,18.1757146015185,18.1443195985331,17.9473575068186,17.8309058828082,17.8236771354569,18.2392433012785,17.8419472348768,18.0533422693257,17.7874564201801,"M1",-0.336436522571997,-0.106580550766299,-0.201504253511697,-0.539876071810401,-0.241140336317901,-0.135730064376098,-0.2590760995833,-0.0166860836156992,-0.2391224701332,-0.281709632821801,-0.388258181338401,-0.352037466061599
"STAT6","P42226",NA,0.174037607948254,NA,0.973081998374714,NA,0.187093293531046,"STAT6",17.5146998548587,16.8392072493253,17.4172454770077,17.1708749690272,17.0467162981819,17.017997448458,17.0498656072912,17.1193079626666,17.4035995547918,17.0961306343786,17.2062103934491,17.2639217670196,17.0389724817045,17.0730288624861,17.2485997903691,17.1302637760914,"M2",0.467983556676803,-0.0077438164773973,0.356883256609901,-0.178790199132699,0.0550314140281003,0.0781331859205991,0.367379869716501,0.198734183077899,0.156344786157902,0.0515670063605995,0.0109558134248005,0.144613804353
"B2M","P61769",NA,0.437644353953523,NA,0.998740128084934,NA,0.368776398209441,"B2M",22.492874961056,22.6172714373592,22.1785813102655,23.0523873066274,22.5528329708052,22.2745220685067,22.294659749954,22.865088518201,22.7290214466303,22.5451965621542,22.066933562338,23.0341949100481,22.4554555847154,22.4665831429166,22.0942759899006,22.8959781026112,"M1",-0.0599580097491987,-0.0973773860898,0.1761884758251,0.342749368852502,0.192061074409903,0.270674493647501,-0.116078439688501,-0.200383760053402,-0.227726187616,0.1872987884264,0.0308895844102004,0.169106391847102
