"","x"
"AKR1B1","A0A024R7A8"
"AMPD3","Q01432"
"ANGPT1","Q15389"
"ANXA4","P09525"
"APEX1","P27695"
"APLP1","P51693"
"APP","A0A140VJC8"
"ASAH1","A8K0B6"
"ASS1","P00966"
"ATG4A","Q8WYN0"
"ATP6V1G1","A0A024R883"
"BACH1","O14867"
"BCL2L1","Q07817"
"BCL2L11","O43521"
"BTC","A0A0S2Z3I5"
"C1QBP","Q07021"
"C3","B4DR57"
"CALCOCO1","Q9P1Z2"
"CASP1","P29466"
"CBS","P0DN79"
"CCT5","B4DX08"
"CD36","A4D1B1"
"CDC26","A0A024R832"
"CDC27","P30260"
"CDKN1A","A0A024RCX5"
"CDKN2D","A0A024R796"
"CENPF","P49454"
"CIT","O14578"
"COL6A3","D9ZGF2"
"CPPED1","Q9BRF8"
"CREG1","O75629"
"CSNK2A1","P68400"
"CTSC","P53634"
"CTSD","P07339"
"CXCL10","A0A024RDA4"
"CXCL8","A0A024RDA5"
"DAB2","P98082"
"DBI","P07108"
"DDA1","A0A024R7J7"
"DDAH1","B4E3V1"
"DDX58","O95786"
"DGKA","A0A024RB23"
"DKK1","I1W660"
"DPY30","Q9C005"
"DTYMK","P23919"
"DUSP3","P51452"
"DUT","P33316"
"ECHDC3","A0A140VKF9"
"EDIL3","O43854"
"EIF4EBP1","Q13541"
"ENO1","P06733"
"ERBB2","P04626"
"ERI1","A0A024R355"
"FABP5","E7DVW5"
"FAS","P25445"
"FEN1","P39748"
"FGF2","A0A087WUF6"
"FGFR2","P21802"
"FIS1","Q9Y3D6"
"FKBP5","Q13451"
"FN1","B7ZLE5"
"FOLR3","A0A087WXL1"
"FOXO1","Q12778"
"FUS","P35637"
"GAPDH","P04406"
"GDF15","Q99988"
"GGCT","O75223"
"GLB1","P16278"
"GLRX","A0A024RAM2"
"GPI","P06744"
"GUSB","P08236"
"HAGH","Q16775"
"HAVCR2","Q8TDQ0"
"HBEGF","Q99075"
"HEG1","Q9ULI3"
"HSPA1A","A8K5I0"
"HSPB1","P04792"
"ICAM1","P05362"
"IGF2R","P11717"
"IGFBP7","Q16270"
"IL12B","P29460"
"INPP5D","Q92835"
"ITGA2","P17301"
"JPT2","Q9H910"
"KIF22","A0A024R632"
"KITLG","A0A024RBC0"
"LBR","Q14739"
"LDLRAP1","B3KR97"
"LGALS9","O00182"
"LRPAP1","P30533"
"LXN","Q9BS40"
"LYAR","Q9NX58"
"MAP2K1","A4QPA9"
"MAP2K6","A0A024R8K3"
"MAP3K5","Q99683"
"MAPK9","P45984"
"MAPKAPK2","P49137"
"MCFD2","Q8NI22"
"MDK","P21741"
"MFGE8","Q08431"
"MGMT","B4DEE8"
"MIF","I4AY87"
"MINK1","Q8N4C8"
"MKI67","P46013"
"MTHFD2","P13995"
"MZT1","Q08AG7"
"NBN","A0A0C4DG07"
"NEXN","B4DDI0"
"NFKB1","A0A024RDJ4"
"NMI","Q13287"
"NPC2","A0A024R6C0"
"NPM1","A0A140VJQ2"
"NT5C","Q8TCD5"
"NUDT15","Q9NV35"
"PAGR1","Q9BTK6"
"PARP1","A0A024R3T8"
"PDCD1LG2","Q9BQ51"
"PDGFB","P01127"
"PEBP1","D9IAI1"
"PGD","B4E2U0"
"PGR","P06401"
"PLA2G15","Q8NCC3"
"PLAT","P00750"
"PLEKHO1","Q53GL0"
"PNPT1","Q8TCS8"
"PPP1CC","P36873"
"PPP1R14A","Q96A00"
"PRTFDC1","Q9NRG1"
"PSME1","Q06323"
"PSMG3","A0A024R806"
"PSRC1","Q6PGN9"
"PSTPIP2","A0A0S2Z4R2"
"PTEN","F6KD01"
"PTPRK","Q15262"
"PTPRM","P28827"
"RANBP1","F6WQW2"
"RBP2","P50120"
"RBPMS2","Q6ZRY4"
"RFC4","P35249"
"RNASEH2A","O75792"
"RNASET2","O00584"
"RRAS","A0A024QZF2"
"RRM2","P31350"
"RRM2B","Q7LG56"
"SAMD9L","Q8IVG5"
"SERPINF1","A0A140VKF3"
"SGSH","P51688"
"SMAD2","Q15796"
"SMAD3","P84022"
"SMARCA2","B4DSC8"
"SNRPB2","P08579"
"SNX5","Q6P5V6"
"SOD2","P04179"
"SORT1","Q99523"
"SPARC","P09486"
"SPINT2","A0A140VJV6"
"SV2A","B4E000"
"TACC3","Q9Y6A5"
"TADA3","A8K899"
"TCOF1","Q13428"
"TCTN3","Q6NUS6"
"TGFB1","P01137"
"TGM2","P21980"
"TIMP3","P35625"
"TNFRSF10B","O14763"
"TNFSF13","Q2QBA2"
"TP53","K7PPA8"
"TSC22D1","A0A087X0H8"
"TXN","P10599"
